<h>
Pro-Palestinian	JJ	Pro-Palestinian
camp	NN	camp
at	IN	at
UofG	NP	<unknown>
fights	NNS	fight
back	RB	back
against	IN	against
Notice	NN	notice
of	IN	of
Trespass	NN	trespass
<p>
The	DT	the
People	NNS	people
'	POS	'
s	NN	S
Plaza	NP	Plaza
for	IN	for
Palestine	NP	Palestine
,	,	,
inside	IN	inside
University	NP	University
of	IN	of
Guelph	NP	Guelph
'	POS	'
s	NN	S
campus	NN	campus
,	,	,
has	VBZ	have
now	RB	now
been	VBN	be
told	VBN	tell
to	TO	to
leave	VB	leave
or	CC	or
face	VB	face
legal	JJ	legal
action	NN	action
.	SENT	.
(	(	(
Justine	NP	Justine
Fraser	NP	Fraser
,	,	,
CityNews	NP	<unknown>
Kitchener	NP	Kitchener
.	SENT	.
)	)	)
<p>
By	IN	by
Justine	NP	Justine
Fraser	NP	Fraser
<p>
Posted	VBD	post
Jul	NP	Jul
8	CD	@card@
,	,	,
2024	CD	@card@
05:20:24	CD	@card@
AM	NP	AM
.	SENT	.
<p>
Last	RB	last
Updated	VBN	update
Jul	NP	Jul
8	CD	@card@
,	,	,
2024	CD	@card@
04:44:41	CD	@card@
PM	NP	PM
.	SENT	.
<p>
The	DT	the
pro-Palestinian	NP	pro-Palestinian
encampment	NN	encampment
at	IN	at
the	DT	the
University	NP	University
of	IN	of
Guelph	NP	Guelph
is	VBZ	be
facing	VBG	face
legal	JJ	legal
action	NN	action
from	IN	from
the	DT	the
school	NN	school
,	,	,
after	IN	after
a	DT	a
warning	VBG	warn
letter	NN	letter
to	TO	to
leave	VB	leave
campus	NN	campus
was	VBD	be
delivered	VBN	deliver
over	IN	over
the	DT	the
weekend	NN	weekend
.	SENT	.
<p>
A	DT	a
statement	NN	statement
from	IN	from
the	DT	the
school	NN	school
said	VBD	say
a	DT	a
letter	NN	letter
was	VBD	be
delivered	VBN	deliver
to	TO	to
the	DT	the
camp	NN	camp
in	IN	in
Branion	NP	<unknown>
Plaza	NP	Plaza
,	,	,
Saturday	NP	Saturday
,	,	,
warning	VBG	warn
the	DT	the
camp	NN	camp
to	TO	to
clear	VB	clear
out	RP	out
by	IN	by
8:00	CD	@card@
p.m	NN	p.m
.	SENT	.
Sunday	NP	Sunday
.	SENT	.
<p>
If	IN	if
they	PP	they
did	VBD	do
not	RB	not
