<h>
More	JJR	more
from	IN	from
Mag	NP	Mag
<h>
College	NP	College
Moves	VBZ	move
US	NP	US
Military	NP	Military
Event	NP	Event
Off-Campus	NN	off-campus
to	TO	to
Avoid	VB	avoid
Opposition	NN	opposition
<h>
To	TO	to
avoid	VB	avoid
"	``	"
reputational	JJ	<unknown>
damage	NN	damage
"	''	"
amid	IN	amid
the	DT	the
ongoing	JJ	ongoing
Israel-Palestine	NP	Israel-Palestine
conflict	NN	conflict
,	,	,
College	NP	College
privately	RB	privately
hosted	VBD	host
a	DT	a
funding	NN	funding
arm	NN	arm
of	IN	of
the	DT	the
US	NP	US
military	JJ	military
off-campus	NN	off-campus
,	,	,
prompting	VBG	prompt
criticism	NN	criticism
from	IN	from
the	DT	the
TCDSU	NP	<unknown>
BDS	NP	BDS
Implementation	NP	Implementation
Group	NP	Group
.	SENT	.
<p>
Clara	NP	Clara
RocheEditor	NP	RocheEditor
<p>
Photo	NP	Photo
by	IN	by
Alex	NP	Alex
Payne	NP	Payne
for	IN	for
The	DT	the
University	NP	University
Times	NP	Times
<p>
On	IN	on
February	NP	February
26th	JJ	26th
,	,	,
2024	CD	@card@
,	,	,
members	NNS	member
of	IN	of
the	DT	the
Trinity	NP	Trinity
College	NP	College
Dublin	NP	Dublin
Students	NNS	student
'	POS	'
Union	NP	Union
(	(	(
TCDSU	NP	<unknown>
)	)	)
Boycott	NN	boycott
,	,	,
Divestment	NN	divestment
,	,	,
Sanctions	NNS	sanction
(	(	(
BDS	NP	BDS
)	)	)
movement	NN	movement
planned	VBN	plan
to	TO	to
protest	VB	protest
an	DT	an
event	NN	event
held	VBN	hold
by	IN	by
the	DT	the
Centre	NP	Centre
for	IN	for
Research	NP	Research
on	IN	on
Adaptive	JJ	adaptive
Nanostructures	NP	Nanostructures
and	CC	and
Nanodevices	NP	Nanodevices
(	(	(
CRANN	NP	<unknown>
)	)	)
,	,	,
where	WRB	where
DEVCOM	NP	<unknown>
,	,	,
a	DT	a
funding	NN	funding
arm	NN	arm
