<p>
There	EX	there
'	POS	'
s	NN	S
no	RB	no
denying	VBG	deny
that	IN	that
Eurovision	NP	Eurovision
2024	CD	@card@
has	VBZ	have
been	VBN	be
shrouded	VBN	shroud
by	IN	by
controversy	NN	controversy
from	IN	from
the	DT	the
get-go	NN	<unknown>
,	,	,
with	IN	with
organisers	NNS	organiser
under	IN	under
immense	JJ	immense
pressure	NN	pressure
to	TO	to
exclude	VB	exclude
Israel	NP	Israel
due	JJ	due
to	TO	to
the	DT	the
country	NN	country
'	POS	'
s	JJ	<unknown>
ongoing	JJ	ongoing
assault	NN	assault
against	IN	against
Hamas	NP	<unknown>
in	IN	in
Gaza	NP	Gaza
since	IN	since
October	NP	October
,	,	,
which	WDT	which
has	VBZ	have
led	VBN	lead
to	TO	to
35,000	CD	@card@
deaths	NNS	death
and	CC	and
counting	VBG	count
.	SENT	.
<p>
Consequently	RB	consequently
,	,	,
countless	JJ	countless
devout	JJ	devout
Eurovision	NP	Eurovision
fans	NNS	fan
have	VBP	have
boycotted	VBN	boycott
this	DT	this
year	NN	year
'	POS	'
s	NN	S
contest	NN	contest
,	,	,
refusing	VBG	refuse
to	TO	to
tune	VB	tune
in	RP	in
or	CC	or
engage	VB	engage
in	IN	in
celebrations	NNS	celebration
they	PP	they
once	RB	once
pushed	VBD	push
the	DT	the
boat	NN	boat
out	RP	out
for	IN	for
--	:	--
no	DT	no
extravagant	JJ	extravagant
costumes	NNS	costume
or	CC	or
raucous	JJ	raucous
parties	NNS	party
,	,	,
and	CC	and
certainly	RB	certainly
no	DT	no
singalongs	NNS	singalong
.	SENT	.
<p>
Speaking	VBG	speak
exclusively	RB	exclusively
to	TO	to
Metro.co.uk	NP	<unknown>
,	,	,
one	CD	one
loyal	JJ	loyal
Eurovision	NP	Eurovision
attendee	NN	attendee
lifted	VBD	lift
the	DT	the
lid	NN	lid
on	IN	on
what	WP	what
it	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
to	TO	to
be	VB	be
in	IN	in
the	DT	the
thick	JJ	thick
of	IN	of
it	PP	it
over	IN	over
in	IN	in
Sweden	NP	Sweden
,	,	,
having	VBG	have
jetted	VBN	jet
over	RP	over
at	IN	at
the	DT	the
start	NN	start
of	IN	of
Semi-Final	NN	semi-final
week	NN	week
and	CC	and
growing	VBG	grow
increasingly	RB	increasingly
more	RBR	more
confident	JJ	confident
in	IN	in
expressing	VBG	express
their	PP$	their
disdain	NN	disdain
for	IN	for
the	DT	the
contest	NN	contest
as	IN	as
time	NN	time
went	VBD	go
on	IN	on
.	SENT	.
<h>
Join	VB	join
Metro	NP	Metro
'	POS	'
s	JJ	<unknown>
Eurovision	NP	Eurovision
community	NN	community
on	IN	on
WhatsApp	NP	<unknown>
<p>
Eurovision	NP	Eurovision
calling	NN	calling
!	SENT	!
To	TO	to
keep	VB	keep
you	PP	you
up	RP	up
to	TO	to
date	VB	date
on	IN	on
everything	NN	everything
going	VBG	go
on	IN	on
in	IN	in
Malm	NP	Malm
?	SENT	?
,	,	,
we	PP	we
'	POS	'
re	NN	re
hosting	VBG	host
a	DT	a
party	NN	party
for	IN	for
everybody	NN	everybody
(	(	(
well	UH	well
,	,	,
maybe	RB	maybe
just	RB	just
Eurovision	NP	Eurovision
fans	NNS	fan
)	)	)
over	IN	over
on	IN	on
WhatsApp	NP	<unknown>
.	SENT	.
<p>
We	PP	we
'	POS	'
ll	NNS	<unknown>
send	VBP	send
you	PP	you
all	PDT	all
the	DT	the
drama	NN	drama
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
behind	IN	behind
the	DT	the
scenes	NNS	scene
gossip	NN	gossip
.	SENT	.
<p>
You	PP	you
can	MD	can
also	RB	also
get	VB	get
involved	VBN	involve
by	IN	by
sending	VBG	send
your	PP$	your
reactions	NNS	reaction
to	TO	to
each	DT	each
of	IN	of
the	DT	the
acts	NNS	act
and	CC	and
voting	NN	voting
for	IN	for
your	PP$	your
favourites	NNS	favourite
in	IN	in
our	PP$	our
polls	NNS	poll
,	,	,
as	IN	as
we	PP	we
get	VBP	get
closer	RBR	closer
to	TO	to
finding	VBG	find
out	RP	out
who	WP	who
will	MD	will
be	VB	be
the	DT	the
winner	NN	winner
of	IN	of
Eurovision	NP	Eurovision
2024	CD	@card@
.	SENT	.
<p>
'	''	'
T	NN	T
was	VBD	be
not	RB	not
their	PP$	their
intention	NN	intention
upon	IN	upon
first	JJ	first
landing	NN	landing
in	IN	in
the	DT	the
host	NN	host
