<p>
My	PP$	my
conclusion	NN	conclusion
:	:	:
while	IN	while
protest	NN	protest
movements	NNS	movement
are	VBP	be
often	RB	often
ignited	VBN	ignite
by	IN	by
many	JJ	many
different	JJ	different
things	NNS	thing
and	CC	and
attract	VB	attract
an	DT	an
assortment	NN	assortment
of	IN	of
people	NNS	people
with	IN	with
a	DT	a
range	NN	range
of	IN	of
motives	NNS	motive
,	,	,
this	DT	this
one	CD	one
is	VBZ	be
centered	VBN	center
on	IN	on
one	CD	one
thing	NN	thing
:	:	:
moral	JJ	moral
outrage	NN	outrage
at	IN	at
the	DT	the
slaughter	NN	slaughter
of	IN	of
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
innocent	JJ	innocent
people	NNS	people
--	:	--
most	JJS	most
of	IN	of
them	PP	them
women	NNS	woman
and	CC	and
children	NNS	child
--	:	--
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
To	TO	to
interpret	VB	interpret
these	DT	these
protests	NNS	protest
as	IN	as
anything	NN	anything
else	RB	else
--	:	--
as	IN	as
antisemitic	JJ	antisemitic
or	CC	or
anti-Zionist	JJ	anti-Zionist
or	CC	or
anti-American	JJ	anti-American
or	CC	or
pro-Palestinian	NP	pro-Palestinian
--	:	--
is	VBZ	be
to	TO	to
miss	VB	miss
the	DT	the
essence	NN	essence
of	IN	of
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
and	CC	and
why	WRB	why
.	SENT	.
<p>
Most	JJS	most
of	IN	of
the	DT	the
students	NNS	student
and	CC	and
faculty	NN	faculty
I	NP	I
'	POS	'
ve	NNS	<unknown>
spoken	VBN	speak
with	IN	with
found	VBN	find
Hamas	NP	<unknown>
'	POS	'
s	JJ	<unknown>
attack	NN	attack
on	IN	on
October	NP	October
7	CD	@card@
odious	JJ	odious
.	SENT	.
They	PP	they
also	RB	also
find	VBP	find
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
current	JJ	current
government	NN	government
morally	RB	morally
bankrupt	JJ	bankrupt
,	,	,
in	IN	in
that	WDT	that
its	PP$	its
response	NN	response
to	TO	to
Hamas	NP	<unknown>
'	POS	'
s	NN	S
attack	NN	attack
has	VBZ	have
been	VBN	be
disproportionate	JJ	disproportionate
.	SENT	.
<p>
Some	DT	some
protesters	NNS	protester
focus	VBP	focus
their	PP$	their
anger	NN	anger
on	IN	on
Israel	NP	Israel
,	,	,
some	DT	some
on	IN	on
the	DT	the
Israeli	JJ	Israeli
government	NN	government
of	IN	of
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
,	,	,
some	DT	some
on	IN	on
Joe	NP	Joe
Biden	NP	Biden
for	IN	for
failing	VBG	fail
to	TO	to
stand	VB	stand
up	RP	up
to	TO	to
Netanyahu	NP	<unknown>
,	,	,
for	IN	for
giving	VBG	give
Israel	NP	Israel
additional	JJ	additional
armaments	NNS	armament
,	,	,
and	CC	and
for	IN	for
what	WP	what
they	PP	they
perceive	VBP	perceive
as	IN	as
Biden	NP	Biden
'	POS	'
s	JJ	<unknown>
patronizing	JJ	patronizing
response	NN	response
to	TO	to
the	DT	the
protests	NNS	protest
.	SENT	.
<p>
Like	IN	like
any	DT	any
protest	NN	protest
movement	NN	movement
,	,	,
the	DT	the
actions	NNS	action
have	VBP	have
attracted	VBN	attract
a	DT	a
few	JJ	few
on	IN	on
the	DT	the
fringe	NN	fringe
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
heard	VBD	hear
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
or	CC	or
heard	VBN	hear
anything	NN	anything
that	WDT	that
might	MD	might
be	VB	be
interpreted	VBN	interpret
as	IN	as
antisemitic	JJ	antisemitic
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
a	DT	a
significant	JJ	significant
number	NN	number
of	IN	of
the	DT	the
protesters	NNS	protester
are	VBP	be
Jewish	JJ	Jewish
.	SENT	.
<p>
To	TO	to
describe	VB	describe
the	DT	the
protesters	NNS	protester
as	IN	as
"	``	"
pro-Palestinian	NP	pro-Palestinian
"	''	"
is	VBZ	be
also	RB	also
inaccurate	JJ	inaccurate
.	SENT	.
Most	JJS	most
do	VBP	do
not	RB	not
support	VB	support
Palestine	NP	Palestine
as	IN	as
such	JJ	such
;	:	;
they	PP	they
do	VBP	do
not	RB	not
know	VB	know
enough	RB	enough
about	IN	about
the	DT	the
history	NN	history
of	IN	of
Israel	NP	Israel
and	CC	and
Palestine	NP	Palestine
to	TO	to
pass	VB	pass
moral	JJ	moral
judgment	NN	judgment
.	SENT	.
<p>
But	CC	but
they	PP	they
have	VBP	have
a	DT	a
deep	JJ	deep
and	CC	and
abiding	JJ	abiding
sense	NN	sense
that	IN	that
what	WP	what
is	VBZ	be
happening	VBG	happen
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
morally	RB	morally
wrong	JJ	wrong
,	,	,
and	CC	and
that	IN	that
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
complicit	JJ	complicit
in	IN	in
that	DT	that
immorality	NN	immorality
.	SENT	.
<p>
Many	JJ	many
tell	VBP	tell
me	PP	me
they	PP	they
are	VBP	be
planning	VBG	plan
not	RB	not
to	TO	to
vote	VB	vote
this	DT	this
coming	VBG	come
November	NP	November
--	:	--
a	DT	a
clear	JJ	clear
danger	NN	danger
to	TO	to
Biden	NP	Biden
'	POS	'
