<h>
US	PP	us
completes	VBZ	complete
Gaza	NP	Gaza
pier	NN	pier
,	,	,
aid	NN	aid
to	TO	to
start	VB	start
arriving	VBG	arrive
in	IN	in
days	NNS	day
<p>
U.S.	NP	U.S.
forces	NNS	force
have	VBP	have
completed	VBN	complete
the	DT	the
construction	NN	construction
of	IN	of
the	DT	the
pier	NN	pier
and	CC	and
causeway	NN	causeway
built	VBN	build
off	IN	off
Gaza	NP	Gaza
'	POS	'
s	JJ	<unknown>
coast	NN	coast
to	TO	to
provide	VB	provide
the	DT	the
international	JJ	international
community	NN	community
a	DT	a
maritime	JJ	maritime
option	NN	option
for	IN	for
getting	VBG	get
desperately	RB	desperately
needed	VBN	need
aid	NN	aid
into	IN	into
the	DT	the
strip	NN	strip
.	SENT	.
<p>
On	IN	on
Thursday	NP	Thursday
,	,	,
the	DT	the
pier	NN	pier
was	VBD	be
anchored	VBN	anchor
to	TO	to
the	DT	the
beach	NN	beach
in	IN	in
Gaza	NP	Gaza
,	,	,
completing	VBG	complete
its	PP$	its
construction	NN	construction
,	,	,
and	CC	and
aid	NN	aid
shipments	NNS	shipment
will	MD	will
begin	VB	begin
"	``	"
in	IN	in
the	DT	the
coming	VBG	come
days	NNS	day
,	,	,
"	''	"
U.S.	NP	U.S.
CENTCOM	NP	<unknown>
Deputy	NP	Deputy
Commander	NP	Commander
Vice	NP	Vice
Adm	NP	Adm
.	SENT	.
Brad	NP	Brad
Cooper	NP	Cooper
told	VBD	tell
reporters	NNS	reporter
.	SENT	.
<p>
"	''	"
Thousands	NNS	thousand
of	IN	of
tons	NNS	ton
of	IN	of
aid	NN	aid
are	VBP	be
in	IN	in
the	DT	the
pipeline	NN	pipeline
,	,	,
"	''	"
he	PP	he
added	VBD	add
.	SENT	.
"	``	"
We	PP	we
have	VBP	have
about	RB	about
500	CD	@card@
tons	NNS	ton
of	IN	of
humanitarian	JJ	humanitarian
assistance	NN	assistance
,	,	,
loaded	VBN	load
on	IN	on
ships	NNS	ship
,	,	,
that	WDT	that
'	POS	'
s	NN	S
about	IN	about
a	DT	a
million	CD	million
pounds	NNS	pound
ready	JJ	ready
for	IN	for
delivery	NN	delivery
in	IN	in
the	DT	the
coming	VBG	come
days	NNS	day
.	SENT	.
"	''	"
<p>
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
are	VBP	be
in	IN	in
desperate	JJ	desperate
need	NN	need
of	IN	of
humanitarian	JJ	humanitarian
aid	NN	aid
including	VBG	include
potable	JJ	potable
water	NN	water
,	,	,
food	NN	food
,	,	,
medicine	NN	medicine
,	,	,
and	CC	and
shelter	NN	shelter
.	SENT	.
All	DT	all
of	IN	of
Gaza	NP	Gaza
'	POS	'
s	NN	S
2.2	CD	@card@
million	CD	million
residents	NNS	resident
are	VBP	be
facing	VBG	face
acute	JJ	acute
food	NN	food
insecurity	NN	insecurity
,	,	,
according	VBG	accord
to	TO	to
Sonali	NP	<unknown>
Korde	NP	<unknown>
,	,	,
Assistant	NP	Assistant
to	TO	to
the	DT	the
Administrator	NP	Administrator
of	IN	of
USAID	NP	<unknown>
'	POS	'
s	JJ	<unknown>
Bureau	NP	Bureau
for	IN	for
Humanitarian	JJ	humanitarian
Assistance	NP	Assistance
.	SENT	.
<p>
The	DT	the
new	JJ	new
maritime	JJ	maritime
aid	NN	aid
opportunity	NN	opportunity
is	VBZ	be
not	RB	not
designed	VBN	design
to	TO	to
replace	VB	replace
other	JJ	other
means	NNS	mean
of	IN	of
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
a	DT	a
supplementary	JJ	supplementary
option	NN	option
.	SENT	.
Officials	NNS	official
have	VBP	have
repeatedly	RB	repeatedly
said	VBN	say
getting	VBG	get
aid	NN	aid
to	TO	to
Gaza	NP	Gaza
through	IN	through
land	NN	land
crossings	NNS	crossing
between	IN	between
Gaza	NP	Gaza
'	POS	'
s	JJ	<unknown>
borders	NNS	border
with	IN	with
Israel	NP	Israel
and	CC	and
Egypt	NP	Egypt
is	VBZ	be
the	DT	the
primary	JJ	primary
method	NN	method
.	SENT	.
<p>
Aid	NN	aid
will	MD	will
be	VB	be
brought	VBN	bring
to	TO	to
Cyprus	NP	Cyprus
where	WRB	where
it	PP	it
will	MD	will
be	VB	be
screened	VBN	screen
and	CC	and
palletized	VBN	<unknown>
before	IN	before
being	VBG	be
loaded	VBN	load
on	IN	on
commercial	JJ	commercial
or	CC	or
military	JJ	military
vessels	NNS	vessel
that	WDT	that
will	MD	will
travel	VB	travel
from	IN	from
there	EX	there
to	TO	to
the	DT	the
pier	NN	pier
,	,	,
which	WDT	which
is	VBZ	be
anchored	VBN	anchor
"	``	"
several	JJ	several
kilometers	NNS	kilometer
"	''	"
from	IN	from
the	DT	the
Gaza	NP	Gaza
coast	NN	coast
,	,	,
Cooper	NP	Cooper
said	VBD	say
.	SENT	.
The	DT	the
aid	NN	aid
will	MD	will
then	RB	then
be	VB	be
transported	VBN	transport
to	TO	to
smaller	JJR	small
