<h>
Linkages	NNS	linkage
of	IN	of
US-Iran	NP	<unknown>
Talks	NNS	talk
to	TO	to
Gaza	NP	Gaza
and	CC	and
Wider	NP	Wider
Palestine	NP	Palestine
Issues	NPS	Issues
<h>
Share	NP	Share
:	:	:
<p>
The	DT	the
US-Iran	NP	<unknown>
negotiations	NNS	negotiation
are	VBP	be
widely	RB	widely
seen	VBN	see
on	IN	on
a	DT	a
note	NN	note
of	IN	of
hope	NN	hope
by	IN	by
most	JJS	most
people	NNS	people
.	SENT	.
The	DT	the
issue	NN	issue
of	IN	of
alleged	JJ	alleged
nuclear	JJ	nuclear
weapon	NN	weapon
plans	NNS	plan
of	IN	of
Iran	NP	Iran
has	VBZ	have
long	RB	long
been	VBN	be
a	DT	a
highly	RB	highly
controversial	JJ	controversial
issue	NN	issue
that	WDT	that
has	VBZ	have
the	DT	the
potential	NN	potential
of	IN	of
igniting	VBG	ignite
a	DT	a
big	JJ	big
war	NN	war
.	SENT	.
While	IN	while
most	JJS	most
countries	NNS	country
do	VBP	do
not	RB	not
want	VB	want
Iran	NP	Iran
to	TO	to
become	VB	become
a	DT	a
nuclear	JJ	nuclear
weapon	NN	weapon
power	NN	power
,	,	,
the	DT	the
USA	NP	USA
in	IN	in
particular	JJ	particular
has	VBZ	have
been	VBN	be
committed	VBN	commit
strongly	RB	strongly
to	TO	to
preventing	VBG	prevent
such	PDT	such
a	DT	a
possibility	NN	possibility
.	SENT	.
Even	RB	even
more	RBR	more
than	IN	than
the	DT	the
USA	NP	USA
,	,	,
Israel	NP	Israel
has	VBZ	have
been	VBN	be
very	RB	very
aggressive	JJ	aggressive
regarding	VBG	regard
the	DT	the
urgency	NN	urgency
of	IN	of
preventing	VBG	prevent
Iran	NP	Iran
from	IN	from
getting	VBG	get
nuclear	JJ	nuclear
weapons	NNS	weapon
or	CC	or
getting	VBG	get
very	RB	very
close	JJ	close
to	TO	to
this	DT	this
.	SENT	.
<p>
In	IN	in
fact	NN	fact
Israel	NP	Israel
under	IN	under
the	DT	the
leadership	NN	leadership
of	IN	of
Netanyahu	NP	<unknown>
has	VBZ	have
prioritized	VBN	<unknown>
this	DT	this
objective	NN	objective
so	RB	so
much	RB	much
that	IN	that
it	PP	it
has	VBZ	have
been	VBN	be
trying	VBG	try
in	IN	in
various	JJ	various
dangerous	JJ	dangerous
ways	NNS	way
to	TO	to
somehow	RB	somehow
get	VB	get
the	DT	the
USA	NP	USA
to	TO	to
attack	VB	attack
the	DT	the
nuclear	JJ	nuclear
infrastructure	NN	infrastructure
of	IN	of
Iran	NP	Iran
.	SENT	.
On	IN	on
its	PP$	its
own	JJ	own
Israel	NP	Israel
is	VBZ	be
unlikely	JJ	unlikely
to	TO	to
have	VB	have
the	DT	the
capacity	NN	capacity
to	TO	to
destroy	VB	destroy
this	DT	this
infrastructure	NN	infrastructure
but	CC	but
with	IN	with
the	DT	the
involvement	NN	involvement
of	IN	of
USA	NP	USA
this	DT	this
capacity	NN	capacity
increases	VBZ	increase
significantly	RB	significantly
.	SENT	.
<p>
As	IN	as
Israel	NP	Israel
has	VBZ	have
tremendous	JJ	tremendous
influence	NN	influence
in	IN	in
the	DT	the
USA	NP	USA
government	NN	government
directly	RB	directly
and	CC	and
via	IN	via
the	DT	the
Israeli	JJ	Israeli
lobby	NN	lobby
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
to	TO	to
this	DT	this
.	SENT	.
However	RB	however
,	,	,
once	RB	once
this	DT	this
happens	VBZ	happen
,	,	,
there	EX	there
are	VBP	be
various	JJ	various
possibilities	NNS	possibility
that	IN	that
the	DT	the
US/Israel	NP	US/Israel
war	NN	war
with	IN	with
Iran	NP	Iran
can	MD	can
get	VB	get
even	RB	even
wider	JJR	wide
,	,	,
much	RB	much
wider	JJR	wide
in	IN	in
various	JJ	various
ways	NNS	way
,	,	,
thereby	RB	thereby
emerging	VBG	emerge
as	IN	as
a	DT	a
very	RB	very
big	JJ	big
threat	NN	threat
to	TO	to
world	NN	world
peace	NN	peace
.	SENT	.
<p>
Hence	RB	hence
in	IN	in
the	DT	the
interests	NNS	interest
of	IN	of
regional	JJ	regional
as	RB	as
well	RB	well
as	IN	as
world	NN	world
peace	NN	peace
,	,	,
it	PP	it
is	VBZ	be
very	RB	very
important	JJ	important
that	IN	that
the	DT	the
issue	NN	issue
of	IN	of
Iran	NP	Iran
'	POS	'
s	JJ	<unknown>
alleged	JJ	alleged
advance	NN	advance
towards	IN	towards
nuclear	JJ	nuclear
weapons	NNS	weapon
should	MD	should
be	VB	be
resolved	VBN	resolve
as	RB	as
early	RB	early
as	RB	as
possible	JJ	possible
in	IN	in
peaceful	JJ	peaceful
ways	NNS	way
.	SENT	.
<p>
It	PP	it
is	VBZ	be
widely	RB	widely
believed	VBN	believe
that	IN	that
peaceful	JJ	peaceful
resolution	NN	resolution
is	VBZ	be
possible	JJ	possible
only	RB	only
if	IN	if
Iran	NP	Iran
agrees	VBZ	agree
to	TO	to
give	VB	give
various	JJ	various
kinds	NNS	kind
of	IN	of
assurances	NNS	assurance
that	IN	that
it	PP	it
will	MD	will
not	RB	not
acquire	VB	acquire
nuclear	JJ	nuclear
weapons	NNS	weapon
.	SENT	.
In	IN	in
this	DT	this
context	NN	context
while	IN	while
all	DT	all
forces	NNS	force
of	IN	of
peace	NN	peace
welcome	JJ	welcome
US-Iran	NP	<unknown>
negotiations	NNS	negotiation
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
uncertainty	NN	uncertainty
regarding	VBG	regard
exactly	RB	exactly
what	WDT	what
kinds	NNS	kind
of	IN	of
assurances	NNS	assurance
or	CC	or
guarantees	NNS	guarantee
offered	VBN	offer
by	IN	by
Iran	NP	Iran
will	MD	will
be	VB	be
considered	VBN	consider
adequate	JJ	adequate
by	IN	by
the	DT	the
USA	NP	USA
.	SENT	.
<p>
These	DT	these
uncertainties	NNS	uncertainty
increase	NN	increase
if	IN	if
one	PP	one
remembers	VBZ	remember
that	IN	that
Israel	NP	Israel
and	CC	and
the	DT	the
Israeli	JJ	Israeli
lobby	NN	lobby
in	IN	in
the	DT	the
USA	NP	USA
may	MD	may
be	VB	be
trying	VBG	try
all	PDT	all
this	DT	this
time	NN	time
to	TO	to
harm	VB	harm
the	DT	the
prospects	NNS	prospect
of	IN	of
these	DT	these
negotiations	NNS	negotiation
succeeding	VBG	succeed
,	,	,
as	IN	as
the	DT	the
failure	NN	failure
of	IN	of
negotiations	NNS	negotiation
can	MD	can
clear	VB	clear
the	DT	the
path	NN	path
for	IN	for
the	DT	the
option	NN	option
that	IN	that
Netanyahu	NP	<unknown>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
weapon	NN	weapon
facilities	NNS	facility
of	IN	of
Iran	NP	Iran
.	SENT	.
<p>
