<p>
Two	CD	two
Palestinian	JJ	Palestinian
former	JJ	former
detainees	NNS	detainee
who	WP	who
were	VBD	be
recently	RB	recently
released	VBN	release
from	IN	from
Israel	NP	Israel
'	POS	'
s	NN	S
notorious	JJ	notorious
Sde	NP	Sde
Teiman	NP	<unknown>
detention	NN	detention
center	NN	center
said	VBD	say
they	PP	they
saw	VBD	see
the	DT	the
prominent	JJ	prominent
Palestinian	JJ	Palestinian
physician	NN	physician
Hussam	NP	Hussam
Abu	NP	Abu
Safiya	NP	Safiya
there	RB	there
last	JJ	last
month	NN	month
,	,	,
saying	VBG	say
he	PP	he
was	VBD	be
in	IN	in
"	``	"
poor	JJ	poor
condition	NN	condition
"	''	"
when	WRB	when
he	PP	he
arrived	VBD	arrive
.	SENT	.
<p>
The	DT	the
former	JJ	former
detainees	NNS	detainee
said	VBD	say
Abu	NP	Abu
Safiya	NP	Safiya
appeared	VBD	appear
physically	RB	physically
and	CC	and
mentally	RB	mentally
exhausted	VBN	exhaust
,	,	,
and	CC	and
that	IN	that
they	PP	they
were	VBD	be
surprised	VBN	surprise
to	TO	to
see	VB	see
him	PP	him
there	RB	there
.	SENT	.
<p>
Israel	NP	Israel
has	VBZ	have
not	RB	not
specified	VBN	specify
where	WRB	where
Abu	NP	Abu
Safiya	NP	Safiya
,	,	,
the	DT	the
director	NN	director
of	IN	of
the	DT	the
Kamal	NP	Kamal
Adwan	NP	<unknown>
hospital	NN	hospital
in	IN	in
northern	JJ	northern
Gaza	NP	Gaza
,	,	,
is	VBZ	be
being	VBG	be
detained	VBN	detain
,	,	,
but	CC	but
has	VBZ	have
said	VBN	say
he	PP	he
is	VBZ	be
under	IN	under
investigation	NN	investigation
for	IN	for
being	VBG	be
a	DT	a
member	NN	member
of	IN	of
Hamas	NP	<unknown>
,	,	,
an	DT	an
allegation	NN	allegation
the	DT	the
former	JJ	former
detainees	NNS	detainee
say	VBP	say
is	VBZ	be
false	JJ	false
.	SENT	.
<p>
"	``	"
Everyone	NN	everyone
was	VBD	be
surprised	VBN	surprise
by	IN	by
his	PP$	his
arrival	NN	arrival
because	IN	because
he	PP	he
is	VBZ	be
a	DT	a
humanitarian	JJ	humanitarian
doctor	NN	doctor
who	WP	who
does	VBZ	do
not	RB	not
belong	VB	belong
to	TO	to
any	DT	any
organization	NN	organization
,	,	,
"	''	"
said	VBD	say
Mustafa	NP	Mustafa
Hassouna	NP	<unknown>
,	,	,
one	CD	one
of	IN	of
the	DT	the
former	JJ	former
detainees	NNS	detainee
who	WP	who
was	VBD	be
released	VBN	release
alongside	IN	alongside
another	DT	another
former	JJ	former
detainee	NN	detainee
,	,	,
Mohammad	NP	Mohammad
Al-Ramlawi	NP	Al-Ramlawi
,	,	,
in	IN	in
central	JJ	central
Gaza	NP	Gaza
last	JJ	last
month	NN	month
.	SENT	.
<p>
Israeli	NP	Israeli
Defense	NP	Defense
Forces	NPS	Forces
(	(	(
IDF	NP	IDF
)	)	)
detained	VBD	detain
Abu	NP	Abu
Safiya	NP	Safiya
