<h>
Some	DT	some
558	CD	@card@
soldiers	NNS	soldier
died	VBN	die
in	IN	in
2023	CD	@card@
and	CC	and
363	CD	@card@
in	IN	in
2024	CD	@card@
.	SENT	.
<p>
IDF	NP	IDF
soldiers	NNS	soldier
in	IN	in
northern	JJ	northern
Gaza	NP	Gaza
Strip	NP	Strip
conducting	VBG	conduct
operation	NN	operation
in	IN	in
the	DT	the
area	NN	area
of	IN	of
the	DT	the
Indonesian	JJ	Indonesian
Hospital	NN	hospital
,	,	,
where	WRB	where
a	DT	a
Hamas	JJ	<unknown>
launch	NN	launch
site	NN	site
was	VBD	be
located	VBN	locate
.	SENT	.
(	(	(
photo	JJ	photo
credit	NN	credit
:	:	:
IDF	NP	IDF
SPOKESMAN	NN	spokesman
'	POS	'
S	NP	S
UNIT	NN	unit
)	)	)
<p>
The	DT	the
IDF	NP	IDF
said	VBD	say
on	IN	on
Thursday	NP	Thursday
that	IN	that
891	CD	@card@
soldiers	NNS	soldier
have	VBP	have
died	VBN	die
during	IN	during
the	DT	the
war	NN	war
years	NNS	year
2023-2024	CD	@card@
,	,	,
including	VBG	include
a	DT	a
jump	NN	jump
in	IN	in
suicides	NNS	suicide
to	TO	to
38	CD	@card@
during	IN	during
that	DT	that
period	NN	period
.	SENT	.
<p>
Five	CD	five
hundred	CD	hundred
fifty-eight	JJ	<unknown>
soldiers	NNS	soldier
died	VBN	die
in	IN	in
2023	CD	@card@
and	CC	and
363	CD	@card@
in	IN	in
2024	CD	@card@
.	SENT	.
Of	IN	of
those	DT	those
,	,	,
512	CD	@card@
were	VBD	be
killed	VBN	kill
in	IN	in
fighting	VBG	fight
and	CC	and
operations	NNS	operation
,	,	,
three	CD	three
in	IN	in
local	JJ	local
terror	NN	terror
attacks	NNS	attack
,	,	,
10	CD	@card@
from	IN	from
natural	JJ	natural
health	NN	health
problems	NNS	problem
,	,	,
and	CC	and
17	CD	@card@
from	IN	from
suicide	NN	suicide
.	SENT	.
<p>
Of	IN	of
the	DT	the
363	CD	@card@
,	,	,
295	CD	@card@
were	VBD	be
killed	VBN	kill
in	IN	in
fighting	VBG	fight
and	CC	and
operations	NNS	operation
,	,	,
11	CD	@card@
by	IN	by
local	JJ	local
terror	NN	terror
attacks	NNS	attack
,	,	,
13	CD	@card@
from	IN	from
natural	JJ	natural
health	NN	health
problems	NNS	problem
,	,	,
and	CC	and
21	CD	@card@
from	IN	from
suicides	NNS	suicide
.	SENT	.
<p>
Over	IN	over
5,500	CD	@card@
soldiers	NNS	soldier
have	VBP	have
been	VBN	be
wounded	VBN	wound
during	IN	during
the	DT	the
war	NN	war
.	SENT	.
Sgt.	NP	Sgt.
Maj.	NP	<unknown>
(	(	(
res	NN	res
.	SENT	.
)	)	)
Eliran	NP	<unknown>
Mizrahi	NP	Mizrahi
'	POS	'
s	JJ	<unknown>
funeral	NN	funeral
at	IN	at
the	DT	the
Mount	NP	Mount
Herzl	NP	Herzl
Military	NP	Military
Cemetery	NP	Cemetery
in	IN	in
Jerusalem	NP	Jerusalem
on	IN	on
June	NP	June
13	CD	@card@
,	,	,
2024	CD	@card@
(	(	(
credit	NN	credit
:	:	:
YONATAN	NP	<unknown>
SINDEL/FLASH90	NP	<unknown>
)	)	)
<p>
Of	IN	of
the	DT	the
17	CD	@card@
suicides	NNS	suicide
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
were	VBD	be
officers	NNS	officer
,	,	,
and	CC	and
nine	CD	nine
were	VBD	be
reservists	NNS	reservist
.	SENT	.
<p>
Of	IN	of
the	DT	the
21	CD	@card@
suicides	NNS	suicide
in	IN	in
2024	CD	@card@
,	,	,
seven	CD	seven
were	VBD	be
mandatory	JJ	mandatory
service	NN	service
soldiers	NNS	soldier
,	,	,
two	CD	two
were	VBD	be
officers	NNS	officer
,	,	,
and	CC	and
12	CD	@card@
were	VBD	be
reservists	NNS	reservist
.	SENT	.
<p>
In	IN	in
2022	CD	@card@
,	,	,
there	EX	there
were	VBD	be
only	RB	only
14	CD	@card@
suicides	NNS	suicide
,	,	,
and	CC	and
none	NN	none
of	IN	of
them	PP	them
were	VBD	be
reservists	NNS	reservist
.	SENT	.
<p>
In	IN	in
2013	CD	@card@
,	,	,
2018	CD	@card@
,	,	,
and	CC	and
2020	CD	@card@
,	,	,
the	DT	the
suicide	NN	suicide
numbers	NNS	number
were	VBD	be
in	IN	in
single	JJ	single
digits	NNS	digit
.	SENT	.
The	DT	the
highest	JJS	high
number	NN	number
of	IN	of
suicides	NNS	suicide
in	IN	in
the	DT	the
last	JJ	last
24	CD	@card@
years	NNS	year
was	VBD	be
in	IN	in
2005	CD	@card@
,	,	,
with	IN	with
36	CD	@card@
.	SENT	.
<p>
