<p>
During	IN	during
an	DT	an
interview	NN	interview
with	IN	with
KAN	NP	Kan
News	NP	News
later	RBR	later
that	DT	that
day	NN	day
,	,	,
released	VBD	release
hostage	NN	hostage
Chen	NP	Chen
Goldstein-Almog	NP	<unknown>
,	,	,
who	WP	who
was	VBD	be
released	VBN	release
more	RBR	more
than	IN	than
a	DT	a
year	NN	year
ago	RB	ago
with	IN	with
her	PP$	her
three	CD	three
children	NNS	child
,	,	,
hinted	VBN	hint
towards	IN	towards
the	DT	the
fact	NN	fact
that	IN	that
all	DT	all
of	IN	of
the	DT	the
released	VBN	release
women	NNS	woman
had	VBD	have
braids	NNS	braid
.	SENT	.
<p>
"	''	"
Maybe	RB	maybe
there	EX	there
is	VBZ	be
some	DT	some
hostage	NN	hostage
,	,	,
back	RB	back
in	IN	in
Gaza	NP	Gaza
,	,	,
that	WDT	that
is	VBZ	be
trying	VBG	try
to	TO	to
send	VB	send
out	RP	out
a	DT	a
message	NN	message
to	TO	to
the	DT	the
world	NN	world
by	IN	by
braiding	VBG	braid
released	VBN	release
hostages	NNS	hostage
'	POS	'
hair	NN	hair
,	,	,
"	''	"
Goldstein-Almog	NP	<unknown>
said	VBD	say
.	SENT	.
She	PP	she
would	MD	would
n't	RB	n't
name	VB	name
the	DT	the
hostage	NN	hostage
who	WP	who
might	MD	might
be	VB	be
braiding	VBG	braid
their	PP$	their
hair	NN	hair
out	RP	out
of	IN	of
fear	NN	fear
for	IN	for
the	DT	the
captive	NN	captive
.	SENT	.
However	RB	however
,	,	,
this	DT	this
information	NN	information
has	VBZ	have
already	RB	already
been	VBN	be
published	VBN	publish
in	IN	in
the	DT	the
past	JJ	past
year	NN	year
.	SENT	.
<p>
Last	JJ	last
year	NN	year
,	,	,
after	IN	after
the	DT	the
hostages	NNS	hostage
'	POS	'
release	NN	release
,	,	,
the	DT	the
Hidabroot	NP	<unknown>
channel	NN	channel
ran	VBD	run
a	DT	a
report	NN	report
in	IN	in
which	WDT	which
Merav	NP	Merav
Berger	NP	Berger
,	,	,
the	DT	the
mother	NN	mother
of	IN	of
Agam	NP	Agam
Berger	NP	Berger
,	,	,
was	VBD	be
recorded	VBN	record
saying	VBG	say
that	IN	that
her	PP$	her
daughter	NN	daughter
"	``	"
braided	VBD	braid
the	DT	the
hair	NN	hair
of	IN	of
the	DT	the
other	JJ	other
women	NNS	woman
before	IN	before
their	PP$	their
release	NN	release
.	SENT	.
"	''	"
<p>
"	``	"
It	PP	it
the	DT	the
braider	NN	braider
was	VBD	be
Agam	NP	Agam
who	WP	who
was	VBD	be
braiding	VBG	braid
the	DT	the
hair	NN	hair
of	IN	of
the	DT	the
girls	NNS	girl
she	PP	she
knows	VBZ	know
are	VBP	be
being	VBG	be
released	VBN	release
while	IN	while
she	PP	she
stays	VBZ	stay
behind	RB	behind
.	SENT	.
"	''	"
Released	VBN	release
hostages	NNS	hostage
with	IN	with
braids	NNS	braid
in	IN	in
their	PP$	their
hair	NN	hair
.	SENT	.
(	(	(
credit	NN	credit
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
'	POS	'
<p>
KAN	NP	Kan
News	NP	News
correspondent	NN	correspondent
Carmela	NP	Carmela
Menashe	NP	Menashe
reported	VBD	report
on	IN	on
the	DT	the
hostages	NNS	hostage
'	POS	'
braids	NNS	braid
shortly	RB	shortly
after	IN	after
the	DT	the
first	JJ	first
round	NN	round
of	IN	of
hostage	NN	hostage
releases	NNS	release
in	IN	in
December	NP	December
of	IN	of
2023	CD	@card@
.	SENT	.
<p>
The	DT	the
report	NN	report
stated	VBD	state
that	DT	that
:	:	:
"	``	"
One	CD	one
of	IN	of
the	DT	the
hostages	NNS	hostage
released	VBN	release
as	IN	as
part	NN	part
of	IN	of
the	DT	the
agreement	NN	agreement
with	IN	with
Hamas	NP	<unknown>
was	VBD	be
photographed	VBN	photograph
on	IN	on
the	DT	the
night	NN	night
of	IN	of
her	PP$	her
release	NN	release
with	IN	with
neatly	RB	neatly
braided	JJ	braided
hair	NN	hair
,	,	,
"	''	"
the	DT	the
report	NN	report
stated	VBD	state
.	SENT	.
<p>
KAN	NP	Kan
reported	VBD	report
that	IN	that
the	DT	the
17-year-old	JJ	17-year-old
hostage	NN	hostage
told	VBD	tell
an	DT	an
IDF	NP	IDF
officer	NN	officer
after	IN	after
her	PP$	her
release	NN	release
that	IN	that
"	``	"
female	JJ	female
soldiers	NNS	soldier
held	VBN	hold
with	IN	with
her	PP	her
in	IN	in
captivity	NN	captivity
braided	VBD	braid
her	PP$	her
hair	NN	hair
on	IN	on
the	DT	the
day	NN	day
of	IN	of
the	DT	the
release	NN	release
.	SENT	.
"	''	"
<p>
In	IN	in
August	NP	August
,	,	,
Agam	NP	Agam
Goldstein-Almog	NP	<unknown>
,	,	,
Chen	NP	Chen
'	POS	'
s	NN	S
daughter	NN	daughter
,	,	,
spoke	VBD	speak
at	IN	at
an	DT	an
event	NN	event
in	IN	in
honor	NN	honor
of	IN	of
Berger	NP	Berger
'	POS	'
s	NN	S
birthday	NN	birthday
.	SENT	.
The	DT	the
young	JJ	young
Goldstein-Almog	NP	<unknown>
told	VBD	tell
Berger	NP	Berger
about	IN	about
a	DT	a
conversation	NN	conversation
with	IN	with
her	PP$	her
father	NN	father
immediately	RB	immediately
after	IN	after
being	VBG	be
released	VBN	release
:	:	:
"	``	"
Nine	CD	nine
months	NNS	month
ago	RB	ago
,	,	,
I	PP	I
called	VBD	call
your	PP$	your
father	NN	father
on	IN	on
the	DT	the
way	NN	way
to	TO	to
the	DT	the
helicopter	NN	helicopter
in	IN	in
Hazerim	NP	<unknown>
.	SENT	.
<p>
I	PP	I
wished	VBD	wish
him	PP	him
Happy	NP	Happy
Birthday	NP	Birthday
,	,	,
just	RB	just
like	IN	like
you	PP	you
asked	VBD	ask
me	PP	me
to	TO	to
.	SENT	.
I	PP	I
still	RB	still
had	VBD	have
the	DT	the
braids	NNS	braid
you	PP	you
made	VBD	make
me	PP	me
when	WRB	when
I	PP	I
called	VBD	call
him	PP	him
.	SENT	.
Your	PP$	your
parents	NNS	parent
did	VBD	do
n't	RB	n't
believe	VB	believe
me	PP	me
.	SENT	.
And	CC	and
I	PP	I
could	MD	could
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
"	''	"
<p>
She	PP	she
added	VBD	add
:	:	:
"	``	"
Today	NN	today
is	VBZ	be
your	PP$	your
birthday	NN	birthday
,	,	,
and	CC	and
today	NN	today
must	MD	must
be	VB	be
very	RB	very
hard	JJ	hard
for	IN	for
you	PP	you
.	SENT	.
"	''	"
<p>
However	RB	however
,	,	,
the	DT	the
other	JJ	other
female	JJ	female
soldiers	NNS	soldier
who	WP	who
are	VBP	be
being	VBG	be
held	VBN	hold
in	IN	in
captivity	NN	captivity
with	IN	with
Berger	NP	Berger
could	MD	could
also	RB	also
have	VB	have
done	VBN	do
the	DT	the
braids	NNS	braid
.	SENT	.
<p>
After	IN	after
the	DT	the
first	JJ	first
round	NN	round
of	IN	of
hostage	NN	hostage
releases	NNS	release
ended	VBD	end
,	,	,
the	DT	the
testimonies	NNS	testimony
from	IN	from
those	DT	those
freed	VBN	free
shed	NN	shed
light	NN	light
on	IN	on
the	DT	the
hostages	NNS	hostage
'	POS	'
conditions	NNS	condition
in	IN	in
captivity	NN	captivity
and	CC	and
provided	VBN	provide
signs	NNS	sign
of	IN	of
life	NN	life
for	IN	for
the	DT	the
families	NNS	family
of	IN	of
those	DT	those
still	RB	still
held	VBN	hold
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
In	IN	in
an	DT	an
article	NN	article
for	IN	for
N12	NP	N@card@
,	,	,
Yoni	NP	Yoni
Levy	NP	Levy
,	,	,
the	DT	the
father	NN	father
of	IN	of
Naama	NP	<unknown>
Levy	NP	Levy
,	,	,
another	DT	another
soldier	NN	soldier
still	RB	still
in	IN	in
captivity	NN	captivity
,	,	,
said	VBD	say
he	PP	he
"	``	"
learned	VBN	learn
from	IN	from
released	VBN	release
hostages	NNS	hostage
that	IN	that
they	PP	they
had	VBD	have
seen	VBN	see
his	PP$	his
daughter	NN	daughter
and	CC	and
were	VBD	be
with	IN	with
her	PP	her
before	IN	before
their	PP$	their
release	NN	release
.	SENT	.
"	''	"
<p>
He	PP	he
shared	VBD	share
that	IN	that
some	DT	some
of	IN	of
the	DT	the
freed	VBN	free
hostages	NNS	hostage
called	VBD	call
him	PP	him
after	IN	after
their	PP$	their
release	NN	release
and	CC	and
said	VBD	say
that	IN	that
she	PP	she
was	VBD	be
injured	VBN	injure
but	CC	but
alive	JJ	alive
.	SENT	.
<p>
"	``	"
The	DT	the
first	JJ	first
feeling	NN	feeling
is	VBZ	be
like	IN	like
you	PP	you
can	MD	can
finally	RB	finally
breathe	VB	breathe
.	SENT	.
You	PP	you
take	VBP	take
a	DT	a
moment	NN	moment
to	TO	to
feel	VB	feel
relief	NN	relief
,	,	,
"	''	"
Yoni	NP	Yoni
Levy	NP	Levy
recalled	VBD	recall
.	SENT	.
His	PP$	his
