<h>
Seeking	VBG	seek
cease-fire	NN	cease-fire
in	IN	in
Gaza	NP	Gaza
,	,	,
Michigan	NP	Michigan
Muslims	NPS	Muslims
and	CC	and
Arab	NP	Arab
American	NP	American
leaders	NNS	leader
have	VBP	have
heated	VBN	heat
meetings	NNS	meeting
with	IN	with
Biden	NP	Biden
administration	NN	administration
<p>
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
speaks	VBZ	speak
in	IN	in
the	DT	the
Diplomatic	JJ	diplomatic
Reception	NN	reception
Room	NP	Room
of	IN	of
the	DT	the
White	NP	White
House	NP	House
,	,	,
Feb.	NP	Feb.
8	CD	@card@
,	,	,
2024	CD	@card@
,	,	,
in	IN	in
Washington	NP	Washington
.	SENT	.
<p>
Evan	NP	Evan
Vucci/AP	NP	<unknown>
<p>
The	DT	the
Biden	NP	Biden
administration	NN	administration
held	VBD	hold
three	CD	three
separate	JJ	separate
heated	JJ	heated
meetings	NNS	meeting
with	IN	with
Muslim	JJ	Muslim
and	CC	and
Arab	JJ	Arab
American	JJ	American
community	NN	community
leaders	NNS	leader
in	IN	in
Dearborn	NP	Dearborn
,	,	,
Michigan	NP	Michigan
,	,	,
earlier	RBR	earlier
this	DT	this
week	NN	week
--	:	--
an	DT	an
effort	NN	effort
to	TO	to
repair	VB	repair
ties	NNS	tie
with	IN	with
a	DT	a
community	NN	community
that	WDT	that
has	VBZ	have
been	VBN	be
very	RB	very
critical	JJ	critical
of	IN	of
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
'	POS	'
s	JJ	<unknown>
role	NN	role
in	IN	in
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
war	NN	war
against	IN	against
Hamas	NP	<unknown>
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
Deputy	NP	Deputy
Wayne	NP	Wayne
County	NP	County
Executive	NP	Executive
Assad	NP	Assad
Turfe	NP	<unknown>
was	VBD	be
among	IN	among
those	DT	those
in	IN	in
attendance	NN	attendance
at	IN	at
the	DT	the
controversial	JJ	controversial
meetings	NNS	meeting
and	CC	and
said	VBD	say
he	PP	he
--	:	--
along	RB	along
with	IN	with
other	JJ	other
attendees	NNS	attendee
--	:	--
wanted	VBD	want
to	TO	to
push	VB	push
for	IN	for
a	DT	a
cease-fire	NN	cease-fire
in	IN	in
the	DT	the
war	NN	war
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
.	SENT	.
<p>
"	``	"
In	IN	in
our	PP$	our
pivotal	JJ	pivotal
meeting	NN	meeting
with	IN	with
White	NP	White
House	NP	House
officials	NNS	official
,	,	,
I	PP	I
stood	VBD	stand
together	RB	together
with	IN	with
other	JJ	other
leaders	NNS	leader
from	IN	from
the	DT	the
Arab	JJ	Arab
American	JJ	American
and	CC	and
Muslim	JJ	Muslim
community	NN	community
in	IN	in
unwavering	VBG	unwaver
determination	NN	determination
,	,	,
pressing	VBG	press
for	IN	for
an	DT	an
immediate	JJ	immediate
and	CC	and
irrevocable	JJ	irrevocable
ceasefire	NN	ceasefire
,	,	,
"	''	"
Turfe	NP	<unknown>
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
to	TO	to
ABC	NP	ABC
News	NP	News
.	SENT	.
<p>
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
answers	VBZ	answer
questions	NNS	question
about	IN	about
Israel	NP	Israel
after	IN	after
speaking	VBG	speak
about	IN	about
the	DT	the
Special	JJ	special
Counsel	NP	Counsel
report	NN	report
in	IN	in
the	NP	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
DC	NP	DC
,	,	,
on	IN	on
Feb.	NP	Feb.
8	CD	@card@
,	,	,
2024	CD	@card@
in	IN	in
a	DT	a
surprise	JJ	surprise
last-minute	JJ	last-minute
addition	NN	addition
to	TO	to
his	PP$	his
schedule	NN	schedule
for	IN	for
the	DT	the
day	NN	day
.	SENT	.
<p>
Mandel	NP	Mandel
Ngan/AFP	NP	<unknown>
via	IN	via
Getty	NP	Getty
