<h>
Five-year-old	JJ	five-year-old
Palestinian	JJ	Palestinian
girl	NN	girl
found	VBD	find
dead	RB	dead
after	IN	after
being	VBG	be
trapped	VBN	trap
in	IN	in
car	NN	car
under	IN	under
Israeli	JJ	Israeli
fire	NN	fire
<p>
Abeer	NP	<unknown>
Salman	NP	Salman
and	CC	and
Khader	NP	Khader
Al	NP	Al
Za'anoun	NP	<unknown>
,	,	,
CNN	NP	CNN
<p>
February	NP	February
10	CD	@card@
,	,	,
2024	CD	@card@
at	IN	at
1:31	CD	@card@
PM	NP	PM
<p>
Palestine	NP	Palestine
Red	NP	Red
Crescent	NP	Crescent
Society	NP	Society
<p>
A	DT	a
5-year-old	JJ	5-year-old
Palestinian	JJ	Palestinian
girl	NN	girl
who	WP	who
was	VBD	be
trapped	VBN	trap
in	IN	in
a	DT	a
car	NN	car
with	IN	with
her	PP$	her
dead	JJ	dead
relatives	NNS	relative
after	IN	after
it	PP	it
came	VBD	come
under	IN	under
Israeli	JJ	Israeli
fire	NN	fire
in	IN	in
Gaza	NP	Gaza
last	JJ	last
month	NN	month
has	VBZ	have
been	VBN	be
found	VBN	find
dead	RB	dead
.	SENT	.
<p>
On	IN	on
January	NP	January
29	CD	@card@
,	,	,
Hind	NP	Hind
Rajab	NP	<unknown>
had	VBD	have
been	VBN	be
traveling	VBG	travel
in	IN	in
a	DT	a
car	NN	car
with	IN	with
her	PP$	her
uncle	NN	uncle
,	,	,
his	PP$	his
wife	NN	wife
and	CC	and
their	PP$	their
four	CD	four
children	NNS	child
,	,	,
fleeing	VBG	flee
fighting	VBG	fight
in	IN	in
northern	JJ	northern
Gaza	NP	Gaza
,	,	,
when	WRB	when
they	PP	they
came	VBD	come
under	IN	under
Israeli	JJ	Israeli
fire	NN	fire
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
Palestine	NP	Palestine
Red	NP	Red
Crescent	NP	Crescent
Society	NP	Society
(	(	(
PRCS	NP	<unknown>
)	)	)
.	SENT	.
<p>
"	''	"
The	DT	the
child	NN	child
Hind	NP	Hind
Rajab	NP	<unknown>
and	CC	and
everyone	NN	everyone
in	IN	in
the	DT	the
car	NN	car
were	VBD	be
found	VBN	find
killed	VBN	kill
by	IN	by
the	DT	the
Israeli	JJ	Israeli
