<p>
(	(	(
JTA	NP	JTA
)	)	)
--	:	--
In	IN	in
a	DT	a
dramatic	JJ	dramatic
rebuke	NN	rebuke
of	IN	of
Israel	NP	Israel
'	POS	'
s	NN	S
leadership	NN	leadership
,	,	,
five	CD	five
Western	JJ	Western
countries	NNS	country
announced	VBN	announce
June	NP	June
10	CD	@card@
that	IN	that
they	PP	they
are	VBP	be
sanctioning	VBG	sanction
two	CD	two
senior	JJ	senior
Israeli	JJ	Israeli
cabinet	NN	cabinet
ministers	NNS	minister
,	,	,
accusing	VBG	accuse
them	PP	them
of	IN	of
inciting	VBG	incite
violence	NN	violence
against	IN	against
Palestinians	NPS	Palestinians
and	CC	and
obstructing	VBG	obstruct
peace	NN	peace
efforts	NNS	effort
.	SENT	.
<p>
The	DT	the
move	NN	move
by	IN	by
the	DT	the
United	NP	United
Kingdom	NP	Kingdom
,	,	,
Canada	NP	Canada
,	,	,
Australia	NP	Australia
,	,	,
New	NP	New
Zealand	NP	Zealand
and	CC	and
Norway	NP	Norway
targets	VBZ	target
Itamar	NP	Itamar
Ben-Gvir	NP	<unknown>
,	,	,
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
national	JJ	national
security	NN	security
minister	NN	minister
,	,	,
and	CC	and
Bezalel	NP	<unknown>
Smotrich	NP	Smotrich
,	,	,
the	DT	the
finance	NN	finance
minister	NN	minister
,	,	,
both	CC	both
of	IN	of
whom	WP	whom
are	VBP	be
among	IN	among
the	DT	the
most	RBS	most
far-right	JJ	far-right
figures	NNS	figure
in	IN	in
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
'	POS	'
s	NN	S
coalition	NN	coalition
.	SENT	.
The	DT	the
sanctions	NNS	sanction
include	VBP	include
travel	NN	travel
and	CC	and
financial	JJ	financial
restrictions	NNS	restriction
and	CC	and
mark	VB	mark
an	DT	an
unprecedented	JJ	unprecedented
escalation	NN	escalation
in	IN	in
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
by	IN	by
its	PP$	its
traditional	JJ	traditional
allies	NNS	ally
.	SENT	.
<p>
Ben-Gvir	NP	<unknown>
and	CC	and
Smotrich	NP	Smotrich
have	VBP	have
long	RB	long
drawn	VBN	draw
international	JJ	international
criticism	NN	criticism
for	IN	for
inflammatory	JJ	inflammatory
rhetoric	NN	rhetoric
and	CC	and
hardline	NN	hardline
policies	NNS	policy
toward	IN	toward
Palestinians	NPS	Palestinians
and	CC	and
both	DT	both
have	VBP	have
advocated	VBN	advocate
for	IN	for
the	DT	the
mass	JJ	mass
displacement	NN	displacement
of	IN	of
Palestinians	NPS	Palestinians
from	IN	from
Gaza	NP	Gaza
