<p>
An	DT	an
Israeli	JJ	Israeli
and	CC	and
US-backed	JJ	US-backed
group	NN	group
paused	VBD	pause
food	NN	food
delivery	NN	delivery
at	IN	at
its	PP$	its
three	CD	three
distribution	NN	distribution
sites	NNS	site
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
on	IN	on
Wednesday	NP	Wednesday
after	IN	after
health	NN	health
officials	NNS	official
said	VBD	say
dozens	NNS	dozen
of	IN	of
Palestinians	NPS	Palestinians
were	VBD	be
killed	VBN	kill
in	IN	in
a	DT	a
series	NN	series
of	IN	of
shootings	NNS	shooting
near	IN	near
the	DT	the
sites	NNS	site
this	DT	this
week	NN	week
.	SENT	.
<p>
Israeli	JJ	Israeli
strikes	NNS	strike
across	IN	across
the	DT	the
territory	NN	territory
,	,	,
meanwhile	RB	meanwhile
,	,	,
killed	VBD	kill
26	CD	@card@
people	NNS	people
overnight	RB	overnight
and	CC	and
into	IN	into
Wednesday	NP	Wednesday
,	,	,
officials	NNS	official
said	VBD	say
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
The	DT	the
Gaza	NP	Gaza
Humanitarian	JJ	humanitarian
Foundation	NP	Foundation
(	(	(
GHF	NP	GHF
)	)	)
said	VBD	say
it	PP	it
was	VBD	be
in	IN	in
discussions	NNS	discussion
with	IN	with
the	DT	the
Israeli	JJ	Israeli
military	NN	military
on	IN	on
better	JJR	good
guiding	JJ	guiding
foot	NN	foot
traffic	NN	traffic
near	IN	near
the	DT	the
sites	NNS	site
and	CC	and
enhancing	VBG	enhance
military	JJ	military
training	NN	training
procedures	NNS	procedure
to	TO	to
promote	VB	promote
safety	NN	safety
.	SENT	.
<p>
The	DT	the
move	NN	move
came	VBD	come
a	DT	a
day	NN	day
after	IN	after
Israeli	JJ	Israeli
forces	NNS	force
acknowledged	VBD	acknowledge
opening	VBG	open
fire	NN	fire
as	IN	as
people	NNS	people
headed	VBN	head
toward	IN	toward
a	DT	a
GHF	NP	GHF
distribution	NN	distribution
hub	NN	hub
in	IN	in
the	DT	the
now	RB	now
mostly	RB	mostly
uninhabited	JJ	uninhabited
southern	JJ	southern
city	NN	city
of	IN	of
Rafah	NP	<unknown>
,	,	,
a	DT	a
military	JJ	military
zone	NN	zone
off	IN	off
limits	NNS	limit
to	TO	to
independent	JJ	independent
media	NNS	medium
.	SENT	.
<p>
Gaza	NP	Gaza
health	NN	health
officials	NNS	official
,	,	,
the	DT	the
Red	NP	Red
Cross	NP	Cross
and	CC	and
the	DT	the
UN	NP	UN
rights	NNS	right
office	NN	office
said	VBD	say
27	CD	@card@
people	NNS	people
were	VBD	be
killed	VBN	kill
on	IN	on
Tuesday	NP	Tuesday
and	CC	and
witnesses	NNS	witness
blamed	VBD	blame
Israeli	JJ	Israeli
forces	NNS	force
.	SENT	.
<p>
Israel	NP	Israel
'	POS	'
s	NN	S
military	NN	military
said	VBD	say
it	PP	it
fired	VBD	fire
near	IN	near
people	NNS	people
it	PP	it
described	VBD	describe
as	IN	as
suspects	NNS	suspect
who	WP	who
it	PP	it
said	VBD	say
approached	VBD	approach
its	PP$	its
forces	NNS	force
and	CC	and
ignored	VBN	ignore
warning	NN	warning
shots	NNS	shot
.	SENT	.
It	PP	it
says	VBZ	say
it	PP	it
is	VBZ	be
looking	VBG	look
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
80	CD	@card@
people	NNS	people
have	VBP	have
been	VBN	be
killed	VBN	kill
since	IN	since
the	DT	the
sites	NNS	site
opened	VBD	open
last	JJ	last
week	NN	week
,	,	,
according	VBG	accord
to	TO	to
hospital	NN	hospital
officials	NNS	official
,	,	,
including	VBG	include
dozens	NNS	dozen
in	IN	in
similar	JJ	similar
shootings	NNS	shooting
at	IN	at
roughly	RB	roughly
the	DT	the
same	JJ	same
location	NN	location
on	IN	on
Sunday	NP	Sunday
and	CC	and
Monday	NP	Monday
,	,	,
when	WRB	when
the	DT	the
military	NN	military
also	RB	also
said	VBD	say
it	PP	it
had	VBD	have
fired	VBN	fire
warning	NN	warning
shots	NNS	shot
.	SENT	.
<p>
GHF	NP	GHF
says	VBZ	say
there	EX	there
has	VBZ	have
been	VBN	be
no	DT	no
violence	NN	violence
in	IN	in
the	DT	the
aid	NN	aid
sites	VBZ	site
themselves	PP	themselves
but	RB	but
has	VBZ	have
acknowledged	VBN	acknowledge
the	DT	the
potential	JJ	potential
dangers	NNS	danger
people	NNS	people
face	VBP	face
when	WRB	when
travelling	VBG	travel
to	TO	to
them	PP	them
on	IN	on
foot	NN	foot
.	SENT	.
<p>
Thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
walk	VBP	walk
to	TO	to
the	DT	the
sites	NNS	site
early	RB	early
each	DT	each
morning	NN	morning
,	,	,
desperate	JJ	desperate
for	IN	for
food	NN	food
and	CC	and
hoping	VBG	hope
to	TO	to
beat	VB	beat
the	DT	the
crowds	NNS	crowd
,	,	,
and	CC	and
pass	VB	pass
near	IN	near
Israeli	JJ	Israeli
forces	NNS	force
in	IN	in
the	DT	the
predawn	NN	predawn
darkness	NN	darkness
.	SENT	.
<p>
GHF	NP	GHF
said	VBD	say
it	PP	it
asked	VBD	ask
the	DT	the
Israeli	JJ	Israeli
military	NN	military
,	,	,
which	WDT	which
is	VBZ	be
sometimes	RB	sometimes
referred	VBN	refer
to	TO	to
as	IN	as
the	DT	the
IDF	NP	IDF
(	(	(
Israeli	JJ	Israeli
Defence	NN	defence
Forces	NNS	force
)	)	)
,	,	,
to	TO	to
"	``	"
introduce	VB	introduce
measures	NNS	measure
that	IN	that
guide	NN	guide
foot	NN	foot
traffic	NN	traffic
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
minimises	VBZ	minimise
confusion	NN	confusion
or	CC	or
escalation	NN	escalation
risks	NNS	risk
near	IN	near
IDF	NP	IDF
military	JJ	military
perimeters	NNS	perimeter
;	:	;
develop	VB	develop
clearer	JJR	clear
IDF-issued	JJ	IDF-issued
guidance	NN	guidance
to	TO	to
help	VB	help
the	DT	the
population	NN	population
transit	NN	transit
safely	RB	safely
;	:	;
enhance	VB	enhance
IDF	NP	IDF
force	NN	force
training	NN	training
and	CC	and
refine	VB	refine
internal	JJ	internal
IDF	NP	IDF
procedures	NNS	procedure
to	TO	to
support	VB	support
safety	NN	safety
.	SENT	.
"	''	"
<p>
Advertisement	NN	advertisement
<p>
In	IN	in
a	DT	a
separate	JJ	separate
development	NN	development
,	,	,
Israeli	JJ	Israeli
strikes	NNS	strike
across	IN	across
Gaza	NP	Gaza
killed	VBD	kill
at	IN	at
least	JJS	least
26	CD	@card@
people	NNS	people
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
hit	VBN	hit
a	DT	a
tent	NN	tent
in	IN	in
Gaza	NP	Gaza
City	NP	City
,	,	,
killing	VBG	kill
seven	CD	seven
people	NNS	people
