<p>
JERUSALEM	NP	Jerusalem
(	(	(
AP	NP	AP
)	)	)
--	:	--
Israeli	JJ	Israeli
soldiers	NNS	soldier
on	IN	on
Monday	NP	Monday
barred	VBD	bar
journalists	NNS	journalist
from	IN	from
entering	VBG	enter
villages	NNS	village
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
on	IN	on
a	DT	a
planned	JJ	planned
tour	NN	tour
organized	VBN	organize
by	IN	by
the	DT	the
directors	NNS	director
of	IN	of
the	DT	the
Oscar-winning	JJ	Oscar-winning
movie	NN	movie
"	''	"
No	DT	no
Other	JJ	other
Land	NN	land
.	SENT	.
"	``	"
<p>
The	DT	the
directors	NNS	director
of	IN	of
the	DT	the
film	NN	film
,	,	,
which	WDT	which
focuses	VBZ	focus
on	IN	on
Israeli	JJ	Israeli
settler	NN	settler
attacks	NNS	attack
on	IN	on
Palestinians	NPS	Palestinians
in	IN	in
the	DT	the
Israeli-occupied	JJ	Israeli-occupied
territory	NN	territory
,	,	,
said	VBD	say
they	PP	they
had	VBD	have
invited	VBN	invite
the	DT	the
journalists	NNS	journalist
on	IN	on
the	DT	the
tour	NN	tour
Monday	NP	Monday
to	TO	to
interview	VB	interview
residents	NNS	resident
about	IN	about
increasing	VBG	increase
settler	NN	settler
violence	NN	violence
in	IN	in
the	DT	the
area	NN	area
.	SENT	.
<p>
In	IN	in
video	NN	video
posted	VBN	post
on	IN	on
X	NP	X
by	IN	by
the	DT	the
film	NN	film
'	POS	'
s	NN	S
co-director	NN	co-director
,	,	,
Yuval	NP	Yuval
Abraham	NP	Abraham
,	,	,
an	DT	an
Israeli	JJ	Israeli
soldier	NN	soldier
tells	VBZ	tell
a	DT	a
group	NN	group
of	IN	of
international	JJ	international
journalists	NNS	journalist
there	EX	there
is	VBZ	be
"	``	"
no	DT	no
passage	NN	passage
"	''	"
in	IN	in
the	DT	the
area	NN	area
because	IN	because
of	IN	of
a	DT	a
military	JJ	military
order	NN	order
.	SENT	.
Basel	NP	Basel
Adra	NP	Adra
,	,	,
a	DT	a
Palestinian	JJ	Palestinian
co-director	NN	co-director
of	IN	of
the	DT	the
film	NN	film
who	WP	who
lives	VBZ	live
in	IN	in
the	DT	the
area	NN	area
,	,	,
said	VBD	say
the	DT	the
military	NN	military
then	RB	then
blocked	VBD	block
the	DT	the
journalists	NNS	journalist
from	IN	from
entering	VBG	enter
two	CD	two
Palestinian	JJ	Palestinian
villages	NNS	village
they	PP	they
had	VBD	have
hoped	VBN	hope
to	TO	to
visit	VB	visit
.	SENT	.
<p>
Israel	NP	Israel
'	POS	'
s	NN	S
military	NN	military
did	VBD	do
not	RB	not
immediately	RB	immediately
respond	VB	respond
to	TO	to
a	DT	a
request	NN	request
for	IN	for
comment	NN	comment
.	SENT	.
<p>
'	''	'
They	PP	they
do	VBP	do
n't	RB	n't
want	VB	want
the	DT	the
world	NN	world
to	TO	to
see	VB	see
what	WP	what
is	VBZ	be
happening	VBG	happen
here	RB	here
'	''	'
<p>
"	``	"
They	PP	they
do	VBP	do
n't	RB	n't
want	VB	want
journalists	NNS	journalist
to	TO	to
visit	VB	visit
the	DT	the
villages	NNS	village
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
had	VBD	have
invited	VBN	invite
the	DT	the
journalists	NNS	journalist
to	TO	to
his	PP$	his
home	NN	home
.	SENT	.
"	``	"
It	PP	it
'	POS	'
s	NNS	<unknown>
clear	VBP	clear
they	PP	they
do	VBP	do
n't	RB	n't
want	VB	want
the	DT	the
world	NN	world
to	TO	to
see	VB	see
what	WP	what
is	VBZ	be
happening	VBG	happen
here	RB	here
.	SENT	.
"	''	"
<p>
Some	DT	some
of	IN	of
the	DT	the
surrounding	JJ	surrounding
area	NN	area
,	,	,
including	VBG	include
a	DT	a
collection	NN	collection
of	IN	of
small	JJ	small
Bedouin	NN	Bedouin
villages	NNS	village
known	VBN	know
as	IN	as
Masafer	NP	Masafer
Yatta	NP	<unknown>
,	,	,
was	VBD	be
declared	VBN	declare
by	IN	by
the	DT	the
military	NN	military
to	TO	to
be	VB	be
a	DT	a
live-fire	NN	<unknown>
training	NN	training
zone	NN	zone
in	IN	in
the	DT	the
1980s	NNS	1980s
.	SENT	.
Some	DT	some
1,000	CD	@card@
Palestinians	NPS	Palestinians
have	VBP	have
remained	VBN	remain
there	RB	there
despite	IN	despite
being	VBG	be
ordered	VBN	order
out	RP	out
,	,	,
and	CC	and
journalists	NNS	journalist
,	,	,
human	JJ	human
rights	NNS	right
activists	NNS	activist
and	CC	and
diplomats	NNS	diplomat
have	VBP	have
visited	VBN	visit
the	DT	the
villages	NNS	village
in	IN	in
the	DT	the
past	NN	past
.	SENT	.
<p>
Palestinian	JJ	Palestinian
residents	NNS	resident
in	IN	in
the	DT	the
area	NN	area
have	VBP	have
reported	VBN	report
increasing	VBG	increase
settler	NN	settler
violence	NN	violence
since	IN	since
Oct.	NP	Oct.
7	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
when	WRB	when
Hamas	NP	<unknown>
attacked	VBD	attack
Israel	NP	Israel
and	CC	and
kickstarted	VBD	kickstart
the	DT	the
war	NN	war
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
Israeli	JJ	Israeli
soldiers	NNS	soldier
regularly	RB	regularly
move	VBP	move
in	IN	in
to	TO	to
demolish	VB	demolish
homes	NNS	home
,	,	,
tents	NNS	tent
,	,	,
water	NN	water
tanks	NNS	tank
and	CC	and
olive	JJ	olive
orchards	NNS	orchard
--	:	--
and	CC	and
Palestinians	NPS	Palestinians
fear	VBP	fear
outright	JJ	outright
expulsion	NN	expulsion
could	MD	could
come	VB	come
at	IN	at
any	DT	any
time	NN	time
.	SENT	.
<p>
Adra	NP	Adra
said	VBD	say
the	DT	the
journalists	NNS	journalist
were	VBD	be
eventually	RB	eventually
able	JJ	able
to	TO	to
enter	VB	enter
one	CD	one
of	IN	of
the	DT	the
villages	NNS	village
in	IN	in
Masafer	NP	Masafer
Yatta	NP	<unknown>
,	,	,
but	CC	but
were	VBD	be
barred	VBN	bar
from	IN	from
entering	VBG	enter
Tuwani	NP	<unknown>
,	,	,
the	DT	the
village	NN	village
where	WRB	where
he	PP	he
lives	VBZ	live
,	,	,
and	CC	and
Khallet	NP	Khallet
A-Daba	NP	<unknown>
,	,	,
where	WRB	where
he	PP	he
had	VBD	have
hoped	VBN	hope
to	TO	to
take	VB	take
them	PP	them
.	SENT	.
<p>
Adra	NP	Adra
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
some	DT	some
of	IN	of
the	DT	the
caves	NNS	cave
where	WRB	where
village	NN	village
residents	NNS	resident
live	VBP	live
,	,	,
destroying	VBG	destroy
residents	NNS	resident
'	POS	'
belongings	NNS	belonging
and	CC	and
grazing	NN	grazing
hundreds	NNS	hundred
of	IN	of
sheep	NN	sheep
on	IN	on
village	NN	village
lands	NNS	land
.	SENT	.
The	DT	the
military	NN	military
demolished	VBD	demolish
much	RB	much
of	IN	of
the	DT	the
village	NN	village
last	JJ	last
month	NN	month
.	SENT	.
<p>
Israel	NP	Israel
captured	VBD	capture
the	DT	the
West	NP	West
Bank	NP	Bank
in	IN	in
the	DT	the
1967	CD	@card@
Mideast	JJ	Mideast
war	NN	war
,	,	,
along	RB	along
with	IN	with
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
east	JJ	east
Jerusalem	NP	Jerusalem
.	SENT	.
The	DT	the
Palestinians	NPS	Palestinians
want	VBP	want
all	DT	all
three	CD	three
for	IN	for
their	PP$	their
future	JJ	future
state	NN	state
and	CC	and
view	NN	view
settlement	NN	settlement
growth	NN	growth
as	IN	as
a	DT	a
major	JJ	major
obstacle	NN	obstacle
to	TO	to
a	DT	a
two-state	NN	two-state
solution	NN	solution
.	SENT	.
<p>
Israel	NP	Israel
has	VBZ	have
built	VBN	build
well	RB	well
over	IN	over
100	CD	@card@
settlements	NNS	settlement
