<h>
Lengthy	JJ	lengthy
visa	NN	visa
delays	NNS	delay
preventing	VBG	prevent
dozens	NNS	dozen
of	IN	of
Palestinian	JJ	Palestinian
students	NNS	student
from	IN	from
studying	VBG	study
in	IN	in
Canada	NP	Canada
,	,	,
group	NN	group
says	VBZ	say
<p>
A	DT	a
group	NN	group
of	IN	of
Canadian	JJ	Canadian
professors	NNS	professor
say	VBP	say
there	EX	there
are	VBP	be
roughly	RB	roughly
70	CD	@card@
Palestinian	JJ	Palestinian
students	NNS	student
still	RB	still
waiting	VBG	wait
on	IN	on
their	PP$	their
visas	NNS	visa
from	IN	from
the	DT	the
government	NN	government
.	SENT	.
Heather	NP	Heather
Wright	NP	Wright
reports	VBZ	report
.	SENT	.
<p>
A	DT	a
group	NN	group
of	IN	of
Canadian	JJ	Canadian
professors	NNS	professor
is	VBZ	be
calling	VBG	call
on	IN	on
the	DT	the
federal	JJ	federal
government	NN	government
to	TO	to
speed	VB	speed
up	RP	up
the	DT	the
visa	NN	visa
process	NN	process
for	IN	for
dozens	NNS	dozen
of	IN	of
Palestinian	JJ	Palestinian
students	NNS	student
hoping	VBG	hope
to	TO	to
study	VB	study
in	IN	in
Canada	NP	Canada
.	SENT	.
<p>
They	PP	they
say	VBP	say
there	EX	there
are	VBP	be
more	JJR	more
than	IN	than
70	CD	@card@
students	NNS	student
in	IN	in
Gaza	NP	Gaza
and	CC	and
Egypt	NP	Egypt
who	WP	who
have	VBP	have
submitted	VBN	submit
visa	NN	visa
applications	NNS	application
to	TO	to
come	VB	come
to	TO	to
Canadian	JJ	Canadian
schools	NNS	school
but	CC	but
have	VBP	have
n't	RB	n't
heard	VBN	hear
back	RB	back
.	SENT	.
Some	DT	some
have	VBP	have
been	VBN	be
waiting	VBG	wait
for	IN	for
nearly	RB	nearly
18	CD	@card@
months	NNS	month
.	SENT	.
<p>
"	``	"
It	PP	it
'	POS	'
s	NN	S
only	RB	only
70	CD	@card@
students	NNS	student
and	CC	and
a	DT	a
third	JJ	third
of	IN	of
them	PP	them
are	VBP	be
already	RB	already
in	IN	in
Egypt	NP	Egypt
,	,	,
"	''	"
says	VBZ	say
Aaron	NP	Aaron
Shafer	NP	Shafer
,	,	,
a	DT	a
professor	NN	professor
at	IN	at
Trent	NP	Trent
University	NP	University
in	IN	in
Peterborough	NP	Peterborough
,	,	,
Ont	NP	<unknown>
.	SENT	.
"	``	"
They	PP	they
could	MD	could
be	VB	be
on	IN	on
a	DT	a
plane	NN	plane
tomorrow	NN	tomorrow
and	CC	and
in	IN	in
a	DT	a
lab	NN	lab
if	IN	if
the	DT	the
Canadian	JJ	Canadian
government	NN	government
could	MD	could
process	VB	process
their	PP$	their
visas	NNS	visa
.	SENT	.
Germany	NP	Germany
has	VBZ	have
been	VBN	be
able	JJ	able
to	TO	to
do	VB	do
it	PP	it
,	,	,
France	NP	France
has	VBZ	have
been	VBN	be
able	JJ	able
to	TO	to
do	VB	do
it	PP	it
.	SENT	.
They	PP	they
'	POS	'
ve	NNS	<unknown>
expedited	VBN	expedite
visas	VBZ	visa
and	CC	and
there	EX	there
is	VBZ	be
no	DT	no
reason	NN	reason
why	WRB	why
we	PP	we
ca	MD	ca
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
students	NNS	student
stuck	VBN	stick
in	IN	in
limbo	NN	limbo
is	VBZ	be
Tawfiq	NP	<unknown>
Abed	NP	Abed
,	,	,
a	DT	a
19-year-old	JJ	19-year-old
from	IN	from
Gaza	NP	Gaza
City	NP	City
who	WP	who
has	VBZ	have
been	VBN	be
offered	VBN	offer
a	DT	a
full	JJ	full
engineering	NN	engineering
scholarship	NN	scholarship
to	TO	to
the	DT	the
University	NP	University
of	IN	of
Alberta	NP	Alberta
.	SENT	.
<p>
"	``	"
I	PP	I
am	VBP	be
so	RB	so
worried	VBN	worry
to	TO	to
lose	VB	lose
such	PDT	such
an	DT	an
opportunity	NN	opportunity
,	,	,
particularly	RB	particularly
in	IN	in
Canada	NP	Canada
,	,	,
"	''	"
says	VBZ	say
Abed	NP	Abed
.	SENT	.
Not	RB	not
only	RB	only
is	VBZ	be
he	PP	he
desperate	JJ	desperate
to	TO	to
leave	VB	leave
Gaza	NP	Gaza
,	,	,
where	WRB	where
he	PP	he
says	VBZ	say
his	PP$	his
family	NN	family
is	VBZ	be
surviving	VBG	survive
on	IN	on
rice	NN	rice
and	CC	and
lentils	NNS	lentil
,	,	,
he	PP	he
worries	VBZ	worry
if	IN	if
he	PP	he
ca	MD	ca
n't	RB	n't
get	VB	get
a	DT	a
visa	NN	visa
in	IN	in
time	NN	time
,	,	,
he	PP	he
will	MD	will
lose	VB	lose
his	PP$	his
scholarship	NN	scholarship
and	CC	and
offer	NN	offer
of	IN	of
admission	NN	admission
.	SENT	.
<p>
"	``	"
That	RB	that
'	''	'
s	VBG	<unknown>
my	PP$	my
dream	NN	dream
,	,	,
"	''	"
he	PP	he
says	VBZ	say
,	,	,
of	IN	of
becoming	VBG	become
an	DT	an
engineer	NN	engineer
.	SENT	.
"	``	"
That	RB	that
'	''	'
s	NNS	<unknown>
what	WP	what
I	PP	I
am	VBP	be
looking	VBG	look
forward	RB	forward
to	TO	to
.	SENT	.
"	''	"
<p>
Getting	VBG	get
biometrics	NNS	biometrics
--	:	--
photos	NNS	photo
and	CC	and
fingerprints	NNS	fingerprint
--	:	--
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
challenge	NN	challenge
for	IN	for
students	NNS	student
in	IN	in
Gaza	NP	Gaza
as	IN	as
there	EX	there
is	VBZ	be
no	DT	no
office	NN	office
that	WDT	that
provides	VBZ	provide
that	DT	that
type	NN	type
of	IN	of
service	NN	service
.	SENT	.
But	CC	but
Shafer	NP	Shafer
says	VBZ	say
some	DT	some
students	NNS	student
submitted	VBD	submit
complete	JJ	complete
visa	NN	visa
applications	NNS	application
nearly	RB	nearly
two	CD	two
years	NNS	year
ago	RB	ago
and	CC	and
have	VBP	have
yet	RB	yet
to	TO	to
hear	VB	hear
anything	NN	anything
from	IN	from
the	DT	the
Ministry	NP	Ministry
of	IN	of
Immigration	NN	immigration
,	,	,
Refugees	NNS	refugee
and	CC	and
Citizenship	NN	citizenship
.	SENT	.
<p>
"	``	"
I	PP	I
am	VBP	be
aware	JJ	aware
of	IN	of
some	DT	some
students	NNS	student
who	WP	who
have	VBP	have
had	VBN	have
their	PP$	their
biometrics	NNS	biometrics
since	RB	since
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
,	,	,
"	''	"
Shafer	NP	Shafer
says	VBZ	say
.	SENT	.
"	``	"
