<h>
What	WP	what
to	TO	to
know	VB	know
,	,	,
at	IN	at
a	DT	a
glance	NN	glance
<p>
Mohamed	NP	Mohamed
Sabry	NP	Sabry
Soliman	NP	Soliman
,	,	,
45	CD	@card@
,	,	,
was	VBD	be
arrested	VBN	arrest
after	IN	after
a	DT	a
fire-bomb	NN	fire-bomb
attack	NN	attack
on	IN	on
a	DT	a
march	NN	march
in	IN	in
Boulder	NP	Boulder
,	,	,
Colorado	NP	Colorado
,	,	,
that	WDT	that
was	VBD	be
being	VBG	be
held	VBN	hold
in	IN	in
honour	NN	honour
of	IN	of
hostages	NNS	hostage
in	IN	in
Gaza	NP	Gaza
<p>
He	PP	he
is	VBZ	be
said	VBN	say
to	TO	to
be	VB	be
an	DT	an
Egyptian	JJ	Egyptian
in	IN	in
the	DT	the
US	NP	US
illegally	RB	illegally
after	IN	after
outstaying	VBG	outstay
his	PP$	his
visa	NN	visa
<p>
The	DT	the
attack	NN	attack
on	IN	on
the	DT	the
march	NN	march
,	,	,
in	IN	in
which	WDT	which
eight	CD	eight
people	NNS	people
were	VBD	be
injured	VBN	injure
but	CC	but
no	DT	no
deaths	NNS	death
were	VBD	be
reported	VBN	report
,	,	,
is	VBZ	be
being	VBG	be
treated	VBN	treat
as	IN	as
"	``	"
ideologically	RB	ideologically
motivated	VBN	motivate
"	``	"
<p>
An	DT	an
Egyptian	JJ	Egyptian
who	WP	who
was	VBD	be
living	VBG	live
in	IN	in
the	DT	the
US	NP	US
illegally	RB	illegally
after	IN	after
overstaying	VBG	overstay
his	PP$	his
visa	NN	visa
has	VBZ	have
been	VBN	be
arrested	VBN	arrest
over	IN	over
a	DT	a
fire-bomb	NN	fire-bomb
attack	NN	attack
on	IN	on
a	DT	a
crowd	NN	crowd
gathered	VBN	gather
in	IN	in
Boulder	NP	Boulder
,	,	,
Colorado	NP	Colorado
,	,	,
to	TO	to
remember	VB	remember
Israeli	JJ	Israeli
hostages	NNS	hostage
held	VBN	hold
by	IN	by
Hamas	NP	<unknown>
.	SENT	.
<p>
Mohamed	NP	Mohamed
Sabry	NP	Sabry
Soliman	NP	Soliman
,	,	,
45	CD	@card@
,	,	,
of	IN	of
Colorado	NP	Colorado
Springs	NP	Springs
,	,	,
was	VBD	be
allegedly	RB	allegedly
heard	VBN	hear
shouting	VBG	shout
"	``	"
Free	NP	Free
Palestine	NP	Palestine
"	''	"
before	IN	before
throwing	VBG	throw
"	``	"
incendiary	JJ	incendiary
devices	NNS	device
"	''	"
into	IN	into
the	DT	the
group	NN	group
of	IN	of
mostly	RB	mostly
elderly	JJ	elderly
marchers	NNS	marcher
on	IN	on
Sunday	NP	Sunday
afternoon	NN	afternoon
,	,	,
the	DT	the
FBI	NP	FBI
said	VBD	say
.	SENT	.
<p>
Soliman	NP	Soliman
appeared	VBD	appear
in	IN	in
a	DT	a
Boulder	NP	Boulder
County	NP	County
courtroom	NN	courtroom
on	IN	on
Monday	NP	Monday
with	IN	with
a	DT	a
bandage	NN	bandage
on	IN	on
his	PP$	his
head	NN	head
after	IN	after
suffering	VBG	suffer
burns	NNS	burn
in	IN	in
the	DT	the
attack	NN	attack
.	SENT	.
Judge	NP	Judge
Nancy	NP	Nancy
Salomone	NP	Salomone
ordered	VBD	order
him	PP	him
held	VBN	hold
on	RB	on
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
is	VBZ	be
scheduled	VBN	schedule
to	TO	to
return	VB	return
to	TO	to
court	NN	court
on	IN	on
Thursday	NP	Thursday
,	,	,
when	WRB	when
he	PP	he
is	VBZ	be
expected	VBN	expect
to	TO	to
be	VB	be
formally	RB	formally
charged	VBN	charge
with	IN	with
16	CD	@card@
counts	NNS	count
of	IN	of
attempted	JJ	attempted
murder	NN	murder
,	,	,
use	NN	use
of	IN	of
an	DT	an
incendiary	JJ	incendiary
device	NN	device
and	CC	and
attempted	JJ	attempted
use	NN	use
of	IN	of
an	DT	an
incendiary	JJ	incendiary
device	NN	device
.	SENT	.
The	DT	the
justice	NN	justice
department	NN	department
charged	VBD	charge
him	PP	him
separately	RB	separately
with	IN	with
a	DT	a
federal	JJ	federal
hate	NN	hate
crime	NN	crime
.	SENT	.
<p>
Run	VBN	run
for	IN	for
Their	PP$	their
Lives	NNS	life
,	,	,
a	DT	a
group	NN	group
of	IN	of
demonstrators	NNS	demonstrator
raising	VBG	raise
awareness	NN	awareness
for	IN	for
the	DT	the
Israeli	JJ	Israeli
hostages	NNS	hostage
that	WDT	that
remain	VBP	remain
in	IN	in
Gaza	NP	Gaza
,	,	,
were	VBD	be
marching	VBG	march
on	IN	on
Pearl	NP	Pearl
Street	NP	Street
in	IN	in
Boulder	NP	Boulder
,	,	,
as	IN	as
they	PP	they
did	VBD	do
every	DT	every
Sunday	NP	Sunday
,	,	,
organisers	NNS	organiser
said	VBD	say
.	SENT	.
Soliman	NP	Soliman
was	VBD	be
allegedly	RB	allegedly
waiting	VBG	wait
for	IN	for
the	DT	the
group	NN	group
at	IN	at
one	CD	one
of	IN	of
their	PP$	their
scheduled	JJ	scheduled
stops	NNS	stop
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
A	DT	a
mugshot	NN	<unknown>
released	VBN	release
by	IN	by
police	NNS	police
,	,	,
who	WP	who
also	RB	also
disclosed	VBD	disclose
his	PP$	his
date	NN	date
of	IN	of
birth	NN	birth
as	IN	as
December	NP	December
15	CD	@card@
,	,	,
1979	CD	@card@
<p>
BOULDER	NN	boulder
POLICE	NN	police
<p>
One	CD	one
witness	NN	witness
told	VBD	tell
investigators	NNS	investigator
the	DT	the
suspect	NN	suspect
also	RB	also
shouted	VBD	shout
"	``	"
End	NN	end
Zionist	NN	Zionist
!	SENT	!
"	''	"
during	IN	during
the	DT	the
attack	NN	attack
,	,	,
which	WDT	which
happened	VBD	happen
on	IN	on
the	DT	the
eve	NN	eve
of	IN	of
the	DT	the
Jewish	JJ	Jewish
holiday	NN	holiday
of	IN	of
Shavuot	NP	<unknown>
.	SENT	.
<p>
Witnesses	NNS	witness
filmed	VBD	film
a	DT	a
shirtless	JJ	shirtless
man	NN	man
pacing	VBG	pace
in	IN	in
front	NN	front
of	IN	of
the	DT	the
Boulder	NP	Boulder
county	NN	county
court	NN	court
,	,	,
waving	VBG	wave
two	CD	two
glass	NN	glass
bottles	NNS	bottle
that	WDT	that
resembled	VBD	resemble
petrol	NN	petrol
bombs	NNS	bomb
as	IN	as
victims	NNS	victim
were	VBD	be
treated	VBN	treat
on	IN	on
the	DT	the
ground	NN	ground
.	SENT	.
<p>
"	``	"
You	PP	you
are	VBP	be
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
in	IN	in
apparent	JJ	apparent
reference	NN	reference
to	TO	to
the	DT	the
