<p>
Britain	NP	Britain
'	POS	'
s	JJ	<unknown>
decision	NN	decision
to	TO	to
allow	VB	allow
the	DT	the
export	NN	export
of	IN	of
F-35	NP	<unknown>
fighter	NN	fighter
jet	NN	jet
components	NNS	component
to	TO	to
Israel	NP	Israel
,	,	,
despite	IN	despite
accepting	VBG	accept
they	PP	they
could	MD	could
be	VB	be
used	VBN	use
in	IN	in
breach	NN	breach
of	IN	of
international	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
in	IN	in
Gaza	NP	Gaza
,	,	,
was	VBD	be
lawful	JJ	lawful
,	,	,
London	NP	London
'	POS	'
s	JJ	<unknown>
high	JJ	high
court	NN	court
has	VBZ	have
ruled	VBN	rule
.	SENT	.
<p>
The	DT	the
ruling	NN	ruling
after	IN	after
more	JJR	more
than	IN	than
20	CD	@card@
months	NNS	month
of	IN	of
litigation	NN	litigation
will	MD	will
be	VB	be
a	DT	a
relief	NN	relief
to	TO	to
ministers	NNS	minister
who	WP	who
feared	VBD	fear
that	IN	that
if	IN	if
the	DT	the
court	NN	court
declared	VBD	declare
the	DT	the
UK	NP	UK
sale	NN	sale
of	IN	of
F-35	NP	<unknown>
parts	NNS	part
illegal	JJ	illegal
,	,	,
British	JJ	British
involvement	NN	involvement
in	IN	in
the	DT	the
highly	RB	highly
lucrative	JJ	lucrative
Lockheed	NP	Lockheed
Martin	NP	Martin
F-35	NP	<unknown>
consortium	NN	consortium
would	MD	would
be	VB	be
put	VBN	put
at	IN	at
risk	NN	risk
.	SENT	.
<p>
In	IN	in
a	DT	a
72-page	JJ	<unknown>
comprehensive	JJ	comprehensive
ruling	NN	ruling
Lord	NP	Lord
Justice	NP	Justice
Males	NPS	Males
and	CC	and
Mrs	NN	Mrs
Justice	NP	Justice
Steyn	NP	Steyn
said	VBD	say
they	PP	they
had	VBD	have
rejected	VBN	reject
all	PDT	all
the	DT	the
grounds	NNS	ground
of	IN	of
challenge	NN	challenge
to	TO	to
a	DT	a
Labour	NP	Labour
government	NN	government
decision	NN	decision
in	IN	in
September	NP	September
to	TO	to
suspend	VB	suspend
30	CD	@card@
arms	NNS	arm
export	VBP	export
licences	NNS	licence
to	TO	to
Israel	NP	Israel
but	CC	but
to	TO	to
continue	VB	continue
to	TO	to
sell	VB	sell
F-35	NP	<unknown>
parts	NNS	part
to	TO	to
Israel	NP	Israel
via	IN	via
a	DT	a
global	JJ	global
supply	NN	supply
pool	NN	pool
.	SENT	.
<p>
The	DT	the
government	NN	government
argued	VBD	argue
that	DT	that
disruption	NN	disruption
to	TO	to
the	DT	the
F-35	NP	<unknown>
supply	NN	supply
chain	NN	chain
would	MD	would
weaken	VB	weaken
the	DT	the
west	NN	west
and	CC	and
Nato	NP	<unknown>
at	IN	at
an	DT	an
acutely	RB	acutely
sensitive	JJ	sensitive
moment	NN	moment
.	SENT	.
The	DT	the
UK	NP	UK
provides	VBZ	provide
about	RB	about
16	CD	@card@
%	NN	%
of	IN	of
the	DT	the
parts	NNS	part
for	IN	for
the	DT	the
F-35s	NP	<unknown>
,	,	,
and	CC	and
the	DT	the
court	NN	court
was	VBD	be
told	VBN	tell
in	IN	in
closed	JJ	closed
session	NN	session
that	IN	that
the	DT	the
Lockheed	NP	Lockheed
Martin	NP	Martin
global	JJ	global
pool	NN	pool
was	VBD	be
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
were	VBD	be
withheld	VBN	withhold
from	IN	from
Israel	NP	Israel
F-35s	NP	<unknown>
.	SENT	.
<p>
The	DT	the
judges	NNS	judge
ruled	VBD	rule
that	IN	that
the	DT	the
"	``	"
acutely	RB	acutely
sensitive	JJ	sensitive
and	CC	and
political	JJ	political
issue	NN	issue
"	''	"
was	VBD	be
"	``	"
a	DT	a
matter	NN	matter
for	IN	for
the	DT	the
executive	NN	executive
which	WDT	which
is	VBZ	be
democratically	RB	democratically
accountable	JJ	accountable
to	TO	to
parliament	NN	parliament
and	CC	and
ultimately	RB	ultimately
to	TO	to
the	DT	the
electorate	NN	electorate
,	,	,
not	RB	not
for	IN	for
the	DT	the
courts	NNS	court
"	''	"
.	SENT	.
<p>
The	DT	the
case	NN	case
had	VBD	have
been	VBN	be
brought	VBN	bring
by	IN	by
the	DT	the
Palestinian	JJ	Palestinian
human	JJ	human
rights	NNS	right
group	NN	group
Al-Haq	NP	<unknown>
and	CC	and
Global	NP	Global
Legal	NP	Legal
Action	NP	Action
Network	NP	Network
(	(	(
Glan	NP	<unknown>
)	)	)
,	,	,
supported	VBN	support
by	IN	by
Human	NP	Human
Rights	NPS	Rights
Watch	NN	watch
,	,	,
Oxfam	NP	<unknown>
and	CC	and
Amnesty	VB	amnesty
International	NP	International
.	SENT	.
<p>
The	DT	the
judges	NNS	judge
said	VBD	say
:	:	:
"	``	"
The	DT	the
issue	NN	issue
is	VBZ	be
whether	IN	whether
it	PP	it
is	VBZ	be
open	JJ	open
to	TO	to
the	DT	the
court	NN	court
to	TO	to
rule	VB	rule
that	IN	that
the	DT	the
UK	NP	UK
must	MD	must
withdraw	VB	withdraw
from	IN	from
a	DT	a
specific	JJ	specific
multilateral	JJ	multilateral
defence	NN	defence
collaboration	NN	collaboration
which	WDT	which
is	VBZ	be
reasonably	RB	reasonably
regarded	VBN	regard
by	IN	by
the	DT	the
responsible	JJ	responsible
ministers	NNS	minister
as	IN	as
vital	JJ	vital
to	TO	to
the	DT	the
defence	NN	defence
of	IN	of
the	DT	the
UK	NP	UK
and	CC	and
to	TO	to
international	JJ	international
peace	NN	peace
and	CC	and
security	NN	security
,	,	,
because	IN	because
of	IN	of
the	DT	the
prospect	NN	prospect
that	IN	that
