<h>
Launched	VBN	launch
in	IN	in
2010	CD	@card@
,	,	,
the	DT	the
Freedom	NP	Freedom
Flotilla	NN	flotilla
Coalition	NP	Coalition
is	VBZ	be
a	DT	a
coalition	NN	coalition
of	IN	of
groups	NNS	group
opposed	VBN	oppose
to	TO	to
the	DT	the
blockade	NN	blockade
on	IN	on
humanitarian	JJ	humanitarian
aid	NN	aid
for	IN	for
Gaza	NP	Gaza
that	IN	that
Israel	NP	Israel
imposed	VBD	impose
on	IN	on
March	NP	March
2	CD	@card@
and	CC	and
has	VBZ	have
only	RB	only
partially	RB	partially
eased	VBD	ease
since	IN	since
.	SENT	.
<p>
The	DT	the
Madleen	NP	<unknown>
,	,	,
part	NN	part
of	IN	of
the	DT	the
Freedom	NP	Freedom
Flotilla	NN	flotilla
Coalition	NP	Coalition
,	,	,
left	VBD	leave
Sicily	NP	Sicily
last	JJ	last
week	NN	week
with	IN	with
a	DT	a
cargo	NN	cargo
of	IN	of
relief	NN	relief
supplies	NNS	supply
"	''	"
to	TO	to
break	VB	break
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
blockade	NN	blockade
on	IN	on
Gaza	NP	Gaza
"	''	"
.	SENT	.
Photo	NP	Photo
Credit	NP	Credit
:	:	:
Getty	NP	Getty
Images	VBZ	image
<p>
An	DT	an
aid	NN	aid
ship	NN	ship
with	IN	with
12	CD	@card@
activists	NNS	activist
on	IN	on
board	NN	board
,	,	,
including	VBG	include
Swedish	JJ	Swedish
climate	NN	climate
campaigner	NN	campaigner
Greta	NP	Greta
Thunberg	NP	Thunberg
,	,	,
has	VBZ	have
reached	VBN	reach
the	DT	the
Egyptian	JJ	Egyptian
coast	NN	coast
and	CC	and
is	VBZ	be
nearing	VBG	near
the	DT	the
besieged	JJ	besieged
Palestinian	JJ	Palestinian
territory	NN	territory
,	,	,
organisers	NNS	organiser
said	VBD	say
on	IN	on
Saturday	NP	Saturday
(	(	(
June	NP	June
7	CD	@card@
,	,	,
2025	CD	@card@
)	)	)
.	SENT	.
<p>
The	DT	the
Madleen	NP	<unknown>
,	,	,
part	NN	part
of	IN	of
the	DT	the
Freedom	NP	Freedom
Flotilla	NN	flotilla
Coalition	NP	Coalition
,	,	,
left	VBD	leave
Sicily	NP	Sicily
last	JJ	last
week	NN	week
with	IN	with
a	DT	a
cargo	NN	cargo
of	IN	of
relief	NN	relief
supplies	NNS	supply
"	''	"
to	TO	to
break	VB	break
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
blockade	NN	blockade
on	IN	on
Gaza	NP	Gaza
"	''	"
.	SENT	.
<p>
"	``	"
We	PP	we
are	VBP	be
now	RB	now
sailing	VBG	sail
off	RP	off
the	DT	the
Egyptian	JJ	Egyptian
coast	NN	coast
,	,	,
"	''	"
German	JJ	German
human	JJ	human
rights	NNS	right
activist	JJ	activist
Yasemin	NP	<unknown>
Acar	NP	Acar
told	VBD	tell
AFP	NP	AFP
.	SENT	.
"	``	"
We	PP	we
are	VBP	be
all	RB	all
good	JJ	good
,	,	,
"	''	"
she	PP	she
added	VBD	add
.	SENT	.
<p>
It	PP	it
'	POS	'
s	NN	S
the	DT	the
6th	JJ	6th
day	NN	day
of	IN	of
our	PP$	our
journey	NN	journey
onboard	JJ	onboard
the	DT	the
Madleen	NP	<unknown>
to	TO	to
#breakthesiege	VB	#breakthesiege
of	IN	of
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
The	DT	the
Freedom	NP	Freedom
Flotilla	NN	flotilla
Coalition	NP	Coalition
will	MD	will
never	RB	never
stop	VB	stop
due	JJ	due
to	TO	to
the	DT	the
Zionists	NNS	Zionist
threats	NNS	threat
.	SENT	.
We	PP	we
know	VBP	know
we	PP	we
have	VBP	have
billions	NNS	billion
of	IN	of
people	NNS	people
along	IN	along
with	IN	with
the	DT	the
12	CD	@card@
of	IN	of
us	PP	us
on	IN	on
this	DT	this
boat	NN	boat
!	SENT	!
**26	NN	<unknown>
;	:	;
1149	CD	@card@
;	:	;
TOOLONG	NN	<unknown>
<p>
In	IN	in
a	DT	a
statement	NN	statement
from	IN	from
London	NP	London
on	IN	on
Saturday	NP	Saturday
(	(	(
June	NP	June
7	CD	@card@
,	,	,
2025	CD	@card@
)	)	)
,	,	,
the	DT	the
International	NP	International
Committee	NP	Committee
for	IN	for
Breaking	VBG	break
the	DT	the
Siege	NN	siege
of	IN	of
Gaza	NP	Gaza
--	:	--
a	DT	a
member	NN	member
organisation	NN	organisation
of	IN	of
the	DT	the
flotilla	NN	flotilla
coalition	NN	coalition
--	:	--
said	VBD	say
the	DT	the
ship	NN	ship
had	VBD	have
entered	VBN	enter
Egyptian	JJ	Egyptian
waters	NNS	water
.	SENT	.
<p>
The	DT	the
group	NN	group
said	VBD	say
it	PP	it
remains	VBZ	remain
in	IN	in
contact	NN	contact
with	IN	with
international	JJ	international
legal	JJ	legal
and	CC	and
human	JJ	human
rights	NNS	right
