<h>
Red	JJ	Red
paint	NN	paint
coats	NNS	coat
Dartmouth	NP	Dartmouth
building	NN	building
in	IN	in
pro-Palestinian	NP	pro-Palestinian
protest	NN	protest
<h>
As	IN	as
prospective	JJ	prospective
members	NNS	member
of	IN	of
Dartmouth	NP	Dartmouth
'	POS	'
s	JJ	<unknown>
class	NN	class
of	IN	of
2029	CD	@card@
visited	VBD	visit
their	PP$	their
new	JJ	new
campus	NN	campus
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
,	,	,
they	PP	they
were	VBD	be
confronted	VBN	confront
by	IN	by
a	DT	a
smattering	NN	smattering
of	IN	of
red	JJ	red
paint	NN	paint
across	IN	across
Dartmouth	NP	Dartmouth
Hall	NP	Hall
'	POS	'
s	NN	S
facade	NN	facade
.	SENT	.
<p>
By	IN	by
GRACE	NN	grace
GILSON/JTA	NP	<unknown>
APRIL	NP	April
30	CD	@card@
,	,	,
2025	CD	@card@
03:46	CD	@card@
<p>
Dartmouth	NP	Dartmouth
Hall	NP	Hall
at	IN	at
Dartmouth	NP	Dartmouth
College	NP	College
(	(	(
photo	NN	photo
credit	NN	credit
:	:	:
Wikimedia	NP	Wikimedia
Commons	NPS	Commons
)	)	)
<p>
As	IN	as
prospective	JJ	prospective
members	NNS	member
of	IN	of
Dartmouth	NP	Dartmouth
'	POS	'
s	JJ	<unknown>
class	NN	class
of	IN	of
2029	CD	@card@
visited	VBD	visit
their	PP$	their
new	JJ	new
campus	NN	campus
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
Monday	NP	Monday
morning	NN	morning
,	,	,
they	PP	they
were	VBD	be
confronted	VBN	confront
by	IN	by
a	DT	a
smattering	NN	smattering
of	IN	of
red	JJ	red
paint	NN	paint
across	IN	across
Dartmouth	NP	Dartmouth
Hall	NP	Hall
'	POS	'
s	NN	S
facade	NN	facade
.	SENT	.
<p>
The	DT	the
person	NN	person
who	WP	who
was	VBD	be
allegedly	RB	allegedly
responsible	JJ	responsible
for	IN	for
the	DT	the
paint	NN	paint
,	,	,
which	WDT	which
dripped	VBD	drip
from	IN	from
the	DT	the
building	NN	building
'	POS	'
s	NN	S
windows	NNS	window
and	CC	and
doorways	NNS	doorway
,	,	,
said	VBD	say
the	DT	the
act	NN	act
was	VBD	be
in	IN	in
protest	NN	protest
of	IN	of
the	DT	the
school	NN	school
'	POS	'
s	JJ	<unknown>
investment	NN	investment
in	IN	in
companies	NNS	company
affiliated	VBN	affiliate
with	IN	with
Israel	NP	Israel
.	SENT	.
The	DT	the
person	NN	person
spoke	VBD	speak
anonymously	RB	anonymously
with	IN	with
the	DT	the
school	NN	school
'	POS	'
s	JJ	<unknown>
student	NN	student
paper	NN	paper
,	,	,
The	DT	the
Dartmouth	NP	Dartmouth
,	,	,
about	IN	about
their	PP$	their
motivations	NNS	motivation
.	SENT	.
<p>
"	''	"
Despite	IN	despite
the	DT	the
known	VBN	know
atrocities	NNS	atrocity
unfolding	VBG	unfold
,	,	,
Dartmouth	NP	Dartmouth
insists	VBZ	insist
on	IN	on
fueling	VBG	fuel
the	DT	the
war	NN	war
machine	NN	machine
through	IN	through
its	PP$	its
cooperation	NN	cooperation
with	IN	with
arms	NNS	arm
manufacturers	NNS	manufacturer
complicit	JJ	complicit
with	IN	with
the	DT	the
Gaza	NP	Gaza
genocide	NN	genocide
,	,	,
"	''	"
the	DT	the
individual	NN	individual
told	VBD	tell
The	NP	The
Dartmouth	NP	Dartmouth
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
for	IN	for
it	PP	it
to	TO	to
divest	VB	divest
from	IN	from
Israel	NP	Israel
<p>
In	IN	in
February	NP	February
,	,	,
the	DT	the
student	NN	student
coalition	NN	coalition
Dartmouth	NP	Dartmouth
Divest	VBP	divest
for	IN	for
Palestine	NP	Palestine
submitted	VBD	submit
a	DT	a
formal	JJ	formal
proposal	NN	proposal
to	TO	to
the	DT	the
school	NN	school
for	IN	for
it	PP	it
to	TO	to
divest	VB	divest
from	IN	from
Israel	NP	Israel
.	SENT	.
A	DT	a
college	NN	college
spokesperson	NN	spokesperson
said	VBD	say
last	JJ	last
month	NN	month
that	IN	that
investment	NN	investment
decisions	NNS	decision
"	``	"
must	MD	must
not	RB	not
curtail	VB	curtail
debate	NN	debate
"	''	"
but	CC	but
that	IN	that
an	DT	an
advisory	JJ	advisory
committee	NN	committee
would	MD	would
evaluate	VB	evaluate
the	DT	the
request.Baker	NN	<unknown>
Library	NP	Library
Dartmouth	NP	Dartmouth
college	NN	college
(	(	(
credit	VB	credit
:	:	:
Wikimedia	NP	Wikimedia
Commons	NPS	Commons
)	)	)
<p>
Divestment	NN	divestment
has	VBZ	have
long	RB	long
been	VBN	be
a	DT	a
rallying	VBG	rally
cry	NN	cry
from	IN	from
pro-Palestinian	NP	pro-Palestinian
activists	NNS	activist
on	IN	on
campuses	NNS	campus
who	WP	who
seek	VBP	seek
to	TO	to
have	VB	have
their	PP$	their
school	NN	school
'	POS	'
s	NN	S
finances	NNS	finance
severed	VBN	sever
from	IN	from
Israel	NP	Israel
.	SENT	.
Dousing	VBG	douse
facades	NNS	facade
with	IN	with
red	JJ	red
paint	NN	paint
is	VBZ	be
likewise	RB	likewise
a	DT	a
frequent	JJ	frequent
tactic	NN	tactic
of	IN	of
pro-Palestinian	NP	pro-Palestinian
activists	NNS	activist
.	SENT	.
Last	JJ	last
year	NN	year
,	,	,
the	DT	the
steps	NNS	step
of	IN	of
Dartmouth	NP	Dartmouth
'	POS	'
s	NN	S
president	NN	president
'	POS	'
s	NN	S
office	NN	office
was	VBD	be
also	RB	also
splattered	VBN	splatter
with	IN	with
red	JJ	red
paint	NN	paint
and	CC	and
the	DT	the
words	NNS	word
"	``	"
Free	NP	Free
Palestine	NP	Palestine
Divest	VBP	divest
"	''	"
were	VBD	be
written	VBN	write
on	IN	on
the	DT	the
side	NN	side
of	IN	of
the	DT	the
building	NN	building
,	,	,
according	VBG	accord
to	TO	to
Valley	NP	Valley
News	NP	News
.	SENT	.
<p>
The	DT	the
individual	NN	individual
told	VBD	tell
the	DT	the
paper	NN	paper
that	IN	that
they	PP	they
intentionally	RB	intentionally
chose	VBD	choose
to	TO	to
act	VB	act
on	IN	on
the	DT	the
day	NN	day
that	IN	that
prospective	JJ	prospective
students	NNS	student
were	VBD	be
visiting	VBG	visit
.	SENT	.
<p>
"	''	"
As	IN	as
Dartmouth	NP	Dartmouth
welcomes	VBZ	welcome
the	DT	the
Class	NN	class
of	IN	of
2029	CD	@card@
to	TO	to
campus	NN	campus
,	,	,
university	NN	university
students	NNS	student
in	IN	in
Gaza	NP	Gaza
must	MD	must
put	VB	put
their	PP$	their
education	NN	education
on	IN	on
pause	NN	pause
for	IN	for
the	DT	the
second	JJ	second
consecutive	JJ	consecutive
year	NN	year
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
,	,	,
"	''	"
the	DT	the
source	NN	source
told	VBD	tell
The	DT	the
Dartmouth	NP	Dartmouth
.	SENT	.
"	``	"
Let	VB	let
the	DT	the
blood	NN	blood
that	WDT	that
drips	VBZ	drip
from	IN	from
Dartmouth	NP	Dartmouth
Hall	NP	Hall
remind	VB	remind
you	PP	you
of	IN	of
the	DT	the
price	NN	price
of	IN	of
silence	NN	silence
.	SENT	.
"	''	"
<h>
Dartmouth	NP	Dartmouth
condemned	VBD	condemn
vandalism	NN	vandalism
<p>
Dartmouth	NP	Dartmouth
condemned	VBD	condemn
the	DT	the
vandalism	NN	vandalism
in	IN	in
a	DT	a
statement	NN	statement
.	SENT	.
<p>
"	''	"
Dartmouth	NP	Dartmouth
prizes	VBZ	prize
and	CC	and
defends	VBZ	defend
the	DT	the
freedom	NN	freedom
of	IN	of
expression	NN	expression
and	CC	and
dissent	NN	dissent
.	SENT	.
Vandalism	NN	vandalism
,	,	,
however	RB	however
,	,	,
is	VBZ	be
unacceptable	JJ	unacceptable
and	CC	and
not	RB	not
protected	VBN	protect
by	IN	by
Dartmouth	NP	Dartmouth
policies	NNS	policy
,	,	,
"	''	"
the	DT	the
statement	NN	statement
read	VBD	read
.	SENT	.
"	``	"
The	DT	the
Hanover	NP	Hanover
Police	NP	Police
Department	NP	Department
and	CC	and
Dartmouth	NP	Dartmouth
'	POS	'
s	JJ	<unknown>
Department	NP	Department
of	IN	of
Safety	NP	Safety
and	CC	and
Security	NP	Security
are	VBP	be
investigating	VBG	investigate
the	DT	the
incident	NN	incident
.	SENT	.
"	''	"
<p>
Hillel	NP	Hillel
at	IN	at
Dartmouth	NP	Dartmouth
also	RB	also
denounced	VBD	denounce
the	DT	the
vandalism	NN	vandalism
in	IN	in
a	DT	a
statement	NN	statement
,	,	,
adding	VBG	add
that	IN	that
it	PP	it
was	VBD	be
"	``	"
confident	JJ	confident
"	''	"
the	DT	the
university	NN	university
will	MD	will
offer	VB	offer
a	DT	a
"	``	"
firm	JJ	firm
and	CC	and
principled	JJ	principled
"	''	"
response	NN	response
.	SENT	.
<p>
"	''	"
Acts	NNS	act
of	IN	of
vandalism	NN	vandalism
do	VBP	do
not	RB	not
move	VB	move
us	PP	us
forward	RB	forward
--	:	--
there	EX	there
is	VBZ	be
no	DT	no
place	NN	place
for	IN	for
intimidation	NN	intimidation
,	,	,
violence	NN	violence
,	,	,
or	CC	or
destruction	NN	destruction
of	IN	of
property	NN	property
on	IN	on
our	PP$	our
campus	NN	campus
,	,	,
"	''	"
the	DT	the
statement	NN	statement
read	VBD	read
.	SENT	.
"	``	"
These	DT	these
acts	NNS	act
of	IN	of
vandalism	NN	vandalism
only	RB	only
serve	VBP	serve
to	TO	to
foster	VB	foster
division	NN	division
among	IN	among
our	PP$	our
students	NNS	student
.	SENT	.
Instead	RB	instead
,	,	,
we	PP	we
should	MD	should
all	RB	all
strive	VB	strive
to	TO	to
build	VB	build
bridges	NNS	bridge
by	IN	by
listening	VBG	listen
and	CC	and
finding	VBG	find
common	JJ	common
ground	NN	ground
.	SENT	.
"	''	"
<p>
By	IN	by
Monday	NP	Monday
afternoon	NN	afternoon
,	,	,
maintenance	NN	maintenance
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
according	VBG	accord
to	TO	to
The	DT	the
Dartmouth	NP	Dartmouth
.	SENT	.
<p>
The	DT	the
vandalism	NN	vandalism
comes	VBZ	come
as	IN	as
schools	NNS	school
around	IN	around
the	DT	the
country	NN	country
face	NN	face
mounting	VBG	mount
scrutiny	NN	scrutiny
from	IN	from
the	DT	the
Trump	NP	Trump
administration	NN	administration
over	IN	over
their	PP$	their
handling	NN	handling
of	IN	of
pro-Palestinian	NP	pro-Palestinian
protests	NNS	protest
on	IN	on
their	PP$	their
campus	NN	campus
.	SENT	.
The	DT	the
administration	NN	administration
has	VBZ	have
made	VBN	make
billions	NNS	billion
of	IN	of
dollars	NNS	dollar
in	IN	in
federal	JJ	federal
funding	NN	funding
cuts	NNS	cut
to	TO	to
several	JJ	several
Ivy	NP	Ivy
League	NP	League
schools	NNS	school
including	VBG	include
Harvard	NP	Harvard
and	CC	and
Cornell	NP	Cornell
.	SENT	.
<p>
But	CC	but
Dartmouth	NP	Dartmouth
,	,	,
which	WDT	which
received	VBD	receive
praise	NN	praise
in	IN	in
the	DT	the
aftermath	NN	aftermath
of	IN	of
Oct.	NP	Oct.
7	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
for	IN	for
how	WRB	how
it	PP	it
handled	VBD	handle
tensions	NNS	tension
around	IN	around
Israel	NP	Israel
,	,	,
has	VBZ	have
so	RB	so
far	RB	far
emerged	VBD	emerge
mostly	RB	mostly
unscathed	JJ	unscathed
.	SENT	.
It	PP	it
was	VBD	be
not	RB	not
included	VBN	include
in	IN	in
the	DT	the
Trump	NP	Trump
administration	NN	administration
'	POS	'
s	JJ	<unknown>
March	NP	March
list	NN	list
of	IN	of
60	CD	@card@
schools	NNS	school
under	IN	under
investigation	NN	investigation
over	IN	over
allegations	NNS	allegation
of	IN	of
antisemitism	NN	<unknown>
,	,	,
even	RB	even
though	IN	though
it	PP	it
,	,	,
like	IN	like
many	JJ	many
other	JJ	other
campuses	NNS	campus
,	,	,
saw	VBD	see
large-scale	JJ	large-scale
protests	NNS	protest
last	JJ	last
spring	NN	spring
.	SENT	.
<p>
There	EX	there
have	VBP	have
been	VBN	be
moments	NNS	moment
of	IN	of
tension	NN	tension
.	SENT	.
In	IN	in
May	NP	May
2024	CD	@card@
,	,	,
a	DT	a
Jewish	JJ	Jewish
professor	NN	professor
at	IN	at
Dartmouth	NP	Dartmouth
was	VBD	be
thrown	VBN	throw
to	TO	to
the	DT	the
ground	NN	ground
by	IN	by
police	NNS	police
at	IN	at
a	DT	a
pro-Palestinian	NP	pro-Palestinian
encampment	NN	encampment
.	SENT	.
This	DT	this
year	NN	year
,	,	,
two	CD	two
students	NNS	student
at	IN	at
Dartmouth	NP	Dartmouth
have	VBP	have
had	VBN	have
their	PP$	their
student	NN	student
visas	NNS	visa
revoked	VBN	revoke
,	,	,
though	IN	though
one	PP	one
was	VBD	be
subsequently	RB	subsequently
reinstated	VBN	reinstate
.	SENT	.
<p>
Recently	RB	recently
,	,	,
Dartmouth	NP	Dartmouth
students	NNS	student
,	,	,
alumni	NNS	alumnus
and	CC	and
faculty	NN	faculty
criticized	VBD	criticize
the	DT	the
school	NN	school
for	IN	for
not	RB	not
condemning	VBG	condemn
the	DT	the
administration	NN	administration
'	POS	'
s	JJ	<unknown>
campus	NN	campus
crackdown	NN	crackdown
.	SENT	.
Last	NN	last
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
did	VBD	do
n't	RB	n't
join	VB	join
a	DT	a
petition	NN	petition
signed	VBN	sign
by	IN	by
400	CD	@card@
university	NN	university
leaders	NNS	leader
decrying	VBG	decry
the	DT	the
administration	NN	administration
'	POS	'
s	NN	S
actions	NNS	action
.	SENT	.
<p>
In	IN	in
response	NN	response
to	TO	to
the	DT	the
criticism	NN	criticism
,	,	,
Dartmouth	NP	Dartmouth
'	POS	'
s	NN	S
President	NP	President
Sian	NP	Sian
Leah	NP	Leah
Beilock	NP	<unknown>
emailed	VBD	email
a	DT	a
statement	NN	statement
to	TO	to
the	DT	the
school	NN	school
community	NN	community
defending	VBG	defend
her	PP$	her
lack	NN	lack
of	IN	of
opposition	NN	opposition
,	,	,
writing	VBG	write
,	,	,
"	``	"
reflection	NN	reflection
does	VBZ	do
not	RB	not
mean	VB	mean
capitulation	NN	capitulation
.	SENT	.
"	''	"
She	PP	she
added	VBD	add
,	,	,
"	``	"
I	PP	I
believe	VBP	believe
we	PP	we
can	MD	can
