<h>
Get	VB	get
the	DT	the
SBS	NP	SBS
Audio	JJ	audio
app	NP	App
<h>
Other	JJ	other
ways	NNS	way
to	TO	to
listen	VB	listen
<h>
The	DT	the
UN	NP	UN
warns	VBZ	warn
the	DT	the
possibility	NN	possibility
of	IN	of
a	DT	a
two-state	NN	two-state
solution	NN	solution
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
is	VBZ	be
disappearing	VBG	disappear
as	IN	as
fighting	NN	fighting
continues	VBZ	continue
,	,	,
Liberal	NP	Liberal
Party	NP	Party
denies	VBZ	deny
it	PP	it
has	VBZ	have
recruited	VBN	recruit
campaign	NN	campaign
volunteers	NNS	volunteer
from	IN	from
a	DT	a
Christian	JJ	Christian
sect	NN	sect
which	WDT	which
objects	VBZ	object
to	TO	to
voting	NN	voting
,	,	,
The	DT	the
Socceroos	NP	<unknown>
suffer	VBP	suffer
a	DT	a
massive	JJ	massive
setback	NN	setback
ahead	RB	ahead
of	IN	of
June	NP	June
'	POS	'
s	NN	S
FIFA	NP	FIFA
World	NP	World
Cup	NP	Cup
qualifiers	NNS	qualifier
.	SENT	.
<p>
The	DT	the
UN	NP	UN
warns	VBZ	warn
the	DT	the
possibility	NN	possibility
of	IN	of
a	DT	a
two-state	NN	two-state
solution	NN	solution
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
is	VBZ	be
disappearing	VBG	disappear
as	IN	as
fighting	NN	fighting
continues	VBZ	continue
...	:	...
<p>
Peter	NP	Peter
Dutton	NP	Dutton
denies	VBZ	deny
the	DT	the
Liberal	NP	Liberal
Party	NP	Party
has	VBZ	have
recruited	VBN	recruit
as	IN	as
campaign	NN	campaign
volunteers	NNS	volunteer
members	NNS	member
of	IN	of
a	DT	a
Christian	JJ	Christian
sect	NN	sect
which	WDT	which
objects	VBZ	object
to	TO	to
voting	NN	voting
...	:	...
<p>
The	DT	the
Socceroos	NP	<unknown>
suffer	VBP	suffer
a	DT	a
massive	JJ	massive
setback	NN	setback
ahead	RB	ahead
of	IN	of
June	NP	June
'	POS	'
s	NN	S
FIFA	NP	FIFA
World	NP	World
Cup	NP	Cup
qualifiers	NNS	qualifier
.	SENT	.
<p>
The	DT	the
United	NP	United
Nations	NPS	Nations
says	VBZ	say
the	DT	the
promise	NN	promise
of	IN	of
a	DT	a
two-state	NN	two-state
solution	NN	solution
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
is	VBZ	be
at	IN	at
risk	NN	risk
of	IN	of
disappearing	VBG	disappear
as	IN	as
the	DT	the
fighting	NN	fighting
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
continues	VBZ	continue
.	SENT	.
<p>
Secretary-General	NP	Secretary-General
Antonio	NP	Antonio
Guterres	NP	Guterres
says	VBZ	say
the	DT	the
fighting	NN	fighting
is	VBZ	be
near	IN	near
a	DT	a
point	NN	point
of	IN	of
no	DT	no
return	NN	return
and	CC	and
is	VBZ	be
calling	VBG	call
for	IN	for
urgent	JJ	urgent
action	NN	action
towards	IN	towards
implementing	VBG	implement
a	DT	a
two-state	NN	two-state
solution	NN	solution
.	SENT	.
<p>
Mr	NP	Mr
Guterres	NP	Guterres
says	VBZ	say
the	DT	the
world	NN	world
should	MD	should
not	RB	not
let	VB	let
extremists	NNS	extremist
on	IN	on
any	DT	any
side	NN	side
undermine	VBP	undermine
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
two-state	NN	two-state
solution	NN	solution
is	VBZ	be
near	IN	near
a	DT	a
point	NN	point
of	IN	of
no	DT	no
return	NN	return
.	SENT	.
The	DT	the
international	JJ	international
community	NN	community
has	VBZ	have
a	DT	a
responsibility	NN	responsibility
to	TO	to
prevent	VB	prevent
perpetual	JJ	perpetual
occupation	NN	occupation
and	CC	and
violence	NN	violence
.	SENT	.
My	PP$	my
call	NN	call
to	TO	to
member	NN	member
states	NNS	state
is	VBZ	be
clear	JJ	clear
and	CC	and
urgent	JJ	urgent
.	SENT	.
Take	VB	take
irreversible	JJ	irreversible
action	NN	action
towards	IN	towards
implementing	VBG	implement
a	DT	a
two-state	NN	two-state
solution	NN	solution
.	SENT	.
Do	VBP	do
not	RB	not
let	VB	let
extremists	NNS	extremist
on	IN	on
any	DT	any
side	NN	side
undermine	VB	undermine
what	WP	what
remains	VBZ	remain
of	IN	of
the	DT	the
peace	NN	peace
process	NN	process
.	SENT	.
"	''	"
<p>
He	PP	he
highlighted	VBD	highlight
actions	NNS	action
taken	VBN	take
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
and	CC	and
provocations	NNS	provocation
by	IN	by
Hamas	JJ	<unknown>
including	VBG	include
rocket	NN	rocket
attacks	NNS	attack
and	CC	and
attacks	NNS	attack
on	IN	on
Settlers	NNS	settler
.	SENT	.
<p>
The	DT	the
discussions	NNS	discussion
took	VBD	take
place	NN	place
as	IN	as
the	DT	the
humanitarian	JJ	humanitarian
crisis	NN	crisis
in	IN	in
Gaza	NP	Gaza
deepens	VBZ	deepen
with	IN	with
a	DT	a
60-day	JJ	60-day
blockade	NN	blockade
of	IN	of
food	NN	food
and	CC	and
medicines	NNS	medicine
currently	RB	currently
in	IN	in
place	NN	place
.	SENT	.
<p>
Canadian	NP	Canadian
Prime	NP	Prime
Minister	NP	Minister
Mark	NP	Mark
Carney	NP	Carney
'	POS	'
s	NN	S
Liberals	NNS	liberal
have	VBP	have
retained	VBN	retain
power	NN	power
in	IN	in
Canada	NP	Canada
,	,	,
but	CC	but
have	VBP	have
fallen	VBN	fall
short	RB	short
of	IN	of
the	DT	the
majority	NN	majority
government	NN	government
he	PP	he
wanted	VBD	want
to	TO	to
help	VB	help
negotiate	VB	negotiate
tariffs	NNS	tariff
with	IN	with
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
<p>
The	DT	the
Liberals	NNS	liberal
had	VBD	have
needed	VBN	need
to	TO	to
secure	VB	secure
172	CD	@card@
of	IN	of
the	DT	the
House	NP	House
of	IN	of
Commons	NP	Commons
343	CD	@card@
seats	NNS	seat
for	IN	for
a	DT	a
majority	NN	majority
,	,	,
which	WDT	which
would	MD	would
allow	VB	allow
them	PP	them
to	TO	to
govern	VB	govern
without	IN	without
smaller	JJR	small
party	NN	party
support	NN	support
.	SENT	.
<p>
While	IN	while
votes	NNS	vote
are	VBP	be
still	RB	still
being	VBG	be
counted	VBN	count
,	,	,
the	DT	the
result	NN	result
was	VBD	be
a	DT	a
significant	JJ	significant
comeback	NN	comeback
for	IN	for
