<h>
Some	DT	some
Tories	NPS	Tories
privately	RB	privately
support	VBP	support
PM	NP	PM
'	POS	'
s	JJ	<unknown>
stance	NN	stance
on	IN	on
Israel	NP	Israel
and	CC	and
Gaza	NP	Gaza
,	,	,
Conservative	NP	Conservative
says	VBZ	say
<p>
Conservative	NP	Conservative
MPs	NP	MP
privately	RB	privately
support	VB	support
calls	NNS	call
by	IN	by
Sir	NP	Sir
Keir	NP	Keir
Starmer	NP	Starmer
and	CC	and
the	DT	the
UK	NP	UK
'	POS	'
s	JJ	<unknown>
allies	NNS	ally
for	IN	for
Israel	NP	Israel
to	TO	to
cease	VB	cease
its	PP$	its
war	NN	war
in	IN	in
Gaza	NP	Gaza
,	,	,
one	CD	one
Tory	NP	Tory
has	VBZ	have
claimed	VBN	claim
.	SENT	.
<p>
Mark	NP	Mark
Pritchard	NP	Pritchard
,	,	,
Conservative	JJ	Conservative
MP	NN	MP
for	IN	for
the	DT	the
Wrekin	NP	Wrekin
,	,	,
also	RB	also
said	VBD	say
he	PP	he
believed	VBD	believe
that	IN	that
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
was	VBD	be
on	IN	on
the	DT	the
"	``	"
right	JJ	right
side	NN	side
of	IN	of
history	NN	history
"	''	"
and	CC	and
humanity	NN	humanity
,	,	,
in	IN	in
an	DT	an
interview	NN	interview
with	IN	with
broadcaster	NN	broadcaster
LBC	NP	LBC
.	SENT	.
<p>
Mr	NP	Mr
Pritchard	NP	Pritchard
would	MD	would
not	RB	not
be	VB	be
drawn	VBN	draw
into	IN	into
attacking	VBG	attack
his	PP$	his
party	NN	party
leader	NN	leader
Kemi	NP	Kemi
Badenoch	NP	Badenoch
,	,	,
who	WP	who
has	VBZ	have
criticised	VBN	criticise
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
'	POS	'
s	JJ	<unknown>
sanctions	NNS	sanction
on	IN	on
Israeli	JJ	Israeli
settlers	NNS	settler
,	,	,
as	RB	as
well	RB	well
as	IN	as
his	PP$	his
joint	JJ	joint
statement	NN	statement
made	VBN	make
earlier	RBR	earlier
this	DT	this
week	NN	week
with	IN	with
the	DT	the
leaders	NNS	leader
of	IN	of
France	NP	France
and	CC	and
Canada	NP	Canada
on	IN	on
the	DT	the
Gaza	NP	Gaza
conflict	NN	conflict
.	SENT	.
<p>
In	IN	in
a	DT	a
post	NN	post
on	IN	on
X	NP	X
on	IN	on
Thursday	NP	Thursday
,	,	,
Mr	NP	Mr
Netanyahu	NP	<unknown>
said	VBD	say
Hamas	NP	<unknown>
wants	VBZ	want
to	TO	to
"	``	"
destroy	VB	destroy
the	DT	the
Jewish	JJ	Jewish
state	NN	state
"	''	"
and	CC	and
"	``	"
annihilate	VB	annihilate
the	DT	the
Jewish	JJ	Jewish
people	NNS	people
"	''	"
.	SENT	.
<p>
I	PP	I
think	VBP	think
Keir	NP	Keir
Starmer	NP	Starmer
and	CC	and
those	DT	those
standing	NN	standing
up	RP	up
for	IN	for
the	DT	the
children	NNS	child
of	IN	of
Gaza	NP	Gaza
are	VBP	be
on	IN	on
the	DT	the
right	JJ	right
side	NN	side
of	IN	of
history	NN	history
,	,	,
the	DT	the
right	JJ	right
side	NN	side
of	IN	of
humanity	NN	humanity
and	CC	and
are	VBP	be
making	VBG	make
the	DT	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
leaders	NNS	leader
of	IN	of
the	DT	the
UK	NP	UK
,	,	,
France	NP	France
and	CC	and
Canada	NP	Canada
were	VBD	be
on	IN	on
the	DT	the
"	``	"
wrong	JJ	wrong
side	NN	side
of	IN	of
justice	NN	justice
"	''	"
and	CC	and
the	DT	the
wrong	JJ	wrong
side	NN	side
of	IN	of
history	NN	history
.	SENT	.
<p>
Speaking	VBG	speak
to	TO	to
LBC	NP	LBC
,	,	,
Tory	NP	Tory
MP	NN	MP
Mr	NP	Mr
Pritchard	NP	Pritchard
said	VBD	say
:	:	:
"	``	"
Half	PDT	half
the	DT	the
population	NN	population
of	IN	of
Gaza	NP	Gaza
are	VBP	be
children	NNS	child
.	SENT	.
They	PP	they
are	VBP	be
being	VBG	be
literally	RB	literally
bombed	VBN	bomb
to	TO	to
bits	NNS	bit
every	DT	every
single	JJ	single
day	NN	day
.	SENT	.
They	PP	they
are	VBP	be
being	VBG	be
slowly	RB	slowly
starved	VBN	starve
.	SENT	.
<p>
"	``	"
It	PP	it
'	POS	'
s	NN	S
absolutely	RB	absolutely
right	RB	right
the	DT	the
UK	NP	UK
Prime	NP	Prime
Minister	NP	Minister
,	,	,
who	WP	who
so	RB	so
happens	VBZ	happen
to	TO	to
be	VB	be
a	DT	a
Labour	NP	Labour
Prime	NP	Prime
Minister	NP	Minister
right	RB	right
now	RB	now
,	,	,
would	MD	would
stand	VB	stand
up	RP	up
on	IN	on
the	DT	the
right	JJ	right
side	NN	side
.	SENT	.
<p>
"	``	"
I	PP	I
push	VBP	push
it	PP	it
back	RB	back
to	TO	to
the	DT	the
Israeli	JJ	Israeli
prime	JJ	prime
minister	NN	minister
.	SENT	.
I	PP	I
think	VBP	think
Keir	NP	Keir
Starmer	NP	Starmer
and	CC	and
those	DT	those
standing	NN	standing
up	RP	up
for	IN	for
the	DT	the
children	NNS	child
of	IN	of
Gaza	NP	Gaza
are	VBP	be
on	IN	on
the	DT	the
right	JJ	right
side	NN	side
of	IN	of
history	NN	history
,	,	,
the	DT	the
right	JJ	right
side	NN	side
of	IN	of
humanity	NN	humanity
and	CC	and
are	VBP	be
making	VBG	make
the	DT	the
right	JJ	right
moral	JJ	moral
judgment	NN	judgment
.	SENT	.
"	``	"
<p>
The	DT	the
Conservative	JJ	Conservative
MP	NN	MP
,	,	,
who	WP	who
self-describes	VBZ	self-describe
as	RB	as
strongly	RB	strongly
pro-Israel	NP	pro-Israel
