<h>
Leading	VBG	lead
Israeli	JJ	Israeli
activist	NN	activist
and	CC	and
former	JJ	former
negotiator	NN	negotiator
with	IN	with
Hamas	NP	<unknown>
says	VBZ	say
he	PP	he
has	VBZ	have
just	RB	just
learned	VBN	learn
the	DT	the
militant	JJ	militant
group	NN	group
would	MD	would
release	VB	release
all	DT	all
hostages	NNS	hostage
in	IN	in
exchange	NN	exchange
for	IN	for
an	DT	an
immediate	JJ	immediate
end	NN	end
to	TO	to
the	DT	the
bloody	JJ	bloody
Gaza	NP	Gaza
war	NN	war
<p>
An	DT	an
Israeli	JJ	Israeli
activist	NN	activist
and	CC	and
former	JJ	former
hostage	NN	hostage
negotiator	NN	negotiator
has	VBZ	have
claimed	VBN	claim
Hamas	NNS	<unknown>
will	MD	will
release	VB	release
all	DT	all
of	IN	of
the	DT	the
remaining	VBG	remain
hostages	NNS	hostage
in	IN	in
exchange	NN	exchange
for	IN	for
an	DT	an
end	NN	end
to	TO	to
war	NN	war
in	IN	in
Gaza	NP	Gaza
.	SENT	.
US-born	JJ	<unknown>
Gershon	NP	Gershon
Baskin	NP	Baskin
made	VBD	make
the	DT	the
announcement	NN	announcement
as	IN	as
multiple	JJ	multiple
explosions	NNS	explosion
rang	VBD	ring
out	RP	out
near	IN	near
Palestinians	NNS	Palestinian
gathering	VBG	gather
at	IN	at
a	DT	a
controversial	JJ	controversial
Gaza	NP	Gaza
aid	NN	aid
distribution	NN	distribution
centre	NN	centre
.	SENT	.
<p>
But	CC	but
he	PP	he
added	VBD	add
that	IN	that
Israel	NP	Israel
refuses	VBZ	refuse
to	TO	to
end	VB	end
the	DT	the
war	NN	war
which	WDT	which
killed	VBD	kill
another	DT	another
50	CD	@card@
Palestinians	NPS	Palestinians
today	NN	today
as	IN	as
it	PP	it
is	VBZ	be
determined	VBN	determine
to	TO	to
wipe	VB	wipe
out	RP	out
Hamas	NNS	<unknown>
completely	RB	completely
.	SENT	.
Over	IN	over
50	CD	@card@
Palestinians	NNS	Palestinian
died	VBN	die
from	IN	from
Israeli	JJ	Israeli
airstrikes	NNS	airstrike
and	CC	and
gunfire	NN	gunfire
today	NN	today
and	CC	and
Israel	NP	Israel
announced	VBD	announce
it	PP	it
will	MD	will
establish	VB	establish
another	DT	another
22	CD	@card@
settlements	NNS	settlement
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
.	SENT	.
The	DT	the
settler	NN	settler
announcement	NN	announcement
has	VBZ	have
infuriated	VBN	infuriate
Palestinians	NPS	Palestinians
who	WP	who
say	VBP	say
it	PP	it
was	VBD	be
made	VBN	make
under	IN	under
the	DT	the
cover	NN	cover
of	IN	of
the	DT	the
Gaza	NP	Gaza
war	NN	war
.	SENT	.
<p>
Baskin	NP	Baskin
,	,	,
66	CD	@card@
,	,	,
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
:	:	:
"	``	"
Let	VB	let
it	PP	it
be	VB	be
known	VBN	know
,	,	,
one	CD	one
of	IN	of
the	DT	the
mediators	NNS	mediator
told	VBD	tell
me	PP	me
today	NN	today
that	IN	that
Hamas	NP	<unknown>
is	VBZ	be
willing	JJ	willing
to	TO	to
free	VB	free
all	DT	all
58	CD	@card@
hostages	NNS	hostage
at	IN	at
one	CD	one
time	NN	time
but	CC	but
demand	VB	demand
the	DT	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
'	POS	'
Israel	NP	Israel
refuses	VBZ	refuse
to	TO	to
accept	VB	accept
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
.	SENT	.
'	''	'
<p>
"	``	"
I	PP	I
repeat	VBP	repeat
what	WP	what
I	PP	I
have	VBP	have
been	VBN	be
saying	VBG	say
for	IN	for
many	JJ	many
months	NNS	month
-	NN	<unknown>
negotiating	VBG	negotiate
any	DT	any
deal	NN	deal
with	IN	with
Hamas	NP	<unknown>
that	WDT	that
leaves	VBZ	leave
hostages	NNS	hostage
behind	IN	behind
for	IN	for
any	DT	any
period	NN	period
of	IN	of
time	NN	time
puts	VBZ	put
them	PP	them
at	IN	at
risk	NN	risk
and	CC	and
is	VBZ	be
a	DT	a
declaration	NN	declaration
by	IN	by
the	DT	the
government	NN	government
of	IN	of
Israel	NP	Israel
that	IN	that
they	PP	they
are	VBP	be
willing	JJ	willing
to	TO	to
sacrifice	VB	sacrifice
the	DT	the
hostages	NNS	hostage
so	RB	so
that	IN	that
Netanyahu	NP	<unknown>
can	MD	can
save	VB	save
his	PP$	his
coalition	NN	coalition
.	SENT	.
"	''	"
<p>
Palestinians	NPS	Palestinians
forced	VBN	force
on	IN	on
the	DT	the
move	NN	move
carry	NN	carry
belongings	NNS	belonging
(	(	(
Image	VB	image
:	:	:
AP	NP	AP
)	)	)
<p>
?	SENT	?
<p>
Baskin	NP	Baskin
,	,	,
who	WP	who
helped	VBD	help
negotiate	VB	negotiate
the	DT	the
release	NN	release
of	IN	of
kidnapped	VBN	kidnap
Israeli	JJ	Israeli
soldier	NN	soldier
Gilad	NP	<unknown>
Shalit	NP	<unknown>
i	NP	i
n	NN	n
2011	CD	@card@
,	,	,
said	VBD	say
that	IN	that
Netanyahu	NP	<unknown>
and	CC	and
his	PP$	his
government	NN	government
is	VBZ	be
putting	VBG	put
"	``	"
their	PP$	their
own	JJ	own
political	JJ	political
interests	NNS	interest
ahead	RB	ahead
of	IN	of
those	DT	those
of	IN	of
Israel	NP	Israel
.	SENT	.
"	``	"
<p>
And	CC	and
he	PP	he
added	VBD	add
:	:	:
"	``	"
Israel	NP	Israel
continues	VBZ	continue
to	TO	to
kill	VB	kill
innocent	JJ	innocent
people	NNS	people
in	IN	in
Gaza	NP	Gaza
.	SENT	.
Gaza	NP	Gaza
is	VBZ	be
totally	RB	totally
destroyed	VBN	destroy
-	NN	<unknown>
an	DT	an
entire	JJ	entire
civilization	NN	civilization
has	VBZ	have
been	VBN	be
decimated	VBN	decimate
by	IN	by
Israel	NP	Israel
in	IN	in
Gaza	NP	Gaza
.	SENT	.
The	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
want	VBP	want
Hamas	NN	<unknown>
out	RP	out
of	IN	of
their	PP$	their
lives	NNS	life
and	CC	and
want	VBP	want
Israel	NP	Israel
to	TO	to
end	VB	end
this	DT	this
war	NN	war
.	SENT	.
The	DT	the
people	NNS	people
of	IN	of
Israel	NP	Israel
want	VBP	want
this	DT	this
war	NN	war
to	TO	to
end	VB	end
and	CC	and
for	IN	for
the	DT	the
hostages	NNS	hostage
to	TO	to
be	VB	be
brought	VBN	bring
home	RB	home
.	SENT	.
<p>
War-battered	JJ	war-battered
Gaza	NP	Gaza
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
)	)	)
<p>
?	SENT	?
<p>
"	''	"
This	DT	this
war	NN	war
must	MD	must
end	VB	end
now	RB	now
and	CC	and
the	DT	the
only	JJ	only
way	NN	way
it	PP	it
will	MD	will
end	VB	end
is	VBZ	be
when	WRB	when
President	NP	President
Trump	NP	Trump
finally	RB	finally
tells	VBZ	tell
Netanyahu	NP	<unknown>
to	TO	to
end	VB	end
the	DT	the
war	NN	war
,	,	,
and	CC	and
to	TO	to
make	VB	make
a	DT	a
deal	NN	deal
to	TO	to
bring	VB	bring
the	DT	the
hostages	NNS	hostage
home	NN	home
.	SENT	.
"	``	"
And	CC	and
he	PP	he
even	RB	even
declared	VBD	declare
that	IN	that
Palestinians	NPS	Palestinians
and	CC	and
their	PP$	their
"	``	"
Arab	JJ	Arab
neighbours	NNS	neighbour
"	``	"
will	MD	will
make	VB	make
Hamas	NNS	<unknown>
"	``	"
pay	VBP	pay
for	IN	for
what	WP	what
they	PP	they
have	VBP	have
brought	VBN	bring
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
.	SENT	.
"	''	"
<p>
Israel	NP	Israel
will	MD	will
establish	VB	establish
22	CD	@card@
Jewish	JJ	Jewish
settlements	NNS	settlement
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
,	,	,
including	VBG	include
the	DT	the
legalisation	NN	legalisation
of	IN	of
outposts	NNS	outpost
already	RB	already
built	VBN	build
without	IN	without
government	NN	government
authorization	NN	authorization
,	,	,
it	PP	it
has	VBZ	have
announced	VBN	announce
.	SENT	.
<p>
Smoke	NN	smoke
rises	NNS	rise
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
after	IN	after
another	DT	another
blast	NN	blast
(	(	(
Image	NN	image
:	:	:
AP	NP	AP
)	)	)
<p>
?	SENT	?
<p>
Israel	NP	Israel
captured	VBD	capture
the	DT	the
West	NP	West
Bank	NP	Bank
,	,	,
along	RB	along
with	IN	with
Gaza	NP	Gaza
and	CC	and
east	JJ	east
Jerusalem	NP	Jerusalem
,	,	,
in	IN	in
the	DT	the
1967	CD	@card@
Mideast	JJ	Mideast
war	NN	war
and	CC	and
the	DT	the
Palestinians	NPS	Palestinians
want	VBP	want
all	DT	all
three	CD	three
territories	NNS	territory
for	IN	for
their	PP$	their
future	JJ	future
state	NN	state
.	SENT	.
<p>
Most	JJS	most
of	IN	of
the	DT	the
international	JJ	international
community	NN	community
views	VBZ	view
settlements	NNS	settlement
as	IN	as
illegal	JJ	illegal
and	CC	and
an	DT	an
obstacle	NN	obstacle
to	TO	to
resolving	VBG	resolve
the	DT	the
decades-old	JJ	decades-old
conflict	NN	conflict
.	SENT	.
<p>
In	IN	in
2005	CD	@card@
,	,	,
Israel	NP	Israel
withdrew	VBD	withdraw
its	PP$	its
settlements	NNS	settlement
from	IN	from
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
but	CC	but
leading	VBG	lead
figures	NNS	figure
in	IN	in
the	DT	the
current	JJ	current
government	NN	government
have	VBP	have
called	VBN	call
for	IN	for
them	PP	them
to	TO	to
be	VB	be
re-established	VBN	re-establish
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
,	,	,
2023	CD	@card@
,	,	,
attack	NN	attack
,	,	,
in	IN	in
which	WDT	which
militants	NNS	militant
stormed	VBD	storm
into	IN	into
Israel	NP	Israel
,	,	,
killing	VBG	kill
some	DT	some
1,200	CD	@card@
people	NNS	people
,	,	,
mostly	RB	mostly
civilians	NNS	civilian
,	,	,
and	CC	and
abducting	VBG	abduct
251	CD	@card@
.	SENT	.
<p>
Palestinians	NPS	Palestinians
carry	VBP	carry
