<h>
How	WRB	how
to	TO	to
support	VB	support
the	DT	the
organisations	NNS	organisation
and	CC	and
charities	NNS	charity
providing	VBG	provide
aid	NN	aid
amid	IN	amid
the	DT	the
humanitarian	JJ	humanitarian
crisis	NN	crisis
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
The	DT	the
United	NP	United
Nations	NPS	Nations
has	VBZ	have
warned	VBN	warn
14,000	CD	@card@
babies	NNS	baby
could	MD	could
die	VB	die
within	IN	within
days	NNS	day
if	IN	if
much-needed	VBN	much-need
aid	NN	aid
supplies	NNS	supply
do	VBP	do
not	RB	not
reach	VB	reach
them	PP	them
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
<p>
While	IN	while
some	DT	some
humanitarian	JJ	humanitarian
supplies	NNS	supply
have	VBP	have
finally	RB	finally
started	VBN	start
trickling	VBG	trickle
into	IN	into
Gaza	NP	Gaza
following	VBG	follow
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
11-week	JJ	<unknown>
blockade	NN	blockade
,	,	,
UN	NP	UN
officials	NNS	official
say	VBP	say
getting	VBG	get
those	DT	those
supplies	NNS	supply
to	TO	to
families	NNS	family
is	VBZ	be
still	RB	still
being	VBG	be
made	VBN	make
incredibly	RB	incredibly
difficult	JJ	difficult
.	SENT	.
<p>
UN	NP	UN
spokesperson	NN	spokesperson
Stephane	NP	Stephane
Dujarric	NP	<unknown>
told	VBD	tell
reporters	NNS	reporter
four	CD	four
trucks	NNS	truck
of	IN	of
baby	NN	baby
food	NN	food
were	VBD	be
dropped	VBN	drop
off	RP	off
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
side	NN	side
of	IN	of
the	DT	the
border	NN	border
on	IN	on
Tuesday	NP	Tuesday
AEST	NP	<unknown>
.	SENT	.
A	DT	a
few	JJ	few
dozen	NN	dozen
other	JJ	other
trucks	NNS	truck
carrying	VBG	carry
essential	JJ	essential
goods	NNS	good
--	:	--
like	IN	like
flour	NN	flour
,	,	,
medicine	NN	medicine
and	CC	and
nutrition	NN	nutrition
packs	NNS	pack
--	:	--
made	VBD	make
it	PP	it
in	IN	in
on	IN	on
Wednesday	NP	Wednesday
.	SENT	.
<p>
According	VBG	accord
to	TO	to
Dujarric	NP	<unknown>
,	,	,
Israeli	JJ	Israeli
authorities	NNS	authority
are	VBP	be
requiring	VBG	require
aid	NN	aid
to	TO	to
be	VB	be
offloaded	VBN	offload
and	CC	and
reloaded	VBN	reloade
at	IN	at
the	DT	the
Kerem	NP	Kerem
Shalom	NP	Shalom
crossing	NN	crossing
,	,	,
causing	VBG	cause
delays	NNS	delay
