<h>
EXCLUSIVE	NN	exclusive
:	:	:
Emily	NP	Emily
Damari	NP	Damari
,	,	,
28	CD	@card@
,	,	,
was	VBD	be
given	VBN	give
a	DT	a
special	JJ	special
welcome	NN	welcome
including	VBG	include
a	DT	a
'	''	'
one	CD	one
of	IN	of
our	PP$	our
own	JJ	own
'	''	'
chant	NN	chant
by	IN	by
fans	NNS	fan
as	IN	as
she	PP	she
attended	VBD	attend
her	PP$	her
first	JJ	first
Tottenham	NP	Tottenham
Hotspur	NN	hotspur
game	NN	game
since	IN	since
being	VBG	be
kidnapped	VBN	kidnap
by	IN	by
Hamas	NP	<unknown>
on	IN	on
October	NP	October
7	CD	@card@
<p>
Freed	NP	Freed
Hamas	NP	<unknown>
hostage	NN	hostage
Emily	NP	Emily
Damari	NP	Damari
returned	VBD	return
to	TO	to
watch	VB	watch
her	PP$	her
beloved	JJ	beloved
Spurs	NNS	spur
play	VBP	play
this	DT	this
afternoon	NN	afternoon
and	CC	and
said	VBD	say
:	:	:
"	``	"
I	PP	I
am	VBP	be
finally	RB	finally
home	RB	home
.	SENT	.
"	``	"
<p>
It	PP	it
was	VBD	be
the	DT	the
first	JJ	first
time	NN	time
football	NN	football
mad	JJ	mad
Emily	NP	Emily
,	,	,
28	CD	@card@
,	,	,
has	VBZ	have
been	VBN	be
to	TO	to
a	DT	a
Premier	NP	Premier
League	NP	League
match	NN	match
since	IN	since
she	PP	she
was	VBD	be
released	VBN	release
earlier	RBR	earlier
this	DT	this
year	NN	year
.	SENT	.
She	PP	she
loved	VBD	love
watching	VBG	watch
Tottenham	NP	Tottenham
before	IN	before
she	PP	she
was	VBD	be
snatched	VBN	snatch
by	IN	by
Hamas	NP	<unknown>
on	IN	on
October	NP	October
7th	JJ	7th
2023	CD	@card@
.	SENT	.
Spurs	NNS	spur
fans	NNS	fan
laid	VBN	lay
on	IN	on
a	DT	a
special	JJ	special
welcome	NN	welcome
outside	IN	outside
the	DT	the
stadium	NN	stadium
for	IN	for
her	PP	her
before	IN	before
their	PP$	their
match	NN	match
with	IN	with
Crystal	NP	Crystal
Palace	NP	Palace
.	SENT	.
They	PP	they
even	RB	even
displayed	VBD	display
a	DT	a
yellow	JJ	yellow
banner	NN	banner
demanding	VBG	demand
"	``	"
Bring	NP	Bring
the	DT	the
59	CD	@card@
hostages	NNS	hostage
home	RB	home
now	RB	now
"	''	"
-	NN	<unknown>
referring	VBG	refer
to	TO	to
those	DT	those
still	RB	still
being	VBG	be
kept	VBN	keep
in	IN	in
Gaza	NP	Gaza
.	SENT	.
Emily	NP	Emily
,	,	,
who	WP	who
lost	VBD	lose
two	CD	two
fingers	NNS	finger
after	IN	after
being	VBG	be
shot	VBN	shoot
,	,	,
was	VBD	be
held	VBN	hold
hostage	NN	hostage
by	IN	by
Hamas	NNS	<unknown>
for	IN	for
471	CD	@card@
days	NNS	day
until	IN	until
her	PP$	her
release	NN	release
in	IN	in
January	NP	January
.	SENT	.
<p>
?	SENT	?
<p>
Emily	NP	Emily
was	VBD	be
held	VBN	hold
hostage	NN	hostage
by	IN	by
