<p>
What	WP	what
a	DT	a
nasty	JJ	nasty
thing	NN	thing
it	PP	it
has	VBZ	have
turned	VBN	turn
out	RP	out
to	TO	to
be	VB	be
.	SENT	.
It	PP	it
involved	VBD	involve
subversion	NN	subversion
--	:	--
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
desire	NN	desire
to	TO	to
ignore	VB	ignore
international	JJ	international
tenets	NNS	tenet
of	IN	of
humanitarian	JJ	humanitarian
aid	NN	aid
in	IN	in
favour	NN	favour
of	IN	of
expediency	NN	expediency
and	CC	and
security	NN	security
--	:	--
and	CC	and
the	DT	the
naked	JJ	naked
show	NN	show
of	IN	of
violent	JJ	violent
desperation	NN	desperation
.	SENT	.
Via	IN	via
the	DT	the
shoddy	JJ	shoddy
US-	NN	<unknown>
and	CC	and
Israeli-backed	JJ	Israeli-backed
Gaza	NP	Gaza
Humanitarian	JJ	humanitarian
Foundation	NP	Foundation
company	NN	company
,	,	,
distribution	NN	distribution
of	IN	of
necessaries	NN	necessaries
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
through	IN	through
the	DT	the
organisation	NN	organisation
'	POS	'
s	JJ	<unknown>
delivery	NN	delivery
arm	NN	arm
,	,	,
Safe	NP	Safe
Reach	NP	Reach
Solutions	NNS	solution
(	(	(
SRS	NP	SRS
)	)	)
,	,	,
has	VBZ	have
been	VBN	be
inadequate	JJ	inadequate
and	CC	and
selective	JJ	selective
.	SENT	.
<p>
SRS	NP	SRS
is	VBZ	be
a	DT	a
disreputable	JJ	disreputable
outfit	NN	outfit
,	,	,
one	CD	one
lacking	VBG	lack
a	DT	a
r	NN	r
?	SENT	?
sum	NN	sum
?	SENT	?
in	IN	in
humanitarian	JJ	humanitarian
aid	NN	aid
.	SENT	.
Its	PP$	its
prowess	NN	prowess
,	,	,
rather	RB	rather
,	,	,
lies	VBZ	lie
in	IN	in
the	DT	the
realm	NN	realm
of	IN	of
military	JJ	military
intelligence	NN	intelligence
.	SENT	.
A	DT	a
report	NN	report
from	IN	from
Ynet	NP	<unknown>
News	NP	News
describes	VBZ	describe
its	PP$	its
functions	NNS	function
as	IN	as
"	``	"
operating	VBG	operate
roadblocks	NNS	roadblock
,	,	,
processing	VBG	process
visual	JJ	visual
data	NNS	datum
from	IN	from
cameras	NNS	camera
,	,	,
drones	NNS	drone
and	CC	and
satellites	NNS	satellite
and	CC	and
using	VBG	use
it	PP	it
to	TO	to
identify	VB	identify
Hamas	JJ	<unknown>
operatives	NNS	operative
and	CC	and
armed	JJ	armed
individuals	NNS	individual
.	SENT	.
"	''	"
In	IN	in
both	DT	both
practice	NN	practice
and	CC	and
spirit	NN	spirit
,	,	,
this	DT	this
seedy	JJ	seedy
,	,	,
cynical	JJ	cynical
enterprise	NN	enterprise
violates	VBZ	violate
the	DT	the
four	CD	four
essential	JJ	essential
principles	NNS	principle
of	IN	of
humanitarian	JJ	humanitarian
action	NN	action
:	:	:
humanity	NN	humanity
,	,	,
impartiality	NN	impartiality
,	,	,
neutrality	NN	neutrality
,	,	,
and	CC	and
independence	NN	independence
.	SENT	.
<p>
