<p>
When	WRB	when
the	DT	the
protests	NNS	protest
against	IN	against
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
genocidal	JJ	genocidal
war	NN	war
in	IN	in
Gaza	NP	Gaza
broke	VBD	break
out	RP	out
across	IN	across
US	NP	US
campuses	NNS	campus
,	,	,
a	DT	a
friend	NN	friend
suggested	VBD	suggest
that	IN	that
they	PP	they
were	VBD	be
perhaps	RB	perhaps
similar	JJ	similar
to	TO	to
the	DT	the
anti-Vietnam	NP	anti-Vietnam
War	NP	War
protests	NNS	protest
of	IN	of
the	DT	the
1960s	NNS	1960s
.	SENT	.
I	PP	I
disagreed	VBD	disagree
,	,	,
simply	RB	simply
because	IN	because
,	,	,
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
,	,	,
US	NP	US
forces	NNS	force
are	VBP	be
not	RB	not
directly	RB	directly
involved	VBN	involve
in	IN	in
the	DT	the
fighting	NN	fighting
in	IN	in
Palestine	NP	Palestine
and	CC	and
American	NP	American
kids	NNS	kid
are	VBP	be
not	RB	not
being	VBG	be
conscripted	VBN	conscript
to	TO	to
go	VB	go
fight	NN	fight
in	IN	in
the	DT	the
war	NN	war
and	CC	and
are	VBP	be
not	RB	not
coming	VBG	come
back	RB	back
in	IN	in
bodybags	NNS	<unknown>
,	,	,
so	RB	so
the	DT	the
emotional	JJ	emotional
investment	NN	investment
is	VBZ	be
entirely	RB	entirely
different	JJ	different
.	SENT	.
<p>
But	CC	but
the	DT	the
discussion	NN	discussion
did	VBD	do
take	VB	take
me	PP	me
back	RB	back
to	TO	to
the	DT	the
anti-South	NP	anti-South
African	JJ	African
apartheid	NN	apartheid
and	CC	and
pro-divestment	NN	pro-divestment
protests	NNS	protest
on	IN	on
American	JJ	American
campuses	NNS	campus
in	IN	in
the	DT	the
1980s	NNS	1980s
,	,	,
of	IN	of
which	WDT	which
I	PP	I
was	VBD	be
also	RB	also
once	RB	once
a	DT	a
part	NN	part
.	SENT	.
I	PP	I
suggested	VBD	suggest
that	IN	that
the	DT	the
current	JJ	current
protests	NNS	protest
bore	VBD	bear
more	JJR	more
similarity	NN	similarity
to	TO	to
that	DT	that
movement	NN	movement
which	WDT	which
,	,	,
it	PP	it
should	MD	should
be	VB	be
recalled	VBN	recall
,	,	,
did	VBD	do
indeed	RB	indeed
achieve	VB	achieve
its	PP$	its
aims	NNS	aim
eventually	RB	eventually
.	SENT	.
It	PP	it
would	MD	would
be	VB	be
instructive	JJ	instructive
to	TO	to
look	VB	look
at	IN	at
exactly	RB	exactly
what	WP	what
happened	VBD	happen
more	JJR	more
than	IN	than
30	CD	@card@
years	NNS	year
