<h>
Follow	VB	follow
Us	PP	us
<h>
Israeli	JJ	Israeli
settlers	NNS	settler
accused	VBN	accuse
of	IN	of
setting	VBG	set
fire	NN	fire
to	TO	to
and	CC	and
vandalizing	VBG	vandalize
West	NP	West
Bank	NP	Bank
mosque	NN	mosque
<p>
Palestinians	NNS	Palestinian
inspect	VBP	inspect
the	DT	the
damage	NN	damage
done	VBN	do
to	TO	to
a	DT	a
mosque	NN	mosque
,	,	,
after	IN	after
a	DT	a
reported	VBN	report
attack	NN	attack
by	IN	by
Israeli	JJ	Israeli
settlers	NNS	settler
,	,	,
in	IN	in
the	DT	the
town	NN	town
of	IN	of
Marda	NP	<unknown>
near	IN	near
the	DT	the
West	NP	West
Bank	NP	Bank
city	NN	city
of	IN	of
Salfit	NP	<unknown>
on	IN	on
Dec.	NP	Dec.
20	CD	@card@
,	,	,
2024	CD	@card@
.	SENT	.
<p>
Share	NN	share
<p>
Israeli	JJ	Israeli
settlers	NNS	settler
accused	VBN	accuse
of	IN	of
setting	VBG	set
fire	NN	fire
to	TO	to
and	CC	and
vandalizing	VBG	vandalize
West	NP	West
Bank	NP	Bank
mosque	NN	mosque
<p>
share	NN	share
<p>
Palestinian	JJ	Palestinian
residents	NNS	resident
in	IN	in
Israel	NP	Israel
'	POS	'
s	NN	S
occupied	VBD	occupy
West	NP	West
Bank	NP	Bank
city	NN	city
of	IN	of
Marda	NP	<unknown>
reported	VBD	report
Friday	NP	Friday
that	IN	that
Israeli	JJ	Israeli
settlers	NNS	settler
set	VBD	set
fire	NN	fire
to	TO	to
and	CC	and
vandalized	VBD	vandalize
a	DT	a
mosque	NN	mosque
,	,	,
writing	VBG	write
slurs	NNS	slur
and	CC	and
threatening	VBG	threaten
slogans	NNS	slogan
in	IN	in
spray	NN	spray
paint	NN	paint
on	IN	on
its	PP$	its
walls	NNS	wall
.	SENT	.
<p>
In	IN	in
security	NN	security
video	NN	video
taken	VBN	take
from	IN	from
the	DT	the
scene	NN	scene
,	,	,
a	DT	a
masked	JJ	masked
and	CC	and
hooded	JJ	hooded
person	NN	person
can	MD	can
be	VB	be
seen	VBN	see
spray-painting	VBG	spray-paint
the	DT	the
walls	NNS	wall
of	IN	of
the	DT	the
mosque	NN	mosque
.	SENT	.
At	IN	at
least	JJS	least
two	CD	two
others	NNS	other
join	VBP	join
the	DT	the
person	NN	person
,	,	,
one	CD	one
of	IN	of
them	PP	them
carrying	VBG	carry
what	WP	what
appears	VBZ	appear
to	TO	to
be	VB	be
a	DT	a
large	JJ	large
jug	NN	jug
or	CC	or
container	NN	container
as	IN	as
they	PP	they
head	VBP	head
into	IN	into
the	DT	the
building	NN	building
.	SENT	.
<p>
Among	IN	among
the	DT	the
messages	NNS	message
sprayed	VBN	spray
on	IN	on
the	DT	the
wall	NN	wall
were	VBD	be
"	``	"
Death	NN	death
to	TO	to
Arabs	NPS	Arabs
,	,	,
"	''	"
and	CC	and
"	``	"
the	DT	the
righteous	NN	righteous
will	MD	will
rejoice	VB	rejoice
because	IN	because
he	PP	he
sees	VBZ	see
revenge	NN	revenge
,	,	,
"	''	"
a	DT	a
quote	NN	quote
from	IN	from
the	DT	the
Hebrew	NP	Hebrew
Bible	NP	Bible
'	POS	'
s	JJ	<unknown>
book	NN	book
of	IN	of
Psalms	NNS	psalm
.	SENT	.
<p>
In	IN	in
a	DT	a
video	JJ	video
statement	NN	statement
Friday	NP	Friday
,	,	,
Marda	NP	<unknown>
village	NN	village
council	NN	council
chief	JJ	chief
Nasfat	NP	<unknown>
al-Khufash	NP	<unknown>
called	VBD	call
it	PP	it
a	DT	a
systematic	JJ	systematic
terror	NN	terror
attack	NN	attack
.	SENT	.
<p>
"	''	"
A	DT	a
number	NN	number
of	IN	of
settlers	NNS	settler
set	VBN	set
fire	NN	fire
and	CC	and
attempted	VBD	attempt
an	DT	an
attack	NN	attack
on	IN	on
a	DT	a
wider	JJR	wide
scale	NN	scale
on	IN	on
the	DT	the
mosque	NN	mosque
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
"	``	"
These	DT	these
attacks	NNS	attack
are	VBP	be
continuous	JJ	continuous
and	CC	and
systematic	JJ	systematic
by	IN	by
settler	NN	settler
groups	NNS	group
.	SENT	.
"	''	"
<p>
A	DT	a
Palestinian	NN	Palestinian
inspects	VBZ	inspect
the	DT	the
damage	NN	damage
done	VBN	do
to	TO	to
a	DT	a
mosque	NN	mosque
,	,	,
after	IN	after
a	DT	a
reported	VBN	report
attack	NN	attack
by	IN	by
Israeli	JJ	Israeli
settlers	NNS	settler
,	,	,
in	IN	in
the	DT	the
town	NN	town
of	IN	of
Marda	NP	<unknown>
near	IN	near
the	DT	the
West	NP	West
Bank	NP	Bank
city	NN	city
of	IN	of
Salfit	NP	<unknown>
on	IN	on
Dec.	NP	Dec.
20	CD	@card@
,	,	,
2024	CD	@card@
.	SENT	.
<p>
Israeli	JJ	Israeli
police	NNS	police
and	CC	and
the	DT	the
Israeli	JJ	Israeli
security	NN	security
agency	NN	agency
Shin	NP	Shin
Bet	NP	Bet
security	NN	security
services	NNS	service
said	VBD	say
in	IN	in
a	DT	a
joint	JJ	joint
statement	NN	statement
:	:	:
"	``	"
We	PP	we
see	VBP	see
this	DT	this
incident	NN	incident
as	IN	as
extremely	RB	extremely
serious	JJ	serious
and	CC	and
will	MD	will
act	VB	act
resolutely	RB	resolutely
to	TO	to
bring	VB	bring
the	DT	the
perpetrators	NNS	perpetrator
to	TO	to
justice	NN	justice
for	IN	for
rigorous	JJ	rigorous
trial	NN	trial
.	SENT	.
"	''	"
<p>
Meanwhile	RB	meanwhile
,	,	,
the	DT	the
Israel	NP	Israel
Defense	NP	Defense
Forces	NPS	Forces
(	(	(
IDF	NP	IDF
)	)	)
reported	VBD	report
,	,	,
in	IN	in
a	DT	a
statement	NN	statement
posted	VBD	post
to	TO	to
the	DT	the
social	JJ	social
media	NN	media
platform	NN	platform
X	NP	X
,	,	,
Israeli	NP	Israeli
Air	NP	Air
Force	NP	Force
fighter	NN	fighter
jets	NNS	jet
--	:	--
under	IN	under
the	DT	the
direction	NN	direction
of	IN	of
Israeli	JJ	Israeli
intelligence	NN	intelligence
and	CC	and
the	DT	the
Israeli	NP	Israeli
Navy	NP	Navy
--	:	--
struck	VBD	strike
Houthi	NP	<unknown>
militant	JJ	militant
targets	NNS	target
overnight	JJ	overnight
on	IN	on
the	DT	the
western	JJ	western
coast	NN	coast
of	IN	of
Yemen	NP	Yemen
as	RB	as
well	RB	well
as	IN	as
deeper	JJR	deep
in	IN	in
the	DT	the
country	NN	country
.	SENT	.
<p>
The	DT	the
statement	NN	statement
said	VBD	say
it	PP	it
hit	VBD	hit
fuel	NN	fuel
and	CC	and
oil	NN	oil
tanks	NNS	tank
,	,	,
two	CD	two
power	NN	power
plants	NNS	plant
and	CC	and
eight	CD	eight
tugboats	NNS	tugboat
.	SENT	.
The	DT	the
IDF	NP	IDF
said	VBD	say
hitting	VBG	hit
the	DT	the
targets	NNS	target
"	``	"
severely	RB	severely
harms	VBZ	harm
the	DT	the
military	JJ	military
operations	NNS	operation
of	IN	of
the	DT	the
Houthi	NP	<unknown>
forces	NNS	force
.	SENT	.
"	``	"
<p>
The	DT	the
IDF	NP	IDF
said	VBD	say
the	DT	the
Iranian-backed	JJ	Iranian-backed
Houthi	NP	<unknown>
militants	NNS	militant
have	VBP	have
"	``	"
carried	VBN	carry
out	RP	out
repeated	VBN	repeat
attacks	NNS	attack
on	IN	on
the	DT	the
State	NP	State
of	IN	of
Israel	NP	Israel
,	,	,
in	IN	in
which	WDT	which
unmanned	JJ	unmanned
aerial	JJ	aerial
vehicles	NNS	vehicle
and	CC	and
surface-to-surface	JJ	surface-to-surface
missiles	NNS	missile
were	VBD	be
launched	VBN	launch
toward	IN	toward
the	DT	the
country	NN	country
'	POS	'
s	NN	S
territory	NN	territory
.	SENT	.
"	''	"
<p>
Also	RB	also
Friday	NP	Friday
,	,	,
Sweden	NP	Sweden
announced	VBD	announce
it	PP	it
was	VBD	be
ending	VBG	end
funding	NN	funding
for	IN	for
the	DT	the
U.N	NP	U.N
.	SENT	.
Relief	NP	Relief
and	CC	and
Works	NP	Works
Agency	NP	Agency
for	IN	for
Palestinian	JJ	Palestinian
Refugees	NNS	refugee
--	:	--
known	VBN	know
as	IN	as
UNRWA	NP	<unknown>
.	SENT	.
Sweden	NP	Sweden
'	POS	'
s	JJ	<unknown>
international	JJ	international
aid	NN	aid
chief	NN	chief
,	,	,
Benjamin	NP	Benjamin
Dousa	NP	<unknown>
,	,	,
made	VBD	make
the	DT	the
announcement	NN	announcement
on	IN	on
Swedish	JJ	Swedish
television	NN	television
,	,	,
saying	VBG	say
the	DT	the
decision	NN	decision
came	VBD	come
following	VBG	follow
Israeli	JJ	Israeli
lawmakers	NNS	lawmaker
passing	VBG	pass
a	DT	a
ban	NN	ban
on	IN	on
the	DT	the
agency	NN	agency
from	IN	from
working	VBG	work
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
Israel	NP	Israel
has	VBZ	have
long	RB	long
claimed	VBN	claim
UNRWA	NP	<unknown>
was	VBD	be
a	DT	a
front	NN	front
for	IN	for
terrorists	NNS	terrorist
.	SENT	.
Sweden	NP	Sweden
said	VBD	say
it	PP	it
plans	VBZ	plan
to	TO	to
increase	VB	increase
its	PP$	its
aid	NN	aid
to	TO	to
Gaza	NP	Gaza
in	IN	in
the	DT	the
next	JJ	next
year	NN	year
but	CC	but
will	MD	will
