<p>
Bloodthirsty	JJ	bloodthirsty
Hamas	JJ	<unknown>
terrorists	NNS	terrorist
were	VBD	be
high	JJ	high
on	IN	on
a	DT	a
powerful	JJ	powerful
stimulant	NN	stimulant
dubbed	VBN	dub
"	``	"
poor	JJ	poor
man	NN	man
'	POS	'
s	JJ	<unknown>
cocaine	NN	cocaine
"	''	"
when	WRB	when
they	PP	they
launched	VBD	launch
their	PP$	their
surprise	NN	surprise
attack	NN	attack
on	IN	on
Israel	NP	Israel
,	,	,
according	VBG	accord
to	TO	to
a	DT	a
report	NN	report
.	SENT	.
<p>
Pills	NNS	pill
of	IN	of
the	DT	the
drug	NN	drug
Captagon	NP	<unknown>
--	:	--
a	DT	a
synthetic	NN	synthetic
,	,	,
amphetamine-type	NN	<unknown>
stimulant	NN	stimulant
--	:	--
were	VBD	be
found	VBN	find
in	IN	in
the	DT	the
pockets	NNS	pocket
of	IN	of
dead	JJ	dead
or	CC	or
captured	VBN	capture
terrorists	NNS	terrorist
after	IN	after
they	PP	they
invaded	VBD	invade
the	DT	the
Jewish	JJ	Jewish
state	NN	state
on	IN	on
Oct.	NP	Oct.
7	CD	@card@
,	,	,
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
Channel	NP	Channel
12	CD	@card@
reported	VBD	report
.	SENT	.
<p>
The	DT	the
drug	NN	drug
--	:	--
also	RB	also
known	VBN	know
as	IN	as
"	``	"
the	DT	the
drug	NN	drug
of	IN	of
jihad	NN	jihad
"	''	"
or	CC	or
"	``	"
cocaine	NN	cocaine
for	IN	for
the	DT	the
poor	NN	poor
"	''	"
--	:	--
allowed	VBN	allow
the	DT	the
jihadists	NNS	<unknown>
to	TO	to
commit	VB	commit
the	DT	the
atrocities	NNS	atrocity
with	IN	with
a	DT	a
calm	JJ	calm
demeanor	NN	demeanor
while	IN	while
keeping	VBG	keep
them	PP	them
alert	JJ	alert
and	CC	and
suppressing	VBG	suppress
their	PP$	their
appetites	NNS	appetite
,	,	,
the	DT	the
outlet	NN	outlet
reported	VBD	report
.	SENT	.
<p>
Captagon	NP	<unknown>
was	VBD	be
first	RB	first
produced	VBN	produce
in	IN	in
Germany	NP	Germany
in	IN	in
the	DT	the
1960s	NNS	1960s
to	TO	to
help	VB	help
treat	VB	treat
attention-deficit	NN	attention-deficit
disorders	NNS	disorder
,	,	,
narcolepsy	NN	narcolepsy
and	CC	and
depression	NN	depression
.	SENT	.
<p>
The	DT	the
addictive	JJ	addictive
stimulant	NN	stimulant
gained	VBD	gain
notoriety	NN	notoriety
in	IN	in
2015	CD	@card@
when	WRB	when
ISIS	NP	Isis
terrorists	NNS	terrorist
used	VBD	use
it	PP	it
to	TO	to
suppress	VB	suppress
fear	NN	fear
before	IN	before
carrying	VBG	carry
out	RP	out
their	PP$	their
attacks	NNS	attack
,	,	,
the	DT	the
Jerusalem	NP	Jerusalem
Post	NP	Post
reported	VBD	report
.	SENT	.
<p>
It	PP	it
has	VBZ	have
since	RB	since
been	VBN	be
produced	VBN	produce
in	IN	in
Lebanon	NP	Lebanon
and	CC	and
Syria	NP	Syria
,	,	,
which	WDT	which
distributed	VBD	distribute
it	PP	it
widely	RB	widely
.	SENT	.
<p>
Hamas	NN	<unknown>
terrorists	NNS	terrorist
were	VBD	be
reportedly	RB	reportedly
high	JJ	high
on	IN	on
a	DT	a
powerful	JJ	powerful
stimulant	NN	stimulant
dubbed	VBN	dub
"	``	"
poor	JJ	poor
man	NN	man
'	POS	'
s	JJ	<unknown>
cocaine	NN	cocaine
"	''	"
when	WRB	when
they	PP	they
launched	VBD	launch
their	PP$	their
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
woman	NN	woman
seen	VBN	see
above.AP	NN	<unknown>
<p>
"	``	"
The	DT	the
Syrian	JJ	Syrian
regime	NN	regime
'	POS	'
s	JJ	<unknown>
trafficking	NN	trafficking
of	IN	of
billions	NNS	billion
of	IN	of
dollars	NNS	dollar
worth	JJ	worth
of	IN	of
Captagon	NP	<unknown>
has	VBZ	have
helped	VBN	help
to	TO	to
spread	VB	spread
violence	NN	violence
across	IN	across
the	DT	the
region	NN	region
.	SENT	.
Hamas	JJ	<unknown>
terrorists	NNS	terrorist
'	POS	'
reported	VBN	report
use	NN	use
of	IN	of
the	DT	the
drug	NN	drug
only	RB	only
adds	VBZ	add
to	TO	to
the	DT	the
carnage	NN	carnage
,	,	,
"	''	"
David	NP	David
Adesnik	NP	<unknown>
,	,	,
a	DT	a
senior	JJ	senior
fellow	NN	fellow
and	CC	and
the	DT	the
director	NN	director
of	IN	of
research	NN	research
at	IN	at
the	DT	the
Washington-based	JJ	Washington-based
Foundation	NP	Foundation
for	IN	for
the	DT	the
Defense	NN	defense
of	IN	of
Democracies	NNS	democracy
,	,	,
told	VBD	tell
the	DT	the
Telegraph	NP	Telegraph
.	SENT	.
<p>
In	IN	in
recent	JJ	recent
years	NNS	year
,	,	,
Captagon	NP	<unknown>
has	VBZ	have
grown	VBN	grow
in	IN	in
popularity	NN	popularity
in	IN	in
Gaza	NP	Gaza
,	,	,
Channel	NP	Channel
12	CD	@card@
said	VBD	say
.	SENT	.
<p>
The	DT	the
pills	NNS	pill
--	:	--
which	WDT	which
can	MD	can
be	VB	be
purchased	VBN	purchase
for	IN	for
a	DT	a
dollar	NN	dollar
or	CC	or
two	CD	two
a	DT	a
pop	NN	pop
in	IN	in
poor	JJ	poor
countries	NNS	country
--	:	--
induce	VB	induce
feelings	NNS	feeling
of	IN	of
euphoria	NN	euphoria
,	,	,
reduce	VB	reduce
the	DT	the
need	NN	need
for	IN	for
sleep	NN	sleep
,	,	,
suppress	VB	suppress
appetites	NNS	appetite
and	CC	and
provide	VB	provide
sustained	JJ	sustained
energy	NN	energy
.	SENT	.
<p>
The	DT	the
drug	NN	drug
is	VBZ	be
reportedly	RB	reportedly
a	DT	a
mix	NN	mix
of	IN	of
fenethylline	NN	<unknown>
,	,	,
caffeine	NN	caffeine
and	CC	and
other	JJ	other
fillers	NNS	filler
.	SENT	.
<p>
A	DT	a
witness	NN	witness
described	VBD	describe
the	DT	the
terrorists	NNS	terrorist
as	IN	as
having	VBG	have
"	``	"
crazy	JJ	crazy
joy	NN	joy
in	IN	in
their	PP$	their
eyes	NNS	eye
,	,	,
like	IN	like
they	PP	they
were	VBD	be
high	JJ	high
on	IN	on
something	NN	something
"	''	"
while	IN	while
they	PP	they
carried	VBD	carry
out	RP	out
their	PP$	their
assault	NN	assault
in	IN	in
Kibbutz	NN	kibbutz
Be'eri	NP	<unknown>
and	CC	and
took	VBD	take
hostages	NNS	hostage
,	,	,
according	VBG	accord
to	TO	to
The	DT	the
New	NP	New
Yorker	NP	Yorker
magazine	NN	magazine
.	SENT	.
<p>
In	IN	in
2020	CD	@card@
,	,	,
Captagon	NP	<unknown>
'	POS	'
s	JJ	<unknown>
exports	NNS	export
from	IN	from
Syria	NP	Syria
reached	VBD	reach
a	DT	a
minimum	NN	minimum
of	IN	of
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
combined	JJ	combined
value	NN	value
of	IN	of
the	DT	the
country	NN	country
'	POS	'
s	JJ	<unknown>
legal	JJ	legal
export	NN	export
industries	NNS	industry
,	,	,
estimated	VBN	estimate
at	IN	at
just	RB	just
over	IN	over
$700	NP	<unknown>
million	CD	million
,	,	,
the	DT	the
Jerusalem	NP	Jerusalem
Post	NP	Post
reported	VBD	report
.	SENT	.
<p>
In	IN	in
December	NP	December
2021	CD	@card@
,	,	,
Kuwaiti	JJ	Kuwaiti
authorities	NNS	authority
seized	VBD	seize
9	CD	@card@
million	CD	million
of	IN	of
the	DT	the
pills	NNS	pill
hidden	VBN	hide
in	IN	in
a	DT	a
shipment	NN	shipment
of	IN	of
oranges	NNS	orange
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
outlet	NN	outlet
.	SENT	.
