<h>
Some	DT	some
signs	NNS	sign
read	VB	read
'	''	'
By	IN	by
any	DT	any
means	VBZ	mean
necessary	JJ	necessary
'	''	'
and	NP	and
'	POS	'
NYC	NP	NYC
stands	VBZ	stand
with	IN	with
Gaza	NP	Gaza
"	``	"
<p>
A	DT	a
pro-Palestinian	NP	pro-Palestinian
protestor	NN	protestor
waves	VBZ	wave
a	DT	a
shredded	JJ	shredded
American	JJ	American
flag	NN	flag
at	IN	at
a	DT	a
bus	NN	bus
in	IN	in
Brooklyn	NP	Brooklyn
,	,	,
NY	NP	NY
on	IN	on
Saturday	NP	Saturday
,	,	,
October	NP	October
28	CD	@card@
,	,	,
2023	CD	@card@
.	SENT	.
The	DT	the
protestor	NN	protestor
is	VBZ	be
part	NN	part
of	IN	of
a	DT	a
rally	NN	rally
,	,	,
which	WDT	which
began	VBD	begin
in	IN	in
Brooklyn	NP	Brooklyn
today	NN	today
,	,	,
is	VBZ	be
in	IN	in
response	NN	response
to	TO	to
the	DT	the
war	NN	war
in	IN	in
Israel	NP	Israel
.	SENT	.
(	(	(
Stephen	NP	Stephen
Yang	NP	Yang
for	IN	for
Fox	NP	Fox
News	NP	News
Digital	NP	Digital
)	)	)
<p>
Thousands	NNS	thousand
of	IN	of
Pro-Palestine	NP	Pro-Palestine
protestors	NNS	protestor
forced	VBD	force
city	NN	city
officials	NNS	official
to	TO	to
close	VB	close
the	DT	the
Brooklyn	NP	Brooklyn
Bridge	NP	Bridge
down	RB	down
on	IN	on
Saturday	NP	Saturday
after	IN	after
they	PP	they
gathered	VBD	gather
in	IN	in
New	NP	New
York	NP	York
City	NP	City
amid	IN	amid
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
war	NN	war
against	IN	against
Hamas	JJ	<unknown>
terrorists	NNS	terrorist
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
"	``	"
Protest	NN	protest
Activity	NN	activity
:	:	:
All	DT	all
lanes	NNS	lane
on	IN	on
the	DT	the
Brooklyn	NP	Brooklyn
Bridge	NP	Bridge
are	VBP	be
closed	VBN	close
in	IN	in
both	DT	both
directions	NNS	direction
,	,	,
"	''	"
the	DT	the
New	NP	New
York	NP	York
City	NP	City
Emergency	NP	Emergency
Management	NP	Management
Department	NP	Department
wrote	VBD	write
on	IN	on
X	NP	X
,	,	,
formerly	RB	formerly
known	VBN	know
as	IN	as
Twitter	NN	twitter
.	SENT	.
"	``	"
Consider	VB	consider
alternate	JJ	alternate
routes	NNS	route
.	SENT	.
"	''	"
<h>
PHOTOS	NNS	photo
:	:	:
WILD	JJ	wild
PROTESTS	NNS	protest
IN	IN	in
NEW	NP	NEW
YORK	VBP	york
<p>
next	JJ	next
<p>
Image	NN	image
1	CD	@card@
of	IN	of
33	CD	@card@
<p>
A	DT	a
pro-Palestinian	NP	pro-Palestinian
protestor	NN	protestor
drags	VBZ	drag
a	DT	a
shredded	JJ	shredded
American	JJ	American
flag	NN	flag
along	IN	along
the	DT	the
street	NN	street
in	IN	in
Brooklyn	NP	Brooklyn
.	SENT	.
(	(	(
Stephen	NP	Stephen
Yang	NP	Yang
for	IN	for
Fox	NP	Fox
News	NP	News
Digital	NP	Digital
)	)	)
<p>
The	DT	the
Brooklyn	NP	Brooklyn
demonstration	NN	demonstration
marked	VBD	mark
three	CD	three
weeks	NNS	week
since	IN	since
Hamas	JJ	<unknown>
fighters	NNS	fighter
launched	VBD	launch
a	DT	a
surprise	NN	surprise
attack	NN	attack
against	IN	against
Israel	NP	Israel
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Israelis	NPS	Israelis
were	VBD	be
murdered	VBN	murder
Oct.	NP	Oct.
7	CD	@card@
.	SENT	.
Hamas	NP	<unknown>
'	POS	'
s	JJ	<unknown>
health	NN	health
ministry	NN	ministry
estimates	VBZ	estimate
that	IN	that
around	RB	around
7,300	CD	@card@
Palestinians	NPS	Palestinians
have	VBP	have
been	VBN	be
killed	VBN	kill
since	IN	since
the	DT	the
war	NN	war
began	VBD	begin
.	SENT	.
<p>
Protestors	NNS	protestor
were	VBD	be
seen	VBN	see
holding	NN	holding
signs	NNS	sign
that	WDT	that
read	VBD	read
,	,	,
"	``	"
By	IN	by
any	DT	any
means	VBZ	mean
necessary	JJ	necessary
"	''	"
and	CC	and
"	``	"
NYC	NP	NYC
stands	VBZ	stand
with	IN	with
Gaza	NP	Gaza
"	''	"
while	IN	while
waving	VBG	wave
Palestinian	JJ	Palestinian
flags	NNS	flag
.	SENT	.
<p>
Pro-Palestinian	JJ	Pro-Palestinian
protestors	NNS	protestor
wave	VBP	wave
a	DT	a
flag	NN	flag
above	IN	above
the	DT	the
Brooklyn	NP	Brooklyn
Bridge	NP	Bridge
,	,	,
New	NP	New
York	NP	York
,	,	,
NY	NP	NY
on	IN	on
Saturday	NP	Saturday
,	,	,
October	NP	October
28	CD	@card@
,	,	,
2023	CD	@card@
.	SENT	.
The	DT	the
rally	NN	rally
,	,	,
which	WDT	which
began	VBD	begin
in	IN	in
Brooklyn	NP	Brooklyn
today	NN	today
,	,	,
is	VBZ	be
in	IN	in
response	NN	response
to	TO	to
the	DT	the
war	NN	war
in	IN	in
Israel	NP	Israel
.	SENT	.
(	(	(
Stephen	NP	Stephen
Yang	NP	Yang
for	IN	for
Fox	NP	Fox
News	NP	News
Digital	NP	Digital
)	)	)
<p>
A	DT	a
crowd	NN	crowd
of	IN	of
Hasidic	NP	Hasidic
Jews	NPS	Jews
also	RB	also
