<p>
Irish-Israeli	NP	Irish-Israeli
woman	NN	woman
Kim	NP	Kim
Damti	NP	<unknown>
,	,	,
who	WP	who
had	VBD	have
been	VBN	be
missing	VBG	miss
following	VBG	follow
a	DT	a
Hamas	JJ	<unknown>
attack	NN	attack
at	IN	at
a	DT	a
music	NN	music
festival	NN	festival
in	IN	in
Israel	NP	Israel
last	JJ	last
weekend	NN	weekend
,	,	,
has	VBZ	have
died	VBN	die
,	,	,
Tanaiste	NP	<unknown>
Michael	NP	Michael
Martin	NP	Martin
has	VBZ	have
confirmed	VBN	confirm
.	SENT	.
<p>
Kim	NP	Kim
Damti	NP	<unknown>
,	,	,
22	CD	@card@
,	,	,
was	VBD	be
attending	VBG	attend
a	DT	a
music	NN	music
festival	NN	festival
near	IN	near
the	DT	the
Gaza	NP	Gaza
border	NN	border
when	WRB	when
gunmen	NNS	gunman
arrived	VBD	arrive
at	IN	at
the	DT	the
site	NN	site
.	SENT	.
<h>
Today	NN	today
'	POS	'
s	JJ	<unknown>
top	JJ	top
videos	NNS	video
<h>
STORY	NN	story
CONTINUES	VBZ	continue
BELOW	RB	below
<p>
Scheduled	VBN	schedule
to	TO	to
coincide	VB	coincide
with	IN	with
the	DT	the
Jewish	JJ	Jewish
festival	NN	festival
of	IN	of
Simchat	NP	<unknown>
Torah	NP	Torah
,	,	,
the	DT	the
Supernova	NN	supernova
weekend-long	JJ	<unknown>
outdoor	JJ	outdoor
rave	NN	rave
in	IN	in
southern	JJ	southern
Israel	NP	Israel
was	VBD	be
billed	VBN	bill
as	IN	as
a	DT	a
celebration	NN	celebration
of	IN	of
'	''	'
friends	NNS	friend
,	,	,
love	NN	love
and	CC	and
infinite	JJ	infinite
freedom	NN	freedom
'	POS	'
.	SENT	.
<p>
Instead	RB	instead
,	,	,
revellers	NNS	reveller
were	VBD	be
surrounded	VBN	surround
by	IN	by
Hamas	JJ	<unknown>
gunmen	NNS	gunman
who	WP	who
descended	VBD	descend
on	IN	on
the	DT	the
site	NN	site
in	IN	in
paragliders	NNS	paraglider
,	,	,
motorbikes	NNS	motorbike
and	CC	and
pick-up	NN	pick-up
trucks	NNS	truck
.	SENT	.
<p>
Kim	NP	Kim
Damti	NP	<unknown>
.	SENT	.
<p>
In	IN	in
a	DT	a
statement	NN	statement
to	TO	to
RT	NP	RT
?	SENT	?
News	NN	news
on	IN	on
Wednesday	NP	Wednesday
evening	NN	evening
,	,	,
her	PP$	her
aunt	NN	aunt
Pat	NP	Pat
Cooper	NP	Cooper
said	VBD	say
:	:	:
'	''	'
With	IN	with
heartfelt	JJ	heartfelt
sorrow	NN	sorrow
the	DT	the
Cooper	NP	Cooper
family	NN	family
announce	VB	announce
the	DT	the
death	NN	death
of	IN	of
their	PP$	their
beloved	JJ	beloved
niece	NN	niece
,	,	,
Kim	NP	Kim
Damti	NP	<unknown>
.	SENT	.
<p>
'	''	'
We	PP	we
thank	VBP	thank
all	PDT	all
those	DT	those
who	WP	who
have	VBP	have
supported	VBN	support
us	PP	us
with	IN	with
love	NN	love
and	CC	and
encouragement	NN	encouragement
over	IN	over
the	DT	the
past	JJ	past
five	CD	five
days	NNS	day
.	SENT	.
<p>
'	''	'
We	PP	we
respectfully	RB	respectfully
request	VBP	request
the	DT	the
media	NNS	medium
to	TO	to
allow	VB	allow
us	PP	us
to	TO	to
grieve	VB	grieve
in	IN	in
the	DT	the
privacy	NN	privacy
of	IN	of
our	PP$	our
family	NN	family
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
sister	JJ	sister
Laura	NP	Laura
paid	VBD	pay
tribute	NN	tribute
to	TO	to
her	PP	her
,	,	,
saying	VBG	say
that	IN	that
Ms	NN	Ms
Damti	NP	<unknown>
'	POS	'
s	NN	S
funeral	NN	funeral
would	MD	would
be	VB	be
held	VBN	hold
tomorrow	NN	tomorrow
.	SENT	.
<p>
'	''	'
With	IN	with
great	JJ	great
sorrow	NN	sorrow
and	CC	and
gloomy	JJ	gloomy
grief	NN	grief
,	,	,
I	PP	I
announce	VBP	announce
the	DT	the
killing	NN	killing
of	IN	of
our	PP$	our
angel	NN	angel
,	,	,
our	PP$	our
flower	NN	flower
,	,	,
Kim	NP	Kim
my	PP$	my
blood	NN	blood
,	,	,
who	WP	who
was	VBD	be
murdered	VBN	murder
by	IN	by
the	DT	the
cursed	JJ	cursed
terrorists	NNS	terrorist
,	,	,
'	''	'
she	PP	she
said	VBD	say
.	SENT	.
<p>
'	''	'
The	DT	the
funeral	NN	funeral
will	MD	will
take	VB	take
place	NN	place
tomorrow	NN	tomorrow
at	IN	at
5pm	NN	5pm
at	IN	at
the	DT	the
cemetery	NN	cemetery
in	IN	in
Gedera	NP	<unknown>
.	SENT	.
'	''	'
<p>
T	NN	T
?	SENT	?
naiste	NP	<unknown>
Miche	NP	<unknown>
?	SENT	?
l	NN	l
Martin	NP	Martin
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
this	DT	this
evening	NN	evening
that	RB	that
'	''	'
it	PP	it
is	VBZ	be
with	IN	with
immense	JJ	immense
sadness	NN	sadness
that	IN	that
I	PP	I
learnt	VBD	learn
this	DT	this
evening	NN	evening
that	IN	that
Kim	NP	Kim
Damti	NP	<unknown>
'	POS	'
s	NN	S
death	NN	death
has	VBZ	have
been	VBN	be
confirmed	VBN	confirm
'	''	'
.	SENT	.
<p>
'	''	'
When	WRB	when
news	NN	news
reached	VBD	reach
us	PP	us
over	IN	over
the	DT	the
weekend	NN	weekend
that	IN	that
an	DT	an
Irish	JJ	Irish
citizen	NN	citizen
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
many	JJ	many
hundreds	NNS	hundred
missing	VBG	miss
after	IN	after
the	DT	the
repugnant	JJ	repugnant
terrorist	JJ	terrorist
attack	NN	attack
by	IN	by
Hamas	NP	<unknown>
in	IN	in
Israel	NP	Israel
,	,	,
we	PP	we
hoped	VBD	hope
against	IN	against
hope	NN	hope
that	IN	that
she	PP	she
would	MD	would
be	VB	be
found	VBN	find
safely	RB	safely
.	SENT	.
The	DT	the
news	NN	news
that	IN	that
this	DT	this
hope	NN	hope
has	VBZ	have
now	RB	now
been	VBN	be
extinguished	VBN	extinguish
is	VBZ	be
devastating	JJ	devastating
,	,	,
'	''	'
Martin	NP	Martin
said	VBD	say
.	SENT	.
<p>
'	''	'
Anyone	NN	anyone
looking	VBG	look
at	IN	at
the	DT	the
photo	NN	photo
of	IN	of
Kim	NP	Kim
in	IN	in
the	DT	the
media	NNS	medium
over	IN	over
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
will	MD	will
have	VB	have
been	VBN	be
struck	VBN	strike
by	IN	by
the	DT	the
radiance	NN	radiance
and	CC	and
energy	NN	energy
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
whole	JJ	whole
life	NN	life
ahead	RB	ahead
of	IN	of
her	PP	her
,	,	,
full	JJ	full
of	IN	of
promise	NN	promise
,	,	,
'	''	'
he	PP	he
said	VBD	say
.	SENT	.
<p>
'	''	'
For	IN	for
anyone	NN	anyone
to	TO	to
lose	VB	lose
a	DT	a
child	NN	child
is	VBZ	be
devastating	JJ	devastating
.	SENT	.
To	TO	to
lose	VB	lose
a	DT	a
child	NN	child
in	IN	in
such	JJ	such
circumstances	NNS	circumstance
is	VBZ	be
indescribable	JJ	indescribable
,	,	,
'	''	'
the	DT	the
T	NN	T
?	SENT	?
naiste	NN	<unknown>
said	VBD	say
.	SENT	.
<p>
He	PP	he
added	VBD	add
:	:	:
'	''	'
On	IN	on
my	PP$	my
behalf	NN	behalf
and	CC	and
on	IN	on
behalf	NN	behalf
of	IN	of
the	DT	the
Government	NN	government
and	CC	and
people	NNS	people
of	IN	of
Ireland	NP	Ireland
,	,	,
I	PP	I
convey	VBP	convey
our	PP$	our
heartfelt	JJ	heartfelt
condolences	NNS	condolence
to	TO	to
Kim	NP	Kim
'	POS	'
s	JJ	<unknown>
family	NN	family
in	IN	in
Ireland	NP	Ireland
and	CC	and
in	IN	in
Israel	NP	Israel
.	SENT	.
We	PP	we
are	VBP	be
with	IN	with
them	PP	them
in	IN	in
their	PP$	their
grief	NN	grief
.	SENT	.
I	PP	I
spoke	VBD	speak
with	IN	with
Kim	NP	Kim
'	POS	'
s	NN	S
family	NN	family
earlier	RBR	earlier
this	DT	this
evening	NN	evening
and	CC	and
expressed	VBD	express
this	DT	this
to	TO	to
them	PP	them
.	SENT	.
<p>
'	''	'
Our	PP$	our
thoughts	NNS	thought
remain	VBP	remain
with	IN	with
all	PDT	all
the	DT	the
families	NNS	family
of	IN	of
those	DT	those
who	WP	who
have	VBP	have
died	VBN	die
,	,	,
who	WP	who
are	VBP	be
injured	VBN	injure
or	CC	or
who	WP	who
are	VBP	be
missing	VBG	miss
in	IN	in
the	DT	the
wake	NN	wake
of	IN	of
these	DT	these
terrible	JJ	terrible
events	NNS	event
.	SENT	.
