<p>
During	IN	during
the	DT	the
interview	NN	interview
,	,	,
Kirsty	NP	<unknown>
,	,	,
68	CD	@card@
,	,	,
brought	VBN	bring
up	IN	up
the	DT	the
October	NP	October
Declaration	NP	Declaration
,	,	,
an	DT	an
open	JJ	open
letter	NN	letter
signed	VBN	sign
by	IN	by
more	JJR	more
than	IN	than
58,000	CD	@card@
people	NNS	people
so	RB	so
far	RB	far
,	,	,
including	VBG	include
politicians	NNS	politician
,	,	,
artists	NNS	artist
and	CC	and
celebrities	NNS	celebrity
,	,	,
who	WP	who
have	VBP	have
called	VBN	call
on	IN	on
the	DT	the
media	NNS	medium
to	TO	to
brand	VB	brand
Hamas	JJ	<unknown>
terrorists	NNS	terrorist
.	SENT	.
<p>
She	PP	she
said	VBD	say
:	:	:
'	''	'
Do	VB	do
you	PP	you
think	VBP	think
that	IN	that
the	DT	the
October	NP	October
declaration	NN	declaration
in	IN	in
a	DT	a
way	NN	way
was	VBD	be
a	DT	a
way	NN	way
to	TO	to
find	VB	find
solidarity	NN	solidarity
?	SENT	?
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
'	POS	'
s	NN	S
behind	IN	behind
the	DT	the
declaration	NN	declaration
for	IN	for
the	DT	the
people	NNS	people
to	TO	to
come	VB	come
together	RB	together
and	CC	and
express	VB	express
their	PP$	their
feelings	NNS	feeling
?	SENT	?
'	''	'
<p>
When	WRB	when
it	PP	it
came	VBD	come
time	NN	time
to	TO	to
answer	VB	answer
,	,	,
Rachel	NP	Rachel
did	VBD	do
not	RB	not
hold	VB	hold
back	RB	back
.	SENT	.
<p>
'	''	'
It	PP	it
is	VBZ	be
finding	VBG	find
solidarity	NN	solidarity
and	CC	and
it	PP	it
is	VBZ	be
expressing	VBG	express
disgust	NN	disgust
at	IN	at
organisations	NNS	organisation
like	IN	like
the	DT	the
BBC	NP	BBC
,	,	,
'	''	'
she	PP	she
began	VBD	begin
.	SENT	.
<p>
In	IN	in
the	DT	the
interview	NN	interview
,	,	,
Rachel	NP	Rachel
also	RB	also
likened	VBD	liken
supporting	VBG	support
Hamas	NNS	<unknown>
to	TO	to
supporting	VBG	support
the	DT	the
Taliban	NP	<unknown>
in	IN	in
support	NN	support
of	IN	of
Afghans	NNS	Afghan
.	SENT	.
<p>
Her	PP$	her
comments	NNS	comment
followed	VBD	follow
the	DT	the
question	NN	question
:	:	:
'	''	'
Do	VB	do
you	PP	you
accept	VB	accept
that	IN	that
people	NNS	people
who	WP	who
support	VBP	support
the	DT	the
Palestinians	NPS	Palestinians
and	CC	and
feel	VB	feel
strongly	RB	strongly
about	IN	about
their	PP$	their
plight	NN	plight
have	VBP	have
a	DT	a
right	NN	right
to	TO	to
march	VB	march
and	CC	and
have	VBP	have
a	DT	a
right	NN	right
to	TO	to
freedom	NN	freedom
of	IN	of
speech	NN	speech
in	IN	in
this	DT	this
situation	NN	situation
?	SENT	?
'	''	'
<p>
Retaliatory	JJ	retaliatory
strikes	NNS	strike
by	IN	by
Israel	NP	Israel
have	VBP	have
now	RB	now
led	VBN	lead
to	TO	to
thousands	NNS	thousand
of	IN	of
civilian	JJ	civilian
deaths	NNS	death
in	IN	in
Palestine	NP	Palestine
(	(	(
Picture	NP	Picture
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
everyone	NN	everyone
has	VBZ	have
a	DT	a
right	NN	right
to	TO	to
freedom	NN	freedom
of	IN	of
speech	NN	speech
.	SENT	.
They	PP	they
do	VBP	do
n't	RB	n't
have	VB	have
a	DT	a
right	NN	right
to	TO	to
support	VB	support
terrorism	NN	terrorism
.	SENT	.
<p>
'	''	'
Hamas	NP	<unknown>
is	VBZ	be
a	DT	a
designated	VBN	designate
terrorist	JJ	terrorist
organisation	NN	organisation
in	IN	in
the	DT	the
UK	NP	UK
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
designated	VBN	designate
by	IN	by
most	RBS	most
Western	JJ	Western
Governments	NNS	government
,	,	,
most	RBS	most
decent	JJ	decent
governments	NNS	government
,	,	,
so	RB	so
to	TO	to
support	VB	support
Hamas	NN	<unknown>
is	VBZ	be
illegal	JJ	illegal
against	IN	against
the	DT	the
Counter	NP	Counter
Terrorism	NN	terrorism
Act	NP	Act
.	SENT	.
<p>
'	''	'
Supporting	VBG	support
Hamas	NNS	<unknown>
in	IN	in
support	NN	support
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
is	VBZ	be
equivalent	JJ	equivalent
to	TO	to
supporting	VBG	support
the	DT	the
Taliban	NP	<unknown>
in	IN	in
support	NN	support
of	IN	of
Afghans	NNS	Afghan
.	SENT	.
<p>
Do	VB	do
you	PP	you
agree	VB	agree
with	IN	with
Rachel	NP	Rachel
Riley	NP	Riley
'	POS	'
s	JJ	<unknown>
critique	NN	critique
of	IN	of
BBC	NP	BBC
'	POS	'
s	JJ	<unknown>
stance	NN	stance
on	IN	on
Hamas	NP	<unknown>
?	SENT	?
Comment	VB	comment
Now	RB	now
<p>
She	PP	she
continued	VBD	continue
:	:	:
'	''	'
It	PP	it
'	POS	'
s	JJ	<unknown>
incompatible	NN	incompatible
with	IN	with
their	PP$	their
freedom	NN	freedom
,	,	,
with	IN	with
being	VBG	be
able	JJ	able
to	TO	to
live	VB	live
their	PP$	their
lives	NNS	life
peacefully	RB	peacefully
,	,	,
which	WDT	which
is	VBZ	be
well	RB	well
,	,	,
what	WP	what
any	DT	any
decent	JJ	decent
person	NN	person
on	IN	on
the	DT	the
planet	NN	planet
wants	VBZ	want
.	SENT	.
'	''	'
<p>
However	RB	however
,	,	,
Wark	NP	Wark
was	VBD	be
quick	JJ	quick
to	TO	to
interject	VB	interject
,	,	,
adding	VBG	add
:	:	:
'	''	'
In	IN	in
a	DT	a
way	NN	way
,	,	,
what	WP	what
I	PP	I
would	MD	would
say	VB	say
to	TO	to
that	DT	that
as	RB	as
well	RB	well
is	VBZ	be
,	,	,
of	IN	of
course	NN	course
,	,	,
that	IN	that
many	JJ	many
Palestinians	NPS	Palestinians
do	VBP	do
not	RB	not
support	VB	support
Hamas	NNS	<unknown>
.	SENT	.
'	''	'
<p>
In	IN	in
the	DT	the
past	JJ	past
few	JJ	few
weeks	NNS	week
,	,	,
the	DT	the
BBC	NP	BBC
has	VBZ	have
been	VBN	be
questioned	VBN	question
by	IN	by
public	JJ	public
figures	NNS	figure
including	VBG	include
Labor	NP	Labor
leader	NN	leader
