<h>
Israelis	NPS	Israelis
recount	VBP	recount
terrified	VBN	terrify
flight	NN	flight
as	IN	as
Hamas	JJ	<unknown>
gunmen	NNS	gunman
attack	NN	attack
dance	NN	dance
party	NN	party
<h>
Israelis	NNS	Israeli
recount	VBP	recount
terrified	VBN	terrify
flight	NN	flight
as	IN	as
Hamas	JJ	<unknown>
gunmen	NNS	gunman
attack	NN	attack
dance	NN	dance
party	NN	party
<p>
A	DT	a
man	NN	man
and	CC	and
a	DT	a
dog	NN	dog
run	VBN	run
to	TO	to
a	DT	a
bomb	NN	bomb
shelter	NN	shelter
as	IN	as
rockets	NNS	rocket
from	IN	from
Gaza	NP	Gaza
are	VBP	be
launched	VBN	launch
towards	IN	towards
Israel	NP	Israel
in	IN	in
Ashkelon	NP	<unknown>
<p>
By	IN	by
Dan	NP	Dan
Williams	NP	Williams
and	CC	and
Emily	NP	Emily
Rose	NP	Rose
<p>
TEL	NP	Tel
AVIV	NP	Aviv
(	(	(
Reuters	NP	Reuters
)	)	)
-	NP	<unknown>
Arik	NP	<unknown>
Nani	NP	Nani
went	VBD	go
to	TO	to
a	DT	a
dance	NN	dance
party	NN	party
in	IN	in
southern	JJ	southern
Israel	NP	Israel
to	TO	to
celebrate	VB	celebrate
his	PP$	his
26th	JJ	26th
birthday	NN	birthday
on	IN	on
Friday	NP	Friday
night	NN	night
but	CC	but
ended	VBD	end
up	RP	up
fleeing	VBG	flee
a	DT	a
massacre	NN	massacre
as	IN	as
missiles	NNS	missile
roared	VBN	roar
overhead	JJ	overhead
and	CC	and
Hamas	JJ	<unknown>
gunmen	NNS	gunman
shot	VBD	shoot
down	RP	down
people	NNS	people
as	IN	as
they	PP	they
tried	VBD	try
to	TO	to
escape	VB	escape
.	SENT	.
<p>
Thousands	NNS	thousand
of	IN	of
young	JJ	young
people	NNS	people
attended	VBD	attend
the	DT	the
Nature	NP	Nature
Party	NP	Party
,	,	,
near	IN	near
Kibbutz	NN	kibbutz
Re'im	NP	<unknown>
close	NN	close
to	TO	to
Gaza	NP	Gaza
,	,	,
which	WDT	which
became	VBD	become
one	CD	one
of	IN	of
the	DT	the
first	JJ	first
targets	NNS	target
of	IN	of
Palestinian	JJ	Palestinian
gunmen	NNS	gunman
who	WP	who
crossed	VBD	cross
into	IN	into
Israel	NP	Israel
early	JJ	early
on	IN	on
Saturday	NP	Saturday
in	IN	in
the	DT	the
biggest	JJS	big
attack	NN	attack
on	IN	on
the	DT	the
country	NN	country
in	IN	in
decades	NNS	decade
.	SENT	.
<p>
"	''	"
I	PP	I
heard	VBD	hear
shots	NNS	shot
from	IN	from
every	DT	every
direction	NN	direction
,	,	,
they	PP	they
were	VBD	be
firing	VBG	fire
at	IN	at
us	PP	us
from	IN	from
both	DT	both
sides	NNS	side
,	,	,
"	''	"
he	PP	he
told	VBD	tell
Reuters	NP	Reuters
.	SENT	.
"	``	"
Everyone	NN	everyone
was	VBD	be
running	VBG	run
and	CC	and
did	VBD	do
n't	RB	n't
know	VB	know
what	WP	what
to	TO	to
do	VB	do
.	SENT	.
It	PP	it
was	VBD	be
total	JJ	total
chaos	NN	chaos
.	SENT	.
"	''	"
<p>
As	IN	as
rocket	NN	rocket
fire	NN	fire
exploded	VBD	explode
around	RB	around
,	,	,
panicked	VBD	panick
party	NN	party
goers	NNS	goer
tried	VBD	try
to	TO	to
escape	VB	escape
in	IN	in
any	DT	any
way	NN	way
they	PP	they
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
friend	NN	friend
got	VBN	get
into	IN	into
a	DT	a
car	NN	car
with	IN	with
people	NNS	people
we	PP	we
did	VBD	do
n't	RB	n't
know	VB	know
and	CC	and
we	PP	we
just	RB	just
jumped	VBD	jump
into	IN	into
a	DT	a
car	NN	car
with	IN	with
lots	NNS	lot
of	IN	of
people	NNS	people
and	CC	and
started	VBD	start
to	TO	to
drive	VB	drive
,	,	,
"	''	"
said	VBD	say
23	CD	@card@
year-old	JJ	year-old
Zohar	NP	Zohar
Maariv	NP	<unknown>
.	SENT	.
After	IN	after
the	DT	the
car	NN	car
came	VBD	come
under	IN	under
fire	NN	fire
,	,	,
they	PP	they
fled	VBD	flee
on	IN	on
foot	NN	foot
and	CC	and
hid	VBD	hide
for	IN	for
hours	NNS	hour
until	IN	until
they	PP	they
were	VBD	be
rescued	VBN	rescue
.	SENT	.
But	CC	but
her	PP$	her
boyfriend	NN	boyfriend
Matan	NP	<unknown>
,	,	,
who	WP	who
had	VBD	have
worked	VBN	work
at	IN	at
the	DT	the
party	NN	party
,	,	,
was	VBD	be
still	RB	still
missing	JJ	missing
.	SENT	.
<p>
At	IN	at
least	JJS	least
700	CD	@card@
Israelis	NNS	Israeli
were	VBD	be
killed	VBN	kill
and	CC	and
dozens	NNS	dozen
more	RBR	more
were	VBD	be
abducted	VBN	abduct
into	IN	into
Gaza	NP	Gaza
in	IN	in
scenes	NNS	scene
that	WDT	that
have	VBP	have
left	VBN	leave
a	DT	a
profound	JJ	profound
shock	NN	shock
on	IN	on
a	DT	a
country	NN	country
which	WDT	which
had	VBD	have
long	RB	long
prided	VBN	pride
itself	PP	itself
on	IN	on
its	PP$	its
ultra	JJ	ultra
efficient	JJ	efficient
military	NN	military
and	CC	and
security	NN	security
services	NNS	service
.	SENT	.
<p>
"	''	"
Only	RB	only
this	DT	this
morning	NN	morning
did	VBD	do
I	PP	I
understand	VBP	understand
the	DT	the
scale	NN	scale
of	IN	of
what	WP	what
happened	VBD	happen
,	,	,
that	IN	that
what	WP	what
had	VBD	have
happened	VBN	happen
was	VBD	be
not	RB	not
only	RB	only
at	IN	at
the	DT	the
party	NN	party
,	,	,
it	PP	it
'	POS	'
s	NN	S
the	DT	the
whole	JJ	whole
south	NN	south
is	VBZ	be
on	IN	on
fire	NN	fire
,	,	,
"	''	"
Maariv	NP	<unknown>
said	VBD	say
.	SENT	.
<p>
After	IN	after
hours	NNS	hour
of	IN	of
running	VBG	run
,	,	,
Nani	NP	Nani
and	CC	and
his	PP$	his
friend	NN	friend
finally	RB	finally
reached	VBN	reach
shelter	NN	shelter
where	WRB	where
he	PP	he
heard	VBD	hear
horrifying	VBG	horrify
stories	NNS	story
from	IN	from
others	NNS	other
who	WP	who
had	VBD	have
escaped	VBN	escape
.	SENT	.
"	''	"
People	NNS	people
speaking	VBG	speak
about	IN	about
murder	NN	murder
they	PP	they
saw	VBD	see
in	IN	in
front	NN	front
of	IN	of
their	PP$	their
eyes	NNS	eye
,	,	,
someone	NN	someone
who	WP	who
saw	VBD	see
an	DT	an
entire	JJ	entire
kidnapped	VBN	kidnap
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
he	PP	he
said	VBD	say
.	SENT	.
<p>
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
has	VBZ	have
vowed	VBN	vow
an	DT	an
unprecedented	JJ	unprecedented
response	NN	response
to	TO	to
the	DT	the
assault	NN	assault
and	CC	and
Israeli	JJ	Israeli
jets	NNS	jet
have	VBP	have
bombarded	VBN	bombard
Gaza	NP	Gaza
continuously	RB	continuously
,	,	,
killing	VBG	kill
more	JJR	more
than	IN	than
400	CD	@card@
Palestinians	NNS	Palestinian
.	SENT	.
<p>
For	IN	for
Nani	NP	Nani
,	,	,
the	DT	the
feeling	NN	feeling
of	IN	of
those	DT	those
who	WP	who
had	VBD	have
not	RB	not
been	VBN	be
able	JJ	able
to	TO	to
escape	VB	escape
remained	VBN	remain
.	SENT	.
<p>
"	``	"
There	EX	there
were	VBD	be
lots	NNS	lot
of	IN	of
terrible	JJ	terrible
things	NNS	thing
along	IN	along
the	DT	the
way	NN	way
,	,	,
people	NNS	people
I	PP	I
wanted	VBD	want
to	TO	to
help	VB	help
but	CC	but
could	MD	could
n't	RB	n't
.	SENT	.
People	NNS	people
who	WP	who
were	VBD	be
