<h>
US	PP	us
rep	NN	rep
on	IN	on
Human	NP	Human
Rights	NPS	Rights
Council	NP	Council
calls	VBZ	call
for	IN	for
moment	NN	moment
of	IN	of
silence	NN	silence
honoring	VBG	honor
lives	NNS	life
lost	VBN	lose
in	IN	in
Israel	NP	Israel
,	,	,
saying	VBG	say
,	,	,
'	''	'
let	VBD	let
our	PP$	our
silence	NN	silence
resound	VB	resound
as	IN	as
a	DT	a
united	VBN	unite
stand	NN	stand
against	IN	against
terrorism	NN	terrorism
and	CC	and
violence	NN	violence
'	POS	'
<p>
FOX	NN	fox
News	NP	News
'	POS	'
Trey	NP	Trey
Yingst	NP	Yingst
reports	VBZ	report
on	IN	on
continuing	VBG	continue
Israeli	JJ	Israeli
airstrikes	NNS	airstrike
and	CC	and
naval	JJ	naval
attacks	NNS	attack
against	IN	against
Gaza	NP	Gaza
before	IN	before
their	PP$	their
anticipated	JJ	anticipated
ground	NN	ground
invasion	NN	invasion
to	TO	to
retaliate	VB	retaliate
against	IN	against
Hamas	NP	<unknown>
.	SENT	.
<p>
The	DT	the
United	NP	United
Nations	NPS	Nations
Human	NP	Human
Rights	NPS	Rights
Council	NP	Council
on	IN	on
Monday	NP	Monday
held	VBD	hold
a	DT	a
moment	NN	moment
of	IN	of
silence	NN	silence
in	IN	in
memory	NN	memory
of	IN	of
the	DT	the
"	``	"
innocent	JJ	innocent
lives	NNS	life
"	''	"
lost	VBN	lose
in	IN	in
the	DT	the
"	``	"
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
and	CC	and
elsewhere	RB	elsewhere
,	,	,
"	''	"
while	IN	while
failing	VBG	fail
to	TO	to
honor	VB	honor
those	DT	those
who	WP	who
died	VBD	die
in	IN	in
Israel	NP	Israel
from	IN	from
attacks	NNS	attack
by	IN	by
Hamas	NP	<unknown>
.	SENT	.
<p>
Ambassador	NP	Ambassador
Zaman	NP	Zaman
Mehdi	NP	Mehdi
,	,	,
the	DT	the
deputy	JJ	deputy
permanent	JJ	permanent
representative	NN	representative
of	IN	of
Pakistan	NP	Pakistan
to	TO	to
the	DT	the
U.N	NP	U.N
.	SENT	.
in	IN	in
Geneva	NP	Geneva
was	VBD	be
seen	VBN	see
in	IN	in
a	DT	a
post	NN	post
by	IN	by
the	DT	the
U.N	NP	U.N
.	SENT	.
on	IN	on
X	NP	X
,	,	,
formerly	RB	formerly
known	VBN	know
as	IN	as
Twitter	NN	twitter
,	,	,
speaking	VBG	speak
to	TO	to
members	NNS	member
of	IN	of
the	DT	the
Human	NP	Human
Rights	NPS	Rights
Council	NP	Council
just	RB	just
before	IN	before
a	DT	a
