<p>
Speaking	VBG	speak
at	IN	at
a	DT	a
special	JJ	special
event	NN	event
for	IN	for
17	CD	@card@
British	JJ	British
people	NNS	people
missing	VBG	miss
in	IN	in
Israel	NP	Israel
,	,	,
one	CD	one
family	NN	family
member	NN	member
said	VBD	say
:	:	:
"	``	"
Butchery	NN	butchery
is	VBZ	be
not	RB	not
something	NN	something
we	PP	we
accept	VBP	accept
.	SENT	.
I	PP	I
do	VBP	do
n't	RB	n't
accept	VB	accept
it	PP	it
from	IN	from
Boko	NP	<unknown>
Haram	NP	<unknown>
,	,	,
I	PP	I
do	VBP	do
n't	RB	n't
accept	VB	accept
it	PP	it
from	IN	from
Isis	NP	Isis
and	CC	and
I	PP	I
do	VBP	do
n't	RB	n't
accept	VB	accept
it	PP	it
from	IN	from
our	PP$	our
neighbours	NNS	neighbour
"	``	"
<p>
British	JJ	British
Israelis	NPS	Israelis
whose	WP$	whose
elderly	JJ	elderly
parents	NNS	parent
are	VBP	be
among	IN	among
the	DT	the
hostages	NNS	hostage
in	IN	in
Gaza	NP	Gaza
this	DT	this
morning	NN	morning
told	VBD	tell
of	IN	of
their	PP$	their
heartbreak	NN	heartbreak
as	IN	as
they	PP	they
pleaded	VBD	plead
for	IN	for
their	PP$	their
return	NN	return
.	SENT	.
<p>
London-based	JJ	London-based
Sharon	NP	Sharon
Lifschitz	NP	<unknown>
'	POS	'
s	JJ	<unknown>
peace	NN	peace
activist	NN	activist
parents	NNS	parent
,	,	,
aged	VBN	age
85	CD	@card@
and	CC	and
83	CD	@card@
,	,	,
were	VBD	be
taken	VBN	take
hostage	NN	hostage
from	IN	from
the	DT	the
Nir	NP	Nir
Oz	NP	Oz
Kibbutz	NN	kibbutz
,	,	,
with	IN	with
her	PP$	her
mum	NN	mum
detached	VBN	detach
from	IN	from
her	PP$	her
oxygen	NN	oxygen
machine	NN	machine
before	IN	before
being	VBG	be
snatched	VBN	snatch
away	RP	away
by	IN	by
Hamas	JJ	<unknown>
militants	NNS	militant
.	SENT	.
<p>
Her	PP$	her
friend	NN	friend
Noam	NP	Noam
Sagi	NP	Sagi
'	POS	'
s	JJ	<unknown>
75-year-old	JJ	75-year-old
mum	NN	mum
Ada	NP	Ada
was	VBD	be
kidnapped	VBN	kidnap
from	IN	from
the	DT	the
same	JJ	same
Kibbutz	NN	kibbutz
,	,	,
where	WRB	where
hundreds	NNS	hundred
were	VBD	be
murdered	VBN	murder
on	IN	on
Saturday	NP	Saturday
.	SENT	.
Noam	NP	Noam
,	,	,
53	CD	@card@
,	,	,
a	DT	a
psychotherapist	NN	psychotherapist
and	CC	and
Sharon	NP	Sharon
,	,	,
52	CD	@card@
,	,	,
an	DT	an
artist	NN	artist
and	CC	and
academic	JJ	academic
,	,	,
both	CC	both
grew	VBD	grow
up	RP	up
on	IN	on
the	DT	the
kibbutz	NN	kibbutz
.	SENT	.
