<p>
When	WRB	when
32-year-old	JJ	32-year-old
Hanaan	NP	<unknown>
Shahin	NP	<unknown>
opened	VBD	open
the	DT	the
door	NN	door
of	IN	of
her	PP$	her
ground-floor	NN	ground-floor
apartment	NN	apartment
in	IN	in
Plainfield	NP	Plainfield
,	,	,
Illinois	NP	Illinois
,	,	,
her	PP$	her
landlord	NN	landlord
was	VBD	be
already	RB	already
angry	JJ	angry
.	SENT	.
<p>
Days	NNS	day
prior	RB	prior
,	,	,
Joseph	NP	Joseph
Czuba	NP	Czuba
had	VBD	have
told	VBN	tell
Shahin	NP	<unknown>
that	IN	that
he	PP	he
wanted	VBD	want
her	PP	her
and	CC	and
her	PP$	her
son	NN	son
to	TO	to
move	VB	move
out	RP	out
,	,	,
according	VBG	accord
to	TO	to
Czuba	NP	Czuba
'	POS	'
s	NN	S
sister	NN	sister
.	SENT	.
Less	JJR	less
than	IN	than
a	DT	a
week	NN	week
later	RBR	later
,	,	,
he	PP	he
allegedly	RB	allegedly
confronted	VBD	confront
Shahin	NP	<unknown>
again	RB	again
,	,	,
this	DT	this
time	NN	time
with	IN	with
a	DT	a
military	JJ	military
knife	NN	knife
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
Shahin	NP	<unknown>
did	VBD	do
n't	RB	n't
have	VB	have
time	NN	time
to	TO	to
speak	VB	speak
.	SENT	.
Czuba	NP	Czuba
allegedly	RB	allegedly
stabbed	VBD	stab
her	PP$	her
more	JJR	more
than	IN	than
a	DT	a
dozen	NN	dozen
times	NNS	time
and	CC	and
killed	VBD	kill
her	PP$	her
son	NN	son
,	,	,
6-year-old	JJ	6-year-old
Wadea	NP	<unknown>
Al-Fayoume	NP	<unknown>
,	,	,
as	IN	as
she	PP	she
tried	VBD	try
to	TO	to
call	VB	call
911	CD	@card@
.	SENT	.
The	DT	the
FBI	NP	FBI
has	VBZ	have
launched	VBN	launch
a	DT	a
federal	JJ	federal
investigation	NN	investigation
into	IN	into
the	DT	the
attack	NN	attack
.	SENT	.
<p>
Czuba	NP	Czuba
'	POS	'
s	NN	S
wife	NN	wife
told	VBD	tell
investigators	NNS	investigator
he	PP	he
'	''	'
d	SYM	d
been	VBN	be
listening	VBG	listen
to	TO	to
conservative	JJ	conservative
talk	NN	talk
radio	NN	radio
on	IN	on
a	DT	a
regular	JJ	regular
basis	NN	basis
,	,	,
and	CC	and
that	IN	that
he	PP	he
'	POS	'
d	NN	d
become	VBN	become
increasingly	RB	increasingly
angry	JJ	angry
over	IN	over
the	DT	the
escalating	VBG	escalate
conflict	NN	conflict
in	IN	in
Israel	NP	Israel
and	CC	and
Gaza	NP	Gaza
.	SENT	.
<p>
On	IN	on
Oct.	NP	Oct.
7	CD	@card@
,	,	,
Hamas	NP	<unknown>
militants	NNS	militant
launched	VBD	launch
a	DT	a
large-scale	JJ	large-scale
attack	NN	attack
on	IN	on
Israel	NP	Israel
,	,	,
taking	VBG	take
hostages	NNS	hostage
and	CC	and
killing	VBG	kill
more	JJR	more
than	IN	than
1,400	CD	@card@
people	NNS	people
.	SENT	.
Israel	NP	Israel
quickly	RB	quickly
retaliated	VBD	retaliate
,	,	,
launching	VBG	launch
a	DT	a
full-blown	JJ	full-blown
raid	NN	raid
and	CC	and
aerial	JJ	aerial
campaign	NN	campaign
that	WDT	that
killed	VBD	kill
more	JJR	more
than	IN	than
4,000	CD	@card@
peopleand	NN	<unknown>
displaced	VBD	displace
more	JJR	more
than	IN	than
1	CD	@card@
million	CD	million
people	NNS	people
in	IN	in
10	CD	@card@
days	NNS	day
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
attacks	NNS	attack
,	,	,
stoking	VBG	stoke
hostility	NN	hostility
with	IN	with
xenophobic	JJ	xenophobic
and	CC	and
anti-Muslim	JJ	anti-Muslim
rhetoric	NN	rhetoric
--	:	--
including	VBG	include
referring	VBG	refer
to	TO	to
Palestinians	NPS	Palestinians
as	IN	as
"	``	"
barbarian	JJ	barbarian
pigs	NNS	pig
,	,	,
"	''	"
drumming	VBG	drum
up	RP	up
hatred	NN	hatred
against	IN	against
Arabs	NPS	Arabs
and	CC	and
Muslims	NPS	Muslims
in	IN	in
the	DT	the
U.S.	NP	U.S.
,	,	,
and	CC	and
targeting	VBG	target
the	DT	the
two	CD	two
