<h>
Thank	VB	thank
you	PP	you
for	IN	for
subscribing	VBG	subscribe
!	SENT	!
<p>
Tributes	NNS	tribute
have	VBP	have
poured	VBN	pour
in	IN	in
for	IN	for
Irish-Israeli	NP	Irish-Israeli
citizen	NN	citizen
Kim	NP	Kim
Damti	NP	<unknown>
who	WP	who
was	VBD	be
killed	VBN	kill
in	IN	in
a	DT	a
Hamas	JJ	<unknown>
attack	NN	attack
at	IN	at
an	DT	an
outdoor	JJ	outdoor
rave	NN	rave
in	IN	in
southern	JJ	southern
Israel	NP	Israel
over	IN	over
the	DT	the
weekend	NN	weekend
.	SENT	.
<p>
Kim	NP	Kim
,	,	,
22	CD	@card@
,	,	,
whose	WP$	whose
mother	NN	mother
Jennifer	NP	Jennifer
is	VBZ	be
from	IN	from
Portlaoise	NP	<unknown>
in	IN	in
Co	NP	Co
Laois	NP	<unknown>
and	CC	and
who	WP	who
has	VBZ	have
Irish	JJ	Irish
and	CC	and
Israeli	JJ	Israeli
citizenship	NN	citizenship
,	,	,
was	VBD	be
attending	VBG	attend
a	DT	a
music	NN	music
festival	NN	festival
near	IN	near
the	DT	the
Gaza	NP	Gaza
border	NN	border
in	IN	in
Re'im	NP	<unknown>
when	WRB	when
Hamas	JJ	<unknown>
paragliders	NNS	paraglider
descended	VBN	descend
on	IN	on
the	DT	the
festival	NN	festival
and	CC	and
opened	VBD	open
fire	NN	fire
.	SENT	.
<p>
Kim	NP	Kim
'	POS	'
s	JJ	<unknown>
heartbroken	JJ	heartbroken
sister	NN	sister
Laura	NP	Laura
confirmed	VBD	confirm
the	DT	the
tragic	JJ	tragic
news	NN	news
of	IN	of
her	PP$	her
death	NN	death
in	IN	in
a	DT	a
post	NN	post
on	IN	on
social	JJ	social
media	NNS	medium
,	,	,
saying	VBG	say
her	PP$	her
"	``	"
angel	NN	angel
"	''	"
sister	NN	sister
was	VBD	be
"	``	"
murdered	VBN	murder
by	IN	by
the	DT	the
cursed	JJ	cursed
terrorists	NNS	terrorist
.	SENT	.
"	''	"
<p>
She	PP	she
wrote	VBD	write
:	:	:
"	``	"
With	IN	with
great	JJ	great
sorrow	NN	sorrow
and	CC	and
gloomy	JJ	gloomy
grief	NN	grief
,	,	,
I	PP	I
announce	VBP	announce
the	DT	the
killing	NN	killing
of	IN	of
our	PP$	our
angel	NN	angel
,	,	,
our	PP$	our
flower	NN	flower
,	,	,
Kim	NP	Kim
,	,	,
my	PP$	my
blood	NN	blood
,	,	,
who	WP	who
was	VBD	be
murdered	VBN	murder
by	IN	by
the	DT	the
cursed	JJ	cursed
terrorists	NNS	terrorist
.	SENT	.
"	''	"
<p>
Kim	NP	Kim
'	POS	'
s	NN	S
funeral	NN	funeral
will	MD	will
take	VB	take
place	NN	place
later	RBR	later
this	DT	this
evening	NN	evening
at	IN	at
5pm	NN	5pm
in	IN	in
a	DT	a
