<h>
#KeepItOn	NN	<unknown>
:	:	:
Telecommunications	NNS	telecommunication
Blackout	VBP	blackout
In	IN	in
The	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
Is	VBZ	be
An	DT	an
Attack	NP	Attack
On	IN	on
Human	NP	Human
Rights	NPS	Rights
<p>
The	DT	the
Israeli	JJ	Israeli
government	NN	government
declared	VBD	declare
war	NN	war
on	IN	on
Sunday	NP	Sunday
,	,	,
October	NP	October
8	CD	@card@
,	,	,
in	IN	in
response	NN	response
to	TO	to
an	DT	an
assault	NN	assault
by	IN	by
Hamas	JJ	<unknown>
militants	NNS	militant
beginning	VBG	begin
Saturday	NP	Saturday
,	,	,
October	NP	October
7	CD	@card@
.	SENT	.
These	DT	these
escalations	NNS	escalation
come	VBP	come
in	IN	in
the	DT	the
context	NN	context
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
ongoing	JJ	ongoing
16-year	JJ	<unknown>
blockade	NN	blockade
in	IN	in
the	DT	the
occupied	JJ	occupied
territory	NN	territory
of	IN	of
Gaza	NP	Gaza
,	,	,
56	CD	@card@
years	NNS	year
of	IN	of
military	JJ	military
occupation	NN	occupation
,	,	,
and	CC	and
decades	NNS	decade
of	IN	of
struggle	NN	struggle
for	IN	for
a	DT	a
just	JJ	just
and	CC	and
sustainable	JJ	sustainable
peace	NN	peace
in	IN	in
the	DT	the
region	NN	region
.	SENT	.
Access	NN	access
Now	RB	now
calls	VBZ	call
on	IN	on
all	DT	all
parties	NNS	party
to	TO	to
the	DT	the
conflict	NN	conflict
to	TO	to
respect	VB	respect
international	JJ	international
human	JJ	human
rights	NNS	right
and	CC	and
humanitarian	JJ	humanitarian
law	NN	law
,	,	,
and	CC	and
in	IN	in
particular	JJ	particular
to	TO	to
prioritize	VB	<unknown>
the	DT	the
safety	NN	safety
of	IN	of
civilians	NNS	civilian
.	SENT	.
We	PP	we
are	VBP	be
deeply	RB	deeply
concerned	VBN	concern
for	IN	for
all	DT	all
people	NNS	people
who	WP	who
are	VBP	be
suffering	VBG	suffer
amidst	IN	amidst
this	DT	this
conflict	NN	conflict
,	,	,
in	IN	in
which	WDT	which
civilians	NNS	civilian
across	IN	across
all	DT	all
sides	NNS	side
have	VBP	have
been	VBN	be
targeted	VBN	target
,	,	,
killed	VBN	kill
,	,	,
wounded	VBN	wound
,	,	,
and	CC	and
displaced	VBN	displace
.	SENT	.
<p>
Access	NN	access
Now	RB	now
is	VBZ	be
a	DT	a
global	JJ	global
organization	NN	organization
with	IN	with
a	DT	a
mandate	NN	mandate
to	TO	to
defend	VB	defend
human	JJ	human
rights	NNS	right
at	IN	at
their	PP$	their
intersection	NN	intersection
with	IN	with
digital	JJ	digital
technologies	NNS	technology
.	SENT	.
We	PP	we
issue	VBP	issue
the	DT	the
following	VBG	follow
release	NN	release
from	IN	from
the	DT	the
perspective	NN	perspective
of	IN	of
the	DT	the
#KeepItOn	NN	<unknown>
campaign	NN	campaign
,	,	,
focused	VBN	focus
specifically	RB	specifically
on	IN	on
bringing	VBG	bring
an	DT	an
end	NN	end
to	TO	to
internet	NN	Internet
shutdowns	NNS	shutdown
around	IN	around
the	DT	the
world	NN	world
,	,	,
including	VBG	include
in	IN	in
times	NNS	time
of	IN	of
conflict	NN	conflict
.	SENT	.
<h>
Are	VBP	be
you	PP	you
getting	VBG	get
our	PP$	our
free	JJ	free
newsletter	NN	newsletter
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
from	IN	from
the	DT	the
world	NN	world
,	,	,
"	''	"
said	VBD	say
Marwa	NP	Marwa
Fatafta	NP	<unknown>
,	,	,
MENA	NP	Mena
Policy	NP	Policy
and	CC	and
Advocacy	NN	advocacy
Manager	NN	manager
at	IN	at
Access	NP	Access
Now	RB	now
.	SENT	.
"	''	"
Access	NN	access
Now	RB	now
demands	VBZ	demand
the	DT	the
immediate	JJ	immediate
restoration	NN	restoration
of	IN	of
internet	NN	Internet
access	NN	access
for	IN	for
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
,	,	,
who	WP	who
have	VBP	have
already	RB	already
long	RB	long
endured	VBD	endure
horrifying	VBG	horrify
conditions	NNS	condition
in	IN	in
what	WP	what
is	VBZ	be
described	VBN	describe
as	IN	as
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
largest	JJS	large
open-air	JJ	open-air
prison	NN	prison
,	,	,
and	CC	and
who	WP	who
have	VBP	have
little	RB	little
to	TO	to
no	DT	no
means	NN	means
of	IN	of
escape	NN	escape
as	IN	as
the	DT	the
violence	NN	violence
escalates	VBZ	escalate
.	SENT	.
The	DT	the
total	JJ	total
blockade	NN	blockade
now	RB	now
in	IN	in
place	NN	place
will	MD	will
only	RB	only
exacerbate	VB	exacerbate
the	DT	the
situation	NN	situation
and	CC	and
may	MD	may
result	VB	result
in	IN	in
more	JJR	more
atrocities	NNS	atrocity
for	IN	for
those	DT	those
plunged	VBN	plunge
under	IN	under
the	DT	the
darkness	NN	darkness
of	IN	of
a	DT	a
communications	NNS	communication
blackout	VBP	blackout
.	SENT	.
"	''	"
<p>
Data	NNS	datum
from	IN	from
the	DT	the
Internet	NP	Internet
Outage	NP	Outage
Detection	NN	detection
and	CC	and
Analysis	NP	Analysis
(	(	(
IODA	NP	<unknown>
)	)	)
shows	VBZ	show
a	DT	a
major	JJ	major
connectivity	NN	connectivity
dip	NN	dip
in	IN	in
Gaza	NP	Gaza
coinciding	VBG	coincide
with	IN	with
the	DT	the
start	NN	start
of	IN	of
Israeli	JJ	Israeli
strikes	NNS	strike
on	IN	on
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
following	VBG	follow
Hamas	NP	<unknown>
'	POS	'
assault	NN	assault
on	IN	on
Israeli	JJ	Israeli
border	NN	border
towns	NNS	town
on	IN	on
Saturday	NP	Saturday
,	,	,
October	NP	October
8	CD	@card@
.	SENT	.
Airstrikes	NNS	Airstrike
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
on	IN	on
Monday	NP	Monday
,	,	,
October	NP	October
9	CD	@card@
,	,	,
destroyed	VBD	destroy
a	DT	a
building	NN	building
containing	VBG	contain
both	DT	both
offices	NNS	office
and	CC	and
infrastructure	NN	infrastructure
for	IN	for
Paltel	NP	<unknown>
and	CC	and
