<p>
Palestinians	NPS	Palestinians
use	VBP	use
a	DT	a
golf	NN	golf
cart	NN	cart
to	TO	to
take	VB	take
an	DT	an
Israeli	JJ	Israeli
hostage	NN	hostage
,	,	,
captured	VBN	capture
in	IN	in
the	DT	the
Hamas	JJ	<unknown>
raid	NN	raid
on	IN	on
October	NP	October
7	CD	@card@
,	,	,
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
-	NP	<unknown>
AFP/AFP	NP	<unknown>
<p>
Manuals	NNS	manual
discovered	VBD	discover
on	IN	on
the	DT	the
bodies	NNS	body
of	IN	of
dead	JJ	dead
Hamas	JJ	<unknown>
terrorists	NNS	terrorist
shows	VBZ	show
how	WRB	how
they	PP	they
were	VBD	be
ordered	VBN	order
to	TO	to
execute	VB	execute
"	``	"
problematic	JJ	problematic
"	''	"
hostages	NNS	hostage
with	IN	with
babies	NNS	baby
designated	VBN	designate
as	IN	as
specific	JJ	specific
targets	NNS	target
during	IN	during
their	PP$	their
surprise	NN	surprise
attack	NN	attack
on	IN	on
Israel	NP	Israel
.	SENT	.
<p>
The	DT	the
Islamist	NN	<unknown>
terror	NN	terror
group	NN	group
took	VBD	take
more	JJR	more
than	IN	than
200	CD	@card@
hostages	NNS	hostage
back	RB	back
to	TO	to
Gaza	NP	Gaza
after	IN	after
a	DT	a
murderous	JJ	murderous
rampage	NN	rampage
through	IN	through
communities	NNS	community
in	IN	in
southern	JJ	southern
Israel	NP	Israel
,	,	,
killing	VBG	kill
around	IN	around
1,400	CD	@card@
people	NNS	people
,	,	,
mostly	RB	mostly
civilians	NNS	civilian
.	SENT	.
<p>
A	DT	a
copy	NN	copy
of	IN	of
one	CD	one
guide	NN	guide
,	,	,
obtained	VBN	obtain
by	IN	by
The	DT	the
Telegraph	NP	Telegraph
,	,	,
revealed	VBD	reveal
how	WRB	how
Hamas	NP	<unknown>
planned	VBD	plan
to	TO	to
take	VB	take
hostages	NNS	hostage
to	TO	to
use	VB	use
as	IN	as
human	JJ	human
shields	NNS	shield
in	IN	in
firefights	NNS	firefight
with	IN	with
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
armed	JJ	armed
forces	NNS	force
and	CC	and
kill	VB	kill
any	DT	any
who	WP	who
posed	VBD	pose
a	DT	a
threat	NN	threat
to	TO	to
their	PP$	their
terror	NN	terror
attack	NN	attack
.	SENT	.
<p>
"	``	"
Kill	VB	kill
the	DT	the
problematic	JJ	problematic
and	CC	and
those	DT	those
who	WP	who
post	VB	post
a	DT	a
threat	NN	threat
,	,	,
"	''	"
the	DT	the
document	NN	document
reads	VBZ	read
in	IN	in
Arabic	NP	Arabic
.	SENT	.
<p>
ADVERTISEMENT	NN	advertisement
<p>
Advertisement	NN	advertisement
<p>
"	``	"
Gather	NP	Gather
some	DT	some
of	IN	of
the	DT	the
hostages	NNS	hostage
in	IN	in
the	DT	the
area	NN	area
and	CC	and
use	VB	use
them	PP	them
as	IN	as
cannon	NN	cannon
fodder	NN	fodder
,	,	,
ensuring	VBG	ensure
they	PP	they
are	VBP	be
clearly	RB	clearly
visible	JJ	visible
,	,	,
"	''	"
it	PP	it
adds	VBZ	add
.	SENT	.
<p>
Israeli	JJ	Israeli
officials	NNS	official
say	VBP	say
the	DT	the
manuals	NNS	manual
are	VBP	be
a	DT	a
sign	NN	sign
of	IN	of
the	DT	the
high	JJ	high
level	NN	level
of	IN	of
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
attack	NN	attack
on	IN	on
October	NP	October
7	CD	@card@
.	SENT	.
<p>
"	``	"
It	PP	it
was	VBD	be
n't	RB	n't
just	RB	just
haphazardly	RB	haphazardly
'	''	'
let	NN	let
'	POS	'
s	NNS	<unknown>
cross	VBP	cross
over	RP	over
and	CC	and
kill	VB	kill
whoever	WP	whoever
we	PP	we
walk	VBP	walk
into	IN	into
'	''	'
but	CC	but
rather	RB	rather
that	IN	that
we	PP	we
go	VBP	go
in	IN	in
,	,	,
we	PP	we
take	VBP	take
,	,	,
we	PP	we
attack	VBP	attack
,	,	,
we	PP	we
abduct	VBP	abduct
,	,	,
we	PP	we
tie	VBP	tie
them	PP	them
up	RP	up
...	:	...
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
whole	JJ	whole
list	NN	list
of	IN	of
things	NNS	thing
to	TO	to
do	VB	do
.	SENT	.
"	''	"
<p>
The	DT	the
