<h>
Other	JJ	other
Cities	NPS	Cities
<h>
Pro-Palestine	NP	Pro-Palestine
rally	NN	rally
held	VBN	hold
in	IN	in
downtown	JJ	downtown
Ottawa	NP	Ottawa
as	IN	as
mayor	NN	mayor
condemns	VBZ	condemn
Hamas	JJ	<unknown>
attack	NN	attack
on	IN	on
Israel	NP	Israel
<p>
A	NP	A
pro-Palestine	NP	pro-Palestine
rally	NN	rally
was	VBD	be
held	VBN	hold
in	IN	in
downtown	JJ	downtown
Ottawa	NP	Ottawa
Sunday	NP	Sunday
,	,	,
one	CD	one
day	NN	day
after	IN	after
Hamas	NP	<unknown>
launched	VBD	launch
an	DT	an
attack	NN	attack
against	IN	against
Israel	NP	Israel
.	SENT	.
<p>
More	JJR	more
than	IN	than
100	CD	@card@
people	NNS	people
attended	VBD	attend
,	,	,
saying	VBG	say
Palestinians	NPS	Palestinians
have	VBP	have
the	DT	the
right	NN	right
to	TO	to
resist	VB	resist
occupation	NN	occupation
.	SENT	.
Demonstrators	NNS	demonstrator
waved	VBD	wave
Palestinian	JJ	Palestinian
flags	NNS	flag
and	CC	and
held	VBN	hold
signs	NNS	sign
with	IN	with
slogans	NNS	slogan
such	JJ	such
as	IN	as
"	``	"
End	NP	End
Zionist	JJ	Zionist
colonization	NN	colonization
of	IN	of
Palestine	NP	Palestine
now	RB	now
"	''	"
and	CC	and
"	``	"
respect	NN	respect
existence	NN	existence
or	CC	or
expect	VB	expect
resistance	NN	resistance
.	SENT	.
"	``	"
Some	DT	some
Communist	JJ	communist
iconography	NN	iconography
could	MD	could
also	RB	also
be	VB	be
seen	VBN	see
among	IN	among
the	DT	the
protesters	NNS	protester
.	SENT	.
<p>
"	``	"
They	PP	they
have	VBP	have
a	DT	a
right	NN	right
to	TO	to
defend	VB	defend
themselves	PP	themselves
from	IN	from
occupation	NN	occupation
and	CC	and
they	PP	they
have	VBP	have
a	DT	a
right	NN	right
to	TO	to
defend	VB	defend
themselves	PP	themselves
from	IN	from
colonization	NN	colonization
,	,	,
"	''	"
said	VBD	say
Sarah	NP	Sarah
Abdul-Karim	NP	Abdul-Karim
with	IN	with
the	DT	the
Palestinian	JJ	Palestinian
Youth	NP	Youth
Movement	NP	Movement
.	SENT	.
"	``	"
We	PP	we
are	VBP	be
here	RB	here
to	TO	to
uplift	VB	uplift
that	DT	that
right	NN	right
and	CC	and
call	NN	call
on	IN	on
our	PP$	our
government	NN	government
to	TO	to
stop	VB	stop
supporting	VBG	support
the	DT	the
ongoing	JJ	ongoing
occupation	NN	occupation
.	SENT	.
"	``	"
<p>
A	DT	a
small	JJ	small
number	NN	number
of	IN	of
people	NNS	people
with	IN	with
Israeli	JJ	Israeli
flags	NNS	flag
held	VBD	hold
a	DT	a
counter-demonstration	NN	counter-demonstration
nearby	RB	nearby
.	SENT	.
<p>
After	IN	after
rallying	VBG	rally
at	IN	at
the	DT	the
Human	NP	Human
Rights	NPS	Rights
Monument	NN	monument
,	,	,
demonstrators	NNS	demonstrator
marched	VBD	march
through	IN	through
downtown	JJ	downtown
streets	NNS	street
with	IN	with
police	NNS	police
following	VBG	follow
slowly	RB	slowly
behind	RB	behind
.	SENT	.
<p>
The	DT	the
Palestinian	NP	Palestinian
Youth	NP	Youth
Movement	NP	Movement
promoted	VBD	promote
the	DT	the
rally	NN	rally
at	IN	at
the	DT	the
Human	NP	Human
Rights	NPS	Rights
Monument	NN	monument
on	IN	on
Elgin	NP	Elgin
Street	NP	Street
in	IN	in
a	DT	a
post	NN	post
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
rally	NN	rally
was	VBD	be
celebratory	NN	celebratory
of	IN	of
Saturday	NP	Saturday
'	POS	'
s	NN	S
attack	NN	attack
.	SENT	.
The	DT	the
post	NN	post
did	VBD	do
not	RB	not
name	NN	name
Hamas	NNS	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
considered	VBN	consider
a	DT	a
designated	VBN	designate
terrorist	JJ	terrorist
entity	NN	entity
in	IN	in
Canada	NP	Canada
,	,	,
but	CC	but
referred	VBD	refer
to	TO	to
the	DT	the
"	``	"
resistance	NN	resistance
in	IN	in
Gaza	NP	Gaza
.	SENT	.
"	''	"
In	IN	in
Arabic	NP	Arabic
,	,	,
the	DT	the
post	NN	post
references	VBZ	reference
the	DT	the
"	``	"
Al-Aqsa	NP	<unknown>
Flood	NP	Flood
"	''	"
,	,	,
the	DT	the
name	NN	name
coined	VBN	coin
by	IN	by
Hamas	NNS	<unknown>
for	IN	for
the	DT	the
operation	NN	operation
that	WDT	that
was	VBD	be
launched	VBN	launch
this	DT	this
weekend	NN	weekend
.	SENT	.
<p>
"	``	"
We	PP	we
call	VBP	call
on	IN	on
our	PP$	our
people	NNS	people
in	IN	in
Ottawa	NP	Ottawa
and	CC	and
in	IN	in
the	DT	the
far	JJ	far
diaspora	NN	Diaspora
to	TO	to
celebrate	VB	celebrate
the	DT	the
resistance	NN	resistance
'	POS	'
s	NN	S
success	NN	success
,	,	,
to	TO	to
uplift	VB	uplift
their	PP$	their
calls	NNS	call
,	,	,
and	CC	and
to	TO	to
march	VB	march
this	DT	this
Sunday	NP	Sunday
,	,	,
Oct.	NP	Oct.
8	CD	@card@
at	IN	at
2	CD	@card@
p.m.	NN	p.m.
at	IN	at
the	DT	the
Human	NP	Human
Rights	NPS	Rights
Monument	NN	monument
(	(	(
220	CD	@card@
Elgin	NP	Elgin
St.	NP	St.
)	)	)
,	,	,
"	''	"
the	DT	the
post	NN	post
said	VBD	say
.	SENT	.
<p>
Ottawa	NP	Ottawa
police	NNS	police
said	VBD	say
on	IN	on
X	NP	X
,	,	,
the	DT	the
platform	NN	platform
formerly	RB	formerly
known	VBN	know
as	IN	as
Twitter	NN	twitter
,	,	,
that	WDT	that
officers	NNS	officer
would	MD	would
be	VB	be
on	IN	on
hand	NN	hand
to	TO	to
monitor	VB	monitor
the	DT	the
"	``	"
unplanned	JJ	unplanned
demonstration	NN	demonstration
"	''	"
and	CC	and
warned	VBD	warn
of	IN	of
possible	JJ	possible
traffic	NN	traffic
delays	NNS	delay
.	SENT	.
<p>
"	``	"
Officers	NNS	officer
will	MD	will
be	VB	be
in	IN	in
the	DT	the
area	NN	area
to	TO	to
ensure	VB	ensure
public	JJ	public
safety	NN	safety
,	,	,
"	''	"
police	NNS	police
said	VBD	say
.	SENT	.
<p>
"	''	"
As	RB	as
with	IN	with
all	DT	all
demonstrations	NNS	demonstration
,	,	,
officers	NNS	officer
attend	VBP	attend
to	TO	to
ensure	VB	ensure
the	DT	the
safety	NN	safety
and	CC	and
protect	VB	protect
the	DT	the
rights	NNS	right
of	IN	of
demonstrators	NNS	demonstrator
and	CC	and
the	DT	the
public	NN	public
.	SENT	.
There	EX	there
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
be	VB	be
addressed	VBN	address
.	SENT	.
"	``	"
<p>
There	EX	there
is	VBZ	be
a	DT	a
potential	NN	potential
for	IN	for
traffic	NN	traffic
disruptions	NNS	disruption
this	DT	this
afternoon	NN	afternoon
in	IN	in
the	DT	the
downtown	JJ	downtown
core	NN	core
near	IN	near
Lisgar	NP	<unknown>
&amp	NNS	<unknown>
;	:	;
Elgin	NP	Elgin
and	CC	and
Queen	NP	Queen
&amp	NNS	<unknown>
;	:	;
O'Connor	NP	O'Connor
,	,	,
due	JJ	due
to	TO	to
an	DT	an
unplanned	JJ	unplanned
demonstration	NN	demonstration
.	SENT	.
<p>
Pro-Palestine	NP	Pro-Palestine
protesters	NNS	protester
march	VBP	march
down	RP	down
George	NP	George
Street	NP	Street
in	IN	in
Ottawa	NP	Ottawa
'	POS	'
s	NN	S
ByWard	NP	<unknown>
Market	NP	Market
after	IN	after
rallying	VBG	rally
at	IN	at
the	DT	the
Human	NP	Human
Rights	NPS	Rights
Monument	NN	monument
Oct.	NP	Oct.
8	CD	@card@
,	,	,
2023	CD	@card@
.	SENT	.
The	DT	the
protest	NN	protest
comes	VBZ	come
one	CD	one
day	NN	day
after	IN	after
Hamas	NP	<unknown>
launched	VBD	launch
a	DT	a
surprise	NN	surprise
attack	NN	attack
against	IN	against
Israel	NP	Israel
.	SENT	.
(	(	(
Ted	NP	Ted
Raymond/CTV	NP	<unknown>
News	NP	News
Ottawa	NP	Ottawa
)	)	)
<h>
Mayor	NP	Mayor
condemns	VBZ	condemn
Hamas	JJ	<unknown>
attack	NN	attack
<p>
Ottawa	NP	Ottawa
Mayor	NP	Mayor
Mark	NP	Mark
Sutcliffe	NP	Sutcliffe
has	VBZ	have
spoken	VBN	speak
out	RP	out
against	IN	against
the	DT	the
attacks	NNS	attack
by	IN	by
Hamas	NP	<unknown>
in	IN	in
Israel	NP	Israel
this	DT	this
weekend	NN	weekend
.	SENT	.
<p>
The	DT	the
mayor	NN	mayor
posted	VBD	post
to	TO	to
social	JJ	social
media	NNS	medium
to	TO	to
say	VB	say
he	PP	he
'	POS	'
s	NNS	<unknown>
spoken	VBN	speak
with	IN	with
leaders	NNS	leader
on	IN	on
Ottawa	NP	Ottawa
'	POS	'
s	JJ	<unknown>
Jewish	JJ	Jewish
community	NN	community
to	TO	to
offer	VB	offer
support	NN	support
and	CC	and
express	VB	express
his	PP$	his
"	``	"
shock	NN	shock
and	CC	and
condemnation	NN	condemnation
"	''	"
of	IN	of
the	DT	the
attack	NN	attack
.	SENT	.
<p>
I	NP	I
'	POS	'
