<p>
During	IN	during
their	PP$	their
meeting	NN	meeting
,	,	,
Blinken	NP	<unknown>
reiterated	VBD	reiterate
"	``	"
the	DT	the
United	NP	United
States	NPS	States
'	POS	'
unequivocal	JJ	unequivocal
condemnation	NN	condemnation
of	IN	of
the	DT	the
abhorrent	JJ	abhorrent
terrorist	JJ	terrorist
attacks	NNS	attack
by	IN	by
Hamas	NP	<unknown>
against	IN	against
Israel	NP	Israel
"	''	"
and	CC	and
"	``	"
detailed	JJ	detailed
U.S.	NP	U.S.
efforts	NNS	effort
to	TO	to
coordinate	VB	coordinate
with	IN	with
partners	NNS	partner
to	TO	to
prevent	VB	prevent
the	DT	the
conflict	NN	conflict
from	IN	from
widening	NN	widening
,	,	,
"	''	"
State	NP	State
Department	NP	Department
spokesperson	NN	spokesperson
Matthew	NP	Matthew
Miller	NP	Miller
said	VBD	say
in	IN	in
a	DT	a
readout	NN	readout
.	SENT	.
<p>
"	``	"
The	DT	the
Secretary	NP	Secretary
extended	VBD	extend
his	PP$	his
condolences	NNS	condolence
to	TO	to
the	DT	the
families	NNS	family
of	IN	of
Palestinian	JJ	Palestinian
civilian	JJ	civilian
victims	NNS	victim
of	IN	of
this	DT	this
conflict	NN	conflict
,	,	,
and	CC	and
reiterated	VBD	reiterate
that	IN	that
Hamas	NP	<unknown>
does	VBZ	do
not	RB	not
stand	VB	stand
for	IN	for
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
'	POS	'
s	JJ	<unknown>
legitimate	JJ	legitimate
right	NN	right
to	TO	to
dignity	NN	dignity
,	,	,
freedom	NN	freedom
,	,	,
justice	NN	justice
,	,	,
and	CC	and
self-determination	NN	self-determination
,	,	,
"	''	"
Miller	NP	Miller
said	VBD	say
.	SENT	.
<p>
Blinken	NP	<unknown>
also	RB	also
thanked	VBD	thank
Abbas	NP	Abbas
for	IN	for
his	PP$	his
efforts	NNS	effort
to	TO	to
"	``	"
further	RBR	further
calm	JJ	calm
"	''	"
the	DT	the
region	NN	region
and	CC	and
he	PP	he
"	``	"
reaffirmed	VBD	reaffirm
the	DT	the
U.S.	NP	U.S.
commitment	NN	commitment
to	TO	to
cooperation	NN	cooperation
with	IN	with
the	DT	the
Palestinian	JJ	Palestinian
leadership	NN	leadership
and	CC	and
people	NNS	people
on	IN	on
efforts	NNS	effort
to	TO	to
ensure	VB	ensure
security	NN	security
for	IN	for
all	DT	all
,	,	,
"	''	"
Miller	NP	Miller
added	VBD	add
.	SENT	.
<p>
The	DT	the
secretary	NN	secretary
'	POS	'
s	JJ	<unknown>
trip	NN	trip
to	TO	to
Jordan	NP	Jordan
,	,	,
along	RB	along
much	RB	much
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
eastern	JJ	eastern
border	NN	border
,	,	,
comes	VBZ	come
after	IN	after
he	PP	he
met	VBD	meet
with	IN	with
officials	NNS	official
in	IN	in
Israel	NP	Israel
,	,	,
as	RB	as
well	RB	well
as	IN	as
people	NNS	people
directly	RB	directly
affected	VBN	affect
by	IN	by
the	DT	the
attack	NN	attack
and	CC	and
war	NN	war
,	,	,
which	WDT	which
has	VBZ	have
killed	VBN	kill
more	JJR	more
than	IN	than
1,300	CD	@card@
in	IN	in
Israel	NP	Israel
,	,	,
including	VBG	include
at	IN	at
least	JJS	least
27	CD	@card@
Americans	NNS	American
.	SENT	.
In	IN	in
Gaza	NP	Gaza
,	,	,
more	JJR	more
than	IN	than
1,500	CD	@card@
people	NNS	people
have	VBP	have
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
humanitarian	JJ	humanitarian
crisis	NN	crisis
mounting	VBG	mount
.	SENT	.
<p>
Blinken	NP	<unknown>
also	RB	also
met	VBD	meet
in	IN	in
Jordan	NP	Jordan
with	IN	with
King	NP	King
Abdullah	NP	Abdullah
II	NP	II
,	,	,
who	WP	who
has	VBZ	have
been	VBN	be
in	IN	in
touch	NN	touch
with	IN	with
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
since	IN	since
the	DT	the
crisis	NN	crisis
in	IN	in
Gaza	NP	Gaza
erupted	VBD	erupt
.	SENT	.
The	DT	the
Jordanian	JJ	Jordanian
leader	NN	leader
has	VBZ	have
served	VBN	serve
as	IN	as
a	DT	a
key	JJ	key
mediator	NN	mediator
in	IN	in
Middle	JJ	middle
East-related	JJ	East-related
negotiations	NNS	negotiation
for	IN	for
decades	NNS	decade
.	SENT	.
<p>
Blinken	NP	<unknown>
and	CC	and
Abdullah	NP	Abdullah
discussed	VBD	discuss
"	``	"
the	DT	the
horrific	JJ	horrific
Hamas	JJ	<unknown>
terrorist	JJ	terrorist
attacks	NNS	attack
on	IN	on
Israel	NP	Israel
,	,	,
"	''	"
Miller	NP	Miller
said	VBD	say
in	IN	in
a	DT	a
separate	JJ	separate
statement	NN	statement
.	SENT	.
They	PP	they
also	RB	also
talked	VBD	talk
about	IN	about
"	``	"
efforts	NNS	effort
to	TO	to
secure	VB	secure
the	DT	the
