<p>
Jerusalem	NP	Jerusalem
:	:	:
Israeli	JJ	Israeli
Defence	NN	defence
Minister	NP	Minister
Yoav	NP	<unknown>
Gallant	NN	gallant
urged	VBD	urge
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
on	IN	on
Sunday	NP	Sunday
to	TO	to
conclude	VB	conclude
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
with	IN	with
Hamas	NP	<unknown>
to	TO	to
bring	VB	bring
the	DT	the
remaining	VBG	remain
hostages	NNS	hostage
home	NN	home
from	IN	from
Gaza	NP	Gaza
,	,	,
as	IN	as
the	DT	the
bodies	NNS	body
of	IN	of
six	CD	six
of	IN	of
those	DT	those
taken	VBN	take
on	IN	on
Oct.	NP	Oct.
7	CD	@card@
were	VBD	be
brought	VBN	bring
home	NN	home
.	SENT	.
<p>
"	``	"
It	PP	it
'	POS	'
s	NN	S
too	RB	too
late	RB	late
for	IN	for
the	DT	the
abductees	NNS	<unknown>
who	WP	who
were	VBD	be
murdered	VBN	murder
in	IN	in
cold	JJ	cold
blood	NN	blood
.	SENT	.
The	DT	the
abductees	NNS	<unknown>
who	WP	who
remain	VBP	remain
in	IN	in
the	DT	the
captivity	NN	captivity
of	IN	of
Hamas	NP	<unknown>
must	MD	must
be	VB	be
returned	VBN	return
home	NN	home
,	,	,
"	''	"
he	PP	he
said	VBD	say
on	IN	on
the	DT	the
social	JJ	social
media	NN	media
platform	NN	platform
X.	NP	X.
<p>
"	''	"
The	DT	the
political-security	NN	political-security
cabinet	NN	cabinet
must	MD	must
convene	VB	convene
immediately	RB	immediately
and	CC	and
reverse	VB	reverse
the	DT	the
decision	NN	decision
made	VBN	make
on	IN	on
Thursday	NP	Thursday
,	,	,
"	''	"
he	PP	he
said	VBD	say
,	,	,
referring	VBG	refer
to	TO	to
a	DT	a
decision	NN	decision
by	IN	by
the	DT	the
cabinet	NN	cabinet
to	TO	to
insist	VB	insist
on	IN	on
keeping	VBG	keep
troops	NNS	troop
in	IN	in
the	DT	the
so-called	JJ	so-called
Philadelphi	NP	Philadelphi
corridor	NN	corridor
,	,	,
along	IN	along
the	DT	the
southern	JJ	southern
edge	NN	edge
of	IN	of
Gaza	NP	Gaza
.	SENT	.
<p>
Netanyahu	NP	<unknown>
'	POS	'
s	JJ	<unknown>
insistence	NN	insistence
on	IN	on
keeping	VBG	keep
troops	NNS	troop
in	IN	in
the	DT	the
corridor	NN	corridor
to	TO	to
prevent	VB	prevent
Hamas	JJ	<unknown>
smuggling	NN	smuggling
weapons	NNS	weapon
in	IN	in
from	IN	from
Egypt	NP	Egypt
,	,	,
has	VBZ	have
been	VBN	be
widely	RB	widely
seen	VBN	see
as	IN	as
one	CD	one
of	IN	of
the	DT	the
major	JJ	major
obstacles	NNS	obstacle
to	TO	to
an	DT	an
agreement	NN	agreement
with	IN	with
Hamas	NNS	<unknown>
in	IN	in
talks	NNS	talk
brokered	JJ	brokered
by	IN	by
Egypt	NP	Egypt
and	CC	and
Qatar	NP	Qatar
.	SENT	.
<p>
Gallant	NN	gallant
has	VBZ	have
clashed	VBN	clash
repeatedly	RB	repeatedly
with	IN	with
Netanyahu	NP	<unknown>
and	CC	and
hardline	NN	hardline
religious	JJ	religious
nationalist	JJ	nationalist
ministers	NNS	minister
over	IN	over
the	DT	the
need	NN	need
to	TO	to
reach	VB	reach
a	DT	a
deal	NN	deal
to	TO	to
halt	VB	halt
the	DT	the
fighting	NN	fighting
in	IN	in
Gaza	NP	Gaza
and	CC	and
bring	VB	bring
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
by	IN	by
Israel	NP	Israel
.	SENT	.
<p>
Around	IN	around
a	DT	a
third	JJ	third
of	IN	of
the	DT	the
101	CD	@card@
Israeli	JJ	Israeli
and	CC	and
foreign	JJ	foreign
captives	NNS	captive
still	RB	still
in	IN	in
Gaza	NP	Gaza
are	VBP	be
believed	VBN	believe
to	TO	to
have	VB	have
died	VBN	die
,	,	,
with	IN	with
the	DT	the
fate	NN	fate
of	IN	of
the	DT	the
others	NNS	other
unknown	NN	unknown
.	SENT	.
<p>
Israeli	JJ	Israeli
media	NNS	medium
reported	VBD	report
that	IN	that
Gallant	NN	gallant
confronted	VBN	confront
Netanyahu	NP	<unknown>
angrily	RB	angrily
during	IN	during
the	DT	the
cabinet	NN	cabinet
meeting	NN	meeting
on	IN	on
Thursday	NP	Thursday
over	IN	over
the	DT	the
issue	NN	issue
of	IN	of
the	DT	the
Philadelphi	NP	Philadelphi
corridor	NN	corridor
and	CC	and
warned	VBD	warn
that	IN	that
time	NN	time
was	VBD	be
running	VBG	run
out	RP	out
for	IN	for
a	DT	a
hostage	NN	hostage
deal	NN	deal
.	SENT	.
<p>
Netanyahu	NP	<unknown>
said	VBD	say
on	IN	on
Sunday	NP	Sunday
Israel	NP	Israel
was	VBD	be
committed	VBN	commit
to	TO	to
concluding	VBG	conclude
a	DT	a
hostage	NN	hostage
deal	NN	deal
but	CC	but
he	PP	he
blamed	VBD	blame
Hamas	NNS	<unknown>
for	IN	for
refusing	VBG	refuse
to	TO	to
accept	VB	accept
proposals	NNS	proposal
agreed	VBN	agree
with	IN	with
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
<p>
He	PP	he
said	VBD	say
the	DT	the
killing	NN	killing
of	IN	of
the	DT	the
six	CD	six
hostages	NNS	hostage
,	,	,
shortly	RB	shortly
before	IN	before
they	PP	they
were	VBD	be
found	VBN	find
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
in	IN	in
a	DT	a
tunnel	NN	tunnel
under	IN	under
the	DT	the
southern	JJ	southern
Gaza	NP	Gaza
city	NN	city
of	IN	of
Rafah	NP	<unknown>
,	,	,
showed	VBD	show
that	IN	that
Hamas	NP	<unknown>
was	VBD	be
not	RB	not
interested	JJ	interested
in	IN	in
stopping	VBG	stop
the	DT	the
fighting	NN	fighting
.	SENT	.
<p>
"	``	"
Whoever	WP	whoever
murders	VBZ	murder
hostages	NNS	hostage
is	VBZ	be
not	RB	not
interested	JJ	interested
in	IN	in
a	DT	a
deal	NN	deal
,	,	,
"	''	"
he	PP	he
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
following	VBG	follow
the	DT	the
return	NN	return
of	IN	of
the	DT	the
bodies	NNS	body
of	IN	of
the	DT	the
six	CD	six
hostages	NNS	hostage
.	SENT	.
<p>
Israel	NP	Israel
'	POS	'
s	NN	S
security	NN	security
and	CC	and
defence	NN	defence
leaders	NNS	leader
have	VBP	have
been	VBN	be
increasingly	RB	increasingly
at	IN	at
odds	NNS	odd
with	IN	with
Netanyahu	NP	<unknown>
over	IN	over
the	DT	the
issue	NN	issue
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
talks	NNS	talk
,	,	,
which	WDT	which
have	VBP	have
shown	VBN	show
little	JJ	little
sign	NN	sign
of	IN	of
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Egypt	NP	Egypt
.	SENT	.
<p>
(	(	(
Reporting	VBG	report
by	IN	by
James	NP	James
Mackenzie	NP	Mackenzie
;	:	;
