<h>
At	IN	at
just	RB	just
11	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
Yaqeen	NP	<unknown>
Hammad	NP	Hammad
was	VBD	be
among	IN	among
the	DT	the
dozen	NN	dozen
children	NNS	child
killed	VBN	kill
in	IN	in
an	DT	an
Israeli	JJ	Israeli
airstrike	NN	airstrike
.	SENT	.
She	PP	she
had	VBD	have
amassed	VBN	amass
over	IN	over
100,000	CD	@card@
followers	NNS	follower
on	IN	on
Instagram	NP	<unknown>
,	,	,
where	WRB	where
she	PP	she
would	MD	would
document	VB	document
daily	JJ	daily
life	NN	life
and	CC	and
relief	NN	relief
efforts	NNS	effort
in	IN	in
war-torn	JJ	war-torn
Gaza	NP	Gaza
.	SENT	.
<p>
Yaqeen	NP	<unknown>
Hammad	NP	Hammad
was	VBD	be
among	IN	among
the	DT	the
dozen	NN	dozen
children	NNS	child
killed	VBN	kill
in	IN	in
an	DT	an
Israeli	JJ	Israeli
airstrike	NN	airstrike
.	SENT	.
She	PP	she
had	VBD	have
amassed	VBN	amass
over	IN	over
100,000	CD	@card@
followers	NNS	follower
on	IN	on
Instagram	NP	<unknown>
,	,	,
where	WRB	where
she	PP	she
would	MD	would
document	VB	document
daily	JJ	daily
life	NN	life
and	CC	and
relief	NN	relief
efforts	NNS	effort
in	IN	in
war-torn	JJ	war-torn
Gaza	NP	Gaza
.	SENT	.
Photo	NN	photo
:	:	:
Instagram	NP	<unknown>
<p>
Yaqeen	NP	<unknown>
Hammad	NP	Hammad
was	VBD	be
among	IN	among
the	DT	the
dozen	NN	dozen
children	NNS	child
killed	VBN	kill
in	IN	in
an	DT	an
Israeli	JJ	Israeli
airstrike	NN	airstrike
.	SENT	.
She	PP	she
had	VBD	have
amassed	VBN	amass
over	IN	over
100,000	CD	@card@
followers	NNS	follower
on	IN	on
Instagram	NP	<unknown>
,	,	,
where	WRB	where
she	PP	she
would	MD	would
document	VB	document
daily	JJ	daily
life	NN	life
and	CC	and
relief	NN	relief
efforts	NNS	effort
in	IN	in
war-torn	JJ	war-torn
Gaza	NP	Gaza
.	SENT	.
Photo	NN	photo
:	:	:
Instagram	NN	<unknown>
<p>
"	``	"
Is	VBZ	be
there	RB	there
anything	NN	anything
more	RBR	more
beautiful	JJ	beautiful
than	IN	than
the	DT	the
smile	NN	smile
of	IN	of
Gaza	NP	Gaza
'	POS	'
s	NN	S
children	NNS	child
?	SENT	?
"	''	"
<p>
Yaqeen	NP	<unknown>
Hammad	NP	Hammad
asked	VBD	ask
in	IN	in
a	DT	a
caption	NN	caption
of	IN	of
a	DT	a
video	NN	video
showing	VBG	show
her	PP$	her
handing	VBG	hand
out	RP	out
clothes	NNS	clothes
and	CC	and
toys	NNS	toy
to	TO	to
families	NNS	family
.	SENT	.
The	DT	the
footage	NN	footage
is	VBZ	be
from	IN	from
mid-May	NP	mid-May
.	SENT	.
She	PP	she
stands	VBZ	stand
beside	IN	beside
a	DT	a
distribution	NN	distribution
tent	NN	tent
,	,	,
surrounded	VBN	surround
by	IN	by
children	NNS	child
,	,	,
dancing	NN	dancing
,	,	,
playing	VBG	play
,	,	,
and	CC	and
smiling	VBG	smile
.	SENT	.
"	``	"
I	PP	I
try	VBP	try
to	TO	to
bring	VB	bring
a	DT	a
bit	NN	bit
of	IN	of
joy	NN	joy
to	TO	to
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
war	NN	war
,	,	,
"	''	"
she	PP	she
told	VBD	tell
viewers	NNS	viewer
.	SENT	.
<p>
A	DT	a
week	NN	week
later	RBR	later
,	,	,
on	IN	on
May	NP	May
23	CD	@card@
,	,	,
2025	CD	@card@
,	,	,
Yaqeen	NP	<unknown>
was	VBD	be
killed	VBN	kill
in	IN	in
an	DT	an
Israeli	JJ	Israeli
strike	NN	strike
on	IN	on
al-Baraka	NP	<unknown>
,	,	,
a	DT	a
neighbourhood	NN	neighbourhood
in	IN	in
Deir	NP	Deir
al-Balah	NP	<unknown>
in	IN	in
central	JJ	central
Gaza	NP	Gaza
.	SENT	.
She	PP	she
was	VBD	be
11	CD	@card@
years	NNS	year
old	JJ	old
.	SENT	.
Palestinian	JJ	Palestinian
health	NN	health
officials	NNS	official
confirmed	VBD	confirm
that	IN	that
she	PP	she
was	VBD	be
among	IN	among
the	DT	the
dozens	NNS	dozen
of	IN	of
people	NNS	people
,	,	,
including	VBG	include
children	NNS	child
,	,	,
killed	VBN	kill
in	IN	in
the	DT	the
area	NN	area
that	DT	that
night	NN	night
.	SENT	.
<p>
Yaqeem	NP	<unknown>
'	POS	'
s	JJ	<unknown>
Instagram	NN	<unknown>
account	NN	account
,	,	,
