<p>
LONDON	NP	LONDON
:	:	:
Britain	NP	Britain
paused	VBD	pause
free	JJ	free
trade	NN	trade
talks	NNS	talk
with	IN	with
Israel	NP	Israel
on	IN	on
Tuesday	NP	Tuesday
,	,	,
summoned	VBD	summon
its	PP$	its
ambassador	NN	ambassador
,	,	,
and	CC	and
announced	VBD	announce
further	JJR	further
sanctions	NNS	sanction
against	IN	against
Jewish	JJ	Jewish
settlers	NNS	settler
in	IN	in
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
after	IN	after
Prime	NP	Prime
Minister	NP	Minister
Keir	NP	Keir
Starmer	NP	Starmer
said	VBD	say
he	PP	he
was	VBD	be
horrified	VBN	horrify
by	IN	by
the	DT	the
military	JJ	military
escalation	NN	escalation
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
After	IN	after
the	DT	the
Israeli	JJ	Israeli
military	NN	military
'	POS	'
s	JJ	<unknown>
new	JJ	new
operation	NN	operation
last	JJ	last
week	NN	week
,	,	,
Prime	NP	Prime
Minister	NP	Minister
Netanyahu	NP	<unknown>
said	VBD	say
Israel	NP	Israel
would	MD	would
take	VB	take
control	NN	control
of	IN	of
the	DT	the
whole	NN	whole
of	IN	of
Gaza	NP	Gaza
.	SENT	.
<p>
Israel	NP	Israel
has	VBZ	have
blocked	VBN	block
the	DT	the
entry	NN	entry
of	IN	of
medical	JJ	medical
,	,	,
food	NN	food
and	CC	and
fuel	NN	fuel
supplies	NNS	supply
into	IN	into
Gaza	NP	Gaza
since	IN	since
the	DT	the
start	NN	start
of	IN	of
March	NP	March
and	CC	and
international	JJ	international
experts	NNS	expert
have	VBP	have
warned	VBN	warn
of	IN	of
looming	VBG	loom
famine	NN	famine
.	SENT	.
<p>
British	NP	British
Foreign	NP	Foreign
Secretary	NP	Secretary
David	NP	David
Lammy	NP	<unknown>
said	VBD	say
the	DT	the
offensive	NN	offensive
was	VBD	be
not	RB	not
the	DT	the
way	NN	way
to	TO	to
bring	VB	bring
remaining	VBG	remain
prisoners	NNS	prisoner
home	NN	home
,	,	,
called	VBN	call
upon	IN	upon
Israel	NP	Israel
to	TO	to
end	VB	end
the	DT	the
blockade	NN	blockade
of	IN	of
aid	NN	aid
and	CC	and
condemned	VBD	condemn
"	``	"
extremism	NN	extremism
"	''	"
in	IN	in
some	DT	some
sections	NNS	section
of	IN	of
Israel	NP	Israel
