<h>
How	WRB	how
does	VBZ	do
it	PP	it
respond	VB	respond
without	IN	without
squandering	VBG	squander
the	DT	the
coalition	NN	coalition
that	WDT	that
supported	VBD	support
it	PP	it
?	SENT	?
<p>
In	IN	in
the	DT	the
space	NN	space
of	IN	of
two	CD	two
weeks	NNS	week
Israel	NP	Israel
has	VBZ	have
been	VBN	be
dealt	VBN	deal
two	CD	two
major	JJ	major
strategic	JJ	strategic
surprises	NNS	surprise
.	SENT	.
The	DT	the
first	JJ	first
came	VBD	come
in	IN	in
the	DT	the
aftermath	NN	aftermath
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
air	NN	air
strike	NN	strike
against	IN	against
Iran	NP	Iran
'	POS	'
s	JJ	<unknown>
embassy	NN	embassy
compound	NN	compound
in	IN	in
Damascus	NP	Damascus
on	IN	on
April	NP	April
1st	JJ	1st
.	SENT	.
Intelligence	NP	Intelligence
indicated	VBD	indicate
the	DT	the
Islamic	NP	Islamic
Republic	NP	Republic
was	VBD	be
about	RB	about
to	TO	to
abandon	VB	abandon
its	PP$	its
decades-long	JJ	decades-long
strategy	NN	strategy
of	IN	of
confronting	VBG	confront
Israel	NP	Israel
through	IN	through
proxies	NNS	proxy
and	CC	and
this	DT	this
time	NN	time
retaliate	VB	retaliate
directly	RB	directly
from	IN	from
its	PP$	its
territory	NN	territory
.	SENT	.
<p>
The	DT	the
Iranian	JJ	Iranian
attack	NN	attack
came	VBD	come
on	IN	on
April	NP	April
13th	JJ	13th
in	IN	in
the	DT	the
shape	NN	shape
of	IN	of
hundreds	NNS	hundred
of	IN	of
drones	NNS	drone
and	CC	and
missiles	NNS	missile
launched	VBN	launch
towards	IN	towards
the	DT	the
Jewish	JJ	Jewish
state	NN	state
.	SENT	.
With	IN	with
it	PP	it
came	VBD	come
the	DT	the
second	JJ	second
surprise	NN	surprise
.	SENT	.
A	DT	a
coalition	NN	coalition
of	IN	of
Western	JJ	Western
and	CC	and
Arab	JJ	Arab
