<p>
(	(	(
Updated	VBN	update
with	IN	with
more	JJR	more
details	NNS	detail
)	)	)
Chanting	VBG	chant
the	DT	the
controversial	JJ	controversial
line	NN	line
of	IN	of
"	``	"
from	IN	from
the	DT	the
river	NN	river
to	TO	to
the	DT	the
sea	NN	sea
,	,	,
Palestine	NP	Palestine
will	MD	will
be	VB	be
free	JJ	free
,	,	,
"	''	"
actress	NN	actress
Melissa	NP	Melissa
Barrera	NP	Barrera
joined	VBD	join
almost	RB	almost
100	CD	@card@
pro-Palestinian	NP	pro-Palestinian
protestors	NNS	protestor
today	NN	today
at	IN	at
the	DT	the
Sundance	NP	Sundance
Film	NP	Film
Festival	NP	Festival
.	SENT	.
<p>
Marching	VBG	march
halfway	RB	halfway
up	IN	up
Park	NP	Park
City	NP	City
'	POS	'
s	NN	S
Main	NP	Main
Street	NP	Street
in	IN	in
the	DT	the
snow	NN	snow
,	,	,
the	DT	the
protesters	NNS	protester
were	VBD	be
under	IN	under
heavy	JJ	heavy
police	NN	police
surveillance	NN	surveillance
and	CC	and
swarmed	VBN	swarm
by	IN	by
media	NNS	medium
.	SENT	.
With	IN	with
the	DT	the
huge	JJ	huge
media	NNS	medium
spotlight	VBP	spotlight
that	IN	that
Sundance	NP	Sundance
attracts	VBZ	attract
every	DT	every
year	NN	year
,	,	,
capturing	VBG	capture
the	DT	the
attention	NN	attention
of	IN	of
cameras	NNS	camera
and	CC	and
reporters	NNS	reporter
was	VBD	be
clearly	RB	clearly
part	NN	part
of	IN	of
the	DT	the
purpose	NN	purpose
of	IN	of
the	DT	the
demo	NN	demo
Sunday	NP	Sunday
.	SENT	.
<p>
Slamming	VBG	slam
the	DT	the
Biden	NP	Biden
administration	NN	administration
'	POS	'
s	JJ	<unknown>
stance	NN	stance
on	IN	on
Israel	NP	Israel
and	CC	and
strong	JJ	strong
allegiance	NN	allegiance
with	IN	with
the	DT	the
Jewish	JJ	Jewish
State	NN	state
over	IN	over
the	DT	the
horrors	NNS	horror
of	IN	of
Hamas	NP	<unknown>
'	POS	'
murderous	JJ	murderous
attack	NN	attack
on	IN	on
Israel	NP	Israel
on	IN	on
Oct.	NP	Oct.
7	CD	@card@
,	,	,
protestors	NNS	protestor
recycled	VBD	recycle
an	DT	an
old	JJ	old
anti-Vietnam	NP	anti-Vietnam
War	NP	War
chant	NN	chant
.	SENT	.
With	IN	with
signs	NNS	sign
in	IN	in
the	DT	the
crowd	NN	crowd
calling	VBG	call
President	NP	President
Biden	NP	Biden
a	DT	a
"	``	"
butcher	NN	butcher
,	,	,
demonstrators	NNS	demonstrator
screamed	VBD	scream
:	:	:
"	``	"
Genocide	NN	genocide
Joe	NP	Joe
,	,	,
what	WP	what
do	VBP	do
you	PP	you
say	VBP	say
?	SENT	?
How	WRB	how
many	JJ	many
kids	NNS	kid
did	VBD	do
you	PP	you
kill	VB	kill
today	NN	today
?	SENT	?
"	''	"
<p>
Spilling	VBG	spill
off	RP	off
the	DT	the
sidewalk	NN	sidewalk
into	IN	into
the	DT	the
street	NN	street
,	,	,
the	DT	the
demonstration	NN	demonstration
saw	VBD	see
Park	NP	Park
City	NP	City
police	NN	police
and	CC	and
other	JJ	other
law	NN	law
enforcement	NN	enforcement
move	NN	move
fast	RB	fast
to	TO	to
shut	VB	shut
down	RP	down
the	DT	the
road	NN	road
to	TO	to
traffic	NN	traffic
.	SENT	.
"	``	"
This	DT	this
could	MD	could
be	VB	be
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
anyone	NN	anyone
hurt	VBN	hurt
,	,	,
"	''	"
one	CD	one
officer	NN	officer
on	IN	on
the	DT	the
scene	NN	scene
said	VBD	say
to	TO	to
Deadline	NN	deadline
.	SENT	.
<p>
Passersby	NNS	passerby
at	IN	at
the	DT	the
festival	NN	festival
were	VBD	be
heard	VBN	hear
yelling	VBG	yell
"	``	"
Bring	NP	Bring
them	PP	them
home	NN	home
"	''	"
at	IN	at
the	DT	the
protestors	NNS	protestor
in	IN	in
reference	NN	reference
to	TO	to
hostages	NNS	hostage
still	RB	still
held	VBN	hold
in	IN	in
Gaza	NP	Gaza
by	IN	by
Hamas	NP	<unknown>
the	DT	the
past	JJ	past
three	CD	three
months	NNS	month
.	SENT	.
As	IN	as
a	DT	a
handful	NN	handful
of	IN	of
counter-protestors	NNS	counter-protestor
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
of	IN	of
the	DT	the
street	NN	street
waved	VBD	wave
