<h>
LA	NP	LA
County	NP	County
declines	VBZ	decline
to	TO	to
charge	NN	charge
man	NN	man
recorded	VBD	record
attacking	VBG	attack
pro-Palestine	JJ	<unknown>
protesters	NNS	protester
at	IN	at
UCLA	NP	UCLA
,	,	,
refers	VBZ	refer
case	NN	case
to	TO	to
city	NN	city
attorney	NN	attorney
'	POS	'
s	NN	S
office	NN	office
<p>
Edan	NP	Edan
On	NP	On
was	VBD	be
captured	VBN	capture
on	IN	on
video	NN	video
striking	VBG	strike
a	DT	a
pro-Palestinian	NP	pro-Palestinian
protester	NN	protester
with	IN	with
a	DT	a
pole	NN	pole
.	SENT	.
<p>
From	IN	from
Social	NP	Social
Media	NP	Media
<p>
CNN	NP	CNN
--	:	--
<p>
The	DT	the
Los	NP	Los
Angeles	NP	Angeles
County	NP	County
District	NP	District
Attorney	NP	Attorney
'	POS	'
s	JJ	<unknown>
Office	NN	office
on	IN	on
Friday	NP	Friday
declined	VBD	decline
to	TO	to
charge	VB	charge
Edan	NP	Edan
On	NP	On
,	,	,
the	DT	the
18-year-old	JJ	18-year-old
accused	NN	accused
of	IN	of
attacking	VBG	attack
pro-Palestinian	NP	pro-Palestinian
protesters	NNS	protester
at	IN	at
UCLA	NP	UCLA
in	IN	in
April	NP	April
,	,	,
citing	VBG	cite
insufficient	JJ	insufficient
evidence	NN	evidence
and	CC	and
referring	VBG	refer
the	DT	the
case	NN	case
to	TO	to
the	DT	the
Los	NP	Los
Angeles	NP	Angeles
City	NP	City
Attorney	NP	Attorney
'	POS	'
s	JJ	<unknown>
Office	NN	office
for	IN	for
misdemeanor	NN	misdemeanor
filing	NN	filing
consideration	NN	consideration
.	SENT	.
<p>
On	RB	on
was	VBD	be
identified	VBN	identify
by	IN	by
his	PP$	his
mother	NN	mother
to	TO	to
CNN	NP	CNN
as	IN	as
the	DT	the
man	NN	man
in	IN	in
a	DT	a
white	JJ	white
hoodie	NN	<unknown>
attacking	VBG	attack
protesters	NNS	protester
with	IN	with
a	DT	a
long	JJ	long
pole	NN	pole
in	IN	in
videos	NNS	video
distributed	VBN	distribute
across	IN	across
social	JJ	social
media	NNS	medium
.	SENT	.
He	PP	he
was	VBD	be
arrested	VBN	arrest
on	IN	on
suspicion	NN	suspicion
of	IN	of
felony	NN	felony
assault	NN	assault
in	IN	in
May	NP	May
.	SENT	.
<p>
"	``	"
Our	PP$	our
office	NN	office
has	VBZ	have
completed	VBN	complete
a	DT	a
thorough	JJ	thorough
review	NN	review
of	IN	of
the	DT	the
incident	NN	incident
involving	VBG	involve
Mr.	NP	Mr.
Edan	NP	Edan
On	IN	on
who	WP	who
allegedly	RB	allegedly
assaulted	VBD	assault
another	DT	another
protestor	NN	protestor
,	,	,
"	''	"
Los	NP	Los
Angeles	NP	Angeles
County	NP	County
District	NP	District
Attorney	NP	Attorney
George	NP	George
Gasc	NP	<unknown>
?	SENT	?
n	NN	n
said	VBD	say
in	IN	in
a	DT	a
Friday	NP	Friday
news	NN	news
release	NN	release
.	SENT	.
<p>
"	``	"
We	PP	we
can	MD	can
not	RB	not
establish	VB	establish
beyond	IN	beyond
a	DT	a
reasonable	JJ	reasonable
doubt	NN	doubt
that	IN	that
Mr.	NP	Mr.
On	NP	On
'	POS	'
s	NN	S
conduct	NN	conduct
directly	RB	directly
caused	VBD	cause
the	DT	the
victim	NN	victim
'	POS	'
s	NN	S
injury	NN	injury
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
evidence	NN	evidence
to	TO	to
suggest	VB	suggest
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
individuals	NNS	individual
;	:	;
and	CC	and
our	PP$	our
investigation	NN	investigation
found	VBD	find
no	DT	no
proof	NN	proof
of	IN	of
conspiracy	NN	conspiracy
or	CC	or
any	DT	any
organized	JJ	organized
effort	NN	effort
by	IN	by
Mr.	NP	Mr.
On	IN	on
related	VBN	relate
to	TO	to
the	DT	the
incident	NN	incident
,	,	,
"	''	"
the	DT	the
district	NN	district
attorney	NN	attorney
added	VBD	add
.	SENT	.
<p>
"	''	"
Given	VBN	give
these	DT	these
factors	NNS	factor
,	,	,
we	PP	we
believe	VBP	believe
that	IN	that
the	DT	the
appropriate	JJ	appropriate
course	NN	course
of	IN	of
action	NN	action
is	VBZ	be
to	TO	to
refer	VB	refer
the	DT	the
matter	NN	matter
to	TO	to
the	DT	the
Los	NP	Los
Angeles	NP	Angeles
City	NP	City
Attorney	NP	Attorney
'	POS	'
s	NN	S
Office	NN	office
,	,	,
which	WDT	which
will	MD	will
consider	VB	consider
misdemeanor	NN	misdemeanor
filing	NN	filing
.	SENT	.
"	''	"
<p>
CNN	NP	CNN
was	VBD	be
the	DT	the
first	JJ	first
to	TO	to
identify	VB	identify
On	IN	on
,	,	,
along	RB	along
with	IN	with
other	JJ	other
counterprotesters	NNS	counterprotester
,	,	,
through	IN	through
a	DT	a
review	NN	review
of	IN	of
hundreds	NNS	hundred
of	IN	of
hours	NNS	hour
of	IN	of
video	NN	video
,	,	,
social	JJ	social
media	NNS	medium
posts	NNS	post
and	CC	and
interviews	NNS	interview
.	SENT	.
Video	NP	Video
shows	VBZ	show
the	DT	the
18-year-old	JJ	18-year-old
striking	VBG	strike
a	DT	a
pro-Palestinian	NP	pro-Palestinian
protester	NN	protester
with	IN	with
a	DT	a
pole	NN	pole
and	CC	and
continuing	VBG	continue
to	TO	to
strike	VB	strike
him	PP	him
even	RB	even
when	WRB	when
he	PP	he
was	VBD	be
down	RP	down
,	,	,
as	IN	as
fellow	JJ	fellow
counterprotesters	NNS	counterprotester
piled	VBN	pile
on	IN	on
.	SENT	.
<p>
The	DT	the
UCLA	NP	UCLA
Police	NP	Police
Department	NP	Department
previously	RB	previously
confirmed	VBD	confirm
On	IN	on
was	VBD	be
on	IN	on
the	DT	the
UCLA	NP	UCLA
campus	NN	campus
on	IN	on
April	NP	April
30	CD	@card@
and	CC	and
"	``	"
was	VBD	be
seen	VBN	see
on	IN	on
video	JJ	video
assaulting	VBG	assault
encampment	NN	encampment
occupants	NNS	occupant
with	IN	with
a	DT	a
wooden	JJ	wooden
pole	NN	pole
.	SENT	.
"	``	"
He	PP	he
was	VBD	be
arrested	VBN	arrest
by	IN	by
UCLA	NP	UCLA
Police	NP	Police
in	IN	in
Beverly	NP	Beverly
Hills	NP	Hills
on	IN	on
May	NP	May
23	CD	@card@
and	CC	and
released	VBN	release
on	IN	on
$30,000	NN	<unknown>
bail	VB	bail
the	DT	the
next	JJ	next
day	NN	day
.	SENT	.
<p>
On	RB	on
'	POS	'
s	NN	S
mother	NN	mother
initially	RB	initially
boasted	VBD	boast
in	IN	in
a	DT	a
now-deleted	JJ	<unknown>
social	JJ	social
media	NNS	medium
post	NN	post
about	IN	about
her	PP$	her
son	NN	son
'	POS	'
s	JJ	<unknown>
participation	NN	participation
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
and	CC	and
writing	VBG	write
"	``	"
he	PP	he
is	VBZ	be
all	RB	all
over	IN	over
the	DT	the
news	NN	news
channels	NNS	channel
.	SENT	.
"	``	"
She	PP	she
later	RBR	later
told	VBD	tell
CNN	NP	CNN
her	PP$	her
son	NN	son
denied	VBD	deny
being	JJ	being
at	IN	at
UCLA	NP	UCLA
that	DT	that
night	NN	night
.	SENT	.
<p>
Law	NN	law
enforcement	NN	enforcement
stood	VBD	stand
by	IN	by
for	IN	for
hours	NNS	hour
as	IN	as
counterprotesters	NNS	counterprotester
attacked	VBD	attack
the	DT	the
encampment	NN	encampment
,	,	,
one	CD	one
of	IN	of
dozens	NNS	dozen
that	WDT	that
erupted	VBD	erupt
at	IN	at
college	NN	college
campuses	NNS	campus
to	TO	to
protest	VB	protest
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
war	NN	war
in	IN	in
Gaza	NP	Gaza
.	SENT	.
While	IN	while
law	NN	law
enforcement	NN	enforcement
did	VBD	do
not	RB	not
track	VB	track
injuries	NNS	injury
fro	RB	fro
?	SENT	?
m	NN	m
the	DT	the
attack	NN	attack
,	,	,
the	DT	the
encampment	NN	encampment
'	POS	'
s	NN	S
organizers	NNS	organizer
previously	RB	previously
said	VBD	say
at	IN	at
least	JJS	least
25	CD	@card@
protesters	NNS	protester
were	VBD	be
taken	VBN	take
to	TO	to
local	JJ	local
emergency	NN	emergency
rooms	NNS	room
for	IN	for
treatment	NN	treatment
for	IN	for
their	PP$	their
injuries	NNS	injury
from	IN	from
April	NP	April
30	CD	@card@
,	,	,
which	WDT	which
included	VBD	include
fractures	NNS	fracture
,	,	,
severe	JJ	severe
lacerations	NNS	laceration
and	CC	and
