<h>
Israel-Hezbollah	NP	Israel-Hezbollah
ceasefire	NN	ceasefire
holds	VBZ	hold
as	IN	as
UN	NP	UN
chief	JJ	chief
sees	NNS	see
'	POS	'
ray	NN	ray
of	IN	of
hope	NN	hope
'	POS	'
<p>
Thousands	NNS	thousand
of	IN	of
displaced	VBN	displace
people	NNS	people
set	VBN	set
out	RP	out
to	TO	to
return	VB	return
to	TO	to
their	PP$	their
homes	NNS	home
in	IN	in
southern	JJ	southern
Lebanon	NP	Lebanon
,	,	,
but	CC	but
others	NNS	other
heed	VBP	heed
Israeli	JJ	Israeli
warnings	NNS	warning
to	TO	to
stay	VB	stay
out	RP	out
.	SENT	.
<p>
Mohammed	NP	Mohammed
Sleem	NP	<unknown>
hugs	VBZ	hug
his	PP$	his
daughter	NN	daughter
Menisa	NP	<unknown>
Sleem	NP	<unknown>
in	IN	in
Tyre	NP	Tyre
,	,	,
Lebanon	NP	Lebanon
,	,	,
as	IN	as
he	PP	he
meets	VBZ	meet
her	PP	her
after	IN	after
two	CD	two
months	NNS	month
after	IN	after
a	DT	a
ceasefire	NN	ceasefire
between	IN	between
Israel	NP	Israel
and	CC	and
Hezbollah	NP	Hezbollah
took	VBD	take
effect	NN	effect
Adnan	NP	Adnan
Abidi/Reuters	NP	Abidi/Reuters
<p>
Published	VBN	publish
On	IN	on
27	CD	@card@
Nov	NP	Nov
202427	CD	@card@
Nov	NP	Nov
2024	CD	@card@
<p>
A	DT	a
ceasefire	NN	ceasefire
between	IN	between
Israel	NP	Israel
and	CC	and
Hezbollah	NP	Hezbollah
has	VBZ	have
appeared	VBN	appear
to	TO	to
hold	VB	hold
on	IN	on
its	PP$	its
first	JJ	first
day	NN	day
as	IN	as
thousands	NNS	thousand
of	IN	of
displaced	VBN	displace
people	NNS	people
set	VBN	set
out	RP	out
to	TO	to
return	VB	return
to	TO	to
their	PP$	their
homes	NNS	home
in	IN	in
southern	JJ	southern
Lebanon	NP	Lebanon
despite	IN	despite
Israel	NP	Israel
'	POS	'
s	NN	S
military	JJ	military
announcing	VBG	announce
restrictions	NNS	restriction
on	IN	on
movement	NN	movement
in	IN	in
the	DT	the
area	NN	area
.	SENT	.
<p>
Israeli	JJ	Israeli
military	JJ	military
spokesperson	NN	spokesperson
Avichay	NP	<unknown>
Adraee	NP	<unknown>
said	VBD	say
on	IN	on
X	NP	X
on	IN	on
Wednesday	NP	Wednesday
that	IN	that
residents	NNS	resident
would	MD	would
be	VB	be
barred	VBN	bar
from	IN	from
travelling	VBG	travel
south	RB	south
of	IN	of
the	DT	the
Litani	NP	Litani
River	NP	River
,	,	,
about	RB	about
30km	JJ	<unknown>
(	(	(
20	CD	@card@
miles	NNS	mile
)	)	)
from	IN	from
the	DT	the
Israeli	JJ	Israeli
border	NN	border
,	,	,
from	IN	from
5pm	NN	5pm
(	(	(
15:00	CD	@card@
GMT	NN	GMT
)	)	)
until	IN	until
7am	NP	7am
(	(	(
05:00	CD	@card@
GMT	NN	GMT
)	)	)
on	IN	on
Thursday	NP	Thursday
.	SENT	.
<p>
He	PP	he
said	VBD	say
displaced	VBN	displace
residents	NNS	resident
would	MD	would
not	RB	not
be	VB	be
allowed	VBN	allow
to	TO	to
return	VB	return
to	TO	to
villages	NNS	village
the	DT	the
army	NN	army
had	VBD	have
ordered	VBN	order
them	PP	them
to	TO	to
leave	VB	leave
as	RB	as
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
The	DT	the
ceasefire	NN	ceasefire
,	,	,
which	WDT	which
was	VBD	be
brokered	JJ	brokered
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
