<p>
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
'	POS	'
s	NN	S
aide	NN	aide
Eliezer	NP	Eliezer
Feldstein	NP	Feldstein
,	,	,
the	DT	the
main	JJ	main
suspect	NN	suspect
in	IN	in
the	DT	the
PMO	NP	PMO
leak	NN	leak
scandal	NN	scandal
,	,	,
was	VBD	be
indicted	VBN	indict
Thursday	NP	Thursday
for	IN	for
disclosing	VBG	disclose
confidential	JJ	confidential
information	NN	information
for	IN	for
the	DT	the
purpose	NN	purpose
of	IN	of
obstructing	VBG	obstruct
national	JJ	national
security	NN	security
.	SENT	.
<p>
A	DT	a
reserves	NNS	reserve
IDF	NP	IDF
intelligence	NN	intelligence
officer	NN	officer
whose	WP$	whose
identity	NN	identity
has	VBZ	have
not	RB	not
been	VBN	be
released	VBN	release
for	IN	for
publication	NN	publication
was	VBD	be
also	RB	also
indicted	VBN	indict
Thursday	NP	Thursday
on	IN	on
charges	NNS	charge
of	IN	of
theft	NN	theft
,	,	,
disclosure	NN	disclosure
of	IN	of
confidential	JJ	confidential
information	NN	information
,	,	,
and	CC	and
obstruction	NN	obstruction
of	IN	of
justice	NN	justice
.	SENT	.
<p>
Feldstein	NP	Feldstein
is	VBZ	be
accused	VBN	accuse
of	IN	of
leaking	VBG	leak
classified	JJ	classified
documents	NNS	document
that	WDT	that
harmed	VBD	harm
the	DT	the
war	NN	war
effort	NN	effort
and	CC	and
reduced	VBD	reduce
the	DT	the
chances	NNS	chance
of	IN	of
a	DT	a
successful	JJ	successful
hostage	NN	hostage
deal	NN	deal
.	SENT	.
<h>
Feldstein	NP	Feldstein
'	POS	'
s	NN	S
actions	NNS	action
"	``	"
severely	RB	severely
endangered	JJ	endangered
state	NN	state
security	NN	security
"	''	"
<p>
According	VBG	accord
to	TO	to
the	DT	the
prosecution	NN	prosecution
and	CC	and
investigation	NN	investigation
findings	NNS	finding
,	,	,
Feldstein	NP	Feldstein
'	POS	'
s	NN	S
actions	NNS	action
"	``	"
severely	RB	severely
endangered	JJ	endangered
state	NN	state
security	NN	security
.	SENT	.
"	``	"
<p>
The	DT	the
State	NP	State
Attorney	NP	Attorney
'	POS	'
s	NN	S
Office	NN	office
said	VBD	say
that	IN	that
the	DT	the
indictment	NN	indictment
was	VBD	be
filed	VBN	file
on	IN	on
charges	NNS	charge
of	IN	of
stealing	VBG	steal
highly	RB	highly
classified	JJ	classified
and	CC	and
sensitive	JJ	sensitive
information	NN	information
directly	RB	directly
from	IN	from
Aman	NP	Aman
systems	NNS	system
,	,	,
including	VBG	include
raw	JJ	raw
intelligence	NN	intelligence
data	NNS	datum
.	SENT	.
<p>
"	''	"
This	DT	this
information	NN	information
was	VBD	be
subsequently	RB	subsequently
published	VBN	publish
by	IN	by
a	DT	a
foreign	JJ	foreign
media	NN	media
outlet	NN	outlet
after	IN	after
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
censor	NN	censor
explicitly	RB	explicitly
prohibited	VBD	prohibit
its	PP$	its
publication	NN	publication
,	,	,
"	''	"
the	DT	the
State	NP	State
Attorney	NP	Attorney
'	POS	'
s	NN	S
Office	NN	office
explained	VBD	explain
.	SENT	.
<p>
"	''	"
This	DT	this
action	NN	action
was	VBD	be
carried	VBN	carry
out	RP	out
with	IN	with
the	DT	the
knowledge	NN	knowledge
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
to	TO	to
influence	VB	influence
Israeli	JJ	Israeli
public	JJ	public
discourse	NN	discourse
regarding	VBG	regard
the	DT	the
handling	NN	handling
of	IN	of
the	DT	the
hostage	NN	hostage
situation	NN	situation
,	,	,
"	''	"
it	PP	it
continued	VBD	continue
.	SENT	.
<p>
The	DT	the
State	NP	State
Attorney	NP	Attorney
'	POS	'
s	NN	S
Office	NN	office
also	RB	also
outlined	VBN	outline
what	WP	what
charges	VBZ	charge
Feldstein	NP	Feldstein
filed	VBN	file
against	IN	against
Feldstien	NP	Feldstien
,	,	,
which	WDT	which
were	VBD	be
