<p>
Hello	UH	hello
.	SENT	.
It	PP	it
looks	VBZ	look
like	IN	like
you	PP	you
'	POS	'
re	NN	re
using	VBG	use
an	DT	an
ad	NN	ad
blocker	NN	blocker
that	WDT	that
may	MD	may
prevent	VB	prevent
our	PP$	our
website	NN	website
from	IN	from
working	VBG	work
properly	RB	properly
.	SENT	.
To	TO	to
receive	VB	receive
the	DT	the
best	JJS	good
experience	NN	experience
possible	JJ	possible
,	,	,
please	VB	please
make	VB	make
sure	RB	sure
any	DT	any
ad	NN	ad
blockers	NNS	blocker
are	VBP	be
switched	VBN	switch
off	RP	off
,	,	,
or	CC	or
add	VB	add
https	NNS	<unknown>
:	:	:
**25	NN	<unknown>
;	:	;
1872	CD	@card@
;	:	;
TOOLONG	NN	<unknown>
to	TO	to
your	PP$	your
trusted	VBN	trust
sites	NNS	site
,	,	,
and	CC	and
refresh	VB	refresh
the	DT	the
page	NN	page
.	SENT	.
<h>
Two	CD	two
men	NNS	man
trying	VBG	try
to	TO	to
lead	VB	lead
the	DT	the
Middle	NP	Middle
East	NP	East
to	TO	to
peace	VB	peace
<p>
Aziz	NP	Aziz
Abu	NP	Abu
Sarah	NP	Sarah
(	(	(
left	VBN	leave
)	)	)
and	CC	and
Maoz	NP	<unknown>
Inon	NP	<unknown>
speaking	VBG	speak
at	IN	at
a	DT	a
recent	JJ	recent
event	NN	event
in	IN	in
London	NP	London
organised	VBD	organise
by	IN	by
the	DT	the
Next	NP	Next
Economy	NP	Economy
Trust	NP	Trust
.	SENT	.
Photo	NN	photo
:	:	:
Matt	NP	Matt
Kelly	NP	Kelly
<p>
The	DT	the
hardest	JJS	hard
thing	NN	thing
is	VBZ	be
not	RB	not
listening	VBG	listen
to	TO	to
their	PP$	their
stories	NNS	story
,	,	,
which	WDT	which
are	VBP	be
harrowing	VBG	harrow
.	SENT	.
Maoz	NP	<unknown>
Inon	NP	<unknown>
,	,	,
a	DT	a
50-year-old	JJ	50-year-old
Israeli	NP	Israeli
,	,	,
speaks	VBZ	speak
first	JJ	first
.	SENT	.
His	PP$	his
farmer	NN	farmer
parents	NNS	parent
Bilha	NP	<unknown>
and	CC	and
Yakovi	NP	<unknown>
burned	VBD	burn
to	TO	to
death	NN	death
in	IN	in
their	PP$	their
home	NN	home
in	IN	in
the	DT	the
village	NN	village
of	IN	of
Netiv	NP	<unknown>
HaAsara	NP	<unknown>
on	IN	on
the	DT	the
northern	JJ	northern
border	NN	border
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
They	PP	they
were	VBD	be
two	CD	two
of	IN	of
20	CD	@card@
residents	NNS	resident
of	IN	of
Netiv	NP	<unknown>
HaAsara	NP	<unknown>
murdered	VBN	murder
by	IN	by
Hamas	NP	<unknown>
on	IN	on
October	NP	October
7	CD	@card@
,	,	,
2023	CD	@card@
.	SENT	.
<p>
Aziz	NP	Aziz
Abu	NP	Abu
Sarah	NP	Sarah
,	,	,
a	DT	a
45-year-old	JJ	45-year-old
Palestinian	NN	Palestinian
,	,	,
follows	VBZ	follow
.	SENT	.
During	IN	during
the	DT	the
first	JJ	first
Intifada	NP	Intifada
,	,	,
when	WRB	when
Aziz	NP	Aziz
was	VBD	be
10	CD	@card@
,	,	,
his	PP$	his
elder	JJ	elder
brother	NN	brother
Tayseer	NP	<unknown>
was	VBD	be
arrested	VBN	arrest
by	RB	by
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
held	VBN	hold
in	IN	in
an	DT	an
Israeli	JJ	Israeli
prison	NN	prison
for	IN	for
a	DT	a
year	NN	year
and	CC	and
died	VBD	die
from	IN	from
internal	JJ	internal
injuries	NNS	injury
inflicted	VBN	inflict
during	IN	during
torture	NN	torture
in	IN	in
custody	NN	custody
.	SENT	.
<p>
"	``	"
Hope	NN	hope
is	VBZ	be
an	DT	an
action	NN	action
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
something	NN	something
you	PP	you
find	VBP	find
,	,	,
something	NN	something
you	PP	you
can	MD	can
lose	VB	lose
.	SENT	.
"	``	"
<p>
Both	DT	both
men	NNS	man
tell	VBP	tell
their	PP$	their
