<p>
During	IN	during
a	DT	a
speech	NN	speech
Friday	NP	Friday
,	,	,
Biden	NP	Biden
said	VBD	say
Hamas	NP	<unknown>
had	VBD	have
been	VBN	be
degraded	VBN	degrade
to	TO	to
a	DT	a
point	NN	point
where	WRB	where
it	PP	it
can	MD	can
no	RB	no
longer	RBR	longer
carry	VB	carry
out	RP	out
the	DT	the
type	NN	type
of	IN	of
attack	NN	attack
seen	VBN	see
on	IN	on
October	NP	October
7	CD	@card@
that	WDT	that
launched	VBD	launch
the	DT	the
current	JJ	current
war	NN	war
.	SENT	.
Part	NN	part
of	IN	of
the	DT	the
agreement	NN	agreement
,	,	,
he	PP	he
said	VBD	say
,	,	,
would	MD	would
see	VB	see
a	DT	a
truce	NN	truce
and	CC	and
hostage	NN	hostage
exchange	NN	exchange
while	IN	while
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
negotiate	VB	negotiate
a	DT	a
permanent	JJ	permanent
end	NN	end
to	TO	to
the	DT	the
fighting	NN	fighting
.	SENT	.
<p>
It	PP	it
was	VBD	be
perhaps	RB	perhaps
the	DT	the
furthest	JJ	furthest
Biden	NP	Biden
has	VBZ	have
gone	VBN	go
in	IN	in
telling	VBG	tell
Israel	NP	Israel
its	PP$	its
stated	JJ	stated
goals	NNS	goal
for	IN	for
its	PP$	its
operation	NN	operation
in	IN	in
Gaza	NP	Gaza
have	VBP	have
been	VBN	be
met	VBN	meet
,	,	,
and	CC	and
that	IN	that
the	DT	the
time	NN	time
has	VBZ	have
arrived	VBN	arrive
to	TO	to
stop	VB	stop
the	DT	the
fighting	NN	fighting
.	SENT	.
<p>
The	DT	the
proposal	NN	proposal
has	VBZ	have
been	VBN	be
welcomed	VBN	welcome
across	IN	across
the	DT	the
international	JJ	international
community	NN	community
.	SENT	.
The	DT	the
UN	NP	UN
,	,	,
the	DT	the
UK	NP	UK
,	,	,
France	NP	France
,	,	,
Saudi	NP	Saudi
Arabia	NP	Arabia
and	CC	and
the	DT	the
UAE	NNS	UAE
have	VBP	have
all	RB	all
expressed	VBN	express
support	NN	support
for	IN	for
Biden	NP	Biden
'	POS	'
s	NN	S
proposal	NN	proposal
,	,	,
while	IN	while
Qatar	NP	Qatar
and	CC	and
Egypt	NP	Egypt
joined	VBD	join
the	DT	the
US	NP	US
in	IN	in
calling	VBG	call
on	IN	on
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
to	TO	to
"	``	"
finalize	VB	finalize
"	''	"
the	DT	the
proposed	VBN	propose
ceasefire	NN	ceasefire
agreement	NN	agreement
.	SENT	.
<p>
For	IN	for
its	PP$	its
part	NN	part
,	,	,
Hamas	NP	<unknown>
said	VBD	say
it	PP	it
viewed	VBD	view
the	DT	the
plan	NN	plan
"	``	"
positively	RB	positively
"	''	"
and	CC	and
is	VBZ	be
ready	JJ	ready
"	''	"
to	TO	to
deal	VB	deal
positively	RB	positively
and	CC	and
constructively	RB	constructively
with	IN	with
any	DT	any
proposal	NN	proposal
based	VBN	base
on	IN	on
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
.	SENT	.
"	''	"
<p>
But	CC	but
a	DT	a
statement	NN	statement
from	IN	from
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
'	POS	'
s	JJ	<unknown>
Office	NN	office
on	IN	on
Saturday	NP	Saturday
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
military	JJ	military
and	CC	and
governing	VBG	govern
capabilities	NNS	capability
,	,	,
the	DT	the
freeing	NN	freeing
of	IN	of
all	DT	all
hostages	NNS	hostage
and	CC	and
ensuring	VBG	ensure
that	IN	that
Gaza	NP	Gaza
no	RB	no
longer	RBR	longer
poses	VBZ	pose
a	DT	a
threat	NN	threat
to	TO	to
Israel	NP	Israel
"	''	"
--	:	--
would	MD	would
need	VB	need
to	TO	to
be	VB	be
met	VBN	meet
before	IN	before
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
can	MD	can
begin	VB	begin
.	SENT	.
<p>
"	''	"
Under	IN	under
the	DT	the
proposal	NN	proposal
,	,	,
Israel	NP	Israel
will	MD	will
continue	VB	continue
to	TO	to
insist	VB	insist
these	DT	these
conditions	NNS	condition
are	VBP	be
met	VBN	meet
before	IN	before
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
is	VBZ	be
put	VBN	put
in	IN	in
place	NN	place
.	SENT	.
The	DT	the
notion	NN	notion
that	IN	that
Israel	NP	Israel
will	MD	will
agree	VB	agree
to	TO	to
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
before	IN	before
these	DT	these
conditions	NNS	condition
are	VBP	be
fulfilled	VBN	fulfill
is	VBZ	be
a	DT	a
non-starter	NN	non-starter
,	,	,
"	''	"
the	DT	the
statement	NN	statement
said	VBD	say
.	SENT	.
<p>
Saturday	NP	Saturday
'	POS	'
s	NN	S
statement	NN	statement
largely	RB	largely
reiterated	VBD	reiterate
earlier	JJR	early
comments	NNS	comment
from	IN	from
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
'	POS	'
s	NN	S
Office	NP	Office
(	(	(
PMO	NP	PMO
)	)	)
made	VBD	make
less	JJR	less
than	IN	than
an	DT	an
hour	NN	hour
after	IN	after
Biden	NP	Biden
detailed	VBD	detail
the	DT	the
peace	NN	peace
proposal	NN	proposal
on	IN	on
Friday	NP	Friday
,	,	,
with	IN	with
Netanyahu	NP	<unknown>
insisting	VBG	insist
the	DT	the
country	NN	country
would	MD	would
not	RB	not
end	VB	end
the	DT	the
war	NN	war
until	IN	until
Hamas	NP	<unknown>
is	VBZ	be
defeated	VBN	defeat
and	CC	and
all	DT	all
hostages	NNS	hostage
had	VBD	have
been	VBN	be
returned	VBN	return
.	SENT	.
<p>
For	IN	for
all	PDT	all
the	DT	the
messaging	VBG	message
,	,	,
however	RB	however
,	,	,
it	PP	it
is	VBZ	be
unclear	JJ	unclear
exactly	RB	exactly
to	TO	to
what	WP	what
degree	NN	degree
Israel	NP	Israel
supports	VBZ	support
the	DT	the
plan	NN	plan
.	SENT	.
The	DT	the
earlier	JJR	early
PMO	NP	PMO
statement	NN	statement
insisted	VBD	insist
the	DT	the
"	``	"
exact	JJ	exact
outline	NN	outline
"	''	"
of	IN	of
the	DT	the
proposal	NN	proposal
allows	VBZ	allow
Israel	NP	Israel
to	TO	to
"	``	"
maintain	VB	maintain
"	''	"
its	PP$	its
goals	NNS	goal
in	IN	in
the	DT	the
conflict	NN	conflict
.	SENT	.
<p>
The	DT	the
Israeli	JJ	Israeli
online	JJ	online
newspaper	NN	newspaper
The	DT	the
Times	NP	Times
of	IN	of
Israel	NP	Israel
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
outlining	VBG	outline
what	WP	what
kind	NN	kind
of	IN	of
ceasefire	NN	ceasefire
agreement	NN	agreement
Israel	NP	Israel
is	VBZ	be
prepared	VBN	prepare
to	TO	to
agree	VB	agree
to	TO	to
,	,	,
rather	RB	rather
than	IN	than
ruling	VBG	rule
one	PP	one
out	RP	out
.	SENT	.
<h>
Domestic	JJ	domestic
pressure	NN	pressure
mounts	NNS	mount
for	IN	for
Netanyahu	NP	<unknown>
<p>
Netanyahu	NP	<unknown>
is	VBZ	be
facing	VBG	face
domestic	JJ	domestic
pressure	NN	pressure
,	,	,
both	CC	both
from	IN	from
opposition	NN	opposition
leaders	NNS	leader
to	TO	to
get	VB	get
a	DT	a
ceasefire	NN	ceasefire
agreement	NN	agreement
on	IN	on
the	DT	the
table	NN	table
,	,	,
and	CC	and
from	IN	from
ministers	NNS	minister
within	IN	within
his	PP$	his
own	JJ	own
party	NN	party
not	RB	not
to	TO	to
back	VB	back
down	RP	down
on	IN	on
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
original	JJ	original
war	NN	war
goals	NNS	goal
.	SENT	.
Families	NNS	family
of	IN	of
Israelis	NNS	Israeli
being	VBG	be
held	VBN	hold
hostage	NN	hostage
are	VBP	be
meanwhile	RB	meanwhile
urging	VBG	urge
him	PP	him
to	TO	to
accept	VB	accept
the	DT	the
proposal	NN	proposal
.	SENT	.
<p>
Protesters	NNS	protester
took	VBD	take
to	TO	to
the	DT	the
streets	NNS	street
of	IN	of
several	JJ	several
cities	NNS	city
across	IN	across
Israel	NP	Israel
on	IN	on
Saturday	NP	Saturday
,	,	,
demanding	VBG	demand
Netanyahu	NP	<unknown>
'	POS	'
s	NN	S
resignation	NN	resignation
and	CC	and
for	IN	for
early	JJ	early
elections	NNS	election
to	TO	to
be	VB	be
held	VBN	hold
.	SENT	.
<p>
They	PP	they
also	RB	also
demanded	VBD	demand
the	DT	the
release	NN	release
of	IN	of
all	DT	all
hostages	NNS	hostage
held	VBN	hold
in	IN	in
Gaza	NP	Gaza
and	CC	and
for	IN	for
the	DT	the
Israeli	JJ	Israeli
government	NN	government
to	TO	to
accept	VB	accept
the	DT	the
latest	JJS	late
proposal	NN	proposal
laid	VBD	lay
out	RP	out
by	IN	by
Biden	NP	Biden
.	SENT	.
<p>
Families	NNS	family
of	IN	of
hostages	NNS	hostage
held	VBN	hold
in	IN	in
Gaza	NP	Gaza
took	VBD	take
part	NN	part
in	IN	in
protests	NNS	protest
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
,	,	,
Caesaria	NP	<unknown>
,	,	,
Haifa	NP	Haifa
,	,	,
Herzeliya	NP	<unknown>
,	,	,
Kfar	NP	Kfar
Saba	NP	Saba
.	SENT	.
<p>
At	IN	at
Hostage	NN	hostage
Square	NP	Square
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
,	,	,
protesters	NNS	protester
called	VBD	call
the	DT	the
names	NNS	name
of	IN	of
the	DT	the
125	CD	@card@
hostages	NNS	hostage
still	RB	still
in	IN	in
Hamas	JJ	<unknown>
captivity	NN	captivity
.	SENT	.
<p>
"	''	"
Start	NN	start
streaming	VBG	stream
this	DT	this
deal	NN	deal
,	,	,
so	RB	so
that	IN	that
it	PP	it
will	MD	will
start	VB	start
moving	NN	moving
...	:	...
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Tel	NP	Tel
Aviv	NP	Aviv
shouted	VBD	shout
over	IN	over
a	DT	a
loudspeaker	NN	loudspeaker
.	SENT	.
<p>
In	IN	in
Caesarea	NP	Caesarea
,	,	,
protesters	NNS	protester
called	VBD	call
for	IN	for
Netanyahu	NP	<unknown>
to	TO	to
accept	VB	accept
the	DT	the
hostage	NN	hostage
release	NN	release
deal	NN	deal
that	IN	that
Biden	NP	Biden
presented	VBD	present
.	SENT	.
<p>
"	``	"
There	EX	there
is	VBZ	be
no	DT	no
victory	NN	victory
until	IN	until
every	DT	every
last	JJ	last
hostage	NN	hostage
is	VBZ	be
returned	VBN	return
,	,	,
"	''	"
people	NNS	people
chanted	VBD	chant
.	SENT	.
<p>
Lapid	NP	Lapid
said	VBD	say
he	PP	he
was	VBD	be
offering	VBG	offer
Netanyahu	NP	<unknown>
a	DT	a
"	``	"
safety	NN	safety
net	NN	net
,	,	,
"	''	"
saying	VBG	say
he	PP	he
would	MD	would
support	VB	support
him	PP	him
in	IN	in
securing	VBG	secure
a	DT	a
hostage	NN	hostage
deal	NN	deal
if	IN	if
far-right	JJ	far-right
ministers	NNS	minister
Itamar	NN	<unknown>
Ben	NP	Ben
Gvir	NP	<unknown>
and	CC	and
Bezalel	NP	<unknown>
Smotrich	NP	Smotrich
left	VBD	leave
the	DT	the
government	NN	government
.	SENT	.
<p>
Gvir	NP	<unknown>
,	,	,
Israel	NP	Israel
'	POS	'
s	NN	S
National	NP	National
Security	NP	Security
Minister	NP	Minister
,	,	,
had	VBD	have
previously	RB	previously
threatened	VBN	threaten
to	TO	to
leave	VB	leave
Netanyahu	NP	<unknown>
'	POS	'
s	JJ	<unknown>
coalition	NN	coalition
if	IN	if
a	DT	a
ceasefire	NN	ceasefire
is	VBZ	be
reached	VBN	reach
before	IN	before
Israel	NP	Israel
achieves	VBZ	achieve
its	PP$	its
declared	VBN	declare
war	NN	war
aims	NNS	aim
.	SENT	.
<p>
Also	RB	also
in	IN	in
his	PP$	his
speech	NN	speech
on	IN	on
Saturday	NP	Saturday
,	,	,
Biden	NP	Biden
alluded	VBD	allude
to	TO	to
the	DT	the
tensions	NNS	tension
in	IN	in
the	DT	the
Israeli	JJ	Israeli
government	NN	government
,	,	,
making	VBG	make
a	DT	a
direct	JJ	direct
appeal	NN	appeal
to	TO	to
ordinary	JJ	ordinary
Israelis	NNS	Israeli
to	TO	to
voice	VB	voice
their	PP$	their
support	NN	support
for	IN	for
a	DT	a
hostage	NN	hostage
agreement	NN	agreement
that	WDT	that
would	MD	would
result	VB	result
in	IN	in
a	DT	a
ceasefire	NN	ceasefire
.	SENT	.
<p>
"	``	"
I	PP	I
know	VBP	know
there	EX	there
are	VBP	be
those	DT	those
in	IN	in
Israel	NP	Israel
who	WP	who
will	MD	will
not	RB	not
agree	VB	agree
with	IN	with
this	DT	this
plan	NN	plan
and	CC	and
will	MD	will
call	VB	call
for	IN	for
the	DT	the
war	NN	war
to	TO	to
continue	VB	continue
indefinitely	RB	indefinitely
.	SENT	.
Some	RB	some
,	,	,
some	DT	some
are	VBP	be
even	RB	even
in	IN	in
the	DT	the
government	NN	government
coalition	NN	coalition
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
The	DT	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
war	NN	war
in	IN	in
Gaza	NP	Gaza
has	VBZ	have
also	RB	also
been	VBN	be
mounting	VBG	mount
,	,	,
as	IN	as
the	DT	the
conflict	NN	conflict
approaches	VBZ	approach
its	PP$	its
ninth	JJ	ninth
month	NN	month
.	SENT	.
<p>
The	DT	the
war	NN	war
was	VBD	be
triggered	VBN	trigger
by	IN	by
Hamas	JJ	<unknown>
attacks	NNS	attack
on	IN	on
Israeli	JJ	Israeli
civilians	NNS	civilian
on	IN	on
October	NP	October
7	CD	@card@
,	,	,
which	WDT	which
left	VBD	leave
around	RB	around
1,200	CD	@card@
people	NNS	people
dead	JJ	dead
and	CC	and
saw	VBD	see
more	JJR	more
than	IN	than
200	CD	@card@
people	NNS	people
taken	VBN	take
hostage	NN	hostage
.	SENT	.
The	DT	the
Israeli	JJ	Israeli
campaign	NN	campaign
in	IN	in
Gaza	NP	Gaza
since	IN	since
then	RB	then
has	VBZ	have
killed	VBN	kill
more	JJR	more
than	IN	than
36,000	CD	@card@
people	NNS	people
.	SENT	.
<p>
Fighting	NP	Fighting
continues	VBZ	continue
.	SENT	.
This	DT	this
week	NN	week
,	,	,
the	DT	the
Israeli	JJ	Israeli
military	NN	military
confirmed	VBD	confirm
that	IN	that
it	PP	it
was	VBD	be
operating	VBG	operate
in	IN	in
the	DT	the
centre	NN	centre
of	IN	of
Rafah	NP	<unknown>
,	,	,
southern	JJ	southern
Gaza	NP	Gaza
,	,	,
while	IN	while
a	DT	a
top	JJ	top
Israeli	JJ	Israeli
security	NN	security
official	NN	official
warned	VBD	warn
the	DT	the
conflict	NN	conflict
could	MD	could
last	VB	last
into	IN	into
next	JJ	next
year	NN	year
.	SENT	.
