<p>
Palestinians	NPS	Palestinians
flee	VBP	flee
to	TO	to
the	DT	the
southern	JJ	southern
Gaza	NP	Gaza
Strip	NP	Strip
on	IN	on
Salah	NP	Salah
al-Din	NP	al-Din
Street	NP	Street
in	IN	in
Bureij	NP	<unknown>
,	,	,
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
on	IN	on
Wednesday	NP	Wednesday
,	,	,
November	NP	November
8	CD	@card@
,	,	,
2023	CD	@card@
.	SENT	.
A	DT	a
Canadian	JJ	Canadian
woman	NN	woman
who	WP	who
evacuated	VBN	evacuate
Gaza	NP	Gaza
with	IN	with
the	DT	the
first	JJ	first
cohort	NN	cohort
of	IN	of
citizens	NNS	citizen
this	DT	this
week	NN	week
says	VBZ	say
she	PP	she
feels	VBZ	feel
relief	NN	relief
she	PP	she
has	VBZ	have
escaped	VBN	escape
the	DT	the
brutal	JJ	brutal
Israel-Hamas	JJ	<unknown>
war	NN	war
with	IN	with
her	PP$	her
two	CD	two
kids	NNS	kid
and	CC	and
is	VBZ	be
soon	RB	soon
flying	VBG	fly
to	TO	to
her	PP$	her
home	NN	home
in	IN	in
Mississauga	NP	Mississauga
,	,	,
Ont	NP	<unknown>
.	SENT	.
THE	DT	the
CANADIAN	NP	Canadian
PRESS/AP/Hatem	NP	<unknown>
Moussa	NP	Moussa
<p>
When	WRB	when
Rana	NP	Rana
Nassrawi	NP	<unknown>
got	VBD	get
to	TO	to
a	DT	a
hotel	NN	hotel
room	NN	room
in	IN	in
Cairo	NP	Cairo
,	,	,
nearly	RB	nearly
24	CD	@card@
hours	NNS	hour
after	IN	after
fleeing	VBG	flee
from	IN	from
Gaza	NP	Gaza
with	IN	with
her	PP$	her
two	CD	two
young	JJ	young
children	NNS	child
,	,	,
she	PP	she
finally	RB	finally
allowed	VBD	allow
herself	PP	herself
to	TO	to
cry	VB	cry
.	SENT	.
<p>
The	DT	the
Mississauga	NP	Mississauga
,	,	,
Ont.	NP	<unknown>
,	,	,
resident	NN	resident
was	VBD	be
among	IN	among
the	DT	the
first	JJ	first
cohort	NN	cohort
of	IN	of
Canadians	NNS	Canadian
who	WP	who
were	VBD	be
able	JJ	able
to	TO	to
evacuate	VB	evacuate
from	IN	from
the	DT	the
besieged	JJ	besieged
Palestinian	JJ	Palestinian
territory	NN	territory
.	SENT	.
She	PP	she
said	VBD	say
getting	VBG	get
to	TO	to
safety	NN	safety
in	IN	in
Egypt	NP	Egypt
after	IN	after
a	DT	a
month	NN	month
of	IN	of
being	VBG	be
caught	VBN	catch
in	IN	in
the	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
overwhelmed	VBD	overwhelm
her	PP	her
with	IN	with
emotion	NN	emotion
.	SENT	.
<p>
"	``	"
I	PP	I
had	VBD	have
a	DT	a
mental	JJ	mental
breakdown	NN	breakdown
,	,	,
"	''	"
the	DT	the
43-year-old	JJ	43-year-old
said	VBD	say
in	IN	in
a	DT	a
phone	NN	phone
interview	NN	interview
with	IN	with
The	DT	the
Canadian	JJ	Canadian
Press	NP	Press
hours	NNS	hour
after	IN	after
getting	VBG	get
to	TO	to
Cairo	NP	Cairo
.	SENT	.
<p>
"	''	"
(	(	(
In	IN	in
Gaza	NP	Gaza
)	)	)
,	,	,
you	PP	you
do	VBP	do
n't	RB	n't
have	VB	have
a	DT	a
choice	NN	choice
but	CC	but
to	TO	to
be	VB	be
strong	JJ	strong
.	SENT	.
I	PP	I
would	MD	would
say	VB	say
,	,	,
'	''	'
@	SYM	@
@	SYM	@
