<h>
Despite	IN	despite
ceasefire	NN	ceasefire
,	,	,
Toronto	NP	Toronto
man	NN	man
says	VBZ	say
his	PP$	his
family	NN	family
needs	VBZ	need
Canadian	JJ	Canadian
help	NN	help
to	TO	to
get	VB	get
out	RP	out
of	IN	of
Gaza	NP	Gaza
<p>
Palestinians	NPS	Palestinians
inspect	VBP	inspect
the	DT	the
damage	NN	damage
of	IN	of
a	DT	a
destroyed	VBN	destroy
house	NN	house
following	VBG	follow
Israeli	JJ	Israeli
airstrikes	NNS	airstrike
in	IN	in
the	DT	the
town	NN	town
of	IN	of
Khan	NP	Khan
Younis	NP	Younis
,	,	,
southern	JJ	southern
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
Wednesday	NP	Wednesday
,	,	,
Nov.	NP	Nov.
22	CD	@card@
,	,	,
2023	CD	@card@
.	SENT	.
A	DT	a
four-day	JJ	four-day
truce	NN	truce
announced	VBD	announce
Wednesday	NP	Wednesday
will	MD	will
free	VB	free
dozens	NNS	dozen
of	IN	of
Israeli	JJ	Israeli
hostages	NNS	hostage
held	VBN	hold
by	IN	by
militants	NNS	militant
as	RB	as
well	RB	well
as	IN	as
Palestinians	NNS	Palestinian
imprisoned	VBN	imprison
in	IN	in
Israel	NP	Israel
.	SENT	.
It	PP	it
will	MD	will
also	RB	also
bring	VB	bring
a	DT	a
large	JJ	large
influx	NN	influx
of	IN	of
aid	NN	aid
to	TO	to
the	DT	the
besieged	JJ	besieged
territory.THE	NN	<unknown>
CANADIAN	NP	Canadian
PRESS/AP-Mohammed	NP	PRESS/AP-Mohammed
Dahman	NP	Dahman
<p>
MONTREAL	NP	Montreal
--	:	--
With	IN	with
one	CD	one
of	IN	of
his	PP$	his
sons	NNS	son
in	IN	in
a	DT	a
Gaza	NP	Gaza
hospital	NN	hospital
,	,	,
Toronto	NP	Toronto
resident	NN	resident
Nahed	NP	<unknown>
El-Khalidy	NP	<unknown>
said	VBD	say
the	DT	the
recently	RB	recently
announced	VBN	announce
ceasefire	NN	ceasefire
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
is	VBZ	be
good	JJ	good
news	NN	news
,	,	,
though	IN	though
it	PP	it
came	VBD	come
too	RB	too
late	JJ	late
to	TO	to
save	VB	save
his	PP$	his
daughter	NN	daughter
'	POS	'
s	NN	S
life	NN	life
.	SENT	.
<p>
El-Khalidy	NP	<unknown>
said	VBD	say
his	PP$	his
daughter	NN	daughter
Caroline	NP	Caroline
,	,	,
27	CD	@card@
,	,	,
was	VBD	be
killed	VBN	kill
Monday	NP	Monday
when	WRB	when
an	DT	an
Israeli	JJ	Israeli
airstrike	NN	airstrike
hit	VBD	hit
a	DT	a
building	NN	building
near	IN	near
her	PP$	her
location	NN	location
in	IN	in
Gaza	NP	Gaza
.	SENT	.
The	DT	the
blast	NN	blast
,	,	,
which	WDT	which
left	VBD	leave
his	PP$	his
17-year-old	JJ	17-year-old
son	NN	son
Mahmoud	NP	Mahmoud
seriously	RB	seriously
injured	VBN	injure
,	,	,
came	VBD	come
one	CD	one
day	NN	day
after	IN	after
the	DT	the
teenager	NN	teenager
was	VBD	be
turned	VBN	turn
back	RB	back
at	IN	at
the	DT	the
Egyptian	JJ	Egyptian
border	NN	border
as	IN	as
he	PP	he
tried	VBD	try
with	IN	with
other	JJ	other
family	NN	family
members	NNS	member
to	TO	to
escape	VB	escape
to	TO	to
Canada	NP	Canada
.	SENT	.
<p>
He	PP	he
said	VBD	say
his	PP$	his
son	NN	son
needs	VBZ	need
medical	JJ	medical
care	NN	care
that	WDT	that
is	VBZ	be
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
electricity	NN	electricity
,	,	,
and	CC	and
he	PP	he
wants	VBZ	want
the	DT	the
Canadian	JJ	Canadian
government	NN	government
to	TO	to
help	VB	help
.	SENT	.
<p>
"	''	"
He	PP	he
needs	VBZ	need
surgery	NN	surgery
urgently	RB	urgently
,	,	,
now	RB	now
,	,	,
"	''	"
El-Khalidy	NP	<unknown>
said	VBD	say
in	IN	in
an	DT	an
interview	NN	interview
Wednesday	NP	Wednesday
.	SENT	.
"	``	"
He	PP	he
needs	VBZ	need
oxygen	NN	oxygen
and	CC	and
there	EX	there
'	''	'
