<p>
WASHINGTON	NP	WASHINGTON
(	(	(
AP	NP	AP
)	)	)
--	:	--
Israel	NP	Israel
has	VBZ	have
agreed	VBN	agree
to	TO	to
put	VB	put
in	IN	in
place	NN	place
four-hour	JJ	four-hour
daily	JJ	daily
humanitarian	JJ	humanitarian
pauses	NNS	pause
in	IN	in
its	PP$	its
assault	NN	assault
on	IN	on
Hamas	NNS	<unknown>
in	IN	in
northern	JJ	northern
Gaza	NP	Gaza
,	,	,
the	DT	the
White	NP	White
House	NP	House
said	VBD	say
Thursday	NP	Thursday
,	,	,
as	IN	as
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
pressed	VBD	press
Israelis	NNS	Israeli
for	IN	for
a	DT	a
multi-day	JJ	<unknown>
stoppage	NN	stoppage
in	IN	in
the	DT	the
fighting	NN	fighting
in	IN	in
a	DT	a
bid	NN	bid
to	TO	to
release	VB	release
hostages	NNS	hostage
held	VBN	hold
by	IN	by
the	DT	the
militant	JJ	militant
group	NN	group
.	SENT	.
<p>
Biden	NP	Biden
had	VBD	have
asked	VBN	ask
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
to	TO	to
institute	VB	institute
the	DT	the
daily	JJ	daily
pauses	NNS	pause
during	IN	during
a	DT	a
Monday	NP	Monday
call	NN	call
and	CC	and
said	VBD	say
he	PP	he
had	VBD	have
also	RB	also
asked	VBN	ask
the	DT	the
Israelis	NPS	Israelis
for	IN	for
a	DT	a
pause	NN	pause
of	IN	of
at	IN	at
least	JJS	least
three	CD	three
days	NNS	day
to	TO	to
allow	VB	allow
for	IN	for
negotiations	NNS	negotiation
over	IN	over
the	DT	the
release	NN	release
of	IN	of
some	DT	some
hostages	NNS	hostage
held	VBN	hold
by	IN	by
Hamas	NP	<unknown>
.	SENT	.
<p>
"	``	"
Yes	UH	yes
,	,	,
"	''	"
Biden	NP	Biden
said	VBD	say
,	,	,
when	WRB	when
asked	VBN	ask
whether	IN	whether
he	PP	he
had	VBD	have
asked	VBN	ask
Israel	NP	Israel
for	IN	for
a	DT	a
three-day	JJ	three-day
pause	NN	pause
.	SENT	.
"	''	"
I	NP	I
'	POS	'
ve	NN	ve
asked	VBD	ask
for	IN	for
even	RB	even
a	DT	a
longer	JJR	long
pause	NN	pause
for	IN	for
some	DT	some
of	IN	of
them	PP	them
.	SENT	.
"	''	"
He	PP	he
added	VBD	add
that	IN	that
there	EX	there
was	VBD	be
"	``	"
no	DT	no
possibility	NN	possibility
"	''	"
of	IN	of
a	DT	a
formal	JJ	formal
cease-fire	NN	cease-fire
at	IN	at
the	DT	the
moment	NN	moment
,	,	,
and	CC	and
said	VBD	say
it	PP	it
had	VBD	have
"	``	"
taken	VBN	take
a	DT	a
little	RB	little
longer	JJR	long
"	''	"
than	IN	than
he	PP	he
hoped	VBD	hope
for	IN	for
Israel	NP	Israel
to	TO	to
agree	VB	agree
to	TO	to
the	DT	the
humanitarian	JJ	humanitarian
pauses	NNS	pause
.	SENT	.
<p>
National	NP	National
Security	NP	Security
Council	NP	Council
spokesman	NN	spokesman
John	NP	John
Kirby	NP	Kirby
said	VBD	say
that	IN	that
a	DT	a
daily	JJ	daily
humanitarian	JJ	humanitarian
pause	NN	pause
would	MD	would
be	VB	be
announced	VBN	announce
Thursday	NP	Thursday
and	CC	and
that	IN	that
the	DT	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
three	CD	three
hours	NNS	hour
in	IN	in
advance	NN	advance
every	DT	every
day	NN	day
.	SENT	.
Israel	NP	Israel
,	,	,
he	PP	he
said	VBD	say
,	,	,
also	RB	also
was	VBD	be
opening	VBG	open
a	DT	a
second	JJ	second
corridor	NN	corridor
for	IN	for
civilians	NNS	civilian
to	TO	to
flee	VB	flee
the	DT	the
areas	NNS	area
that	WDT	that
are	VBP	be
the	DT	the
current	JJ	current
focus	NN	focus
of	IN	of
its	PP$	its
military	JJ	military
campaign	NN	campaign
against	IN	against
Hamas	NP	<unknown>
,	,	,
with	IN	with
a	DT	a
coastal	JJ	coastal
road	NN	road
joining	VBG	join
the	DT	the
territory	NN	territory
'	POS	'
s	JJ	<unknown>
main	JJ	main
north-south	JJ	north-south
highway	NN	highway
.	SENT	.
<p>
Similar	JJ	similar
short-term	JJ	short-term
pauses	NNS	pause
have	VBP	have
occurred	VBN	occur
over	IN	over
the	DT	the
last	JJ	last
several	JJ	several
days	NNS	day
as	IN	as
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
civilians	NNS	civilian
have	VBP	have
fled	VBN	flee
southward	JJ	southward
,	,	,
but	CC	but
Thursday	NP	Thursday
'	POS	'
s	NN	S
announcement	NN	announcement
appeared	VBD	appear
to	TO	to
be	VB	be
an	DT	an
effort	NN	effort
to	TO	to
formalize	VB	formalize
and	CC	and
expand	VB	expand
the	DT	the
process	NN	process
,	,	,
as	IN	as
the	DT	the
U.S.	NP	U.S.
has	VBZ	have
pressed	VBN	press
Israelis	NNS	Israeli
to	TO	to
take	VB	take
greater	JJR	great
steps	NNS	step
to	TO	to
protect	VB	protect
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
Biden	NP	Biden
'	POS	'
s	JJ	<unknown>
push	NN	push
for	IN	for
an	DT	an
even	RB	even
longer	JJR	long
pause	NN	pause
comes	VBZ	come
as	IN	as
part	NN	part
of	IN	of
a	DT	a
renewed	JJ	renewed
diplomatic	JJ	diplomatic
push	NN	push
to	TO	to
free	JJ	free
hostages	NNS	hostage
taken	VBN	take
by	IN	by
Hamas	JJ	<unknown>
and	CC	and
other	JJ	other
militant	JJ	militant
groups	NNS	group
to	TO	to
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
during	IN	during
their	PP$	their
Oct.	NP	Oct.
7	CD	@card@
surprise	NN	surprise
attack	NN	attack
on	IN	on
Israel	NP	Israel
.	SENT	.
<p>
Israeli	JJ	Israeli
officials	NNS	official
estimate	VBP	estimate
that	IN	that
militants	NNS	militant
still	RB	still
hold	VBP	hold
239	CD	@card@
hostages	NNS	hostage
,	,	,
including	VBG	include
children	NNS	child
and	CC	and
the	DT	the
elderly	JJ	elderly
,	,	,
from	IN	from
the	DT	the
attack	NN	attack
that	WDT	that
also	RB	also
saw	VBD	see
1,400	CD	@card@
Israelis	NPS	Israelis
killed	VBN	kill
.	SENT	.
U.S.	NP	U.S.
officials	NNS	official
say	VBP	say
it	PP	it
believes	VBZ	believe
fewer	JJR	few
than	IN	than
10	CD	@card@
Americans	NPS	Americans
are	VBP	be
among	IN	among
those	DT	those
held	JJ	held
captive	NN	captive
.	SENT	.
<p>
Kirby	NP	Kirby
told	VBD	tell
reporters	NNS	reporter
Thursday	NP	Thursday
that	IN	that
pauses	NNS	pause
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
with	IN	with
their	PP$	their
families	NNS	family
to	TO	to
include	VB	include
the	DT	the
less	JJR	less
than	IN	than
10	CD	@card@
Americans	NPS	Americans
that	IN	that
we	PP	we
know	VBP	know
are	VBP	be
being	VBG	be
held	VBN	hold
.	SENT	.
So	RB	so
if	IN	if
we	PP	we
can	MD	can
get	VB	get
all	PDT	all
the	DT	the
hostages	NNS	hostage
out	RB	out
,	,	,
that	IN	that
'	POS	'
s	NN	S
a	DT	a
nice	JJ	nice
finite	JJ	finite
goal	NN	goal
.	SENT	.
"	''	"
<p>
"	``	"
Humanitarian	JJ	humanitarian
pauses	NNS	pause
can	MD	can
be	VB	be
useful	JJ	useful
in	IN	in
the	DT	the
transfer	NN	transfer
process	NN	process
,	,	,
"	''	"
he	PP	he
added	VBD	add
.	SENT	.
<p>
Indirect	JJ	indirect
talks	NNS	talk
were	VBD	be
taking	VBG	take
place	NN	place
in	IN	in
Qatar	NP	Qatar
--	:	--
which	WDT	which
also	RB	also
played	VBD	play
a	DT	a
role	NN	role
in	IN	in
the	DT	the
freeing	NN	freeing
