<h>
When	WRB	when
war	NN	war
creeps	VBZ	creep
into	IN	into
newsrooms	NNS	newsroom
silently	RB	silently
<p>
"	``	"
The	DT	the
images	NNS	image
of	IN	of
Gaza	NP	Gaza
bring	VBP	bring
back	JJ	back
memories	NNS	memory
I	PP	I
usually	RB	usually
keep	VB	keep
buried	VBN	bury
.	SENT	.
"	``	"
These	DT	these
are	VBP	be
words	NNS	word
from	IN	from
a	DT	a
recent	JJ	recent
article	NN	article
in	IN	in
The	DT	the
New	NP	New
York	NP	York
Times	NP	Times
by	IN	by
Megan	NP	Megan
K.	NP	K.
Stack	NP	Stack
,	,	,
contributing	VBG	contribute
Opinion	NN	opinion
writer	NN	writer
,	,	,
who	WP	who
has	VBZ	have
lived	VBN	live
the	DT	the
dreads	NNS	dread
of	IN	of
war	NN	war
firsthand	RB	firsthand
during	IN	during
her	PP$	her
many	JJ	many
stints	NNS	stint
as	IN	as
a	DT	a
correspondent	NN	correspondent
in	IN	in
conflict	NN	conflict
zones	NNS	zone
.	SENT	.
In	IN	in
the	DT	the
article	NN	article
,	,	,
Stack	NP	Stack
goes	VBZ	go
on	RP	on
to	TO	to
describe	VB	describe
the	DT	the
horrors	NNS	horror
of	IN	of
being	VBG	be
exposed	VBN	expose
to	TO	to
ceaseless	JJ	ceaseless
bombardment	NN	bombardment
and	CC	and
the	DT	the
trauma	NN	trauma
of	IN	of
bearing	VBG	bear
witness	NN	witness
to	TO	to
death	NN	death
and	CC	and
destruction	NN	destruction
as	IN	as
a	DT	a
journalist	NN	journalist
.	SENT	.
Her	PP$	her
description	NN	description
of	IN	of
hell	NN	hell
on	IN	on
earth	NN	earth
engineered	VBN	engineer
by	IN	by
man	NN	man
'	POS	'
s	JJ	<unknown>
quest	NN	quest
for	IN	for
dominion	NN	dominion
is	VBZ	be
lyrical	JJ	lyrical
,	,	,
but	CC	but
it	PP	it
does	VBZ	do
not	RB	not
take	VB	take
away	RB	away
from	IN	from
a	DT	a
reporter	NN	reporter
'	POS	'
s	JJ	<unknown>
trauma	NN	trauma
of	IN	of
having	VBG	have
to	TO	to
bring	VB	bring
those	DT	those
stories	NNS	story
to	TO	to
us	PP	us
.	SENT	.
If	IN	if
anything	NN	anything
,	,	,
her	PP$	her
words	NNS	word
reinforce	VB	reinforce
the	DT	the
utter	JJ	utter
ugliness	NN	ugliness
of	IN	of
war	NN	war
and	CC	and
highlight	VB	highlight
