<h>
More	JJR	more
on	IN	on
Israel-Hamas	JJ	<unknown>
war	NN	war
<p>
And	CC	and
his	PP$	his
family	NN	family
also	RB	also
paid	VBN	pay
tribute	NN	tribute
when	WRB	when
they	PP	they
invited	VBD	invite
The	DT	the
Sun	NP	Sun
spoke	VBD	speak
to	TO	to
them	PP	them
during	IN	during
his	PP$	his
Shiva	NP	Shiva
--	:	--
the	DT	the
seven	CD	seven
days	NNS	day
of	IN	of
mourning	VBG	mourn
when	WRB	when
people	NNS	people
visit	VBP	visit
the	DT	the
family	NN	family
to	TO	to
pay	VB	pay
their	PP$	their
respects	NNS	respect
.	SENT	.
<p>
They	PP	they
invited	VBD	invite
us	PP	us
to	TO	to
join	VB	join
his	PP$	his
Shiva	NP	Shiva
at	IN	at
the	DT	the
family	NN	family
home	NN	home
in	IN	in
Modiin	NP	<unknown>
,	,	,
near	IN	near
Jerusalem	NP	Jerusalem
.	SENT	.
<p>
His	PP$	his
engineer	NN	engineer
dad	NN	dad
Nitzam	NP	<unknown>
,	,	,
52	CD	@card@
,	,	,
said	VBD	say
:	:	:
"	``	"
He	PP	he
was	VBD	be
a	DT	a
wonderful	JJ	wonderful
,	,	,
kind	JJ	kind
loving	JJ	loving
son	NN	son
and	CC	and
although	IN	although
it	PP	it
is	VBZ	be
hard	JJ	hard
,	,	,
it	PP	it
is	VBZ	be
some	DT	some
comfort	NN	comfort
to	TO	to
know	VB	know
he	PP	he
died	VBN	die
in	IN	in
this	DT	this
war	NN	war
,	,	,
making	VBG	make
the	DT	the
ultimate	JJ	ultimate
sacrifice	NN	sacrifice
for	IN	for
something	NN	something
so	RB	so
important	JJ	important
.	SENT	.
<p>
"	``	"
This	DT	this
is	VBZ	be
the	DT	the
most	RBS	most
justified	JJ	justified
war	NN	war
in	IN	in
many	JJ	many
years	NNS	year
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
We	PP	we
are	VBP	be
fighting	VBG	fight
for	IN	for
democracy	NN	democracy
and	CC	and
for	IN	for
Israel	NP	Israel
'	POS	'
s	NN	S
survival	NN	survival
.	SENT	.
<p>
"	``	"
We	PP	we
have	VBP	have
the	DT	the
right	NN	right
to	TO	to
live	VB	live
here	RB	here
and	CC	and
we	PP	we
have	VBP	have
to	TO	to
defend	VB	defend
that	DT	that
right	NN	right
.	SENT	.
And	CC	and
for	IN	for
your	PP$	your
son	NN	son
to	TO	to
have	VB	have
been	VBN	be
one	CD	one
of	IN	of
those	DT	those
who	WP	who
paid	VBD	pay
the	DT	the
ultimate	JJ	ultimate
sacrifice	NN	sacrifice
for	IN	for
that	DT	that
aim	NN	aim
is	VBZ	be
very	RB	very
sad	JJ	sad
,	,	,
but	CC	but
necessary	JJ	necessary
.	SENT	.
"	``	"
<p>
His	PP$	his
sister	JJ	sister
Anafa	NP	<unknown>
,	,	,
22	CD	@card@
,	,	,
told	VBD	tell
how	WRB	how
Lavi	NP	Lavi
texted	VBD	<unknown>
her	PP$	her
three	CD	three
weeks	NNS	week
before	IN	before
he	PP	he
died	VBD	die
to	TO	to
give	VB	give
her	PP$	her
instructions	NNS	instruction
of	IN	of
what	WP	what
to	TO	to
do	VB	do
if	IN	if
the	NP	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
if	IN	if
something	NN	something
happens	VBZ	happen
to	TO	to
me	PP	me
make	VBP	make
sure	RB	sure
the	DT	the
family	NN	family
is	VBZ	be
happy	JJ	happy
.	SENT	.
Do	VBP	do
not	RB	not
hold	VB	hold
onto	IN	onto
your	PP$	your
pain	NN	pain
.	SENT	.
<p>
"	''	"
And	CC	and
be	VB	be
the	DT	the
best	JJS	good
of	IN	of
yourselves	PP	yourselves
.	SENT	.
<p>
"	''	"
I	PP	I
replied	VBD	reply
to	TO	to
say	VB	say
:	:	:
'	''	'
You	PP	you
are	VBP	be
n't	RB	n't
going	VBG	go
to	TO	to
die	VB	die
because	IN	because
you	PP	you
still	RB	still
owe	VBP	owe
me	PP	me
a	DT	a
beer	NN	beer
.	SENT	.
'	''	'
<p>
"	``	"
He	PP	he
was	VBD	be
such	JJ	such
an	DT	an
optimistic	JJ	optimistic
person	NN	person
with	IN	with
so	RB	so
much	JJ	much
to	TO	to
give	VB	give
to	TO	to
the	DT	the
world	NN	world
that	IN	that
I	PP	I
never	RB	never
thought	VBD	think
he	PP	he
would	MD	would
die	VB	die
.	SENT	.
People	NNS	people
like	IN	like
that	WDT	that
do	VBP	do
n't	RB	n't
die	VB	die
young	JJ	young
.	SENT	.
"	''	"
<p>
By	IN	by
contrast	NN	contrast
,	,	,
Nitzam	NP	<unknown>
,	,	,
like	IN	like
any	DT	any
parent	NN	parent
of	IN	of
a	DT	a
son	NN	son
going	VBG	go
to	TO	to
war	NN	war
,	,	,
could	MD	could
n't	RB	n't
help	VB	help
but	CC	but
fear	VB	fear
the	DT	the
worst	JJS	bad
.	SENT	.
<p>
He	PP	he
said	VBD	say
:	:	:
"	``	"
As	IN	as
a	DT	a
worried	JJ	worried
parent	NN	parent
you	PP	you
do	VBP	do
fear	NN	fear
that	IN	that
something	NN	something
will	MD	will
happen	VB	happen
.	SENT	.
<p>
"	''	"
After	IN	after
October	NP	October
7	CD	@card@
he	PP	he
was	VBD	be
sent	VBN	send
to	TO	to
one	CD	one
of	IN	of
the	DT	the
kibbutzim	NNS	kibbutz
that	WDT	that
was	VBD	be
attacked	VBN	attack
.	SENT	.
<p>
"	''	"
He	PP	he
saw	VBD	see
some	DT	some
awful	JJ	awful
things	NNS	thing
.	SENT	.
But	CC	but
Lavi	NP	Lavi
being	JJ	being
Lavi	NP	Lavi
,	,	,
he	PP	he
was	VBD	be
still	RB	still
so	RB	so
caring	JJ	caring
.	SENT	.
He	PP	he
was	VBD	be
worried	VBN	worry
about	IN	about
all	DT	all
of	IN	of
the	DT	the
farm	NN	farm
animals	NNS	animal
that	WDT	that
now	RB	now
had	VBD	have
no-one	NN	no-one
to	TO	to
care	VB	care
for	IN	for
them	PP	them
because	IN	because
everybody	NN	everybody
had	VBD	have
been	VBN	be
killed	VBN	kill
or	CC	or
had	VBD	have
fled	VBN	flee
.	SENT	.
<p>
"	``	"
He	PP	he
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
?	SENT	?
'	''	'
That	WDT	that
was	VBD	be
typical	JJ	typical
of	IN	of
him	PP	him
.	SENT	.
<p>
"	''	"
We	PP	we
spoke	VBD	speak
to	TO	to
him	PP	him
a	DT	a
few	JJ	few
times	NNS	time
again	RB	again
over	IN	over
the	DT	the
next	JJ	next
few	JJ	few
weeks	NNS	week
.	SENT	.
<p>
"	``	"
The	DT	the
last	JJ	last
time	NN	time
we	PP	we
actually	RB	actually
