<h>
D	LS	d
?	SENT	?
il	JJ	<unknown>
motion	NN	motion
to	TO	to
expel	VB	expel
Israeli	JJ	Israeli
ambassador	NN	ambassador
defeated	VBD	defeat
<p>
A	DT	a
motion	NN	motion
in	IN	in
the	DT	the
D	NP	D
?	SENT	?
il	NNS	<unknown>
calling	VBG	call
for	IN	for
the	DT	the
expulsion	NN	expulsion
of	IN	of
the	DT	the
Israeli	JJ	Israeli
ambassador	NN	ambassador
has	VBZ	have
been	VBN	be
defeated	VBN	defeat
.	SENT	.
<p>
The	DT	the
vote	NN	vote
came	VBD	come
as	RB	as
more	JJR	more
than	IN	than
a	DT	a
thousand	CD	thousand
protesters	NNS	protester
calling	VBG	call
for	IN	for
the	DT	the
expulsion	NN	expulsion
of	IN	of
the	DT	the
ambassador	NN	ambassador
staged	VBD	stage
a	DT	a
demonstration	NN	demonstration
outside	IN	outside
the	DT	the
Oireachtas	NP	<unknown>
.	SENT	.
<p>
The	DT	the
motion	NN	motion
proposed	VBN	propose
by	IN	by
the	DT	the
Social	NP	Social
Democrats	NPS	Democrats
called	VBD	call
for	IN	for
a	DT	a
range	NN	range
of	IN	of
economic	JJ	economic
and	CC	and
diplomatic	JJ	diplomatic
sanctions	NNS	sanction
against	IN	against
Israel	NP	Israel
,	,	,
including	VBG	include
that	IN	that
the	DT	the
diplomatic	JJ	diplomatic
credentials	NNS	credential
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
ambassador	NN	ambassador
in	IN	in
Ireland	NP	Ireland
,	,	,
Dana	NP	Dana
Erlich	NP	Erlich
,	,	,
be	VB	be
revoked	VBN	revoke
.	SENT	.
<p>
The	DT	the
motion	NN	motion
also	RB	also
called	VBN	call
for	IN	for
Ireland	NP	Ireland
to	TO	to
use	VB	use
its	PP$	its
influence	NN	influence
in	IN	in
Brussels	NP	Brussels
to	TO	to
seek	VB	seek
a	DT	a
suspension	NN	suspension
of	IN	of
the	DT	the
EU-Israel	NP	EU-Israel
trade	NN	trade
deal	NN	deal
,	,	,
invoking	VBG	invoke
a	DT	a
human	JJ	human
rights	NNS	right
clause	NN	clause
in	IN	in
the	DT	the
agreement	NN	agreement
,	,	,
and	CC	and
suspend	VB	suspend
Israel	NP	Israel
from	IN	from
participation	NN	participation
in	IN	in
the	DT	the
Horizon	NN	horizon
Europe	NP	Europe
research	NN	research
funding	NN	funding
initiative	NN	initiative
.	SENT	.
<p>
"	``	"
There	EX	there
is	VBZ	be
a	DT	a
humanitarian	JJ	humanitarian
catastrophe	NN	catastrophe
unfolding	VBG	unfold
in	IN	in
Gaza	NP	Gaza
and	CC	and
there	EX	there
is	VBZ	be
a	DT	a
real	JJ	real
risk	NN	risk
of	IN	of
regional	JJ	regional
spillover	NNS	spillover
of	IN	of
conflict	NN	conflict
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
"	''	"
At	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
I	PP	I
regret	VBP	regret
that	IN	that
the	DT	the
motion	NN	motion
proposed	VBN	propose
by	IN	by
the	DT	the
Social	NP	Social
Democrats	NPS	Democrats
seeks	VBZ	seek
to	TO	to
push	VB	push
Ireland	NP	Ireland
to	TO	to
the	DT	the
margins	NNS	margin
of	IN	of
international	JJ	international
opinion	NN	opinion
,	,	,
"	''	"
he	PP	he
said	VBD	say
,	,	,
claiming	VBG	claim
such	PDT	such
a	DT	a
move	NN	move
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
.	SENT	.
<p>
"	''	"
It	PP	it
underplays	VBZ	underplay
the	DT	the
value	NN	value
of	IN	of
international	JJ	international
and	CC	and
multilateral	JJ	multilateral
engagement	NN	engagement
.	SENT	.
<p>
"	''	"
Ireland	NP	Ireland
must	MD	must
continue	VB	continue
to	TO	to
work	VB	work
with	IN	with
our	PP$	our
international	JJ	international
partners	NNS	partner
in	IN	in
responding	VBG	respond
to	TO	to
this	DT	this
crisis	NN	crisis
.	SENT	.
<p>
"	''	"
The	DT	the
Government	NN	government
has	VBZ	have
made	VBN	make
its	PP$	its
position	NN	position
clear	JJ	clear
regarding	VBG	regard
proposals	NNS	proposal
to	TO	to
expel	VB	expel
the	DT	the
Israeli	JJ	Israeli
