<h>
Thank	VB	thank
you	PP	you
for	IN	for
subscribing	VBG	subscribe
!	SENT	!
<p>
A	DT	a
Salford	NP	Salford
woman	NN	woman
who	WP	who
travelled	VBD	travel
to	TO	to
Gaza	NP	Gaza
before	IN	before
the	DT	the
war	NN	war
broke	VBD	break
out	RB	out
has	VBZ	have
been	VBN	be
denied	VBN	deny
passage	NN	passage
through	IN	through
a	DT	a
border	NN	border
into	IN	into
neighbouring	VBG	neighbour
Egypt	NP	Egypt
as	IN	as
her	PP$	her
mother	NN	mother
told	VBD	tell
of	IN	of
her	PP	her
'	POS	'
living	NN	living
nightmare	NN	nightmare
'	POS	'
.	SENT	.
Zaynab	NP	Zaynab
Wandawi	NP	<unknown>
,	,	,
29	CD	@card@
,	,	,
travelled	VBN	travel
to	TO	to
the	DT	the
region	NN	region
in	IN	in
October	NP	October
with	IN	with
her	PP$	her
husband	NN	husband
,	,	,
who	WP	who
is	VBZ	be
British	JJ	British
Palestinian	NN	Palestinian
,	,	,
and	CC	and
his	PP$	his
relatives	NNS	relative
for	IN	for
a	DT	a
family	NN	family
wedding	NN	wedding
before	IN	before
the	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
erupted	VBD	erupt
.	SENT	.
<p>
Ms	NN	Ms
Wandawi	NP	<unknown>
,	,	,
an	DT	an
English	JJ	English
language	NN	language
teacher	NN	teacher
,	,	,
and	CC	and
a	DT	a
group	NN	group
of	IN	of
12	CD	@card@
family	NN	family
members	NNS	member
--	:	--
10	CD	@card@
of	IN	of
whom	WP	whom
are	VBP	be
British	JJ	British
nationals	NNS	national
,	,	,
attempted	VBD	attempt
to	TO	to
cross	VB	cross
the	DT	the
Rafah	NP	<unknown>
border	NN	border
into	IN	into
Egypt	NP	Egypt
on	IN	on
Wednesday	NP	Wednesday
,	,	,
but	CC	but
were	VBD	be
told	VBN	tell
their	PP$	their
names	NNS	name
were	VBD	be
not	RB	not
on	IN	on
the	DT	the
list	NN	list
.	SENT	.
They	PP	they
turned	VBD	turn
away	RB	away
from	IN	from
the	DT	the
border	NN	border
amid	IN	amid
a	DT	a
disagreement	NN	disagreement
between	IN	between
the	DT	the
Palestinian	JJ	Palestinian
and	CC	and
Israeli	JJ	Israeli
authorities	NNS	authority
in	IN	in
control	NN	control
of	IN	of
the	DT	the
crossing	NN	crossing
,	,	,
according	VBG	accord
to	TO	to
her	PP$	her
mother	NN	mother
,	,	,
Lalah	NP	<unknown>
Ali-Faten	NP	<unknown>
,	,	,
who	WP	who
lives	VBZ	live
in	IN	in
Prestwich	NP	Prestwich
.	SENT	.
<p>
Ms	NN	Ms
Ali-Faten	NNS	<unknown>
told	VBD	tell
how	WRB	how
'	''	'
every	DT	every
single	JJ	single
day	NN	day
has	VBZ	have
been	VBN	be
a	DT	a
living	JJ	living
nightmare	NN	nightmare
'	''	'
as	IN	as
her	PP$	her
