<h>
No	UH	no
,	,	,
Jewish	JJ	Jewish
settlers	NNS	settler
are	VBP	be
n't	RB	n't
messianic	JJ	messianic
radicals	NNS	radical
-	NN	<unknown>
opinion	NN	opinion
<h>
Although	IN	although
there	EX	there
is	VBZ	be
a	DT	a
popular	JJ	popular
train	NN	train
of	IN	of
thought	NN	thought
among	IN	among
many	JJ	many
Israelis	NPS	Israelis
that	IN	that
settling	VBG	settle
the	DT	the
Land	NN	land
of	IN	of
Israel	NP	Israel
will	MD	will
hasten	VB	hasten
the	DT	the
messianic	JJ	messianic
era	NN	era
,	,	,
it	PP	it
is	VBZ	be
not	RB	not
a	DT	a
consensus	NN	consensus
.	SENT	.
<p>
By	IN	by
ALIZA	NP	Aliza
PILICHOWSKI	NP	<unknown>
OCTOBER	NP	October
6	CD	@card@
,	,	,
2024	CD	@card@
00:03	CD	@card@
<p>
THE	DT	the
JEWISH	JJ	Jewish
settlement	NN	settlement
of	IN	of
Eli	NP	Eli
,	,	,
in	IN	in
Samaria	NP	Samaria
,	,	,
as	RB	as
photographed	VBN	photograph
in	IN	in
2021	CD	@card@
:	:	:
The	DT	the
cheaper	JJR	cheap
housing	NN	housing
,	,	,
larger	JJR	large
properties	NNS	property
,	,	,
and	CC	and
suburban	JJ	suburban
sprawl	NN	sprawl
make	VB	make
living	NN	living
in	IN	in
Judea	NP	Judea
and	CC	and
Samaria	NP	Samaria
attractive	JJ	attractive
to	TO	to
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
Israelis	NPS	Israelis
.	SENT	.
(	(	(
photo	JJ	photo
credit	NN	credit
:	:	:
SRAYA	NP	<unknown>
DIAMANT/FLASH90	NP	<unknown>
)	)	)
<p>
Christopher	NP	Christopher
Hitchens	NP	Hitchens
,	,	,
author	NN	author
of	IN	of
Blaming	VBG	blame
the	DT	the
Victims	NNS	victim
:	:	:
Spurious	JJ	spurious
Scholarship	NN	scholarship
and	CC	and
the	DT	the
Palestinian	JJ	Palestinian
Question	NN	question
was	VBD	be
lauded	VBN	laud
in	IN	in
his	PP$	his
2011	CD	@card@
obituary	NN	obituary
in	IN	in
The	DT	the
Guardian	NP	Guardian
for	IN	for
his	PP$	his
unrelenting	JJ	unrelenting
support	NN	support
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
.	SENT	.
Hitchens	NP	Hitchens
described	VBD	describe
the	DT	the
Jewish	JJ	Jewish
residents	NNS	resident
of	IN	of
Judea	NP	Judea
and	CC	and
Samaria	NP	Samaria
(	(	(
aka	NN	aka
the	DT	the
West	NP	West
Bank	NP	Bank
,	,	,
a	DT	a
name	NN	name
adjudicated	VBN	adjudicate
by	IN	by
Jordan	NP	Jordan
)	)	)
in	IN	in
a	DT	a
most	RBS	most
derogatory	JJ	derogatory
fashion	NN	fashion
.	SENT	.
<p>
He	PP	he
wrote	VBD	write
:	:	:
"	``	"
...	:	...
look	VB	look
at	IN	at
the	DT	the
Israeli	JJ	Israeli
settlers	NNS	settler
,	,	,
paid	VBN	pay
for	IN	for
often	RB	often
by	IN	by
American	JJ	American
tax	NN	tax
dollars	NNS	dollar
,	,	,
deciding	VBG	decide
if	IN	if
they	PP	they
can	MD	can
steal	VB	steal
enough	JJ	enough
land	NN	land
from	IN	from
other	JJ	other
people	NNS	people
and	CC	and
get	VB	get
all	PDT	all
the	DT	the
Jews	NPS	Jews
into	IN	into
the	DT	the
Promised	JJ	promised
Land	NN	land
and	CC	and
all	PDT	all
the	DT	the
non-Jews	NP	non-Jews
out	RB	out
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
of	IN	of
the	DT	the
return	NN	return
of	IN	of
the	DT	the
Messiah	NP	Messiah
.	SENT	.
"	``	"
<p>
Israeli-right	NN	Israeli-right
activist	NN	activist
Malkah	NP	<unknown>
Fleisher	NP	Fleisher
is	VBZ	be
among	IN	among
those	DT	those
who	WP	who
have	VBP	have
publicly	RB	publicly
countered	VBN	counter
this	DT	this
argument	NN	argument
.	SENT	.
Last	JJ	last
year	NN	year
,	,	,
she	PP	she
wrote	VBD	write
in	IN	in
Tablet	NN	tablet
Magazine	NN	magazine
:	:	:
"	``	"
There	EX	there
'	''	'
s	NNS	<unknown>
not	RB	not
a	DT	a
place	NN	place
in	IN	in
all	DT	all
of	IN	of
Judea	NP	Judea
and	CC	and
Samaria	NP	Samaria
that	IN	that
a	DT	a
hater	NN	hater
does	VBZ	do
n't	RB	n't
charge	VB	charge
a	DT	a
Jew	NP	Jew
with	IN	with
having	VBG	have
stolen	VBN	steal
.	SENT	.
But	CC	but
we	PP	we
know	VBP	know
the	DT	the
truth	NN	truth
.	SENT	.
We	PP	we
know	VB	know
whose	WP$	whose
land	NN	land
we	PP	we
live	VBP	live
on	IN	on
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
heart	NN	heart
of	IN	of
the	DT	the
heartland	NN	heartland
sworn	VBN	swear
to	TO	to
our	PP$	our
ancestors	NNS	ancestor
and	CC	and
this	DT	this
is	VBZ	be
also	RB	also
the	DT	the
territory	NN	territory
recognized	VBN	recognize
as	IN	as
ours	PP	ours
in	IN	in
the	DT	the
Balfour	NP	Balfour
Declaration	NP	Declaration
,	,	,
the	DT	the
San	NP	San
Remo	NP	Remo
Accords	NPS	Accord
,	,	,
and	CC	and
the	DT	the
League	NP	League
of	IN	of
Nations	NPS	Nations
'	POS	'
Mandate	NN	mandate
for	IN	for
a	DT	a
Jewish	JJ	Jewish
Palestine	NP	Palestine
.	SENT	.
And	CC	and
while	IN	while
life	NN	life
in	IN	in
Judea	NP	Judea
and	CC	and
Samaria	NP	Samaria
is	VBZ	be
beautiful	JJ	beautiful
,	,	,
it	PP	it
was	VBD	be
earned	VBN	earn
through	IN	through
hardship	NN	hardship
and	CC	and
great	JJ	great
sacrifice	NN	sacrifice
.	SENT	.
We	PP	we
push	VBP	push
ahead	RB	ahead
by	IN	by
establishing	VBG	establish
farms	NNS	farm
,	,	,
building	VBG	build
our	PP$	our
communities	NNS	community
,	,	,
