<p>
Palestinians	NPS	Palestinians
migrate	VBP	migrate
toward	IN	toward
areas	NNS	area
they	PP	they
believe	VBP	believe
to	TO	to
be	VB	be
safer	JJR	safe
as	IN	as
the	DT	the
Israeli	JJ	Israeli
army	NN	army
intensifies	VBZ	intensify
its	PP$	its
attacks	NNS	attack
in	IN	in
Jabalya	NP	<unknown>
on	IN	on
Sunday	NP	Sunday
.	SENT	.
<p>
Hasan	NP	Hasan
N.	NP	N.
H.	NP	H.
Alzaanin/Anadolu/Getty	NP	Alzaanin/Anadolu/Getty
Images	NNS	image
<p>
CNN	NP	CNN
--	:	--
<p>
Israel	NP	Israel
'	POS	'
s	NN	S
military	NN	military
says	VBZ	say
it	PP	it
has	VBZ	have
encircled	VBN	encircle
Jabalya	NP	<unknown>
,	,	,
northern	JJ	northern
Gaza	NP	Gaza
and	CC	and
launched	VBD	launch
a	DT	a
new	JJ	new
ground	NN	ground
operation	NN	operation
,	,	,
after	IN	after
seeing	VBG	see
signs	NNS	sign
of	IN	of
Hamas	JJ	<unknown>
rebuilding	NN	rebuilding
,	,	,
despite	IN	despite
nearly	RB	nearly
a	DT	a
year	NN	year
of	IN	of
fighting	VBG	fight
and	CC	and
strikes	NNS	strike
in	IN	in
the	DT	the
territory	NN	territory
.	SENT	.
<p>
As	IN	as
attention	NN	attention
shifts	NNS	shift
to	TO	to
Lebanon	NP	Lebanon
after	IN	after
Israeli	JJ	Israeli
forces	NNS	force
escalated	VBD	escalate
their	PP$	their
attacks	NNS	attack
on	IN	on
the	DT	the
Hezbollah	NP	Hezbollah
militant	JJ	militant
group	NN	group
,	,	,
Israel	NP	Israel
continues	VBZ	continue
to	TO	to
operate	VB	operate
across	IN	across
Gaza	NP	Gaza
and	CC	and
is	VBZ	be
again	RB	again
focusing	VBG	focus
on	IN	on
an	DT	an
area	NN	area
it	PP	it
previously	RB	previously
said	VBD	say
was	VBD	be
rid	VBN	rid
of	IN	of
Hamas	NP	<unknown>
.	SENT	.
<p>
Elsewhere	RB	elsewhere
in	IN	in
Gaza	NP	Gaza
,	,	,
at	IN	at
least	JJS	least
25	CD	@card@
people	NNS	people
are	VBP	be
confirmed	VBN	confirm
dead	RB	dead
after	IN	after
Israeli	JJ	Israeli
airstrikes	NNS	airstrike
hit	VBD	hit
a	DT	a
mosque	NN	mosque
and	CC	and
a	DT	a
school	NN	school
in	IN	in
the	DT	the
center	NN	center
of	IN	of
the	DT	the
territory	NN	territory
,	,	,
hospital	NN	hospital
officials	NNS	official
say	VBP	say
.	SENT	.
Israel	NP	Israel
said	VBD	say
Hamas	NP	<unknown>
was	VBD	be
embedded	VBN	embed
in	IN	in
both	DT	both
buildings	NNS	building
.	SENT	.
<p>
Israel	NP	Israel
carried	VBD	carry
out	RP	out
airstrikes	NNS	airstrike
overnight	JJ	overnight
Saturday	NP	Saturday
into	IN	into
