<h>
Palestinian	JJ	Palestinian
woman	NN	woman
who	WP	who
gave	VBD	give
birth	NN	birth
at	IN	at
a	DT	a
refugee	NN	refugee
camp	NN	camp
recounts	VBZ	recount
long	JJ	long
journey	NN	journey
to	TO	to
Calgary	NP	Calgary
<p>
After	IN	after
fleeing	VBG	flee
Gaza	NP	Gaza
City	NP	City
last	JJ	last
October	NP	October
,	,	,
time	NN	time
was	VBD	be
ticking	VBG	tick
before	IN	before
Ashjan	NP	<unknown>
AbuRabee	NP	<unknown>
had	VBD	have
to	TO	to
give	VB	give
birth	NN	birth
to	TO	to
her	PP$	her
fourth	JJ	fourth
child	NN	child
.	SENT	.
<p>
Share	NN	share
<p>
After	IN	after
fleeing	VBG	flee
Gaza	NP	Gaza
City	NP	City
last	JJ	last
October	NP	October
,	,	,
time	NN	time
was	VBD	be
ticking	VBG	tick
before	IN	before
Ashjan	NP	<unknown>
AbuRabee	NP	<unknown>
had	VBD	have
to	TO	to
give	VB	give
birth	NN	birth
to	TO	to
her	PP$	her
fourth	JJ	fourth
child	NN	child
.	SENT	.
<p>
"	``	"
It	PP	it
was	VBD	be
so	RB	so
scary	JJ	scary
,	,	,
and	CC	and
I	PP	I
was	VBD	be
pregnant	JJ	pregnant
--	:	--
in	IN	in
my	PP$	my
fifth	JJ	fifth
month	NN	month
at	IN	at
that	DT	that
time	NN	time
,	,	,
"	''	"
AbuRabee	NP	<unknown>
said	VBD	say
through	IN	through
a	DT	a
translator	NN	translator
,	,	,
her	PP$	her
brother	NN	brother
Tamer	NP	Tamer
Jarada	NP	<unknown>
.	SENT	.
"	``	"
My	PP$	my
main	JJ	main
worry	NN	worry
was	VBD	be
that	IN	that
we	PP	we
would	MD	would
be	VB	be
losing	VBG	lose
our	PP$	our
lives	NNS	life
--	:	--
or	CC	or
our	PP$	our
families	NNS	family
.	SENT	.
"	''	"
<p>
On	IN	on
October	NP	October
25	CD	@card@
,	,	,
AbuRabee	NP	<unknown>
and	CC	and
her	PP$	her
brother	NN	brother
lost	VBD	lose
their	PP$	their
two	CD	two
parents	NNS	parent
,	,	,
two	CD	two
sisters	NNS	sister
and	CC	and
12	CD	@card@
other	JJ	other
family	NN	family
members	NNS	member
during	IN	during
an	DT	an
Israeli	JJ	Israeli
attack	NN	attack
on	IN	on
Gaza	NP	Gaza
City	NP	City
.	SENT	.
<p>
In	IN	in
November	NP	November
,	,	,
the	DT	the
family	NN	family
made	VBD	make
their	PP$	their
way	NN	way
to	TO	to
Central	NP	Central
Gaza	NP	Gaza
for	IN	for
a	DT	a
month	NN	month
and	CC	and
half	NN	half
before	IN	before
arriving	VBG	arrive
at	IN	at
a	DT	a
refugee	NN	refugee
camp	NN	camp
in	IN	in
Rafah	NP	<unknown>
in	IN	in
January	NP	January
.	SENT	.
The	DT	the
pregnant	JJ	pregnant
mother	NN	mother
stayed	VBD	stay
there	RB	there
with	IN	with
her	PP$	her
husband	NN	husband
,	,	,
and	CC	and
three	CD	three
kids	NNS	kid
in	IN	in
a	DT	a
tent	NN	tent
.	SENT	.
<p>
"	''	"
(	(	(
It	PP	it
was	VBD	be
an	DT	an
)	)	)
open	JJ	open
area	NN	area
where	WRB	where
people	NNS	people
just	JJ	just
