<h>
When	WRB	when
antisemitism	NN	<unknown>
is	VBZ	be
more	JJR	more
than	IN	than
free	JJ	free
speech	NN	speech
<p>
I	PP	I
thank	VBP	thank
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
for	IN	for
having	VBG	have
the	DT	the
courage	NN	courage
to	TO	to
take	VB	take
a	DT	a
commonsense	NN	commonsense
approach	NN	approach
against	IN	against
the	DT	the
rise	NN	rise
of	IN	of
antisemitism	NN	<unknown>
on	IN	on
campuses	NNS	campus
across	IN	across
this	DT	this
country	NN	country
"	``	"
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
antisemitism	NN	<unknown>
order	NN	order
raises	VBZ	raise
free	JJ	free
speech	NN	speech
concerns	NNS	concern
,	,	,
"	''	"
News	NP	News
,	,	,
Feb.	NP	Feb.
2	CD	@card@
.	SENT	.
While	IN	while
freedom	NN	freedom
of	IN	of
speech	NN	speech
is	VBZ	be
a	DT	a
protected	JJ	protected
right	NN	right
in	IN	in
the	DT	the
Constitution	NP	Constitution
,	,	,
it	PP	it
was	VBD	be
never	RB	never
intended	VBN	intend
to	TO	to
be	VB	be
absolute	JJ	absolute
.	SENT	.
<p>
The	DT	the
pro-Palestinian	NP	pro-Palestinian
protesters	NNS	protester
'	POS	'
words	NNS	word
and	CC	and
actions	NNS	action
often	RB	often
provoke	VBP	provoke
unlawful	JJ	unlawful
behavior	NN	behavior
.	SENT	.
Some	DT	some
of	IN	of
these	DT	these
students	NNS	student
have	VBP	have
communicated	VBN	communicate
intent	NN	intent
to	TO	to
commit	VB	commit
violence	NN	violence
against	IN	against
Jews	NPS	Jews
.	SENT	.
Hamas	NP	<unknown>
wants	VBZ	want
the	DT	the
annihilation	NN	annihilation
of	IN	of
Israel	NP	Israel
.	SENT	.
<p>
The	DT	the
acceptance	NN	acceptance
of	IN	of
this	DT	this
type	NN	type
of	IN	of
behavior	NN	behavior
needs	VBZ	need
to	TO	to
end	VB	end
,	,	,
and	CC	and
the	DT	the
president	NN	president
has	VBZ	have
taken	VBN	take
one	CD	one
small	JJ	small
step	NN	step
in	IN	in
the	DT	the
right	JJ	right
direction	NN	direction
.	SENT	.
<p>
--	:	--
Larry	NP	Larry
Horn	NP	Horn
,	,	,
East	NP	East
Norwich	NP	Norwich
<p>
The	DT	the
hate	NN	hate
from	IN	from
which	WDT	which
my	PP$	my
Jewish	JJ	Jewish
family	NN	family
fled	VBD	flee
the	DT	the
Soviet	NP	Soviet
Union	NP	Union
is	VBZ	be
back	RB	back
,	,	,
not	RB	not
just	RB	just
in	IN	in
distant	JJ	distant
countries	NNS	country
but	CC	but
here	RB	here
on	IN	on
Long	NP	Long
Island	NP	Island
,	,	,
on	IN	on
social	JJ	social
media	NNS	medium
,	,	,
and	CC	and
in	IN	in
this	DT	this
country	NN	country
'	POS	'
s	JJ	<unknown>
political	JJ	political
discourse	NN	discourse
.	SENT	.
<p>
Sign	VB	sign
up	RB	up
for	IN	for
The	DT	the
Point	NP	Point
Newsletter	NN	newsletter
<p>
From	IN	from
our	PP$	our
Editorial	JJ	editorial
Board	NP	Board
,	,	,
get	VBP	get
inside	IN	inside
the	DT	the
local	JJ	local
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Hamas	JJ	<unknown>
attack	NN	attack
brought	VBD	bring
a	DT	a
spike	NN	spike
in	IN	in
antisemitic	JJ	antisemitic
incidents	NNS	incident
,	,	,
including	VBG	include
slurs	NNS	slur
on	IN	on
subway	NN	subway
walls	NNS	wall
and	CC	and
graffiti	NNS	graffito
in	IN	in
parks	NNS	park
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
more	RBR	more
than	IN	than
just	JJ	just
words	NNS	word
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
message	NN	message
:	:	:
Jews	NNS	jew
do	VBP	do
n't	RB	n't
belong	VB	belong
.	SENT	.
<p>
We	PP	we
need	VBP	need
leadership	NN	leadership
to	TO	to
combat	VB	combat
antisemitism	NN	<unknown>
.	SENT	.
Donald	NP	Donald
Trump	NP	Trump
has	VBZ	have
the	DT	the
responsibility	NN	responsibility
to	TO	to
prioritize	VB	<unknown>
this	DT	this
fight	NN	fight
.	SENT	.
His	PP$	his
words	NNS	word
and	CC	and
actions	NNS	action
will	MD	will
shape	VB	shape
our	PP$	our
country	NN	country
'	POS	'
s	NN	S
future	NN	future
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	JJ	<unknown>
time	NN	time
to	TO	to
actively	RB	actively
protect	VB	protect
Jewish	JJ	Jewish
communities	NNS	community
.	SENT	.
<p>
The	DT	the
responsibility	NN	responsibility
to	TO	to
fight	VB	fight
antisemitism	NN	<unknown>
ca	MD	ca
n't	RB	n't
fall	VB	fall
solely	RB	solely
on	IN	on
high	JJ	high
school	NN	school
students	NNS	student
like	IN	like
me	PP	me
or	CC	or
Jewish	JJ	Jewish
communities	NNS	community
--	:	--
those	DT	those
in	IN	in
power	NN	power
,	,	,
like	IN	like
the	DT	the
president	NN	president
,	,	,
must	MD	must
take	VB	take
it	PP	it
up	RP	up
.	SENT	.
<p>
--	:	--
Gregory	NP	Gregory
Lyakhov	NP	Lyakhov
,	,	,
Great	NP	Great
Neck	NP	Neck
<p>
Newsday	NP	Newsday
should	MD	should
provide	VB	provide
a	DT	a
definition	NN	definition
of	IN	of
"	``	"
antisemitism	NN	<unknown>
"	''	"
because	IN	because
it	PP	it
is	VBZ	be
often	RB	often
misused	VBN	misuse
to	TO	to
describe	VB	describe
legitimate	JJ	legitimate
criticism	NN	criticism
of	IN	of
Israeli	JJ	Israeli
government	NN	government
actions	NNS	action
.	SENT	.
<p>
Antisemitism	NN	<unknown>
is	VBZ	be
discrimination	NN	discrimination
against	IN	against
Jews	NPS	Jews
because	IN	because
of	IN	of
our	PP$	our
religion	NN	religion
.	SENT	.
It	PP	it
can	MD	can
not	RB	not
be	VB	be
used	VBN	use
interchangeably	RB	interchangeably
with	IN	with
criticism	NN	criticism
of	IN	of
the	DT	the
Israeli	JJ	Israeli
government	NN	government
'	POS	'
s	JJ	<unknown>
treatment	NN	treatment
of	IN	of
Palestinians	NPS	Palestinians
.	SENT	.
<p>
A	DT	a
good	JJ	good
percentage	NN	percentage
of	IN	of
those	DT	those
protesting	VBG	protest
Israel	NP	Israel
'	POS	'
s	NN	S
bombing	NN	bombing
and	CC	and
destruction	NN	destruction
of	IN	of
Gaza	NP	Gaza
'	POS	'
s	NN	S
infrastructure	NN	infrastructure
,	,	,
housing	NN	housing
,	,	,
hospitals	NNS	hospital
,	,	,
schools	NNS	school
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
'	POS	'
s	NN	S
administration	NN	administration
were	VBD	be
Jews	NNS	jew
ourselves	PP	ourselves
.	SENT	.
<p>
Donald	NP	Donald
Trump	NP	Trump
'	POS	'
s	NN	S
administration	NN	administration
will	MD	will
inevitably	RB	inevitably
follow	VB	follow
a	DT	a
similar	JJ	similar
playbook	NN	playbook
,	,	,
falsely	RB	falsely
accusing	VBG	accuse
future	JJ	future
protesters	NNS	protester
against	IN	against
its	PP$	its
policies	NNS	policy
as	IN	as
being	VBG	be
anti-American	JJ	anti-American
.	SENT	.
It	PP	it
will	MD	will
be	VB	be
the	DT	the
responsibility	NN	responsibility
of	IN	of
the	DT	the
media	NNS	medium
to	TO	to
point	VB	point
out	RP	out
this	DT	this
fallacy	NN	fallacy
.	SENT	.
<p>
--	:	--
Matt	NP	Matt
Frisch	NP	Frisch
,	,	,
Oyster	NP	Oyster
Bay	NP	Bay
<p>
WE	PP	we
ENCOURAGE	VBP	encourage
YOU	PP	you
TO	TO	to
JOIN	VB	join
OUR	PP$	our
DAILY	JJ	daily
CONVERSATION	NN	conversation
.	SENT	.
Just	RB	just
go	VB	go
to	TO	to
**25	NN	<unknown>
;	:	;
3315	CD	@card@
;	:	;
TOOLONG	NN	<unknown>
and	CC	and
follow	VB	follow
the	DT	the
prompts	NNS	prompt
.	SENT	.
Or	CC	or
email	VB	<unknown>
your	PP$	your
opinion	NN	opinion
to	TO	to
letters@newsday.com	NN	<unknown>
.	SENT	.
Submissions	NNS	submission
should	MD	should
be	VB	be
no	RB	no
more	JJR	more
than	IN	than
200	CD	@card@
words	NNS	word
.	SENT	.
Please	UH	please
provide	VB	provide
your	PP$	your
full	JJ	full
name	NN	name
,	,	,
hometown	NN	hometown
,	,	,
phone	NN	phone
number	NN	number
and	CC	and
any	DT	any
relevant	JJ	relevant
expertise	NN	expertise
or	CC	or
affiliation	NN	affiliation
.	SENT	.
Include	VB	include
the	DT	the
headline	NN	headline
and	CC	and
date	NN	date
of	IN	of
the	DT	the
article	NN	article
you	PP	you
are	VBP	be
responding	VBG	respond
to	TO	to
.	SENT	.
Letters	NNS	letter
become	VBP	become
the	DT	the
property	NN	property
of	IN	of
Newsday	NP	Newsday
and	CC	and
are	VBP	be
edited	VBN	edit
for	IN	for
all	DT	all
media	NNS	medium
.	SENT	.
Due	JJ	due
to	TO	to
volume	NN	volume
,	,	,
readers	NNS	reader
are	VBP	be
limited	VBN	limit
to	TO	to
one	CD	one
letter	NN	letter
in	IN	in
print	NN	print
every	DT	every
45	CD	@card@
days	NNS	day
.	SENT	.
Published	JJ	published
letters	NNS	letter
reflect	VBP	reflect
the	DT	the
ratio	NN	ratio
received	VBN	receive
on	IN	on
each	DT	each
topic	NN	topic
.	SENT	.
