<p>
Donald	NP	Donald
Trump	NP	Trump
has	VBZ	have
said	VBN	say
Palestinians	NPS	Palestinians
have	VBP	have
"	``	"
no	DT	no
alternative	NN	alternative
"	''	"
but	CC	but
to	TO	to
leave	VB	leave
Gaza	NP	Gaza
due	JJ	due
to	TO	to
the	DT	the
devastation	NN	devastation
left	VBN	leave
by	IN	by
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
war	NN	war
on	IN	on
Hamas	NP	<unknown>
,	,	,
in	IN	in
effect	NN	effect
endorsing	VBG	endorse
ethnic	JJ	ethnic
cleansing	NN	cleansing
of	IN	of
the	DT	the
territory	NN	territory
over	IN	over
the	DT	the
opposition	NN	opposition
of	IN	of
Palestinians	NPS	Palestinians
and	CC	and
neighbouring	VBG	neighbour
countries	NNS	country
.	SENT	.
<p>
Speaking	VBG	speak
as	IN	as
he	PP	he
prepared	VBD	prepare
to	TO	to
host	VB	host
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
prime	JJ	prime
minister	NN	minister
,	,	,
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
,	,	,
on	IN	on
Tuesday	NP	Tuesday
,	,	,
Trump	NP	Trump
repeated	VBD	repeat
the	DT	the
suggestion	NN	suggestion
that	IN	that
Gaza	NP	Gaza
'	POS	'
s	NN	S
population	NN	population
should	MD	should
be	VB	be
relocated	VBN	relocate
to	TO	to
Jordan	NP	Jordan
and	CC	and
Egypt	NP	Egypt
--	:	--
something	NN	something
both	CC	both
countries	NNS	country
have	VBP	have
firmly	RB	firmly
rejected	VBN	reject
.	SENT	.
<p>
Trump	NP	Trump
claimed	VBD	claim
Palestinians	NPS	Palestinians
would	MD	would
"	``	"
love	VB	love
to	TO	to
leave	VB	leave
Gaza	NP	Gaza
"	''	"
,	,	,
telling	VBG	tell
reporters	NNS	reporter
:	:	:
"	``	"
I	PP	I
would	MD	would
think	VB	think
that	IN	that
they	PP	they
would	MD	would
be	VB	be
thrilled	VBN	thrill
.	SENT	.
"	''	"
<p>
After	IN	after
16	CD	@card@
months	NNS	month
of	IN	of
devastating	JJ	devastating
war	NN	war
with	IN	with
Israel	NP	Israel
,	,	,
Trump	NP	Trump
said	VBD	say
Gaza	NP	Gaza
was	VBD	be
"	``	"
a	DT	a
pure	JJ	pure
demolition	NN	demolition
site	NN	site
"	''	"
.	SENT	.
<p>
"	``	"
I	PP	I
do	VBP	do
n't	RB	n't
think	VB	think
people	NNS	people
should	MD	should
be	VB	be
going	VBG	go
back	RB	back
to	TO	to
Gaza	NP	Gaza
.	SENT	.
Gaza	NP	Gaza
is	VBZ	be
not	RB	not
a	DT	a
place	NN	place
for	IN	for
people	NNS	people
to	TO	to
be	VB	be
living	VBG	live
,	,	,
and	CC	and
the	DT	the
only	JJ	only
reason	NN	reason
they	PP	they
want	VBP	want
to	TO	to
go	VB	go
back	RB	back
,	,	,
and	CC	and
I	PP	I
believe	VBP	believe
this	DT	this
strongly	RB	strongly
,	,	,
is	VBZ	be
because	IN	because
they	PP	they
have	VBP	have
no	DT	no
alternative	NN	alternative
...	:	...
If	IN	if
they	PP	they
had	VBD	have
an	DT	an
alternative	NN	alternative
,	,	,
they	PP	they
'	POS	'
d	NN	d
much	RB	much
rather	RB	rather
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
alternative	NN	alternative
that	RB	that
'	POS	'
s	NNS	<unknown>
safe	JJ	safe
,	,	,
"	''	"
he	PP	he
told	VBD	tell
reporters	NNS	reporter
in	IN	in
the	DT	the
Oval	JJ	oval
Office	NN	office
.	SENT	.
<p>
"	``	"
If	IN	if
we	PP	we
could	MD	could
find	VB	find
the	DT	the
right	JJ	right
piece	NN	piece
of	IN	of
land	NN	land
,	,	,
or	CC	or
numerous	JJ	numerous
pieces	NNS	piece
of	IN	of
land	NN	land
,	,	,
and	CC	and
build	VB	build
them	PP	them
some	DT	some
really	RB	really
nice	JJ	nice
places	NNS	place
with	IN	with
plenty	NN	plenty
of	IN	of
money	NN	money
in	IN	in
the	DT	the
area	NN	area
,	,	,
that	WDT	that
'	POS	'
s	NN	S
for	IN	for
sure	JJ	sure
.	SENT	.
I	PP	I
think	VBP	think
that	IN	that
would	MD	would
be	VB	be
a	DT	a
lot	NN	lot
better	RBR	well
than	IN	than
going	VBG	go
back	RB	back
to	TO	to
Gaza	NP	Gaza
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
When	WRB	when
asked	VBN	ask
where	WRB	where
such	JJ	such
places	NNS	place
might	MD	might
be	VB	be
,	,	,
he	PP	he
suggested	VBD	suggest
they	PP	they
could	MD	could
be	VB	be
in	IN	in
Jordan	NP	Jordan
,	,	,
Egypt	NP	Egypt
or	CC	or
"	``	"
other	JJ	other
places	NNS	place
.	SENT	.
You	PP	you
could	MD	could
have	VB	have
more	JJR	more
than	IN	than
two	CD	two
.	SENT	.
<p>
"	``	"
You	PP	you
'	''	'
d	SYM	d
have	VB	have
people	NNS	people
living	VBG	live
in	IN	in
a	DT	a
place	NN	place
that	WDT	that
could	MD	could
be	VB	be
very	RB	very
beautiful	JJ	beautiful
,	,	,
and	CC	and
safe	JJ	safe
and	CC	and
nice	JJ	nice
.	SENT	.
Gaza	NP	Gaza
'	POS	'
