<h>
What	WP	what
'	POS	'
s	NN	S
Hot	NP	Hot
<p>
Hamas	NP	<unknown>
says	VBZ	say
it	PP	it
will	MD	will
release	VB	release
the	DT	the
next	JJ	next
group	NN	group
of	IN	of
three	CD	three
Israeli	JJ	Israeli
hostages	NNS	hostage
as	RB	as
planned	VBN	plan
.	SENT	.
<p>
Samy	NP	Samy
Magdy	NP	Magdy
and	CC	and
Melanie	NP	Melanie
Lidman	NP	<unknown>
<p>
Feb	NN	Feb
13	CD	@card@
,	,	,
2025	CD	@card@
,	,	,
08:18	CD	@card@
AM	NP	AM
EST	NP	est
<p>
Displaced	VBD	displace
Palestinians	NPS	Palestinians
make	VBP	make
their	PP$	their
way	NN	way
from	IN	from
central	JJ	central
Gaza	NP	Gaza
to	TO	to
their	PP$	their
homes	NNS	home
in	IN	in
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
Monday	NP	Monday
,	,	,
Feb.	NP	Feb.
10	CD	@card@
,	,	,
2025	CD	@card@
.	SENT	.
(	(	(
AP	NP	AP
Photo/Jehad	NP	<unknown>
Alshrafi	NP	<unknown>
)	)	)
<p>
via	IN	via
Associated	NP	Associated
Press	NP	Press
<p>
CAIRO	NP	Cairo
(	(	(
AP	NP	AP
)	)	)
--	:	--
Hamas	NP	<unknown>
said	VBD	say
Thursday	NP	Thursday
it	PP	it
would	MD	would
release	VB	release
three	CD	three
more	JJR	more
Israeli	JJ	Israeli
hostages	NNS	hostage
as	IN	as
planned	VBN	plan
,	,	,
paving	VBG	pave
the	DT	the
way	NN	way
toward	IN	toward
resolving	VBG	resolve
a	DT	a
major	JJ	major
dispute	NN	dispute
over	IN	over
the	DT	the
ceasefire	NN	ceasefire
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
<p>
Hamas	NP	<unknown>
had	VBD	have
threatened	VBN	threaten
to	TO	to
delay	VB	delay
the	DT	the
next	JJ	next
release	NN	release
of	IN	of
captives	NNS	captive
,	,	,
accusing	VBG	accuse
Israel	NP	Israel
of	IN	of
failing	VBG	fail
to	TO	to
meet	VB	meet
its	PP$	its
obligations	NNS	obligation
to	TO	to
allow	VB	allow
in	IN	in
tents	NNS	tent
and	CC	and
shelters	NNS	shelter
,	,	,
among	IN	among
other	JJ	other
alleged	JJ	alleged
violations	NNS	violation
of	IN	of
the	DT	the
truce	NN	truce
.	SENT	.
Israel	NP	Israel
,	,	,
with	IN	with
the	DT	the
support	NN	support
of	IN	of
U.S.	NP	U.S.
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
,	,	,
had	VBD	have
threatened	VBN	threaten
to	TO	to
renew	VB	renew
its	PP$	its
offensive	NN	offensive
if	IN	if
hostages	NNS	hostage
were	VBD	be
not	RB	not
freed	VBN	free
.	SENT	.
<p>
Hamas	NP	<unknown>
said	VBD	say
its	PP$	its
delegation	NN	delegation
held	VBD	hold
talks	NNS	talk
in	IN	in
Cairo	NN	Cairo
with	IN	with
Egyptian	JJ	Egyptian
officials	NNS	official
and	CC	and
was	VBD	be
in	IN	in
contact	NN	contact
with	IN	with
Qatar	NP	Qatar
'	POS	'
s	JJ	<unknown>
prime	JJ	prime
minister	NN	minister
about	IN	about
bringing	VBG	bring
into	IN	into
Gaza	NP	Gaza
more	RBR	more
shelters	VBZ	shelter
,	,	,
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
--	:	--
its	PP$	its
key	JJ	key
demand	NN	demand
in	IN	in
recent	JJ	recent
days	NNS	day
.	SENT	.
It	PP	it
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
that	IN	that
the	DT	the
mediators	NNS	mediator
had	VBD	have
pledged	VBN	pledge
to	TO	to
"	``	"
remove	VB	remove
all	DT	all
hurdles	NNS	hurdle
.	SENT	.
"	''	"
<p>
Shortly	RB	shortly
after	IN	after
the	DT	the
announcement	NN	announcement
,	,	,
Hamas	JJ	<unknown>
spokesman	NN	spokesman
Abdul	NP	Abdul
Latif	NP	Latif
al-Qanou	NP	<unknown>
confirmed	VBD	confirm
to	TO	to
The	DT	the
Associated	NP	Associated
Press	NP	Press
by	IN	by
phone	NN	phone
that	IN	that
three	CD	three
hostages	NNS	hostage
will	MD	will
be	VB	be
released	VBN	release
on	IN	on
Saturday	NP	Saturday
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
Egypt	NP	Egypt
'	POS	'
s	NN	S
state-run	JJ	state-run
Qahera	NP	<unknown>
