<h>
Follow	VB	follow
Us	PP	us
<h>
In	IN	in
deadliest	JJS	deadly
year	NN	year
for	IN	for
media	NNS	medium
,	,	,
Israel-Hamas	JJ	<unknown>
war	NN	war
accounts	NNS	account
for	IN	for
most	JJS	most
deaths	NNS	death
<p>
Palestinian	JJ	Palestinian
journalist	NN	journalist
Wael	NP	<unknown>
Al-Dahdouh	NP	<unknown>
embraces	VBZ	embrace
family	NN	family
members	NNS	member
as	IN	as
they	PP	they
attend	VBP	attend
the	DT	the
funeral	NN	funeral
of	IN	of
his	PP$	his
son	NN	son
,	,	,
journalist	NN	journalist
Hamza	NP	Hamza
Al-Dahdouh	NP	<unknown>
,	,	,
after	IN	after
he	PP	he
was	VBD	be
killed	VBN	kill
in	IN	in
an	DT	an
Israeli	JJ	Israeli
strike	NN	strike
,	,	,
in	IN	in
Rafah	NP	<unknown>
in	IN	in
the	DT	the
southern	JJ	southern
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
Jan.	NP	Jan.
7	CD	@card@
,	,	,
2024	CD	@card@
.	SENT	.
<p>
Share	NN	share
<p>
In	IN	in
deadliest	JJS	deadly
year	NN	year
for	IN	for
media	NNS	medium
,	,	,
Israel-Hamas	JJ	<unknown>
war	NN	war
accounts	NNS	account
for	IN	for
most	JJS	most
deaths	NNS	death
<p>
Around	IN	around
the	DT	the
world	NN	world
,	,	,
124	CD	@card@
journalists	NNS	journalist
were	VBD	be
killed	VBN	kill
in	IN	in
2024	CD	@card@
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
Committee	NP	Committee
to	TO	to
Protect	VB	protect
Journalists	NNS	journalist
,	,	,
or	CC	or
CPJ	NP	CPJ
.	SENT	.
It	PP	it
marks	VBZ	mark
the	DT	the
deadliest	JJS	deadly
year	NN	year
on	IN	on
record	NN	record
for	IN	for
media	NNS	medium
workers	NNS	worker
since	IN	since
the	DT	the
press	NN	press
freedom	NN	freedom
group	NN	group
started	VBD	start
keeping	VBG	keep
track	NN	track
in	IN	in
1992	CD	@card@
.	SENT	.
<p>
After	IN	after
the	DT	the
82	CD	@card@
journalists	NNS	journalist
killed	VBN	kill
in	IN	in
Gaza	NP	Gaza
,	,	,
the	DT	the
countries	NNS	country
with	IN	with
the	DT	the
highest	JJS	high
deaths	NNS	death
are	VBP	be
Sudan	NP	Sudan
and	CC	and
Pakistan	NP	Pakistan
with	IN	with
six	CD	six
cases	NNS	case
each	DT	each
,	,	,
and	CC	and
Mexico	NP	Mexico
with	IN	with
five	CD	five
.	SENT	.
<p>
"	``	"
It	PP	it
'	POS	'
s	NNS	<unknown>
indicative	JJ	indicative
of	IN	of
an	DT	an
increased	VBN	increase
vulnerability	NN	vulnerability
for	IN	for
journalists	NNS	journalist
globally	RB	globally
,	,	,
"	''	"
CPJ	NP	CPJ
CEO	NP	CEO
Jodie	NP	Jodie
Ginsberg	NP	Ginsberg
told	VBD	tell
VOA	NP	VOA
about	IN	about
the	DT	the
record-high	JJ	record-high
death	NN	death
toll	NN	toll
.	SENT	.
<p>
The	DT	the
CPJ	NP	CPJ
records	VBZ	record
a	DT	a
journalist	NN	journalist
'	POS	'
s	NNS	<unknown>
killing	VBG	kill
in	IN	in
its	PP$	its
database	NN	database
if	IN	if
it	PP	it
has	VBZ	have
reasonable	JJ	reasonable
grounds	NNS	ground
to	TO	to
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
work	NN	work
.	SENT	.
The	DT	the
group	NN	group
'	POS	'
s	NN	S
researchers	NNS	researcher
have	VBP	have
additional	JJ	additional
cases	NNS	case
where	WRB	where
they	PP	they
are	VBP	be
working	VBG	work
to	TO	to
independently	RB	independently
verify	VB	verify
if	IN	if
journalism	NN	journalism
was	VBD	be
a	DT	a
factor	NN	factor
in	IN	in
the	DT	the
death	NN	death
.	SENT	.
<p>
People	NNS	people
should	MD	should
care	VB	care
about	IN	about
journalist	NN	journalist
killings	NNS	killing
,	,	,
Ginsberg	NP	Ginsberg
said	VBD	say
,	,	,
because	IN	because
"	``	"
killing	VBG	kill
a	DT	a
journalist	NN	journalist
is	VBZ	be
the	DT	the
most	RBS	most
extreme	JJ	extreme
form	NN	form
of	IN	of
censorship	NN	censorship
<p>
"	''	"
It	PP	it
'	POS	'
s	JJ	<unknown>
journalists	NNS	journalist
who	WP	who
are	VBP	be
providing	VBG	provide
the	DT	the
information	NN	information
and	CC	and
seeking	VBG	seek
out	RP	out
the	DT	the
information	NN	information
that	IN	that
other	JJ	other
people	NNS	people
wish	VBP	wish
to	TO	to
conceal	VB	conceal
from	IN	from
us	PP	us
,	,	,
"	''	"
she	PP	she
said	VBD	say
,	,	,
like	IN	like
government	NN	government
corruption	NN	corruption
and	CC	and
wrongdoing	NN	wrongdoing
.	SENT	.
<p>
Media	NNS	medium
safety	VBP	safety
<p>
The	DT	the
CPJ	NP	CPJ
'	POS	'
s	NN	S
research	NN	research
found	VBN	find
Israel	NP	Israel
accountable	JJ	accountable
for	IN	for
85	CD	@card@
of	IN	of
the	DT	the
cases	NNS	case
last	JJ	last
year	NN	year
,	,	,
including	VBG	include
82	CD	@card@
in	IN	in
Gaza	NP	Gaza
and	CC	and
three	CD	three
in	IN	in
Lebanon	NP	Lebanon
.	SENT	.
<p>
The	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
has	VBZ	have
been	VBN	be
the	DT	the
deadliest	JJS	deadly
conflict	NN	conflict
on	IN	on
record	NN	record
for	IN	for
journalists	NNS	journalist
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
CPJ	NP	CPJ
.	SENT	.
As	RB	as
of	IN	of
Tuesday	NP	Tuesday
,	,	,
at	IN	at
least	JJS	least
169	CD	@card@
media	NNS	medium
workers	NNS	worker
have	VBP	have
been	VBN	be
killed	VBN	kill
since	IN	since
the	DT	the
Oct.	NP	Oct.
7	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
Hamas	JJ	<unknown>
terror	NN	terror
attack	NN	attack
on	IN	on
Israel	NP	Israel
and	CC	and
the	DT	the
Israeli	JJ	Israeli
counteroffensive	NN	counteroffensive
.	SENT	.
Nearly	RB	nearly
all	PDT	all
the	DT	the
journalists	NNS	journalist
were	VBD	be
Palestinian	JJ	Palestinian
.	SENT	.
<p>
The	DT	the
journalist	NN	journalist
killings	NNS	killing
come	VBN	come
amid	IN	amid
a	DT	a
wider	JJR	wide
death	NN	death
toll	NN	toll
.	SENT	.
Israel	NP	Israel
'	POS	'
s	NN	S
counteroffensive	NN	counteroffensive
has	VBZ	have
killed	VBN	kill
more	JJR	more
than	IN	than
47,500	CD	@card@
people	NNS	people
and	CC	and
injured	VBN	injure
more	JJR	more
than	IN	than
100,000	CD	@card@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
ministry	NN	ministry
,	,	,
which	WDT	which
does	VBZ	do
not	RB	not
distinguish	VB	distinguish
between	IN	between
civilians	NNS	civilian
and	CC	and
combatants	NNS	combatant
.	SENT	.
Israel	NP	Israel
'	POS	'
s	NN	S
military	NN	military
says	VBZ	say
it	PP	it
has	VBZ	have
killed	VBN	kill
more	JJR	more
than	IN	than
17,000	CD	@card@
militants	NNS	militant
.	SENT	.
<p>
A	DT	a
fragile	JJ	fragile
ceasefire	NN	ceasefire
agreement	NN	agreement
has	VBZ	have
been	VBN	be
in	IN	in
place	NN	place
in	IN	in
Gaza	NP	Gaza
since	IN	since
Jan.	NP	Jan.
19	CD	@card@
to	TO	to
allow	VB	allow
for	IN	for
exchanges	NNS	exchange
of	IN	of
hostages	NNS	hostage
and	CC	and
prisoners	NNS	prisoner
.	SENT	.
<p>
Watchdogs	NNS	watchdog
say	VBP	say
Israel	NP	Israel
has	VBZ	have
deliberately	RB	deliberately
targeted	VBN	target
journalists	NNS	journalist
in	IN	in
some	DT	some
cases	NNS	case
,	,	,
and	CC	and
the	DT	the
United	NP	United
Nations	NPS	Nations
has	VBZ	have
flagged	VBN	flag
a	DT	a
restrictive	JJ	restrictive
and	CC	and
unsafe	JJ	unsafe
working	VBG	work
environment	NN	environment
for	IN	for
media	NNS	medium
,	,	,
saying	VBG	say
that	IN	that
journalists	NNS	journalist
and	CC	and
press	NN	press
freedom	NN	freedom
need	VBP	need
to	TO	to
be	VB	be
"	``	"
safeguarded	VBN	safeguard
.	SENT	.
"	''	"
<p>
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
foreign	JJ	foreign
ministry	NN	ministry
and	CC	and
military	NN	military
did	VBD	do
not	RB	not
reply	VB	reply
to	TO	to
VOA	NP	VOA
emails	NNS	email
requesting	VBG	request
comment	NN	comment
,	,	,
but	CC	but
Israel	NP	Israel
has	VBZ	have
previously	RB	previously
denied	VBN	deny
killing	VBG	kill
journalists	NNS	journalist
.	SENT	.
<p>
A	DT	a
spokesperson	NN	spokesperson
in	IN	in
December	NP	December
dismissed	VBD	dismiss
data	NNS	datum
by	IN	by
watchdogs	NNS	watchdog
on	IN	on
media	NNS	medium
killings	NNS	killing
.	SENT	.
<p>
Behind	IN	behind
the	DT	the
high	JJ	high
journalist	NN	journalist
death	NN	death
toll	NN	toll
in	IN	in
Gaza	NP	Gaza
are	VBP	be
questions	NNS	question
about	RB	about
how	WRB	how
those	DT	those
in	IN	in
power	NN	power
will	MD	will
be	VB	be
held	VBN	hold
accountable	JJ	accountable
